sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1768634473838200,1768634473844315,1768634473844638,1768634474935000,,1768634473934581,1768634474935000,,1768634474944551,1106351,1090685,,,1000419,227146,17,640,640,yolov5s,WebpLossless,T3,Letterbox
0,1,RSU-0000,Local,1768634473838200,1768634473847698,1768634473848310,1768634474952275,,1768634473978589,1768634474952274,,1768634474961196,1122996,1104577,,,973685,227146,17,640,640,yolov5s,WebpLossless,T3,Letterbox
0,1,RSU-0001,Local,1768634473838200,1768634473847628,1768634473848185,1768634474983678,,1768634473983439,1768634474983678,,1768634474997482,1159282,1136050,,,1000239,227146,17,640,640,yolov5s,WebpLossless,T3,Letterbox
1,31,RSU-0000,Local,1768634474839777,1768634474851603,1768634474851944,1768634475906836,,1768634474952779,1768634475906836,,1768634475913071,1073294,1055233,,,954057,202272,17,640,640,yolov5s,WebpLossless,T3,Letterbox
1,31,RSU-0002,Local,1768634474839777,1768634474851343,1768634474851756,1768634475942506,,1768634474935153,1768634475942506,,1768634475948641,1108864,1091163,,,1007353,202272,17,640,640,yolov5s,WebpLossless,T3,Letterbox
1,31,RSU-0001,Local,1768634474839777,1768634474845434,1768634474846538,1768634476014874,,1768634474983824,1768634476014873,,1768634476021882,1182105,1169440,,,1031049,202272,17,640,640,yolov5s,WebpLossless,T3,Letterbox
2,61,RSU-0000,Local,1768634475840623,1768634475846906,1768634475847554,1768634476845375,,1768634475907189,1768634476845374,,1768634476850184,1009561,998469,,,938185,203548,18,640,640,yolov5s,WebpLossless,T3,Letterbox
2,61,RSU-0002,Local,1768634475840623,1768634475845717,1768634475846098,1768634476943492,,1768634475942742,1768634476943491,,1768634476949298,1108675,1097775,,,1000749,203548,18,640,640,yolov5s,WebpLossless,T3,Letterbox
2,61,RSU-0001,Local,1768634475840623,1768634475846657,1768634475847073,1768634477044165,,1768634476015466,1768634477044164,,1768634477049913,1209290,1197508,,,1028698,203548,18,640,640,yolov5s,WebpLossless,T3,Letterbox
3,91,RSU-0000,Local,1768634476841509,1768634476847729,1768634476847939,1768634477785223,,1768634476847990,1768634477785222,,1768634477791326,949817,937494,,,937232,205088,19,640,640,yolov5s,WebpLossless,T3,Letterbox
3,91,RSU-0002,Local,1768634476841509,1768634476847139,1768634476847576,1768634477946036,,1768634476943618,1768634477946036,,1768634477952049,1110540,1098897,,,1002418,205088,19,640,640,yolov5s,WebpLossless,T3,Letterbox
3,91,RSU-0001,Local,1768634476841509,1768634476847196,1768634476847642,1768634478065895,,1768634477044679,1768634478065894,,1768634478072797,1231288,1218699,,,1021215,205088,19,640,640,yolov5s,WebpLossless,T3,Letterbox
4,121,RSU-0000,Local,1768634477843105,1768634477846564,1768634477846797,1768634478778655,,1768634477846852,1768634478778655,,1768634478784915,941810,932091,,,931803,204350,20,640,640,yolov5s,WebpLossless,T3,Letterbox
4,121,RSU-0002,Local,1768634477843105,1768634477848927,1768634477849370,1768634478945540,,1768634477946272,1768634478945539,,1768634478951177,1108072,1096613,,,999267,204350,20,640,640,yolov5s,WebpLossless,T3,Letterbox
4,121,RSU-0001,Local,1768634477843105,1768634477848734,1768634477849018,1768634479088421,,1768634478066410,1768634479088420,,1768634479095154,1252049,1239687,,,1022010,204350,20,640,640,yolov5s,WebpLossless,T3,Letterbox
