sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768644352641939,1768644352653459,1768644352654030,1768644353794470,,1768644352654123,1768644353794469,,1768644353804713,1162774,1141011,,,1140346,737694,17,1920,1080,yolov5s,WebpLossy,T1,FHD
2,5,RSU-0001,Local,1768644352778329,1768644352787610,1768644352791676,1768644353981536,,1768644352792567,1768644353981536,,1768644353985673,1207344,1193926,,,1188969,787604,19,1920,1080,yolov5s,WebpLossy,T1,FHD
0,1,RSU-0002,Local,1768644352641939,1768644352678740,1768644352679525,1768644354222656,,1768644352679630,1768644354222655,,1768644354259971,1618032,1543916,,,1543025,737694,17,1920,1080,yolov5s,WebpLossy,T1,FHD
16,33,RSU-0000,Local,1768644353730997,1768644353736094,1768644353746665,1768644354875449,,1768644353795065,1768644354875448,,1768644354883177,1152180,1139355,,,1080383,415100,19,1920,1080,yolov5s,WebpLossy,T1,FHD
19,39,RSU-0001,Local,1768644353936252,1768644353948171,1768644353953600,1768644355190334,,1768644353981934,1768644355190333,,1768644355190697,1254445,1242163,,,1208399,417594,19,1920,1080,yolov5s,WebpLossy,T1,FHD
22,45,RSU-0002,Local,1768644354141240,1768644354151692,1768644354163055,1768644355770640,,1768644354222824,1768644355770639,,1768644355792896,1651656,1618948,,,1547815,420000,20,1920,1080,yolov5s,WebpLossy,T1,FHD
32,65,RSU-0000,Local,1768644354820639,1768644354825991,1768644354838360,1768644355949180,,1768644354875847,1768644355949179,,1768644355953530,1132891,1123189,,,1073332,422424,18,1920,1080,yolov5s,WebpLossy,T1,FHD
37,75,RSU-0001,Local,1768644355160677,1768644355169409,1768644355174122,1768644356381844,,1768644355190720,1768644356381843,,1768644356385657,1224980,1212435,,,1191123,422844,18,1920,1080,yolov5s,WebpLossy,T1,FHD
48,97,RSU-0000,Local,1768644355909024,1768644355912936,1768644355913780,1768644357016021,,1768644355949551,1768644357016020,,1768644357025601,1116577,1103085,,,1066469,424386,21,1920,1080,yolov5s,WebpLossy,T1,FHD
45,91,RSU-0002,Local,1768644355705251,1768644355711130,1768644355711732,1768644357332292,,1768644355770849,1768644357332291,,1768644357353810,1648559,1621162,,,1561442,428206,22,1920,1080,yolov5s,WebpLossy,T1,FHD
54,109,RSU-0001,Local,1768644356316559,1768644356326563,1768644356328455,1768644357577385,,1768644356381991,1768644357577383,,1768644357577844,1261285,1250822,,,1195392,431630,19,1920,1080,yolov5s,WebpLossy,T1,FHD
63,127,RSU-0000,Local,1768644356929550,1768644356934171,1768644356934703,1768644358092850,,1768644357016365,1768644358092849,,1768644358098827,1169277,1158679,,,1076484,432222,23,1920,1080,yolov5s,WebpLossy,T1,FHD
68,137,RSU-0002,Local,1768644357272464,1768644357283767,1768644357304959,1768644358638678,,1768644357332442,1768644358638678,,1768644358643765,1371301,1354911,,,1306236,433662,21,1920,1080,yolov5s,WebpLossy,T1,FHD
72,145,RSU-0001,Local,1768644357546991,1768644357556935,1768644357558518,1768644358772964,,1768644357577539,1768644358772963,,1768644358776414,1229423,1216029,,,1195424,432678,20,1920,1080,yolov5s,WebpLossy,T1,FHD
79,159,RSU-0000,Local,1768644358024040,1768644358027983,1768644358039054,1768644359171257,,1768644358093261,1768644359171256,,1768644359178724,1154684,1143274,,,1077995,431786,20,1920,1080,yolov5s,WebpLossy,T1,FHD
87,175,RSU-0002,Local,1768644358569534,1768644358575730,1768644358576357,1768644359802607,,1768644358638839,1768644359802606,,1768644359804876,1235342,1226877,,,1163767,428930,20,1920,1080,yolov5s,WebpLossy,T1,FHD
89,179,RSU-0001,Local,1768644358706098,1768644358719307,1768644358722860,1768644359976475,,1768644358773532,1768644359976474,,1768644359975860,1269762,1257168,,,1202942,426624,19,1920,1080,yolov5s,WebpLossy,T1,FHD
95,191,RSU-0000,Local,1768644359114000,1768644359117343,1768644359128233,1768644360246026,,1768644359171876,1768644360246025,,1768644360250436,1136436,1128683,,,1074149,430762,19,1920,1080,yolov5s,WebpLossy,T1,FHD
104,209,RSU-0002,Local,1768644359729346,1768644359735770,1768644359748824,1768644360964149,,1768644359802840,1768644360964148,,1768644360978578,1249232,1228379,,,1161308,428450,19,1920,1080,yolov5s,WebpLossy,T1,FHD
107,215,RSU-0001,Local,1768644359934321,1768644359943249,1768644359947704,1768644361166784,,1768644359977014,1768644361166783,,1768644361167830,1233509,1223535,,,1189769,430130,20,1920,1080,yolov5s,WebpLossy,T1,FHD
