sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,3,RSU-0000,Local,1769317072021565,1769317072028021,1769317072046157,1769317073483308,,1769317072061516,1769317073483307,,1769317073484880,1463315,1455287,,,,1421791,583630,17,yolov5s,WebpLossy,T1,HD
1,3,RSU-0002,Local,1769317072021584,1769317072029073,1769317072034325,1769317073534852,,1769317072092824,1769317073534851,,1769317073534376,1512792,1505779,,,,1442027,583630,17,yolov5s,WebpLossy,T1,HD
0,1,RSU-0001,Local,1769317071952806,1769317071960011,1769317071961584,1769317073570555,,1769317072015570,1769317073570554,,1769317073577783,1624977,1610544,,,,1554984,509564,17,yolov5s,WebpLossy,T1,HD
22,45,RSU-0000,Local,1769317073449194,1769317073458074,1769317073471183,1769317074974640,,1769317073483449,1769317074974639,,1769317074976493,1527299,1516566,,,,1491190,382454,20,yolov5s,WebpLossy,T1,HD
23,47,RSU-0002,Local,1769317073517318,1769317073526341,1769317073530291,1769317075077139,,1769317073534997,1769317075077138,,1769317075080072,1562754,1550798,,,,1542141,383074,20,yolov5s,WebpLossy,T1,HD
23,47,RSU-0001,Local,1769317073517317,1769317073519977,1769317073530243,1769317075117053,,1769317073570703,1769317075117052,,1769317075121631,1604314,1597076,,,,1546349,383074,20,yolov5s,WebpLossy,T1,HD
43,87,RSU-0000,Local,1769317074880240,1769317074886798,1769317074898643,1769317076454870,,1769317074974818,1769317076454868,,1769317076475713,1595473,1568072,,,,1480050,388442,20,yolov5s,WebpLossy,T1,HD
45,91,RSU-0002,Local,1769317075016015,1769317075023670,1769317075024239,1769317076604926,,1769317075077279,1769317076604926,,1769317076604510,1588495,1581256,,,,1527647,388816,21,yolov5s,WebpLossy,T1,HD
46,93,RSU-0001,Local,1769317075084351,1769317075088174,1769317075100691,1769317076647011,,1769317075117213,1769317076647011,,1769317076654483,1570132,1558837,,,,1529798,388722,20,yolov5s,WebpLossy,T1,HD
65,131,RSU-0000,Local,1769317076376766,1769317076382954,1769317076394418,1769317077934297,,1769317076455091,1769317077934296,,1769317077938993,1562227,1551343,,,,1479205,388698,20,yolov5s,WebpLossy,T1,HD
68,137,RSU-0002,Local,1769317076581036,1769317076590513,1769317076596062,1769317078127006,,1769317076605071,1769317078127005,,1769317078128486,1547450,1536493,,,,1521934,389062,21,yolov5s,WebpLossy,T1,HD
68,137,RSU-0001,Local,1769317076581034,1769317076585104,1769317076595304,1769317078188713,,1769317076647158,1769317078188712,,1769317078195993,1614959,1603609,,,,1541554,389062,21,yolov5s,WebpLossy,T1,HD
87,175,RSU-0000,Local,1769317077872993,1769317077880108,1769317077890377,1769317079407306,,1769317077934439,1769317079407305,,1769317079412058,1539065,1527198,,,,1472866,385860,20,yolov5s,WebpLossy,T1,HD
90,181,RSU-0002,Local,1769317078076981,1769317078084722,1769317078085136,1769317079653959,,1769317078127162,1769317079653958,,1769317079653499,1576518,1569237,,,,1526796,386188,19,yolov5s,WebpLossy,T1,HD
91,183,RSU-0001,Local,1769317078144994,1769317078147369,1769317078161308,1769317079721159,,1769317078188860,1769317079721159,,1769317079730362,1585368,1573790,,,,1532299,384988,20,yolov5s,WebpLossy,T1,HD
109,219,RSU-0000,Local,1769317079369150,1769317079375240,1769317079388689,1769317080880758,,1769317079407448,1769317080880757,,1769317080919261,1550111,1505518,,,,1473309,387312,19,yolov5s,WebpLossy,T1,HD
113,227,RSU-0002,Local,1769317079640775,1769317079650248,1769317079653916,1769317081175313,,1769317079654266,1769317081175312,,1769317081174857,1534082,1525065,,,,1521046,387534,19,yolov5s,WebpLossy,T1,HD
113,227,RSU-0001,Local,1769317079640774,1769317079644539,1769317079656420,1769317081250580,,1769317079721300,1769317081250579,,1769317081257954,1617180,1606041,,,,1529279,387534,19,yolov5s,WebpLossy,T1,HD
130,261,RSU-0000,Local,1769317080797661,1769317080804696,1769317080816866,1769317082354668,,1769317080880891,1769317082354667,,1769317082359566,1561905,1549972,,,,1473776,390598,19,yolov5s,WebpLossy,T1,HD
135,271,RSU-0002,Local,1769317081137404,1769317081146405,1769317081147777,1769317082699633,,1769317081175461,1769317082699632,,1769317082702479,1565075,1553228,,,,1524171,388402,19,yolov5s,WebpLossy,T1,HD
136,273,RSU-0001,Local,1769317081204748,1769317081207505,1769317081220304,1769317082779807,,1769317081250732,1769317082779806,,1769317082786100,1581352,1572302,,,,1529074,387202,19,yolov5s,WebpLossy,T1,HD
152,305,RSU-0000,Local,1769317082291119,1769317082298531,1769317082311495,1769317083831284,,1769317082354821,1769317083831283,,1769317083835809,1544690,1532753,,,,1476462,381784,17,yolov5s,WebpLossy,T1,HD
157,315,RSU-0002,Local,1769317082630050,1769317082638711,1769317082641242,1769317084229031,,1769317082699779,1769317084229031,,1769317084228596,1598546,1590320,,,,1529252,383696,19,yolov5s,WebpLossy,T1,HD
158,317,RSU-0001,Local,1769317082697829,1769317082700626,1769317082712334,1769317084310972,,1769317082779979,1769317084310971,,1769317084318357,1620528,1610346,,,,1530992,384460,19,yolov5s,WebpLossy,T1,HD
174,349,RSU-0000,Local,1769317083784868,1769317083791068,1769317083807565,1769317085304589,,1769317083831428,1769317085304589,,1769317085306023,1521155,1513521,,,,1473161,384688,18,yolov5s,WebpLossy,T1,HD
180,361,RSU-0002,Local,1769317084193656,1769317084202696,1769317084204708,1769317085751101,,1769317084229187,1769317085751100,,1769317085753652,1559996,1548405,,,,1521913,381188,19,yolov5s,WebpLossy,T1,HD
181,363,RSU-0001,Local,1769317084260957,1769317084260207,1769317084270335,1769317085840079,,1769317084311117,1769317085840078,,1769317085856867,1595910,1579872,,,,1528961,382700,17,yolov5s,WebpLossy,T1,HD
196,393,RSU-0000,Local,1769317085279330,1769317085282992,1769317085296222,1769317086782017,,1769317085304743,1769317086782016,,1769317086818475,1539145,1499025,,,,1477273,379426,16,yolov5s,WebpLossy,T1,HD
202,405,RSU-0002,Local,1769317085687535,1769317085695196,1769317085697909,1769317087269555,,1769317085751240,1769317087269554,,1769317087269048,1581513,1574359,,,,1518314,383554,17,yolov5s,WebpLossy,T1,HD
203,407,RSU-0001,Local,1769317085754839,1769317085758685,1769317085770366,1769317087378492,,1769317085840197,1769317087378491,,1769317087385804,1630965,1619807,,,,1538294,381840,17,yolov5s,WebpLossy,T1,HD
217,435,RSU-0000,Local,1769317086706425,1769317086711822,1769317086750148,1769317088255798,,1769317086782135,1769317088255798,,1769317088257400,1550975,1543976,,,,1473663,379532,15,yolov5s,WebpLossy,T1,HD
225,451,RSU-0002,Local,1769317087250744,1769317087259602,1769317087261034,1769317088792952,,1769317087269704,1769317088792951,,1769317088795594,1544850,1533350,,,,1523247,382254,16,yolov5s,WebpLossy,T1,HD
226,453,RSU-0001,Local,1769317087318527,1769317087322792,1769317087332924,1769317088911118,,1769317087378657,1769317088911117,,1769317088915492,1596965,1588326,,,,1532460,380914,17,yolov5s,WebpLossy,T1,HD
239,479,RSU-0000,Local,1769317088203181,1769317088209392,1769317088222382,1769317089728368,,1769317088255926,1769317089728367,,1769317089733580,1530399,1518976,,,,1472441,381688,17,yolov5s,WebpLossy,T1,HD
247,495,RSU-0002,Local,1769317088746941,1769317088755739,1769317088762756,1769317090332341,,1769317088793099,1769317090332340,,1769317090331635,1584694,1576602,,,,1539241,382332,15,yolov5s,WebpLossy,T1,HD
249,499,RSU-0001,Local,1769317088883529,1769317088886809,1769317088901010,1769317090442340,,1769317088911266,1769317090442339,,1769317090450591,1567062,1555531,,,,1531073,382608,16,yolov5s,WebpLossy,T1,HD
260,521,RSU-0000,Local,1769317089629943,1769317089637411,1769317089649732,1769317091207657,,1769317089728507,1769317091207656,,1769317091231482,1601539,1570246,,,,1479149,384608,14,yolov5s,WebpLossy,T1,HD
270,541,RSU-0002,Local,1769317090310141,1769317090319107,1769317090320546,1769317091857680,,1769317090332492,1769317091857678,,1769317091860164,1550023,1538573,,,,1525186,382918,18,yolov5s,WebpLossy,T1,HD
271,543,RSU-0001,Local,1769317090378311,1769317090380278,1769317090390453,1769317091973308,,1769317090442496,1769317091973307,,1769317091977578,1599267,1593030,,,,1530811,382372,18,yolov5s,WebpLossy,T1,HD
282,565,RSU-0000,Local,1769317091126592,1769317091131898,1769317091145014,1769317092679188,,1769317091207820,1769317092679187,,1769317092683973,1557381,1547290,,,,1471367,382478,18,yolov5s,WebpLossy,T1,HD
292,585,RSU-0002,Local,1769317091806489,1769317091816061,1769317091822552,1769317093380995,,1769317091857818,1769317093380994,,1769317093380460,1573971,1564934,,,,1523176,385924,17,yolov5s,WebpLossy,T1,HD
294,589,RSU-0001,Local,1769317091942307,1769317091946533,1769317091970119,1769317093503324,,1769317091973475,1769317093503323,,1769317093510668,1568361,1556791,,,,1529848,385466,17,yolov5s,WebpLossy,T1,HD
304,609,RSU-0000,Local,1769317092622086,1769317092627483,1769317092641156,1769317094155497,,1769317092679329,1769317094155496,,1769317094170695,1548609,1528014,,,,1476167,392298,19,yolov5s,WebpLossy,T1,HD
315,631,RSU-0002,Local,1769317093369644,1769317093377125,1769317093378179,1769317094904116,,1769317093381136,1769317094904115,,1769317094903615,1533971,1526991,,,,1522979,391668,20,yolov5s,WebpLossy,T1,HD
