sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,3,RSU-0000,Local,1769317222663181,1769317222669242,1769317222676681,1769317223987152,,1769317222683114,1769317223987151,,1769317223988294,1325113,1317910,,,,1304037,198602,16,yolov5s,WebpLossy,T1,Letterbox
1,3,RSU-0002,Local,1769317222663198,1769317222671091,1769317222674783,1769317224063070,,1769317222735663,1769317224063069,,1769317224062559,1399361,1391979,,,,1327406,198602,16,yolov5s,WebpLossy,T1,Letterbox
0,1,RSU-0001,Local,1769317222595395,1769317222600003,1769317222600327,1769317224085742,,1769317222648360,1769317224085741,,1769317224093019,1497624,1485739,,,,1437381,187358,17,yolov5s,WebpLossy,T1,Letterbox
20,41,RSU-0000,Local,1769317223954448,1769317223962298,1769317223972205,1769317225276290,,1769317223987303,1769317225276289,,1769317225277344,1322896,1313992,,,,1288986,154852,19,yolov5s,WebpLossy,T1,Letterbox
21,43,RSU-0002,Local,1769317224022572,1769317224030847,1769317224034156,1769317225433728,,1769317224063227,1769317225433727,,1769317225436154,1413582,1402881,,,,1370500,165140,18,yolov5s,WebpLossy,T1,Letterbox
21,43,RSU-0001,Local,1769317224022571,1769317224028154,1769317224033184,1769317225518054,,1769317224085891,1769317225518054,,1769317225523115,1500544,1489900,,,,1432163,165140,18,yolov5s,WebpLossy,T1,Letterbox
39,79,RSU-0000,Local,1769317225245366,1769317225252131,1769317225259222,1769317226551281,,1769317225276429,1769317226551281,,1769317226553377,1308011,1299150,,,,1274852,167016,19,yolov5s,WebpLossy,T1,Letterbox
41,83,RSU-0002,Local,1769317225381513,1769317225386795,1769317225388368,1769317226785163,,1769317225433864,1769317226785162,,1769317226787568,1406055,1398368,,,,1351298,167444,20,yolov5s,WebpLossy,T1,Letterbox
42,85,RSU-0001,Local,1769317225449522,1769317225453774,1769317225459542,1769317226937017,,1769317225518215,1769317226937016,,1769317226943547,1494025,1483243,,,,1418801,167298,20,yolov5s,WebpLossy,T1,Letterbox
57,115,RSU-0000,Local,1769317226470501,1769317226477063,1769317226482313,1769317227825377,,1769317226551430,1769317227825376,,1769317227829457,1358956,1348314,,,,1273946,168308,20,yolov5s,WebpLossy,T1,Letterbox
61,123,RSU-0002,Local,1769317226741332,1769317226750544,1769317226754982,1769317228146765,,1769317226785320,1769317228146765,,1769317228148854,1407522,1396221,,,,1361445,168214,21,yolov5s,WebpLossy,T1,Letterbox
63,127,RSU-0001,Local,1769317226877667,1769317226880452,1769317226895582,1769317228360954,,1769317226937120,1769317228360953,,1769317228368438,1490771,1480502,,,,1423833,167776,21,yolov5s,WebpLossy,T1,Letterbox
76,153,RSU-0000,Local,1769317227761191,1769317227767469,1769317227772449,1769317229101925,,1769317227825521,1769317229101924,,1769317229106004,1344813,1334456,,,,1276403,167670,21,yolov5s,WebpLossy,T1,Letterbox
81,163,RSU-0002,Local,1769317228101398,1769317228110624,1769317228113354,1769317229508091,,1769317228146868,1769317229508090,,1769317229510517,1409119,1397467,,,,1361222,167342,18,yolov5s,WebpLossy,T1,Letterbox
84,169,RSU-0001,Local,1769317228304252,1769317228308963,1769317228313926,1769317229780838,,1769317228361106,1769317229780838,,1769317229788181,1483929,1471875,,,,1419732,166024,19,yolov5s,WebpLossy,T1,Letterbox
95,191,RSU-0000,Local,1769317229052120,1769317229058046,1769317229073472,1769317230377800,,1769317229102061,1769317230377799,,1769317230378808,1326688,1319754,,,,1275738,167224,19,yolov5s,WebpLossy,T1,Letterbox
101,203,RSU-0002,Local,1769317229459639,1769317229468539,1769317229472345,1769317230864796,,1769317229508241,1769317230864796,,1769317230867587,1407948,1396257,,,,1356555,167996,20,yolov5s,WebpLossy,T1,Letterbox
105,211,RSU-0001,Local,1769317229731370,1769317229734010,1769317229734257,1769317231204171,,1769317229780990,1769317231204170,,1769317231211622,1480252,1470161,,,,1423180,168094,20,yolov5s,WebpLossy,T1,Letterbox
114,229,RSU-0000,Local,1769317230342258,1769317230351223,1769317230369223,1769317231652076,,1769317230377946,1769317231652075,,1769317231653255,1310997,1300853,,,,1274129,167834,17,yolov5s,WebpLossy,T1,Letterbox
121,243,RSU-0002,Local,1769317230819546,1769317230828615,1769317230833320,1769317232220376,,1769317230864938,1769317232220375,,1769317232222894,1403348,1391761,,,,1355437,167598,19,yolov5s,WebpLossy,T1,Letterbox
126,253,RSU-0001,Local,1769317231159403,1769317231162260,1769317231170818,1769317232627182,,1769317231204307,1769317232627181,,1769317232634686,1475283,1464922,,,,1422874,167206,18,yolov5s,WebpLossy,T1,Letterbox
133,267,RSU-0000,Local,1769317231635331,1769317231644533,1769317231650940,1769317232927323,,1769317231652193,1769317232927322,,1769317232931455,1296124,1282790,,,,1275129,167286,19,yolov5s,WebpLossy,T1,Letterbox
141,283,RSU-0002,Local,1769317232179047,1769317232187237,1769317232189977,1769317233579672,,1769317232220527,1769317233579671,,1769317233582099,1403052,1392435,,,,1359144,166950,16,yolov5s,WebpLossy,T1,Letterbox
147,295,RSU-0001,Local,1769317232586351,1769317232591209,1769317232598386,1769317234050666,,1769317232627335,1769317234050666,,1769317234055128,1468777,1459457,,,,1423331,167014,17,yolov5s,WebpLossy,T1,Letterbox
151,303,RSU-0000,Local,1769317232857731,1769317232864200,1769317232869869,1769317234201639,,1769317232927464,1769317234201638,,1769317234205699,1347968,1337439,,,,1274174,166156,19,yolov5s,WebpLossy,T1,Letterbox
161,323,RSU-0002,Local,1769317233538008,1769317233546489,1769317233549165,1769317234940015,,1769317233579828,1769317234940014,,1769317234942965,1404957,1393526,,,,1360186,165396,17,yolov5s,WebpLossy,T1,Letterbox
168,337,RSU-0001,Local,1769317234014918,1769317234019640,1769317234026628,1769317235474598,,1769317234050812,1769317235474597,,1769317235479140,1464222,1454958,,,,1423785,165030,15,yolov5s,WebpLossy,T1,Letterbox
170,341,RSU-0000,Local,1769317234151242,1769317234159268,1769317234165785,1769317235475673,,1769317234201793,1769317235475672,,1769317235479272,1328030,1316405,,,,1273879,166276,16,yolov5s,WebpLossy,T1,Letterbox
181,363,RSU-0002,Local,1769317234897583,1769317234906210,1769317234909011,1769317236295430,,1769317234940161,1769317236295429,,1769317236297907,1400324,1389220,,,,1355268,165534,17,yolov5s,WebpLossy,T1,Letterbox
189,379,RSU-0000,Local,1769317235439915,1769317235446774,1769317235453714,1769317236751314,,1769317235475853,1769317236751313,,1769317236752392,1312477,1304540,,,,1275460,164940,17,yolov5s,WebpLossy,T1,Letterbox
189,379,RSU-0001,Local,1769317235439932,1769317235443316,1769317235457103,1769317236894807,,1769317235474741,1769317236894807,,1769317236899187,1459255,1451491,,,,1420066,164940,17,yolov5s,WebpLossy,T1,Letterbox
201,403,RSU-0002,Local,1769317236254525,1769317236263104,1769317236266506,1769317237656144,,1769317236295574,1769317237656143,,1769317237658496,1403971,1393040,,,,1360569,165404,16,yolov5s,WebpLossy,T1,Letterbox
208,417,RSU-0000,Local,1769317236729967,1769317236739141,1769317236746610,1769317238025560,,1769317236751454,1769317238025559,,1769317238029142,1299175,1286419,,,,1274105,164886,16,yolov5s,WebpLossy,T1,Letterbox
210,421,RSU-0001,Local,1769317236865847,1769317236870092,1769317236870754,1769317238314639,,1769317236894963,1769317238314638,,1769317238319027,1453180,1444547,,,,1419675,165976,18,yolov5s,WebpLossy,T1,Letterbox
