sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768636497115361,1768636497126167,1768636497126761,1768636498203315,,1768636497230281,1768636498203314,,1768636498210569,1095208,1077148,,,973033,187358,17,640,640,yolov5s,WebpLossy,T1,Letterbox
0,1,RSU-0002,Local,1768636497115361,1768636497120305,1768636497120584,1768636498219965,,1768636497208941,1768636498219964,,1768636498229453,1114092,1099660,,,1011023,187358,17,640,640,yolov5s,WebpLossy,T1,Letterbox
0,1,RSU-0001,Local,1768636497115361,1768636497124494,1768636497125107,1768636498257543,,1768636497257894,1768636498257542,,1768636498261742,1146381,1133049,,,999648,187358,17,640,640,yolov5s,WebpLossy,T1,Letterbox
5,31,RSU-0000,Local,1768636498125342,1768636498131916,1768636498132155,1768636499148425,,1768636498203487,1768636499148423,,1768636499149053,1023711,1016509,,,944936,165294,17,640,640,yolov5s,WebpLossy,T1,Letterbox
5,31,RSU-0002,Local,1768636498125342,1768636498131065,1768636498131444,1768636499240763,,1768636498220137,1768636499240762,,1768636499247325,1121983,1109698,,,1020625,165294,17,640,640,yolov5s,WebpLossy,T1,Letterbox
5,31,RSU-0001,Local,1768636498125342,1768636498131534,1768636498131874,1768636499248732,,1768636498257690,1768636499248731,,1768636499255120,1129778,1117198,,,991041,165294,17,640,640,yolov5s,WebpLossy,T1,Letterbox
10,61,RSU-0000,Local,1768636499132335,1768636499141251,1768636499142060,1768636500086987,,1768636499148574,1768636500086986,,1768636500087796,955461,945736,,,938412,166078,18,640,640,yolov5s,WebpLossy,T1,Letterbox
10,61,RSU-0001,Local,1768636499132335,1768636499139644,1768636499139974,1768636500221147,,1768636499248896,1768636500221146,,1768636500225738,1093403,1081503,,,972250,166078,18,640,640,yolov5s,WebpLossy,T1,Letterbox
10,61,RSU-0002,Local,1768636499132335,1768636499135808,1768636499136115,1768636500251114,,1768636499240998,1768636500251114,,1768636500257686,1125351,1115306,,,1010116,166078,18,640,640,yolov5s,WebpLossy,T1,Letterbox
14,85,RSU-0000,Local,1768636499939182,1768636499946902,1768636499947203,1768636501024135,,1768636500087375,1768636501024134,,1768636501024863,1085681,1077233,,,936759,167298,20,640,640,yolov5s,WebpLossy,T1,Letterbox
15,91,RSU-0001,Local,1768636500141155,1768636500148623,1768636500148903,1768636501197049,,1768636500221489,1768636501197048,,1768636501201103,1059948,1048426,,,975559,168150,19,640,640,yolov5s,WebpLossy,T1,Letterbox
15,91,RSU-0002,Local,1768636500141155,1768636500145468,1768636500145778,1768636501262490,,1768636500251239,1768636501262489,,1768636501268865,1127710,1117022,,,1011250,168150,19,640,640,yolov5s,WebpLossy,T1,Letterbox
19,115,RSU-0000,Local,1768636500946349,1768636500954033,1768636500954315,1768636501961723,,1768636501024503,1768636501961722,,1768636501963370,1017021,1007690,,,937219,168308,20,640,640,yolov5s,WebpLossy,T1,Letterbox
20,121,RSU-0001,Local,1768636501147774,1768636501156005,1768636501157033,1768636502167988,,1768636501197159,1768636502167988,,1768636502169198,1021424,1011983,,,970829,166836,20,640,640,yolov5s,WebpLossy,T1,Letterbox
20,121,RSU-0002,Local,1768636501147774,1768636501151874,1768636501152195,1768636502270925,,1768636501262648,1768636502270924,,1768636502277545,1129771,1119051,,,1008276,166836,20,640,640,yolov5s,WebpLossy,T1,Letterbox
23,139,RSU-0000,Local,1768636501752027,1768636501764436,1768636501764778,1768636502900128,,1768636501962045,1768636502900128,,1768636502903449,1151422,1135692,,,938083,168052,18,640,640,yolov5s,WebpLossy,T1,Letterbox
