sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,3,RSU-0002,Local,1769317822797762,1769317822802011,1769317822809959,1769317824375123,,1769317822848959,1769317824375122,,1769317824377341,1579579,1573112,,,,1526163,1224754,17,yolov5s,WebpLossy,T3,FHD
1,3,RSU-0000,Local,1769317822797752,1769317822808608,1769317822845793,1769317824407646,,1769317822891551,1769317824407645,,1769317824407725,1609973,1599038,,,,1516094,1224754,17,yolov5s,WebpLossy,T3,FHD
0,1,RSU-0001,Local,1769317822730166,1769317822732616,1769317822733602,1769317824434078,,1769317822786585,1769317824434077,,1769317824459578,1729412,1701462,,,,1647492,953250,17,yolov5s,WebpLossy,T3,FHD
24,49,RSU-0002,Local,1769317824359136,1769317824366014,1769317824372218,1769317825946521,,1769317824375224,1769317825946521,,1769317825948844,1589708,1580507,,,,1571297,519034,19,yolov5s,WebpLossy,T3,FHD
23,47,RSU-0000,Local,1769317824291613,1769317824303619,1769317824340756,1769317826002754,,1769317824408205,1769317826002753,,1769317825999037,1707424,1699135,,,,1594548,521930,20,yolov5s,WebpLossy,T3,FHD
7,15,RSU-0001,Local,1769317823205721,1769317824404154,1769317824418809,1769317826051071,,1769317824434233,1769317826051070,,1769317826063295,2857574,1646917,,,,1616837,521386,17,yolov5s,WebpLossy,T3,FHD
47,95,RSU-0002,Local,1769317825924649,1769317825930315,1769317825937848,1769317827501267,,1769317825946657,1769317827501266,,1769317827503659,1579010,1570952,,,,1554609,531032,20,yolov5s,WebpLossy,T3,FHD
47,95,RSU-0000,Local,1769317825924631,1769317825936481,1769317825955090,1769317827589874,,1769317826002878,1769317827589874,,1769317827587715,1663084,1653393,,,,1586996,531032,20,yolov5s,WebpLossy,T3,FHD
48,97,RSU-0001,Local,1769317825992355,1769317825991547,1769317826008049,1769317827645680,,1769317826051224,1769317827645679,,1769317827654626,1662271,1654133,,,,1594455,529322,21,yolov5s,WebpLossy,T3,FHD
70,141,RSU-0002,Local,1769317827486904,1769317827493211,1769317827498822,1769317829070610,,1769317827501404,1769317829070610,,1769317829073248,1586344,1577399,,,,1569206,540574,21,yolov5s,WebpLossy,T3,FHD
70,141,RSU-0000,Local,1769317827486885,1769317827499682,1769317827515251,1769317829167765,,1769317827589995,1769317829167764,,1769317829166838,1679953,1668083,,,,1577769,540574,21,yolov5s,WebpLossy,T3,FHD
72,145,RSU-0001,Local,1769317827622993,1769317827621631,1769317827638854,1769317829249298,,1769317827645842,1769317829249297,,1769317829260406,1637413,1627667,,,,1603455,537924,20,yolov5s,WebpLossy,T3,FHD
93,187,RSU-0002,Local,1769317829050516,1769317829055884,1769317829064012,1769317830644032,,1769317829070749,1769317830644031,,1769317830646744,1596228,1588148,,,,1573282,531492,20,yolov5s,WebpLossy,T3,FHD
94,189,RSU-0000,Local,1769317829117999,1769317829130183,1769317829152377,1769317830749940,,1769317829167899,1769317830749939,,1769317830748858,1630859,1619757,,,,1582040,536954,19,yolov5s,WebpLossy,T3,FHD
95,191,RSU-0001,Local,1769317829186340,1769317829184464,1769317829198390,1769317830843544,,1769317829249440,1769317830843543,,1769317830907201,1720861,1659080,,,,1594103,534710,19,yolov5s,WebpLossy,T3,FHD
116,233,RSU-0002,Local,1769317830613024,1769317830619411,1769317830624732,1769317832204073,,1769317830644173,1769317832204072,,1769317832206192,1593168,1584662,,,,1559899,535484,19,yolov5s,WebpLossy,T3,FHD
117,235,RSU-0000,Local,1769317830681146,1769317830691850,1769317830746213,1769317832331167,,1769317830750058,1769317832331166,,1769317832333382,1652236,1639317,,,,1581108,534644,20,yolov5s,WebpLossy,T3,FHD
118,237,RSU-0001,Local,1769317830748866,1769317830749529,1769317830764841,1769317832437369,,1769317830843700,1769317832437368,,1769317832449414,1700548,1687840,,,,1593668,535920,19,yolov5s,WebpLossy,T3,FHD
139,279,RSU-0002,Local,1769317832175479,1769317832180609,1769317832185448,1769317833751370,,1769317832204214,1769317833751369,,1769317833753770,1578291,1570761,,,,1547155,536928,19,yolov5s,WebpLossy,T3,FHD
140,281,RSU-0000,Local,1769317832242742,1769317832256619,1769317832270455,1769317833914425,,1769317832331287,1769317833914424,,1769317833910384,1667642,1657806,,,,1583137,534324,18,yolov5s,WebpLossy,T3,FHD
142,285,RSU-0001,Local,1769317832379405,1769317832378542,1769317832394440,1769317834034240,,1769317832437512,1769317834034239,,1769317834043188,1663783,1655698,,,,1596727,537072,17,yolov5s,WebpLossy,T3,FHD
162,325,RSU-0002,Local,1769317833737515,1769317833743863,1769317833749339,1769317835300218,,1769317833751514,1769317835300217,,1769317835305650,1568135,1556355,,,,1548703,528368,18,yolov5s,WebpLossy,T3,FHD
164,329,RSU-0000,Local,1769317833872806,1769317833887389,1769317833908899,1769317835494225,,1769317833914568,1769317835494224,,1769317835493064,1620258,1606836,,,,1579656,525144,18,yolov5s,WebpLossy,T3,FHD
166,333,RSU-0001,Local,1769317834009189,1769317834009616,1769317834026545,1769317835626749,,1769317834034384,1769317835626748,,1769317835638728,1629539,1617133,,,,1592364,530190,19,yolov5s,WebpLossy,T3,FHD
184,369,RSU-0002,Local,1769317835234864,1769317835241912,1769317835245066,1769317836865695,,1769317835300373,1769317836865694,,1769317836871354,1636490,1623783,,,,1565321,523242,17,yolov5s,WebpLossy,T3,FHD
187,375,RSU-0000,Local,1769317835438749,1769317835450961,1769317835476395,1769317837073238,,1769317835494361,1769317837073237,,1769317837072152,1633403,1622277,,,,1578876,527374,18,yolov5s,WebpLossy,T3,FHD
189,379,RSU-0001,Local,1769317835575467,1769317835573235,1769317835588350,1769317837222878,,1769317835626918,1769317837222877,,1769317837231451,1655984,1649643,,,,1595959,524936,18,yolov5s,WebpLossy,T3,FHD
