sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768636940495111,1768636940507331,1768636940508832,1768636941666876,,1768636940611749,1768636941666875,,1768636941670810,1175699,1159545,,,1055126,599474,17,1280,720,yolov5s,WebpLossy,T3,HD
0,1,RSU-0001,Local,1768636940495111,1768636940501808,1768636940502889,1768636941704532,,1768636940619707,1768636941704531,,1768636941709679,1214568,1202724,,,1084824,599474,17,1280,720,yolov5s,WebpLossy,T3,HD
0,1,RSU-0002,Local,1768636940495111,1768636940499154,1768636940500125,1768636941732086,,1768636940616477,1768636941732085,,1768636941743207,1248096,1232932,,,1115608,599474,17,1280,720,yolov5s,WebpLossy,T3,HD
5,31,RSU-0000,Local,1768636941501348,1768636941509662,1768636941510348,1768636942754311,,1768636941667274,1768636942754311,,1768636942755562,1254214,1244649,,,1087037,440038,20,1280,720,yolov5s,WebpLossy,T3,HD
5,31,RSU-0001,Local,1768636941501348,1768636941507345,1768636941508125,1768636942762842,,1768636941704870,1768636942762841,,1768636942767556,1266208,1255497,,,1057971,440038,20,1280,720,yolov5s,WebpLossy,T3,HD
6,37,RSU-0002,Local,1768636941703261,1768636941707418,1768636941708793,1768636942837121,,1768636941732472,1768636942837120,,1768636942845489,1142228,1129703,,,1104648,440636,19,1280,720,yolov5s,WebpLossy,T3,HD
11,67,RSU-0001,Local,1768636942711748,1768636942719482,1768636942721477,1768636943807563,,1768636942763230,1768636943807562,,1768636943812265,1100517,1088081,,,1044332,446494,19,1280,720,yolov5s,WebpLossy,T3,HD
11,67,RSU-0000,Local,1768636942711748,1768636942718519,1768636942723918,1768636943826164,,1768636942754461,1768636943826163,,1768636943830335,1118587,1107645,,,1071702,446494,19,1280,720,yolov5s,WebpLossy,T3,HD
11,67,RSU-0002,Local,1768636942711748,1768636942715831,1768636942716392,1768636943934864,,1768636942837506,1768636943934863,,1768636943940358,1228610,1219033,,,1097357,446494,19,1280,720,yolov5s,WebpLossy,T3,HD
16,97,RSU-0001,Local,1768636943718169,1768636943724710,1768636943725303,1768636944859989,,1768636943807940,1768636944859987,,1768636944864099,1145930,1135279,,,1052047,447404,21,1280,720,yolov5s,WebpLossy,T3,HD
16,97,RSU-0000,Local,1768636943718169,1768636943726213,1768636943727264,1768636944902841,,1768636943826308,1768636944902840,,1768636944907083,1188914,1176628,,,1076532,447404,21,1280,720,yolov5s,WebpLossy,T3,HD
17,103,RSU-0002,Local,1768636943920078,1768636943920051,1768636943921371,1768636945030604,,1768636943935292,1768636945030603,,1768636945038767,1118689,1110553,,,1095311,450554,18,1280,720,yolov5s,WebpLossy,T3,HD
21,127,RSU-0001,Local,1768636944726698,1768636944734802,1768636944735442,1768636945907664,,1768636944860379,1768636945907663,,1768636945912248,1185550,1172862,,,1047284,451008,21,1280,720,yolov5s,WebpLossy,T3,HD
21,127,RSU-0000,Local,1768636944726698,1768636944734379,1768636944734845,1768636945986762,,1768636944903000,1768636945986761,,1768636945990838,1264140,1252383,,,1083761,451008,21,1280,720,yolov5s,WebpLossy,T3,HD
22,133,RSU-0002,Local,1768636944927795,1768636944929984,1768636944930670,1768636946123465,,1768636945030977,1768636946123464,,1768636946131708,1203913,1193481,,,1092487,450488,20,1280,720,yolov5s,WebpLossy,T3,HD
26,157,RSU-0001,Local,1768636945731443,1768636945738610,1768636945739097,1768636946953944,,1768636945908035,1768636946953943,,1768636946955657,1224214,1215334,,,1045908,450592,22,1280,720,yolov5s,WebpLossy,T3,HD
27,163,RSU-0000,Local,1768636945932674,1768636945938713,1768636945939270,1768636947065965,,1768636945986922,1768636947065964,,1768636947069958,1137284,1127252,,,1079042,447506,20,1280,720,yolov5s,WebpLossy,T3,HD
27,163,RSU-0002,Local,1768636945932674,1768636945935643,1768636945936178,1768636947218044,,1768636946123805,1768636947218043,,1768636947226450,1293776,1282401,,,1094238,447506,20,1280,720,yolov5s,WebpLossy,T3,HD
