sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768748721008522,1768748721016320,1768748721017035,1768748722104977,,1768748721126059,1768748722104976,,1768748722114055,1105533,1088657,,,978917,227146,17,640,640,yolov5s,WebpLossy,T3,Letterbox
0,1,RSU-0002,Local,1768748721008522,1768748721018759,1768748721019166,1768748722134295,,1768748721150154,1768748722134294,,1768748722138713,1130191,1115536,,,984140,227146,17,640,640,yolov5s,WebpLossy,T3,Letterbox
0,1,RSU-0001,Local,1768748721008522,1768748721021595,1768748721021872,1768748722156843,,1768748721132685,1768748722156842,,1768748722158912,1150390,1135248,,,1024157,227146,17,640,640,yolov5s,WebpLossy,T3,Letterbox
5,31,RSU-0002,Local,1768748722015492,1768748722027969,1768748722028369,1768748723092307,,1768748722134409,1768748723092306,,1768748723097634,1082142,1064338,,,957897,202272,17,640,640,yolov5s,WebpLossy,T3,Letterbox
5,31,RSU-0000,Local,1768748722015492,1768748722023379,1768748722023641,1768748723136355,,1768748722105169,1768748723136354,,1768748723138824,1123332,1112976,,,1031185,202272,17,640,640,yolov5s,WebpLossy,T3,Letterbox
5,31,RSU-0001,Local,1768748722015492,1768748722024052,1768748722024422,1768748723164192,,1768748722157431,1768748723164192,,1768748723166314,1150822,1140140,,,1006761,202272,17,640,640,yolov5s,WebpLossy,T3,Letterbox
10,61,RSU-0002,Local,1768748723021474,1768748723027986,1768748723028942,1768748724038002,,1768748723092446,1768748724038001,,1768748724039898,1018424,1010016,,,945555,203548,18,640,640,yolov5s,WebpLossy,T3,Letterbox
10,61,RSU-0000,Local,1768748723021474,1768748723029293,1768748723029646,1768748724162503,,1768748723136748,1768748724162503,,1768748724165949,1144475,1133210,,,1025755,203548,18,640,640,yolov5s,WebpLossy,T3,Letterbox
10,61,RSU-0001,Local,1768748723021474,1768748723030241,1768748723030615,1768748724164417,,1768748723164747,1768748724164416,,1768748724168950,1147476,1134176,,,999669,203548,18,640,640,yolov5s,WebpLossy,T3,Letterbox
15,91,RSU-0002,Local,1768748724028631,1768748724036038,1768748724036654,1768748724983646,,1768748724038197,1768748724983645,,1768748724988863,960232,947608,,,945448,205088,19,640,640,yolov5s,WebpLossy,T3,Letterbox
15,91,RSU-0001,Local,1768748724028631,1768748724037175,1768748724037535,1768748725158431,,1768748724164805,1768748725158431,,1768748725160446,1131815,1121256,,,993626,205088,19,640,640,yolov5s,WebpLossy,T3,Letterbox
15,91,RSU-0000,Local,1768748724028631,1768748724037018,1768748724037440,1768748725190523,,1768748724162891,1768748725190522,,1768748725193952,1165321,1153505,,,1027631,205088,19,640,640,yolov5s,WebpLossy,T3,Letterbox
19,115,RSU-0002,Local,1768748724832543,1768748724840840,1768748724841104,1768748725929259,,1768748724983791,1768748725929258,,1768748725940889,1108346,1088419,,,945467,205518,20,640,640,yolov5s,WebpLossy,T3,Letterbox
20,121,RSU-0001,Local,1768748725033647,1768748725042132,1768748725042419,1768748726152518,,1768748725158811,1768748726152517,,1768748726154534,1120887,1110386,,,993706,204350,20,640,640,yolov5s,WebpLossy,T3,Letterbox
20,121,RSU-0000,Local,1768748725033647,1768748725039632,1768748725040085,1768748726216801,,1768748725190896,1768748726216800,,1768748726220307,1186660,1177169,,,1025904,204350,20,640,640,yolov5s,WebpLossy,T3,Letterbox
24,145,RSU-0002,Local,1768748725839108,1768748725852000,1768748725853121,1768748726871930,,1768748725929474,1768748726871929,,1768748726873984,1034876,1019930,,,942455,204532,20,640,640,yolov5s,WebpLossy,T3,Letterbox
25,151,RSU-0001,Local,1768748726040385,1768748726062185,1768748726062504,1768748727149960,,1768748726152885,1768748727149959,,1768748727151878,1111493,1087775,,,997074,205726,20,640,640,yolov5s,WebpLossy,T3,Letterbox
25,151,RSU-0000,Local,1768748726040385,1768748726047208,1768748726047529,1768748727247085,,1768748726217179,1768748727247084,,1768748727250983,1210598,1199877,,,1029905,205726,20,640,640,yolov5s,WebpLossy,T3,Letterbox
29,175,RSU-0002,Local,1768748726844254,1768748726852245,1768748726852606,1768748727814169,,1768748726872078,1768748727814168,,1768748727819685,975431,961924,,,942090,204740,18,640,640,yolov5s,WebpLossy,T3,Letterbox
30,181,RSU-0001,Local,1768748727045667,1768748727054118,1768748727054461,1768748728147231,,1768748727150322,1768748728147230,,1768748728149353,1103686,1093113,,,996908,204990,21,640,640,yolov5s,WebpLossy,T3,Letterbox
30,181,RSU-0000,Local,1768748727045667,1768748727053696,1768748727054140,1768748728274047,,1768748727247449,1768748728274046,,1768748728274782,1229115,1220351,,,1026597,204990,21,640,640,yolov5s,WebpLossy,T3,Letterbox
33,199,RSU-0002,Local,1768748727648725,1768748727656698,1768748727657109,1768748728759931,,1768748727814318,1768748728759930,,1768748728765626,1116901,1103233,,,945612,205104,20,640,640,yolov5s,WebpLossy,T3,Letterbox
35,211,RSU-0001,Local,1768748728051977,1768748728060223,1768748728060791,1768748729146540,,1768748728147785,1768748729146539,,1768748729148202,1096225,1086317,,,998754,205086,20,640,640,yolov5s,WebpLossy,T3,Letterbox
36,217,RSU-0000,Local,1768748728254300,1768748728262583,1768748728263459,1768748729297386,,1768748728274357,1768748729297386,,1768748729297862,1043562,1034803,,,1023029,204090,20,640,640,yolov5s,WebpLossy,T3,Letterbox
38,229,RSU-0002,Local,1768748728656708,1768748728664562,1768748728664998,1768748729712051,,1768748728760075,1768748729712050,,1768748729717491,1060783,1047489,,,951975,204998,17,640,640,yolov5s,WebpLossy,T3,Letterbox
40,241,RSU-0001,Local,1768748729058374,1768748729066266,1768748729066623,1768748730144693,,1768748729147096,1768748730144692,,1768748730146762,1088388,1078427,,,997596,204418,19,640,640,yolov5s,WebpLossy,T3,Letterbox
41,247,RSU-0000,Local,1768748729260059,1768748729268400,1768748729268834,1768748730325511,,1768748729297765,1768748730325511,,1768748730329354,1069295,1057111,,,1027746,204980,19,640,640,yolov5s,WebpLossy,T3,Letterbox
43,259,RSU-0002,Local,1768748729663163,1768748729671048,1768748729671795,1768748730655499,,1768748729712196,1768748730655498,,1768748730660577,997414,984451,,,943302,205406,19,640,640,yolov5s,WebpLossy,T3,Letterbox
45,271,RSU-0001,Local,1768748730066804,1768748730075266,1768748730075613,1768748731141794,,1768748730145253,1768748731141794,,1768748731143929,1077125,1066528,,,996541,205534,18,640,640,yolov5s,WebpLossy,T3,Letterbox
46,277,RSU-0000,Local,1768748730267390,1768748730274312,1768748730274590,1768748731352626,,1768748730325898,1768748731352625,,1768748731355947,1088557,1078314,,,1026727,205160,17,640,640,yolov5s,WebpLossy,T3,Letterbox
47,283,RSU-0002,Local,1768748730469267,1768748730477053,1768748730477480,1768748731599658,,1768748730655715,1768748731599657,,1768748731605047,1135780,1122605,,,943942,204922,16,640,640,yolov5s,WebpLossy,T3,Letterbox
50,301,RSU-0001,Local,1768748731073626,1768748731082339,1768748731082647,1768748732139283,,1768748731142345,1768748732139282,,1768748732141405,1067779,1056944,,,996937,204088,17,640,640,yolov5s,WebpLossy,T3,Letterbox
51,307,RSU-0000,Local,1768748731274749,1768748731281383,1768748731281687,1768748732382098,,1768748731353002,1768748732382097,,1768748732385532,1110783,1100715,,,1029095,203426,16,640,640,yolov5s,WebpLossy,T3,Letterbox
52,313,RSU-0002,Local,1768748731475787,1768748731483147,1768748731483483,1768748732538359,,1768748731599808,1768748732538358,,1768748732543016,1067229,1055212,,,938550,202998,17,640,640,yolov5s,WebpLossy,T3,Letterbox
55,331,RSU-0001,Local,1768748732078390,1768748732086130,1768748732086413,1768748733136247,,1768748732139825,1768748733136246,,1768748733138384,1059994,1050117,,,996421,203170,17,640,640,yolov5s,WebpLossy,T3,Letterbox
56,337,RSU-0000,Local,1768748732280385,1768748732287390,1768748732287795,1768748733414037,,1768748732382471,1768748733414036,,1768748733421859,1141474,1126647,,,1031565,202764,15,640,640,yolov5s,WebpLossy,T3,Letterbox
57,343,RSU-0002,Local,1768748732482177,1768748732486247,1768748732486528,1768748733475874,,1768748732538460,1768748733475873,,1768748733486856,1004679,989627,,,937413,203592,15,640,640,yolov5s,WebpLossy,T3,Letterbox
60,361,RSU-0001,Local,1768748733088062,1768748733097325,1768748733097823,1768748734134172,,1768748733136807,1768748734134171,,1768748734136447,1048385,1036847,,,997364,202840,17,640,640,yolov5s,WebpLossy,T3,Letterbox
61,367,RSU-0002,Local,1768748733290188,1768748733295732,1768748733296215,1768748734419114,,1768748733476024,1768748734419113,,1768748734424382,1134194,1123382,,,943089,203040,17,640,640,yolov5s,WebpLossy,T3,Letterbox
61,367,RSU-0000,Local,1768748733290188,1768748733297866,1768748733298226,1768748734438623,,1768748733414414,1768748734438623,,1768748734441893,1151705,1140757,,,1024209,203040,17,640,640,yolov5s,WebpLossy,T3,Letterbox
65,391,RSU-0001,Local,1768748734096349,1768748734114161,1768748734115076,1768748735131552,,1768748734134537,1768748735131551,,1768748735130721,1034372,1017391,,,997014,203576,17,640,640,yolov5s,WebpLossy,T3,Letterbox
66,397,RSU-0002,Local,1768748734298284,1768748734308072,1768748734308454,1768748735363387,,1768748734419263,1768748735363386,,1768748735368668,1070384,1055315,,,944123,202950,17,640,640,yolov5s,WebpLossy,T3,Letterbox
66,397,RSU-0000,Local,1768748734298284,1768748734304836,1768748734305111,1768748735461362,,1768748734439058,1768748735461361,,1768748735464883,1166599,1156526,,,1022303,202950,17,640,640,yolov5s,WebpLossy,T3,Letterbox
70,421,RSU-0001,Local,1768748735102652,1768748735111867,1768748735112790,1768748736132969,,1768748735132102,1768748736132968,,1768748736131964,1029312,1021102,,,1000866,203668,18,640,640,yolov5s,WebpLossy,T3,Letterbox
71,427,RSU-0002,Local,1768748735303502,1768748735315921,1768748735316166,1768748736301493,,1768748735363530,1768748736301492,,1768748736306781,1003279,985572,,,937962,202504,17,640,640,yolov5s,WebpLossy,T3,Letterbox
71,427,RSU-0000,Local,1768748735303502,1768748735311277,1768748735311666,1768748736482100,,1768748735461751,1768748736482099,,1768748736482556,1179054,1170823,,,1020348,202504,17,640,640,yolov5s,WebpLossy,T3,Letterbox
75,451,RSU-0001,Local,1768748736107611,1768748736116849,1768748736117165,1768748737128782,,1768748736133521,1768748737128782,,1768748737127522,1019911,1011933,,,995261,203396,17,640,640,yolov5s,WebpLossy,T3,Letterbox
75,451,RSU-0002,Local,1768748736107611,1768748736120357,1768748736120700,1768748737241354,,1768748736301636,1768748737241353,,1768748737249598,1141987,1120997,,,939717,203396,17,640,640,yolov5s,WebpLossy,T3,Letterbox
76,457,RSU-0000,Local,1768748736308974,1768748736316777,1768748736317085,1768748737504908,,1768748736482668,1768748737504907,,1768748737505400,1196426,1188131,,,1022239,202424,17,640,640,yolov5s,WebpLossy,T3,Letterbox
80,481,RSU-0001,Local,1768748737113110,1768748737122420,1768748737122631,1768748738122530,,1768748737129325,1768748738122530,,1768748738124299,1011189,1000110,,,993205,202330,16,640,640,yolov5s,WebpLossy,T3,Letterbox
