sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769336696670954,1769336696673795,1769336696674054,1769336696674055,1769336696793712,1769336696793712,1769336697533640,1769336697533641,1769336697531556,860602,260,120387,739929,26,739928,137185,17,yolov5m,JpgLossy,T1,FHD
0,1,RSU-0000,Offload,1769336696670953,1769336696676795,1769336696677053,1769336696677053,1769336697533966,1769336697533966,1769336698313035,1769336698313035,1769336698310368,1639415,258,860047,779069,41,779069,137185,17,yolov5m,JpgLossy,T1,FHD
23,47,RSU-0000,Offload,1769336698238333,1769336698245820,1769336698246017,1769336698246018,1769336698313078,1769336698313078,1769336699078172,1769336699078172,1769336699075573,837240,198,24600,765094,47348,765094,66051,23,yolov5m,JpgLossy,T1,FHD
23,47,RSU-0001,Offload,1769336698238340,1769336698240046,1769336698240247,1769336698240247,1769336699078209,1769336699078210,1769336699844770,1769336699844770,1769336699842139,1603799,201,25849,766561,811188,766560,66051,23,yolov5m,JpgLossy,T1,FHD
23,47,RSU-0002,Offload,1769336698238341,1769336698241460,1769336698241683,1769336698241683,1769336699844800,1769336699844800,1769336700651443,1769336700651443,1769336700648723,2410382,223,22111,806643,1581405,806643,66051,23,yolov5m,JpgLossy,T1,FHD
58,117,RSU-0000,Offload,1769336700614840,1769336700621758,1769336700621962,1769336700621962,1769336700651491,1769336700651492,1769336701445601,1769336701445601,1769336701444188,829348,204,23932,794110,11102,794109,67457,23,yolov5m,JpgLossy,T1,FHD
58,117,RSU-0001,Offload,1769336700614853,1769336700617852,1769336700618053,1769336700618053,1769336701445634,1769336701445634,1769336702245335,1769336702245335,1769336702243059,1628206,201,22869,799701,805435,799701,67457,23,yolov5m,JpgLossy,T1,FHD
58,117,RSU-0002,Offload,1769336700614854,1769336700617899,1769336700618111,1769336700618111,1769336702245374,1769336702245374,1769336703045868,1769336703045869,1769336703043319,2428465,212,17102,800495,1610656,800494,67457,23,yolov5m,JpgLossy,T1,FHD
93,187,RSU-0000,Offload,1769336702993234,1769336703000743,1769336703000945,1769336703000945,1769336703045908,1769336703045908,1769336703844547,1769336703844547,1769336703841826,848592,202,22698,798639,27053,798639,66682,22,yolov5m,JpgLossy,T1,FHD
93,187,RSU-0001,Offload,1769336702993246,1769336702995132,1769336702995326,1769336702995326,1769336703844586,1769336703844586,1769336704721731,1769336704721732,1769336704718828,1725582,194,22352,877146,825890,877145,66682,22,yolov5m,JpgLossy,T1,FHD
