sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769322683316286,1769322683317080,1769322683317287,1769322683317287,1769322683339175,1769322683339175,1769322684062993,1769322684062993,1769322684067272,750986,207,26955,723818,6,723818,84671,19,yolov5m,JpgLossy,T1,HD
0,1,RSU-0001,Offload,1769322683316285,1769322683326638,1769322683326833,1769322683326833,1769322684063204,1769322684063204,1769322684812092,1769322684812093,1769322684816659,1500374,195,751283,748889,7,748888,84671,19,yolov5m,JpgLossy,T1,HD
1,31,RSU-0000,Offload,1769322684317047,1769322684312153,1769322684312330,1769322684312330,1769322684812131,1769322684812131,1769322685560060,1769322685560060,1769322685564493,1247446,177,139996,747929,359344,747929,76181,19,yolov5m,JpgLossy,T1,HD
1,31,RSU-0001,Offload,1769322684317062,1769322684327423,1769322684327614,1769322684327614,1769322685560097,1769322685560097,1769322686306890,1769322686306890,1769322686311350,1994288,191,144555,746793,1102749,746793,76181,19,yolov5m,JpgLossy,T1,HD
1,31,RSU-0002,Offload,1769322684317063,1769322684320810,1769322684321012,1769322684321012,1769322686306925,1769322686306925,1769322687055854,1769322687055854,1769322687060507,2743444,202,132736,748929,1861577,748929,76181,19,yolov5m,JpgLossy,T1,HD
3,91,RSU-0000,Offload,1769322686318488,1769322686311956,1769322686312171,1769322686312171,1769322687055894,1769322687055894,1769322687805049,1769322687805049,1769322687809417,1490929,215,37197,749155,704362,749155,77644,22,yolov5m,JpgLossy,T1,HD
3,91,RSU-0001,Offload,1769322686318504,1769322686327937,1769322686328139,1769322686328139,1769322687805086,1769322687805087,1769322688552198,1769322688552198,1769322688556583,2238079,202,33665,747112,1457100,747111,77644,22,yolov5m,JpgLossy,T1,HD
3,91,RSU-0002,Offload,1769322686318505,1769322686324128,1769322686324336,1769322686324336,1769322688552234,1769322688552234,1769322689299358,1769322689299359,1769322689303842,2985337,208,33549,747125,2204455,747124,77644,22,yolov5m,JpgLossy,T1,HD
5,151,RSU-0000,Offload,1769322688321518,1769322688316662,1769322688316872,1769322688316872,1769322689299406,1769322689299406,1769322690049999,1769322690049999,1769322690054604,1733086,210,37197,750593,945086,750593,78196,25,yolov5m,JpgLossy,T1,HD
5,151,RSU-0001,Offload,1769322688321538,1769322688331125,1769322688331324,1769322688331324,1769322690050036,1769322690050036,1769322690803161,1769322690803161,1769322690807460,2485922,199,32599,753125,1699999,753125,78196,25,yolov5m,JpgLossy,T1,HD
5,151,RSU-0002,Offload,1769322688321539,1769322688326119,1769322688326323,1769322688326323,1769322690803197,1769322690803197,1769322691554380,1769322691554380,1769322691558855,3237316,204,37300,751183,2448629,751183,78196,25,yolov5m,JpgLossy,T1,HD
8,241,RSU-0000,Offload,1769322691327572,1769322691322462,1769322691322672,1769322691322672,1769322691554423,1769322691554423,1769322692301511,1769322692301511,1769322692305914,978342,210,31875,747088,199169,747088,77337,23,yolov5m,JpgLossy,T1,HD
8,241,RSU-0001,Offload,1769322691327585,1769322691336506,1769322691336680,1769322691336680,1769322692301550,1769322692301551,1769322693051919,1769322693051920,1769322693056331,1728746,174,34559,750370,943643,750368,77337,23,yolov5m,JpgLossy,T1,HD
8,241,RSU-0002,Offload,1769322691327586,1769322691332196,1769322691332404,1769322691332404,1769322693051953,1769322693051953,1769322693802672,1769322693802672,1769322693807526,2479940,208,34759,750719,1694254,750719,77337,23,yolov5m,JpgLossy,T1,HD
10,301,RSU-0000,Offload,1769322693330273,1769322693323343,1769322693323551,1769322693323551,1769322693802712,1769322693802712,1769322694552767,1769322694552767,1769322694557106,1226833,208,27831,750055,448739,750055,76910,20,yolov5m,JpgLossy,T1,HD
10,301,RSU-0001,Offload,1769322693330364,1769322693344216,1769322693344387,1769322693344387,1769322694552803,1769322694552803,1769322695302382,1769322695302382,1769322695306707,1976343,171,35795,749579,1190798,749579,76910,20,yolov5m,JpgLossy,T1,HD
