sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768646188498295,1768646188497523,1768646188497658,1768646188497659,1768646188593551,1768646188593551,1768646189081809,1768646189081810,1768646189085152,586857,136,95892,488259,488258,28714,17,640,640,yolov5m,JpgLossy,T1,Letterbox
0,1,RSU-0002,Offload,1768646188498295,1768646188487764,1768646188487911,1768646188487911,1768646189082008,1768646189082008,1768646189591577,1768646189591577,1768646189596092,1097797,147,594097,509569,509569,28714,17,640,640,yolov5m,JpgLossy,T1,Letterbox
0,1,RSU-0001,Offload,1768646188498295,1768646188503633,1768646188503772,1768646188503773,1768646189591733,1768646189591733,1768646190114755,1768646190114755,1768646190119082,1620787,140,1087960,523022,523022,28714,17,640,640,yolov5m,JpgLossy,T1,Letterbox
1,31,RSU-0000,Offload,1768646189500066,1768646189502076,1768646189502224,1768646189502224,1768646190114909,1768646190114909,1768646190649780,1768646190649780,1768646190652428,1152362,148,612685,534871,534871,27529,17,640,640,yolov5m,JpgLossy,T1,Letterbox
1,31,RSU-0001,Offload,1768646189500066,1768646189509438,1768646189509586,1768646189509586,1768646190649996,1768646190649996,1768646191182062,1768646191182063,1768646191184525,1684459,148,1140410,532067,532066,27529,17,640,640,yolov5m,JpgLossy,T1,Letterbox
1,31,RSU-0002,Offload,1768646189500066,1768646189488481,1768646189488639,1768646189488639,1768646191182296,1768646191182296,1768646191720861,1768646191720861,1768646191723344,2223278,158,1693657,538565,538565,27529,17,640,640,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0000,Offload,1768646191503274,1768646191504364,1768646191504515,1768646191504515,1768646191721015,1768646191721015,1768646192265536,1768646192265536,1768646192269426,766152,151,216500,544521,544521,28009,22,640,640,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0001,Offload,1768646191503274,1768646191509774,1768646191509932,1768646191509932,1768646192265595,1768646192265595,1768646192808785,1768646192808785,1768646192810980,1307706,158,755663,543190,543190,28009,22,640,640,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0002,Offload,1768646191503274,1768646191491591,1768646191491753,1768646191491753,1768646192808846,1768646192808846,1768646193352483,1768646193352483,1768646193354665,1851391,162,1317093,543637,543637,28009,22,640,640,yolov5m,JpgLossy,T1,Letterbox
4,121,RSU-0000,Offload,1768646192504412,1768646192504629,1768646192504777,1768646192504778,1768646193352639,1768646193352639,1768646193904979,1768646193904979,1768646193908024,1403612,149,847861,552340,552340,28063,22,640,640,yolov5m,JpgLossy,T1,Letterbox
