sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768656670763741,1768656670783104,1768656670783369,1768656670783369,1768656670889416,1768656670889416,1768656671405513,1768656671405513,1768656671406285,642544,265,106047,516097,516097,137185,17,1920,1080,yolov5m,JpgLossy,T2,FHD
0,1,RSU-0000,Offload,1768656670763741,1768656670769684,1768656670769941,1768656670769942,1768656671406485,1768656671406485,1768656671975628,1768656671975628,1768656671977712,1213971,258,636543,569143,569143,137185,17,1920,1080,yolov5m,JpgLossy,T2,FHD
2,5,RSU-0002,Offload,1768656670899176,1768656670904267,1768656670904566,1768656670904566,1768656671975790,1768656671975790,1768656672542724,1768656672542724,1768656672544815,1645639,299,1071224,566934,566934,151776,17,1920,1080,yolov5m,JpgLossy,T2,FHD
25,51,RSU-0000,Offload,1768656672461465,1768656672467866,1768656672468077,1768656672468077,1768656672542792,1768656672542792,1768656673113581,1768656673113582,1768656673115253,653788,211,74715,570790,570789,65973,21,1920,1080,yolov5m,JpgLossy,T2,FHD
25,51,RSU-0001,Offload,1768656672461465,1768656672482037,1768656672482233,1768656672482233,1768656673113721,1768656673113721,1768656673686826,1768656673686826,1768656673687383,1225918,196,631488,573105,573105,65973,21,1920,1080,yolov5m,JpgLossy,T2,FHD
25,51,RSU-0002,Offload,1768656672461465,1768656672469467,1768656672469650,1768656672469650,1768656673687048,1768656673687048,1768656674273461,1768656674273461,1768656674274552,1813087,183,1217398,586413,586413,65973,21,1920,1080,yolov5m,JpgLossy,T2,FHD
51,103,RSU-0000,Offload,1768656674228855,1768656674234760,1768656674234950,1768656674234950,1768656674273695,1768656674273695,1768656674859221,1768656674859221,1768656674863684,634829,190,38745,585526,585526,66880,25,1920,1080,yolov5m,JpgLossy,T2,FHD
51,103,RSU-0001,Offload,1768656674228855,1768656674248371,1768656674248559,1768656674248559,1768656674859373,1768656674859373,1768656675443340,1768656675443340,1768656675444092,1215237,188,610814,583967,583967,66880,25,1920,1080,yolov5m,JpgLossy,T2,FHD
51,103,RSU-0002,Offload,1768656674228855,1768656674235468,1768656674235684,1768656674235684,1768656675443403,1768656675443403,1768656676029842,1768656676029843,1768656676030621,1801766,216,1207719,586440,586439,66880,25,1920,1080,yolov5m,JpgLossy,T2,FHD
77,155,RSU-0000,Offload,1768656675994752,1768656675999447,1768656675999668,1768656675999668,1768656676030075,1768656676030076,1768656676615580,1768656676615580,1768656676616283,621531,221,30407,585505,585504,67192,24,1920,1080,yolov5m,JpgLossy,T2,FHD
77,155,RSU-0001,Offload,1768656675994752,1768656676010148,1768656676010360,1768656676010360,1768656676615797,1768656676615797,1768656677205681,1768656677205682,1768656677206320,1211568,212,605437,589885,589884,67192,24,1920,1080,yolov5m,JpgLossy,T2,FHD
77,155,RSU-0002,Offload,1768656675994752,1768656675998911,1768656675999127,1768656675999127,1768656677205802,1768656677205803,1768656677797653,1768656677797653,1768656677798627,1803875,216,1206675,591851,591850,67192,24,1920,1080,yolov5m,JpgLossy,T2,FHD
103,207,RSU-0000,Offload,1768656677768151,1768656677774027,1768656677774218,1768656677774218,1768656677797803,1768656677797803,1768656678392292,1768656678392293,1768656678397965,629814,191,23585,594490,594489,67227,22,1920,1080,yolov5m,JpgLossy,T2,FHD
103,207,RSU-0001,Offload,1768656677768151,1768656677787691,1768656677787897,1768656677787898,1768656678392431,1768656678392432,1768656678990164,1768656678990164,1768656678990682,1222531,207,604533,597733,597732,67227,22,1920,1080,yolov5m,JpgLossy,T2,FHD
103,207,RSU-0002,Offload,1768656677768151,1768656677776329,1768656677776518,1768656677776518,1768656678990308,1768656678990309,1768656679586382,1768656679586382,1768656679586979,1818828,189,1213790,596074,596073,67227,22,1920,1080,yolov5m,JpgLossy,T2,FHD
129,259,RSU-0000,Offload,1768656679537864,1768656679545370,1768656679545552,1768656679545553,1768656679586526,1768656679586526,1768656680184441,1768656680184441,1768656680184920,647056,183,40973,597915,597915,67135,21,1920,1080,yolov5m,JpgLossy,T2,FHD
129,259,RSU-0001,Offload,1768656679537864,1768656679556979,1768656679557166,1768656679557166,1768656680184560,1768656680184560,1768656680788581,1768656680788581,1768656680789137,1251273,187,627394,604021,604021,67135,21,1920,1080,yolov5m,JpgLossy,T2,FHD
129,259,RSU-0002,Offload,1768656679537864,1768656679545130,1768656679545339,1768656679545340,1768656680788779,1768656680788779,1768656681384307,1768656681384307,1768656681385000,1847136,210,1243439,595528,595528,67135,21,1920,1080,yolov5m,JpgLossy,T2,FHD
155,311,RSU-0000,Offload,1768656681308283,1768656681314236,1768656681314437,1768656681314437,1768656681384533,1768656681384533,1768656681986011,1768656681986012,1768656681986577,678294,201,70096,601479,601478,66044,21,1920,1080,yolov5m,JpgLossy,T2,FHD
155,311,RSU-0001,Offload,1768656681308283,1768656681328491,1768656681328686,1768656681328686,1768656681986223,1768656681986223,1768656682590452,1768656682590453,1768656682590940,1282657,195,657537,604230,604229,66044,21,1920,1080,yolov5m,JpgLossy,T2,FHD
155,311,RSU-0002,Offload,1768656681308283,1768656681315541,1768656681315750,1768656681315751,1768656682590575,1768656682590575,1768656683193414,1768656683193414,1768656683194101,1885818,210,1274824,602839,602839,66044,21,1920,1080,yolov5m,JpgLossy,T2,FHD
182,365,RSU-0000,Offload,1768656683144413,1768656683150759,1768656683150949,1768656683150950,1768656683193553,1768656683193553,1768656683802632,1768656683802632,1768656683803361,658948,191,42603,609079,609079,65905,19,1920,1080,yolov5m,JpgLossy,T2,FHD
182,365,RSU-0001,Offload,1768656683144413,1768656683164399,1768656683164592,1768656683164593,1768656683802704,1768656683802704,1768656684414325,1768656684414326,1768656684414902,1270489,194,638111,611622,611621,65905,19,1920,1080,yolov5m,JpgLossy,T2,FHD
182,365,RSU-0002,Offload,1768656683144413,1768656683153215,1768656683153413,1768656683153413,1768656684414387,1768656684414387,1768656685022877,1768656685022878,1768656685026397,1881984,198,1260974,608491,608490,65905,19,1920,1080,yolov5m,JpgLossy,T2,FHD
209,419,RSU-0000,Offload,1768656684980053,1768656684986049,1768656684986240,1768656684986240,1768656685022923,1768656685022923,1768656685654222,1768656685654222,1768656685654910,674857,191,36683,631299,631299,65900,20,1920,1080,yolov5m,JpgLossy,T2,FHD
209,419,RSU-0001,Offload,1768656684980053,1768656684998388,1768656684998575,1768656684998575,1768656685654347,1768656685654347,1768656686430683,1768656686430683,1768656686434340,1454287,187,655772,776336,776336,65900,20,1920,1080,yolov5m,JpgLossy,T2,FHD
