sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768646366469107,1768646366469655,1768646366469857,1768646366469858,1768646366501772,1768646366501772,1768646367007365,1768646367007366,1768646367010085,540978,203,31914,505594,505593,84671,19,1280,720,yolov5m,JpgLossy,T2,HD
0,1,RSU-0002,Offload,1768646366469107,1768646366458820,1768646366459017,1768646366459017,1768646367007665,1768646367007665,1768646367536510,1768646367536511,1768646367540187,1071080,197,548648,528846,528845,84671,19,1280,720,yolov5m,JpgLossy,T2,HD
0,1,RSU-0001,Offload,1768646366469107,1768646366473605,1768646366473834,1768646366473834,1768646367536665,1768646367536665,1768646368078637,1768646368078637,1768646368080958,1611851,229,1062831,541972,541972,84671,19,1280,720,yolov5m,JpgLossy,T2,HD
1,31,RSU-0000,Offload,1768646367470683,1768646367471788,1768646367471977,1768646367471977,1768646368078713,1768646368078713,1768646368632861,1768646368632861,1768646368635458,1164775,189,606736,554148,554148,76181,19,1280,720,yolov5m,JpgLossy,T2,HD
1,31,RSU-0001,Offload,1768646367470683,1768646367478996,1768646367479233,1768646367479233,1768646368633023,1768646368633023,1768646369188863,1768646369188864,1768646369191391,1720708,237,1153790,555841,555840,76181,19,1280,720,yolov5m,JpgLossy,T2,HD
1,31,RSU-0002,Offload,1768646367470683,1768646367461507,1768646367461712,1768646367461712,1768646369189073,1768646369189073,1768646369750248,1768646369750248,1768646369752897,2282214,205,1727361,561175,561175,76181,19,1280,720,yolov5m,JpgLossy,T2,HD
3,91,RSU-0000,Offload,1768646369473459,1768646369475348,1768646369475577,1768646369475578,1768646369750467,1768646369750467,1768646370310014,1768646370310014,1768646370312647,839188,230,274889,559547,559547,77644,22,1280,720,yolov5m,JpgLossy,T2,HD
3,91,RSU-0001,Offload,1768646369473459,1768646369480438,1768646369480663,1768646369480663,1768646370310226,1768646370310226,1768646370877407,1768646370877407,1768646370880006,1406547,225,829563,567181,567181,77644,22,1280,720,yolov5m,JpgLossy,T2,HD
3,91,RSU-0002,Offload,1768646369473459,1768646369464107,1768646369464314,1768646369464314,1768646370877548,1768646370877548,1768646371440514,1768646371440515,1768646371445073,1971614,207,1413234,562967,562966,77644,22,1280,720,yolov5m,JpgLossy,T2,HD
4,121,RSU-0000,Offload,1768646370474473,1768646370474384,1768646370474590,1768646370474590,1768646371440670,1768646371440670,1768646372012692,1768646372012693,1768646372015470,1540997,206,966080,572023,572022,77668,21,1280,720,yolov5m,JpgLossy,T2,HD
4,121,RSU-0001,Offload,1768646370474473,1768646370481151,1768646370481369,1768646370481369,1768646372012989,1768646372012989,1768646372593492,1768646372593493,1768646372597800,2123327,218,1531620,580504,580503,77668,21,1280,720,yolov5m,JpgLossy,T2,HD
4,121,RSU-0002,Offload,1768646370474473,1768646370466884,1768646370467103,1768646370467103,1768646372593726,1768646372593727,1768646373171102,1768646373171102,1768646373173655,2699182,219,2126623,577376,577375,77668,21,1280,720,yolov5m,JpgLossy,T2,HD
6,181,RSU-0000,Offload,1768646372476818,1768646372476945,1768646372477152,1768646372477153,1768646373171340,1768646373171340,1768646373746065,1768646373746066,1768646373748733,1271915,208,694187,574726,574725,77102,24,1280,720,yolov5m,JpgLossy,T2,HD
6,181,RSU-0001,Offload,1768646372476818,1768646372485091,1768646372485316,1768646372485316,1768646373746283,1768646373746283,1768646374323245,1768646374323246,1768646374325882,1849064,225,1260967,576963,576962,77102,24,1280,720,yolov5m,JpgLossy,T2,HD
6,181,RSU-0002,Offload,1768646372476818,1768646372468267,1768646372468468,1768646372468468,1768646374323449,1768646374323449,1768646374901248,1768646374901248,1768646374903869,2427051,201,1854981,577799,577799,77102,24,1280,720,yolov5m,JpgLossy,T2,HD
8,241,RSU-0000,Offload,1768646374479457,1768646374481870,1768646374482081,1768646374482081,1768646374901422,1768646374901422,1768646375475332,1768646375475332,1768646375477876,998419,211,419341,573910,573910,77337,23,1280,720,yolov5m,JpgLossy,T2,HD
8,241,RSU-0001,Offload,1768646374479457,1768646374486456,1768646374486668,1768646374486668,1768646375475397,1768646375475397,1768646376053413,1768646376053414,1768646376056251,1576794,212,988729,578017,578016,77337,23,1280,720,yolov5m,JpgLossy,T2,HD
8,241,RSU-0002,Offload,1768646374479457,1768646374470230,1768646374470430,1768646374470430,1768646376053662,1768646376053662,1768646376637044,1768646376637044,1768646376639466,2160009,200,1583232,583382,583382,77337,23,1280,720,yolov5m,JpgLossy,T2,HD
10,301,RSU-0000,Offload,1768646376483118,1768646376483232,1768646376483441,1768646376483441,1768646376637259,1768646376637260,1768646377214363,1768646377214363,1768646377216897,733779,209,153818,577104,577103,76910,20,1280,720,yolov5m,JpgLossy,T2,HD
