sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768753322095983,1768753322101980,1768753322102128,1768753322102129,1768753322111632,1768753322111632,1768753322637534,1768753322637535,1768753322637277,541294,149,9503,525903,525902,28714,17,640,640,yolov5m,JpgLossy,T2,Letterbox
0,1,RSU-0000,Offload,1768753322095983,1768753322105804,1768753322105938,1768753322105938,1768753322637948,1768753322637948,1768753323214406,1768753323214406,1768753323213758,1117775,134,532010,576458,576458,28714,17,640,640,yolov5m,JpgLossy,T2,Letterbox
1,3,RSU-0001,Offload,1768753322163589,1768753322171662,1768753322171828,1768753322171828,1768753323214481,1768753323214481,1768753323796959,1768753323796959,1768753323796361,1632772,166,1042653,582478,582478,29008,18,640,640,yolov5m,JpgLossy,T2,Letterbox
1,3,RSU-0002,Offload,1768753322163589,1768753322166655,1768753322166804,1768753322166804,1768753323797021,1768753323797021,1768753324389494,1768753324389494,1768753324388829,2225240,149,1630217,592473,592473,29008,18,640,640,yolov5m,JpgLossy,T2,Letterbox
33,67,RSU-0000,Offload,1768753324339380,1768753324347036,1768753324347153,1768753324347154,1768753324389580,1768753324389580,1768753324985396,1768753324985397,1768753324985322,645942,118,42426,595817,595816,27952,20,640,640,yolov5m,JpgLossy,T2,Letterbox
33,67,RSU-0001,Offload,1768753324339380,1768753324346429,1768753324346576,1768753324346576,1768753324985463,1768753324985464,1768753325588812,1768753325588812,1768753325588160,1248780,147,638887,603349,603348,27952,20,640,640,yolov5m,JpgLossy,T2,Letterbox
33,67,RSU-0002,Offload,1768753324339380,1768753324341014,1768753324341157,1768753324341158,1768753325588886,1768753325588886,1768753326193389,1768753326193389,1768753326192626,1853246,144,1247728,604503,604503,27952,20,640,640,yolov5m,JpgLossy,T2,Letterbox
59,119,RSU-0000,Offload,1768753326112770,1768753326120979,1768753326121114,1768753326121114,1768753326193470,1768753326193470,1768753326802812,1768753326802812,1768753326802369,689599,135,72356,609342,609342,28130,21,640,640,yolov5m,JpgLossy,T2,Letterbox
59,119,RSU-0001,Offload,1768753326112770,1768753326119722,1768753326119863,1768753326119863,1768753326803035,1768753326803035,1768753327413210,1768753327413210,1768753327413118,1300348,141,683172,610175,610175,28130,21,640,640,yolov5m,JpgLossy,T2,Letterbox
59,119,RSU-0002,Offload,1768753326112770,1768753326118009,1768753326118146,1768753326118146,1768753327413425,1768753327413425,1768753328027157,1768753328027158,1768753328026791,1914021,137,1295279,613733,613732,28130,21,640,640,yolov5m,JpgLossy,T2,Letterbox
86,173,RSU-0000,Offload,1768753327953326,1768753327963212,1768753327963344,1768753327963345,1768753328027301,1768753328027302,1768753328655736,1768753328655737,1768753328655020,701694,133,63956,628436,628434,27877,22,640,640,yolov5m,JpgLossy,T2,Letterbox
86,173,RSU-0001,Offload,1768753327953326,1768753327960806,1768753327960948,1768753327960948,1768753328655874,1768753328655874,1768753329277863,1768753329277863,1768753329277350,1324024,142,694926,621989,621989,27877,22,640,640,yolov5m,JpgLossy,T2,Letterbox
86,173,RSU-0002,Offload,1768753327953326,1768753327957109,1768753327957232,1768753327957232,1768753329278083,1768753329278083,1768753329898344,1768753329898344,1768753329897986,1944660,123,1320851,620261,620261,27877,22,640,640,yolov5m,JpgLossy,T2,Letterbox
114,229,RSU-0000,Offload,1768753329862872,1768753329871274,1768753329871422,1768753329871423,1768753329898652,1768753329898652,1768753330524281,1768753330524281,1768753330523590,660718,149,27229,625629,625629,28024,21,640,640,yolov5m,JpgLossy,T2,Letterbox
114,229,RSU-0001,Offload,1768753329862872,1768753329871768,1768753329871912,1768753329871912,1768753330524510,1768753330524511,1768753331152503,1768753331152503,1768753331151942,1289070,144,652598,627993,627992,28024,21,640,640,yolov5m,JpgLossy,T2,Letterbox
114,229,RSU-0002,Offload,1768753329862872,1768753329868407,1768753329868542,1768753329868542,1768753331152884,1768753331152884,1768753331787340,1768753331787340,1768753331786702,1923830,135,1284342,634456,634456,28024,21,640,640,yolov5m,JpgLossy,T2,Letterbox
142,285,RSU-0000,Offload,1768753331770042,1768753331777571,1768753331777677,1768753331777677,1768753331787493,1768753331787493,1768753332422130,1768753332422130,1768753332421985,651943,106,9816,634637,634637,27972,20,640,640,yolov5m,JpgLossy,T2,Letterbox
142,285,RSU-0001,Offload,1768753331770042,1768753331779133,1768753331779278,1768753331779278,1768753332422503,1768753332422504,1768753333054314,1768753333054314,1768753333053736,1283694,145,643225,631811,631810,27972,20,640,640,yolov5m,JpgLossy,T2,Letterbox
142,285,RSU-0002,Offload,1768753331770042,1768753331773622,1768753331773749,1768753331773750,1768753333054580,1768753333054581,1768753333686057,1768753333686058,1768753333685595,1915553,128,1280830,631478,631476,27972,20,640,640,yolov5m,JpgLossy,T2,Letterbox
169,339,RSU-0000,Offload,1768753333611429,1768753333620316,1768753333620437,1768753333620437,1768753333686346,1768753333686346,1768753334321376,1768753334321376,1768753334320773,709344,121,65909,635030,635030,27705,20,640,640,yolov5m,JpgLossy,T2,Letterbox
169,339,RSU-0001,Offload,1768753333611429,1768753333619124,1768753333619243,1768753333619243,1768753334321605,1768753334321605,1768753334961950,1768753334961951,1768753334961192,1349763,119,702362,640346,640345,27705,20,640,640,yolov5m,JpgLossy,T2,Letterbox
169,339,RSU-0002,Offload,1768753333611429,1768753333615031,1768753333615161,1768753333615161,1768753334962180,1768753334962180,1768753335596749,1768753335596749,1768753335597010,1985581,130,1347019,634569,634569,27705,20,640,640,yolov5m,JpgLossy,T2,Letterbox
197,395,RSU-0000,Offload,1768753335517208,1768753335524502,1768753335524630,1768753335524630,1768753335597006,1768753335597006,1768753336224794,1768753336224794,1768753336224246,707038,128,72376,627788,627788,27854,17,640,640,yolov5m,JpgLossy,T2,Letterbox
197,395,RSU-0001,Offload,1768753335517208,1768753335525577,1768753335525710,1768753335525710,1768753336225056,1768753336225056,1768753336859074,1768753336859074,1768753336858588,1341380,133,699346,634018,634018,27854,17,640,640,yolov5m,JpgLossy,T2,Letterbox
197,395,RSU-0002,Offload,1768753335517208,1768753335521489,1768753335521614,1768753335521614,1768753336859308,1768753336859308,1768753337496575,1768753337496575,1768753337496080,1978872,125,1337694,637267,637267,27854,17,640,640,yolov5m,JpgLossy,T2,Letterbox
225,451,RSU-0000,Offload,1768753337422593,1768753337429909,1768753337430033,1768753337430033,1768753337496882,1768753337496882,1768753338132707,1768753338132707,1768753338131820,709227,124,66849,635825,635825,27677,18,640,640,yolov5m,JpgLossy,T2,Letterbox
225,451,RSU-0001,Offload,1768753337422593,1768753337430974,1768753337431086,1768753337431087,1768753338133021,1768753338133021,1768753338775805,1768753338775805,1768753338774902,1352309,113,701934,642784,642784,27677,18,640,640,yolov5m,JpgLossy,T2,Letterbox
225,451,RSU-0002,Offload,1768753337422593,1768753337426112,1768753337426241,1768753337426241,1768753338775934,1768753338775934,1768753339414901,1768753339414902,1768753339414132,1991539,129,1349693,638968,638967,27677,18,640,640,yolov5m,JpgLossy,T2,Letterbox
254,509,RSU-0000,Offload,1768753339394765,1768753339402699,1768753339402807,1768753339402807,1768753339415095,1768753339415095,1768753340057698,1768753340057698,1768753340056997,662232,108,12288,642603,642603,27864,19,640,640,yolov5m,JpgLossy,T2,Letterbox
254,509,RSU-0001,Offload,1768753339394765,1768753339402132,1768753339402254,1768753339402255,1768753340057741,1768753340057741,1768753340708244,1768753340708244,1768753340707589,1312824,123,655486,650503,650503,27864,19,640,640,yolov5m,JpgLossy,T2,Letterbox
254,509,RSU-0002,Offload,1768753339394765,1768753339399171,1768753339399303,1768753339399303,1768753340708620,1768753340708621,1768753341364104,1768753341364104,1768753341363315,1968550,132,1309317,655484,655483,27864,19,640,640,yolov5m,JpgLossy,T2,Letterbox
282,565,RSU-0000,Offload,1768753341305418,1768753341312752,1768753341312865,1768753341312865,1768753341364481,1768753341364481,1768753342020678,1768753342020678,1768753342020166,714748,113,51616,656197,656197,27655,19,640,640,yolov5m,JpgLossy,T2,Letterbox
282,565,RSU-0001,Offload,1768753341305418,1768753341313563,1768753341313708,1768753341313709,1768753342021084,1768753342021084,1768753342678200,1768753342678200,1768753342677770,1372352,146,707375,657116,657116,27655,19,640,640,yolov5m,JpgLossy,T2,Letterbox
282,565,RSU-0002,Offload,1768753341305418,1768753341309923,1768753341310036,1768753341310036,1768753342678605,1768753342678605,1768753343335212,1768753343335212,1768753343334451,2029033,113,1368569,656607,656607,27655,19,640,640,yolov5m,JpgLossy,T2,Letterbox
311,623,RSU-0000,Offload,1768753343283278,1768753343290808,1768753343290929,1768753343290929,1768753343335573,1768753343335574,1768753343990105,1768753343990105,1768753343989619,706341,121,44644,654532,654531,28337,23,640,640,yolov5m,JpgLossy,T2,Letterbox
311,623,RSU-0001,Offload,1768753343283278,1768753343290673,1768753343290794,1768753343290794,1768753343990230,1768753343990230,1768753344646993,1768753344646993,1768753344646395,1363117,121,699436,656763,656763,28337,23,640,640,yolov5m,JpgLossy,T2,Letterbox
311,623,RSU-0002,Offload,1768753343283278,1768753343288686,1768753343288817,1768753343288817,1768753344647358,1768753344647358,1768753345305557,1768753345305557,1768753345304879,2021601,131,1358541,658199,658199,28337,23,640,640,yolov5m,JpgLossy,T2,Letterbox
340,681,RSU-0000,Offload,1768753345254722,1768753345262753,1768753345262878,1768753345262878,1768753345305963,1768753345305963,1768753345964371,1768753345964372,1768753345963696,708974,125,43085,658409,658408,28737,23,640,640,yolov5m,JpgLossy,T2,Letterbox
