sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769327139196159,1769327139202110,1769327139202250,1769327139202250,1769327139296190,1769327139296190,1769327140000768,1769327140000769,1769327140002029,805870,140,101144,704579,7,704578,28714,17,yolov5m,JpgLossy,T2,Letterbox
2,13,RSU-0001,Offload,1769327139597860,1769327139603014,1769327139603169,1769327139603169,1769327140000965,1769327140000965,1769327140734603,1769327140734603,1769327140735469,1137609,155,403802,733638,14,733638,27626,16,yolov5m,JpgLossy,T2,Letterbox
7,43,RSU-0000,Offload,1769327140605537,1769327140612757,1769327140612889,1769327140612889,1769327140734649,1769327140734649,1769327141465052,1769327141465052,1769327141465749,860212,132,118148,730403,11529,730403,27662,20,yolov5m,JpgLossy,T2,Letterbox
7,43,RSU-0001,Offload,1769327140605551,1769327140610652,1769327140610800,1769327140610800,1769327141465089,1769327141465089,1769327142195160,1769327142195160,1769327142195856,1590305,148,118201,730071,741885,730071,27662,20,yolov5m,JpgLossy,T2,Letterbox
7,43,RSU-0002,Offload,1769327140605552,1769327140609616,1769327140609762,1769327140609763,1769327142195196,1769327142195197,1769327142928203,1769327142928203,1769327142929244,2323692,147,118566,733007,1471972,733006,27662,20,yolov5m,JpgLossy,T2,Letterbox
18,109,RSU-0000,Offload,1769327142820676,1769327142829209,1769327142829358,1769327142829359,1769327142928250,1769327142928250,1769327143663158,1769327143663158,1769327143664414,843738,150,14597,734908,94083,734908,28046,21,yolov5m,JpgLossy,T2,Letterbox
18,109,RSU-0001,Offload,1769327142820693,1769327142825825,1769327142825959,1769327142825959,1769327143663196,1769327143663196,1769327144395316,1769327144395317,1769327144396062,1575369,134,11977,732121,831137,732120,28046,21,yolov5m,JpgLossy,T2,Letterbox
18,109,RSU-0002,Offload,1769327142820694,1769327142825799,1769327142825931,1769327142825932,1769327144395355,1769327144395356,1769327145131400,1769327145131400,1769327145132286,2311592,133,18034,736045,1557380,736044,28046,21,yolov5m,JpgLossy,T2,Letterbox
29,175,RSU-0000,Offload,1769327145034143,1769327145042404,1769327145042562,1769327145042562,1769327145131448,1769327145131448,1769327145863072,1769327145863072,1769327145863972,829829,158,11764,731624,86283,731624,27920,21,yolov5m,JpgLossy,T2,Letterbox
29,175,RSU-0001,Offload,1769327145034158,1769327145039024,1769327145039171,1769327145039171,1769327145863107,1769327145863107,1769327146595081,1769327146595081,1769327146595790,1561632,147,19258,731974,810253,731974,27920,21,yolov5m,JpgLossy,T2,Letterbox
29,175,RSU-0002,Offload,1769327145034158,1769327145039410,1769327145039555,1769327145039555,1769327146595116,1769327146595116,1769327147328821,1769327147328821,1769327147329744,2295586,145,15237,733705,1546499,733705,27920,21,yolov5m,JpgLossy,T2,Letterbox
40,241,RSU-0000,Offload,1769327147248307,1769327147256768,1769327147256904,1769327147256904,1769327147328858,1769327147328858,1769327148061812,1769327148061813,1769327148064453,816146,136,17486,732955,65569,732954,27949,22,yolov5m,JpgLossy,T2,Letterbox
40,241,RSU-0001,Offload,1769327147248319,1769327147253424,1769327147253551,1769327147253551,1769327148061843,1769327148061843,1769327148796523,1769327148796523,1769327148797488,1549169,127,15743,734680,798619,734680,27949,22,yolov5m,JpgLossy,T2,Letterbox
40,241,RSU-0002,Offload,1769327147248321,1769327147253408,1769327147253556,1769327147253556,1769327148796560,1769327148796561,1769327149530442,1769327149530443,1769327149531719,2283398,148,15933,733883,1533434,733881,27949,22,yolov5m,JpgLossy,T2,Letterbox
