sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768647077949379,1768647077952101,1768647077953084,1768647077953085,1768647078305224,1768647078305225,1768647078838697,1768647078838697,1768647078841548,892169,984,352139,533473,533472,1352865,17,1920,1080,yolov5m,PngLossless,T2,FHD
0,1,RSU-0001,Offload,1768647077949379,1768647077954525,1768647077955823,1768647077955823,1768647078840994,1768647078840994,1768647079422416,1768647079422416,1768647079424627,1475248,1298,885171,581422,581422,1352865,17,1920,1080,yolov5m,PngLossless,T2,FHD
1,31,RSU-0000,Offload,1768647078951031,1768647078955380,1768647078956064,1768647078956064,1768647079422577,1768647079422577,1768647079977325,1768647079977326,1768647079980122,1029091,684,466513,554749,554748,792254,19,1920,1080,yolov5m,PngLossless,T2,FHD
1,31,RSU-0001,Offload,1768647078951031,1768647078957771,1768647078958481,1768647078958482,1768647079977535,1768647079977535,1768647080558640,1768647080558640,1768647080561448,1610417,711,1019053,581105,581105,792254,19,1920,1080,yolov5m,PngLossless,T2,FHD
1,31,RSU-0002,Offload,1768647078951031,1768647078948077,1768647078948845,1768647078948846,1768647080558704,1768647080558704,1768647081150428,1768647081150429,1768647081152492,2201461,769,1609858,591725,591724,792254,19,1920,1080,yolov5m,PngLossless,T2,FHD
3,91,RSU-0000,Offload,1768647080953353,1768647080957816,1768647080958473,1768647080958473,1768647081150653,1768647081150653,1768647081717006,1768647081717006,1768647081719422,766069,657,192180,566353,566353,815037,24,1920,1080,yolov5m,PngLossless,T2,FHD
3,91,RSU-0001,Offload,1768647080953353,1768647080960232,1768647080960922,1768647080960923,1768647081717223,1768647081717223,1768647082319549,1768647082319549,1768647082321422,1368069,691,756300,602326,602326,815037,24,1920,1080,yolov5m,PngLossless,T2,FHD
3,91,RSU-0002,Offload,1768647080953353,1768647080950716,1768647080951524,1768647080951525,1768647082319779,1768647082319779,1768647082896752,1768647082896752,1768647082898920,1945567,809,1368254,576973,576973,815037,24,1920,1080,yolov5m,PngLossless,T2,FHD
4,121,RSU-0000,Offload,1768647081955506,1768647081961148,1768647081961812,1768647081961813,1768647082896978,1768647082896978,1768647083506760,1768647083506760,1768647083508751,1553245,665,935165,609782,609782,817754,22,1920,1080,yolov5m,PngLossless,T2,FHD
4,121,RSU-0001,Offload,1768647081955506,1768647081962237,1768647081962956,1768647081962957,1768647083507079,1768647083507079,1768647084105718,1768647084105719,1768647084108621,2153115,720,1544122,598640,598639,817754,22,1920,1080,yolov5m,PngLossless,T2,FHD
4,121,RSU-0002,Offload,1768647081955506,1768647081951462,1768647081952192,1768647081952193,1768647084105839,1768647084105839,1768647084697351,1768647084697352,1768647084699624,2744118,731,2153646,591513,591512,817754,22,1920,1080,yolov5m,PngLossless,T2,FHD
6,181,RSU-0000,Offload,1768647083958727,1768647083963036,1768647083963773,1768647083963774,1768647084697514,1768647084697515,1768647085304724,1768647085304725,1768647085306562,1347835,738,733740,607211,607209,816473,23,1920,1080,yolov5m,PngLossless,T2,FHD
6,181,RSU-0001,Offload,1768647083958727,1768647083965420,1768647083966155,1768647083966155,1768647085304953,1768647085304954,1768647085888017,1768647085888017,1768647085890026,1931299,735,1338798,583064,583063,816473,23,1920,1080,yolov5m,PngLossless,T2,FHD
6,181,RSU-0002,Offload,1768647083958727,1768647083956268,1768647083957015,1768647083957016,1768647085888251,1768647085888251,1768647086503033,1768647086503033,1768647086504982,2546255,748,1931235,614782,614782,816473,23,1920,1080,yolov5m,PngLossless,T2,FHD
8,241,RSU-0000,Offload,1768647085961926,1768647085967089,1768647085967825,1768647085967826,1768647086503193,1768647086503193,1768647087109639,1768647087109639,1768647087114290,1152364,737,535367,606446,606446,817944,24,1920,1080,yolov5m,PngLossless,T2,FHD
8,241,RSU-0001,Offload,1768647085961926,1768647085969493,1768647085970214,1768647085970215,1768647087109707,1768647087109707,1768647087704630,1768647087704631,1768647087706534,1744608,722,1139492,594924,594923,817944,24,1920,1080,yolov5m,PngLossless,T2,FHD
8,241,RSU-0002,Offload,1768647085961926,1768647085956999,1768647085957703,1768647085957703,1768647087704777,1768647087704777,1768647088327107,1768647088327107,1768647088329159,2367233,704,1747074,622330,622330,817944,24,1920,1080,yolov5m,PngLossless,T2,FHD
10,301,RSU-0000,Offload,1768647087965055,1768647087970679,1768647087971334,1768647087971334,1768647088327179,1768647088327179,1768647088919603,1768647088919604,1768647088921600,956545,655,355845,592425,592424,811407,19,1920,1080,yolov5m,PngLossless,T2,FHD
10,301,RSU-0001,Offload,1768647087965055,1768647087971806,1768647087972524,1768647087972525,1768647088919777,1768647088919777,1768647089539806,1768647089539806,1768647089544499,1579444,719,947252,620029,620029,811407,19,1920,1080,yolov5m,PngLossless,T2,FHD
10,301,RSU-0002,Offload,1768647087965055,1768647087961089,1768647087961799,1768647087961800,1768647089539971,1768647089539972,1768647090161939,1768647090161939,1768647090165527,2200472,711,1578171,621968,621967,811407,19,1920,1080,yolov5m,PngLossless,T2,FHD
12,361,RSU-0000,Offload,1768647089967843,1768647089973833,1768647089974475,1768647089974475,1768647090161998,1768647090161998,1768647090759676,1768647090759676,1768647090762320,794477,642,187523,597678,597678,807660,20,1920,1080,yolov5m,PngLossless,T2,FHD
12,361,RSU-0001,Offload,1768647089967843,1768647089975454,1768647089976167,1768647089976168,1768647090759713,1768647090759713,1768647091382312,1768647091382312,1768647091384156,1416313,714,783545,622599,622599,807660,20,1920,1080,yolov5m,PngLossless,T2,FHD
12,361,RSU-0002,Offload,1768647089967843,1768647089962961,1768647089963738,1768647089963738,1768647091382463,1768647091382464,1768647091980974,1768647091980974,1768647091983076,2015233,777,1418725,598511,598510,807660,20,1920,1080,yolov5m,PngLossless,T2,FHD
13,391,RSU-0000,Offload,1768647090969030,1768647090974185,1768647090974837,1768647090974837,1768647091981268,1768647091981268,1768647092607574,1768647092607574,1768647092609656,1640626,652,1006431,626306,626306,805638,21,1920,1080,yolov5m,PngLossless,T2,FHD
13,391,RSU-0001,Offload,1768647090969030,1768647090976589,1768647090977291,1768647090977291,1768647092607814,1768647092607814,1768647093230476,1768647093230477,1768647093232422,2263392,702,1630523,622663,622662,805638,21,1920,1080,yolov5m,PngLossless,T2,FHD
13,391,RSU-0002,Offload,1768647090969030,1768647090964032,1768647090964752,1768647090964752,1768647093230607,1768647093230607,1768647093832005,1768647093832006,1768647093834188,2865158,720,2265855,601399,601398,805638,21,1920,1080,yolov5m,PngLossless,T2,FHD
15,451,RSU-0000,Offload,1768647092970441,1768647092976129,1768647092976768,1768647092976768,1768647093832248,1768647093832248,1768647094467052,1768647094467053,1768647094469032,1498591,639,855480,634805,634804,806445,22,1920,1080,yolov5m,PngLossless,T2,FHD
15,451,RSU-0001,Offload,1768647092970441,1768647092977293,1768647092978008,1768647092978009,1768647094467183,1768647094467183,1768647095076544,1768647095076545,1768647095082082,2111641,716,1489174,609362,609361,806445,22,1920,1080,yolov5m,PngLossless,T2,FHD
15,451,RSU-0002,Offload,1768647092970441,1768647092966571,1768647092967381,1768647092967381,1768647095076608,1768647095076608,1768647095686590,1768647095686590,1768647095688521,2718080,810,2109227,609982,609982,806445,22,1920,1080,yolov5m,PngLossless,T2,FHD
17,511,RSU-0000,Offload,1768647094974266,1768647094979649,1768647094980300,1768647094980300,1768647095686833,1768647095686834,1768647096316561,1768647096316562,1768647096318958,1344692,651,706533,629729,629727,809844,22,1920,1080,yolov5m,PngLossless,T2,FHD
17,511,RSU-0001,Offload,1768647094974266,1768647094983785,1768647094984511,1768647094984512,1768647096316796,1768647096316796,1768647096921234,1768647096921234,1768647096923205,1948939,727,1332284,604438,604438,809844,22,1920,1080,yolov5m,PngLossless,T2,FHD
17,511,RSU-0002,Offload,1768647094974266,1768647094973357,1768647094974077,1768647094974077,1768647096921479,1768647096921479,1768647097552736,1768647097552737,1768647097554734,2580468,720,1947402,631258,631257,809844,22,1920,1080,yolov5m,PngLossless,T2,FHD
