sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769325525249764,1769325525257794,1769325525258845,1769325525258845,1769325525540743,1769325525540743,1769325526294520,1769325526294520,1769325526294544,1044780,1051,289944,753777,8,753777,1352865,17,yolov5m,PngLossless,T2,FHD
0,1,RSU-0002,Offload,1769325525249764,1769325525254350,1769325525255483,1769325525255483,1769325526296229,1769325526296229,1769325527061603,1769325527061603,1769325527061489,1811725,1133,1045210,765374,8,765374,1352865,17,yolov5m,PngLossless,T2,FHD
1,31,RSU-0000,Offload,1769325526251445,1769325526259552,1769325526260328,1769325526260328,1769325527061644,1769325527061644,1769325527827943,1769325527827943,1769325527827961,1576516,776,190591,766299,618850,766299,792254,19,yolov5m,PngLossless,T2,FHD
1,31,RSU-0001,Offload,1769325526251463,1769325526257805,1769325526258411,1769325526258411,1769325527827978,1769325527827978,1769325528593531,1769325528593532,1769325528593703,2342240,606,226477,765554,1349603,765553,792254,19,yolov5m,PngLossless,T2,FHD
1,31,RSU-0002,Offload,1769325526251464,1769325526256616,1769325526257288,1769325526257288,1769325528593564,1769325528593564,1769325529357925,1769325529357926,1769325529360587,3109123,672,199570,764362,2144519,764361,792254,19,yolov5m,PngLossless,T2,FHD
3,91,RSU-0000,Offload,1769325528253910,1769325528262010,1769325528262655,1769325528262655,1769325529357957,1769325529357957,1769325530117847,1769325530117847,1769325530117737,1863827,645,140161,759890,963131,759890,815037,24,yolov5m,PngLossless,T2,FHD
3,91,RSU-0001,Offload,1769325528253936,1769325528260832,1769325528261452,1769325528261453,1769325530117884,1769325530117884,1769325530886505,1769325530886506,1769325530886294,2632358,621,191136,768622,1671979,768621,815037,24,yolov5m,PngLossless,T2,FHD
3,91,RSU-0002,Offload,1769325528253938,1769325528259061,1769325528259739,1769325528259740,1769325530886541,1769325530886541,1769325531655519,1769325531655519,1769325531655295,3401357,679,186642,768978,2445058,768978,815037,24,yolov5m,PngLossless,T2,FHD
6,181,RSU-0000,Offload,1769325531256954,1769325531266347,1769325531267018,1769325531267018,1769325531655558,1769325531655559,1769325532426405,1769325532426405,1769325532430685,1173731,671,166151,770847,236062,770846,816473,23,yolov5m,PngLossless,T2,FHD
6,181,RSU-0001,Offload,1769325531256971,1769325531259582,1769325531260323,1769325531260323,1769325532426436,1769325532426436,1769325533181831,1769325533181831,1769325533181725,1924754,741,188597,755395,980021,755395,816473,23,yolov5m,PngLossless,T2,FHD
6,181,RSU-0002,Offload,1769325531256973,1769325531262867,1769325531263640,1769325531263640,1769325533181861,1769325533181861,1769325533951614,1769325533951614,1769325533951307,2694334,773,187034,769753,1736774,769753,816473,23,yolov5m,PngLossless,T2,FHD
8,241,RSU-0000,Offload,1769325533259474,1769325533266488,1769325533267153,1769325533267154,1769325533951653,1769325533951653,1769325534721197,1769325534721197,1769325534721261,1461787,666,154949,769544,536628,769544,817944,24,yolov5m,PngLossless,T2,FHD
8,241,RSU-0001,Offload,1769325533259489,1769325533265710,1769325533266350,1769325533266351,1769325534721233,1769325534721233,1769325535495211,1769325535495211,1769325535495305,2235816,641,181619,773978,1279578,773978,817944,24,yolov5m,PngLossless,T2,FHD
8,241,RSU-0002,Offload,1769325533259490,1769325533265336,1769325533266118,1769325533266119,1769325535495241,1769325535495242,1769325536250373,1769325536250373,1769325536250377,2990887,783,157725,755132,2077247,755131,817944,24,yolov5m,PngLossless,T2,FHD
