sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769334275542485,1769334275546880,1769334275547641,1769334275547642,1769334275761754,1769334275761755,1769334276491105,1769334276491105,1769334276490631,948146,762,217961,729351,72,729350,860853,17,yolov5m,PngLossless,T2,HD
0,1,RSU-0002,Offload,1769334275542485,1769334275548908,1769334275549780,1769334275549781,1769334276492396,1769334276492396,1769334277317940,1769334277317941,1769334277320351,1777866,873,951355,825545,93,825544,860853,17,yolov5m,PngLossless,T2,HD
9,28,RSU-0000,Offload,1769334276454687,1769334276462931,1769334276464228,1769334276464228,1769334277317982,1769334277317982,1769334278132688,1769334278132688,1769334278159582,1704895,1297,858388,814706,30504,814706,639572,20,yolov5m,PngLossless,T2,HD
3,10,RSU-0001,Offload,1769334275846991,1769334275850407,1769334275852059,1769334275852059,1769334278132721,1769334278132721,1769334278946345,1769334278946346,1769334279020287,3173296,1652,1412915,813625,945104,813624,670510,20,yolov5m,PngLossless,T2,HD
4,13,RSU-0002,Offload,1769334275947834,1769334275954678,1769334275955272,1769334275955272,1769334278946380,1769334278946381,1769334279756976,1769334279756977,1769334279926482,3978648,594,1439372,810597,1728085,810595,639911,18,yolov5m,PngLossless,T2,HD
30,91,RSU-0000,Offload,1769334278582335,1769334278592917,1769334278593492,1769334278593493,1769334279757031,1769334279757031,1769334280571315,1769334280571315,1769334280680649,2098314,576,1163730,814284,119724,814284,654547,23,yolov5m,PngLossless,T2,HD
20,61,RSU-0001,Offload,1769334277569279,1769334277571038,1769334277571633,1769334277571633,1769334280571349,1769334280571349,1769334281387947,1769334281387947,1769334281387793,3818514,595,2133439,816598,867882,816598,646862,23,yolov5m,PngLossless,T2,HD
22,67,RSU-0002,Offload,1769334277770966,1769334277783733,1769334277784458,1769334277784458,1769334281387978,1769334281387978,1769334282200590,1769334282200590,1769334282339834,4568868,725,2091873,812612,1663658,812612,647503,21,yolov5m,PngLossless,T2,HD
51,154,RSU-0000,Offload,1769334280709307,1769334280714454,1769334280715212,1769334280715213,1769334282200624,1769334282200624,1769334283027577,1769334283027577,1769334283378374,2669067,759,1814297,826953,27058,826953,658276,23,yolov5m,PngLossless,T2,HD
37,112,RSU-0001,Offload,1769334279289904,1769334279304590,1769334279305185,1769334279305186,1769334283027610,1769334283027610,1769334283838242,1769334283838242,1769334283897083,4607179,596,2852881,810632,943070,810632,657629,24,yolov5m,PngLossless,T2,HD
39,118,RSU-0002,Offload,1769334279493667,1769334279512148,1769334279512826,1769334279512826,1769334283838272,1769334283838272,1769334284648059,1769334284648059,1769334284813847,5320180,678,2774486,809787,1735229,809787,655916,24,yolov5m,PngLossless,T2,HD
67,202,RSU-0000,Offload,1769334282332092,1769334282341234,1769334282342453,1769334282342454,1769334284648104,1769334284648104,1769334285452863,1769334285452863,1769334285586508,3254416,1220,2211448,804759,236989,804759,652947,23,yolov5m,PngLossless,T2,HD
54,163,RSU-0001,Offload,1769334281013183,1769334281022080,1769334281023271,1769334281023272,1769334285452891,1769334285452891,1769334286257362,1769334286257362,1769334286662967,5649784,1192,3884555,804471,959566,804471,650983,23,yolov5m,PngLossless,T2,HD
55,166,RSU-0002,Offload,1769334281113789,1769334281132655,1769334281133911,1769334281133912,1769334286257392,1769334286257392,1769334287040800,1769334287040800,1769334287735644,6621855,1257,4172536,783408,1664654,783408,649814,21,yolov5m,PngLossless,T2,HD
84,253,RSU-0000,Offload,1769334284056154,1769334284069739,1769334284070417,1769334284070418,1769334287040832,1769334287040832,1769334287826685,1769334287826685,1769334288435331,4379177,679,3531722,785853,60923,785853,653485,22,yolov5m,PngLossless,T2,HD
70,211,RSU-0001,Offload,1769334282635853,1769334282664825,1769334282665443,1769334282665444,1769334287826715,1769334287826715,1769334288618448,1769334288618448,1769334289096974,6461121,619,4799520,791733,869249,791733,652222,23,yolov5m,PngLossless,T2,HD
71,214,RSU-0002,Offload,1769334282737387,1769334282763759,1769334282765026,1769334282765027,1769334288618475,1769334288618475,1769334289413763,1769334289413763,1769334289437366,6699979,1268,4171173,795288,1732250,795288,651807,23,yolov5m,PngLossless,T2,HD
98,295,RSU-0000,Offload,1769334285474691,1769334285491299,1769334285491972,1769334285491973,1769334289413795,1769334289413796,1769334290220577,1769334290220577,1769334290575366,5100675,674,4268505,806782,24714,806781,651489,20,yolov5m,PngLossless,T2,HD
81,244,RSU-0001,Offload,1769334283750628,1769334283752335,1769334283752900,1769334283752901,1769334290220607,1769334290220607,1769334291024356,1769334291024356,1769334291260665,7510037,566,5697304,803749,1008418,803749,650270,22,yolov5m,PngLossless,T2,HD
84,253,RSU-0002,Offload,1769334284056170,1769334284068464,1769334284069726,1769334284069727,1769334291024386,1769334291024386,1769334291836402,1769334291836403,1769334291914985,7858815,1263,5434767,812017,1610768,812016,653485,22,yolov5m,PngLossless,T2,HD
116,349,RSU-0000,Offload,1769334287299052,1769334287354729,1769334287356090,1769334287356090,1769334291836439,1769334291836439,1769334292646883,1769334292646883,1769334293104127,5805075,1361,4992724,810444,546,810444,646898,20,yolov5m,PngLossless,T2,HD
100,301,RSU-0001,Offload,1769334285677028,1769334285681990,1769334285682600,1769334285682600,1769334292646912,1769334292646912,1769334293454516,1769334293454516,1769334293937522,8260494,610,6458531,807604,993749,807604,645179,19,yolov5m,PngLossless,T2,HD
102,307,RSU-0002,Offload,1769334285879915,1769334285902722,1769334285903384,1769334285903385,1769334293454550,1769334293454550,1769334294261155,1769334294261155,1769334294714974,8835059,663,6385538,806605,1642253,806605,645983,21,yolov5m,PngLossless,T2,HD
131,394,RSU-0000,Offload,1769334288817436,1769334288863757,1769334288864382,1769334288864382,1769334294261199,1769334294261199,1769334295043024,1769334295043024,1769334295545713,6728277,625,5461542,781825,484285,781825,643724,19,yolov5m,PngLossless,T2,HD
117,352,RSU-0001,Offload,1769334287400493,1769334287414815,1769334287416038,1769334287416038,1769334295043051,1769334295043051,1769334295832386,1769334295832386,1769334296299357,8898864,1223,7169636,789335,938670,789335,645359,21,yolov5m,PngLossless,T2,HD
118,355,RSU-0002,Offload,1769334287502152,1769334287521513,1769334287522687,1769334287522687,1769334295832423,1769334295832423,1769334296644079,1769334296644079,1769334296716957,9214805,1174,6692365,811656,1709610,811656,645494,21,yolov5m,PngLossless,T2,HD
143,430,RSU-0000,Offload,1769334290034143,1769334290052767,1769334290053403,1769334290053404,1769334296644119,1769334296644119,1769334297450999,1769334297451000,1769334297679609,7645466,637,6455481,806881,382467,806880,638575,18,yolov5m,PngLossless,T2,HD
131,394,RSU-0001,Offload,1769334288817452,1769334288822559,1769334288823122,1769334288823122,1769334297451028,1769334297451029,1769334298242839,1769334298242839,1769334298678311,9860859,563,8056142,791811,1012343,791810,643724,19,yolov5m,PngLossless,T2,HD
134,403,RSU-0002,Offload,1769334289122386,1769334289145092,1769334289145777,1769334289145777,1769334298242874,1769334298242874,1769334299030461,1769334299030461,1769334299504321,10381935,685,7949026,787587,1644637,787587,645072,20,yolov5m,PngLossless,T2,HD
156,469,RSU-0000,Offload,1769334291348313,1769334291439210,1769334291439957,1769334291439957,1769334299030494,1769334299030494,1769334299831716,1769334299831716,1769334300186905,8838592,747,7902154,801222,134469,801222,642457,19,yolov5m,PngLossless,T2,HD
147,442,RSU-0001,Offload,1769334290438200,1769334290441531,1769334290442094,1769334290442094,1769334299831746,1769334299831746,1769334300651257,1769334300651257,1769334300821336,10383136,563,8684783,819511,878279,819511,638472,20,yolov5m,PngLossless,T2,HD
150,451,RSU-0002,Offload,1769334290741248,1769334290775580,1769334290776231,1769334290776232,1769334300651290,1769334300651290,1769334301463817,1769334301463817,1769334301659826,10918578,652,8435921,812527,1669478,812527,641009,21,yolov5m,PngLossless,T2,HD
174,523,RSU-0000,Offload,1769334293171627,1769334293276402,1769334293277053,1769334293277053,1769334301463860,1769334301463860,1769334302272832,1769334302272832,1769334302680614,9508987,651,8604533,808972,94831,808972,644605,21,yolov5m,PngLossless,T2,HD
163,490,RSU-0001,Offload,1769334292057682,1769334292076557,1769334292077721,1769334292077722,1769334302272951,1769334302272952,1769334303074967,1769334303074967,1769334303418291,11360609,1165,9663189,802016,894239,802015,641343,20,yolov5m,PngLossless,T2,HD
169,508,RSU-0002,Offload,1769334292664775,1769334292674515,1769334292675168,1769334292675168,1769334303074996,1769334303074996,1769334303875415,1769334303875416,1769334304514681,11849906,653,9430227,800420,1618606,800419,644614,20,yolov5m,PngLossless,T2,HD
192,577,RSU-0000,Offload,1769334294995836,1769334295088735,1769334295089928,1769334295089929,1769334303875466,1769334303875466,1769334304649129,1769334304649129,1769334305447995,10452159,1194,9549913,773663,127389,773663,646801,22,yolov5m,PngLossless,T2,HD
178,535,RSU-0001,Offload,1769334293577534,1769334293585430,1769334293586007,1769334293586007,1769334304649161,1769334304649161,1769334305449461,1769334305449461,1769334306213506,12635972,577,10874406,800300,960689,800300,647211,22,yolov5m,PngLossless,T2,HD
185,556,RSU-0002,Offload,1769334294287303,1769334294313196,1769334294313796,1769334294313796,1769334305449503,1769334305449503,1769334306215874,1769334306215874,1769334306448754,12161451,600,9809473,766371,1585007,766371,641897,20,yolov5m,PngLossless,T2,HD
202,607,RSU-0000,Offload,1769334296009292,1769334296057426,1769334296058079,1769334296058079,1769334306215924,1769334306215924,1769334306995033,1769334306995033,1769334307270102,11260810,653,10387062,779109,93986,779109,657741,22,yolov5m,PngLossless,T2,HD
189,568,RSU-0001,Offload,1769334294692266,1769334294810213,1769334294811178,1769334294811178,1769334306995061,1769334306995061,1769334307786363,1769334307786363,1769334308481204,13788938,965,12009342,791302,987329,791302,642764,20,yolov5m,PngLossless,T2,HD
199,598,RSU-0002,Offload,1769334295705592,1769334296362678,1769334296363796,1769334296363796,1769334307786392,1769334307786392,1769334308624336,1769334308624336,1769334309167679,13462087,1118,10836973,837944,1786052,837944,656034,21,yolov5m,PngLossless,T2,HD
213,640,RSU-0000,Offload,1769334297124003,1769334297134268,1769334297134923,1769334297134923,1769334308624373,1769334308624373,1769334309439482,1769334309439482,1769334309868954,12744951,655,11771764,815109,157423,815109,663692,22,yolov5m,PngLossless,T2,HD
204,613,RSU-0001,Offload,1769334296211411,1769334297133945,1769334297134981,1769334297134981,1769334309439511,1769334309439511,1769334310229361,1769334310229361,1769334310774467,14563056,1036,12914638,789850,857532,789850,660262,24,yolov5m,PngLossless,T2,HD
213,640,RSU-0002,Offload,1769334297124020,1769334298430859,1769334298431838,1769334298431838,1769334310229393,1769334310229394,1769334311021293,1769334311021293,1769334311792903,14668883,979,12269718,791900,1606286,791899,663692,22,yolov5m,PngLossless,T2,HD
226,679,RSU-0000,Offload,1769334298442573,1769334298740442,1769334298741373,1769334298741374,1769334311021330,1769334311021330,1769334311803892,1769334311803892,1769334311865816,13423243,932,12517179,782562,122570,782562,667204,23,yolov5m,PngLossless,T2,HD
218,655,RSU-0001,Offload,1769334297630189,1769334299524698,1769334299525699,1769334299525699,1769334311803920,1769334311803920,1769334312638916,1769334312638916,1769334313068482,15438293,1001,13475692,834996,1126604,834996,662404,25,yolov5m,PngLossless,T2,HD
226,679,RSU-0002,Offload,1769334298442592,1769334300219620,1769334300220603,1769334300220604,1769334312638953,1769334312638953,1769334313444881,1769334313444881,1769334313935041,15492449,984,12968342,805928,1717195,805928,667204,23,yolov5m,PngLossless,T2,HD
238,715,RSU-0000,Offload,1769334299656828,1769334300844656,1769334300845720,1769334300845720,1769334313444917,1769334313444917,1769334314242246,1769334314242246,1769334314927871,15271043,1064,14327942,797329,144708,797329,657164,24,yolov5m,PngLossless,T2,HD
234,703,RSU-0001,Offload,1769334299252438,1769334301670775,1769334301671689,1769334301671690,1769334314242275,1769334314242276,1769334315041551,1769334315041551,1769334315131118,15878680,915,14239601,799276,838888,799275,661212,25,yolov5m,PngLossless,T2,HD
244,733,RSU-0002,Offload,1769334300266732,1769334302762476,1769334302763434,1769334302763434,1769334315041584,1769334315041584,1769334315856543,1769334315856543,1769334316460157,16193425,958,13645788,814959,1731720,814959,666324,25,yolov5m,PngLossless,T2,HD
253,760,RSU-0000,Offload,1769334301178479,1769334302799482,1769334302800418,1769334302800419,1769334315856591,1769334315856592,1769334316672070,1769334316672070,1769334317271536,16093057,937,15100213,815479,176428,815478,669522,22,yolov5m,PngLossless,T2,HD
248,745,RSU-0001,Offload,1769334300672058,1769334304515222,1769334304516110,1769334304516111,1769334316672103,1769334316672104,1769334317492557,1769334317492557,1769334317980157,17308099,889,15603227,820454,883529,820453,679190,26,yolov5m,PngLossless,T2,HD
260,781,RSU-0002,Offload,1769334301886818,1769334304703193,1769334304703813,1769334304703813,1769334317492587,1769334317492587,1769334318298874,1769334318298875,1769334318708363,16821545,620,14267904,806288,1746733,806287,675266,23,yolov5m,PngLossless,T2,HD
269,808,RSU-0000,Offload,1769334302799828,1769334306214542,1769334306215355,1769334306215355,1769334318298913,1769334318298913,1769334319108959,1769334319108959,1769334319183508,16383680,813,15225419,810046,347402,810046,669333,19,yolov5m,PngLossless,T2,HD
268,805,RSU-0001,Offload,1769334302697965,1769334307832813,1769334307833736,1769334307833736,1769334319108994,1769334319108995,1769334319888268,1769334319888268,1769334320524313,17826348,923,16168096,779274,878055,779273,669455,22,yolov5m,PngLossless,T2,HD
280,841,RSU-0002,Offload,1769334303916567,1769334308779365,1769334308780546,1769334308780547,1769334319888296,1769334319888297,1769334320692643,1769334320692643,1769334321165492,17248925,1182,14851985,804347,1591411,804346,674934,21,yolov5m,PngLossless,T2,HD
282,847,RSU-0000,Offload,1769334304119686,1769334308829540,1769334308831066,1769334308831067,1769334320692689,1769334320692690,1769334321508640,1769334321508640,1769334321573279,17453593,1527,16389980,815951,246135,815950,672029,22,yolov5m,PngLossless,T2,HD
282,847,RSU-0001,Offload,1769334304119697,1769334310020355,1769334310021225,1769334310021225,1769334321508676,1769334321508676,1769334322307614,1769334322307614,1769334322570399,18450702,870,16743664,798938,907230,798938,672029,22,yolov5m,PngLossless,T2,HD
295,886,RSU-0002,Offload,1769334305437024,1769334310861011,1769334310862199,1769334310862200,1769334322307644,1769334322307644,1769334323115804,1769334323115804,1769334323125067,17688043,1189,15234004,808160,1644690,808160,685096,23,yolov5m,PngLossless,T2,HD
298,895,RSU-0000,Offload,1769334305740758,1769334311811316,1769334311812478,1769334311812478,1769334323115835,1769334323115835,1769334323933109,1769334323933109,1769334324253054,18512296,1162,17458577,817274,235283,817274,675223,22,yolov5m,PngLossless,T2,HD
298,895,RSU-0001,Offload,1769334305740773,1769334313032744,1769334313034176,1769334313034176,1769334323933140,1769334323933140,1769334324738137,1769334324738137,1769334325318669,19577896,1432,17640056,804997,1131411,804997,675223,22,yolov5m,PngLossless,T2,HD
313,940,RSU-0002,Offload,1769334307260057,1769334313892645,1769334313893673,1769334313893674,1769334324738167,1769334324738167,1769334325543083,1769334325543083,1769334326079201,18819144,1029,16333744,804916,1679455,804916,630806,21,yolov5m,PngLossless,T2,HD
313,940,RSU-0000,Offload,1769334307260038,1769334314071773,1769334314072636,1769334314072636,1769334325543118,1769334325543118,1769334326353314,1769334326353314,1769334326784319,19524281,863,18099300,810196,613922,810196,630806,21,yolov5m,PngLossless,T2,HD
318,955,RSU-0001,Offload,1769334307766654,1769334315848759,1769334315849620,1769334315849621,1769334326353344,1769334326353344,1769334327157080,1769334327157080,1769334327414052,19647398,862,18002084,803736,840716,803736,629488,18,yolov5m,PngLossless,T2,HD
332,997,RSU-0002,Offload,1769334309186286,1769334316497200,1769334316498377,1769334316498377,1769334327157107,1769334327157107,1769334327959443,1769334327959443,1769334328142688,18956402,1177,16526898,802336,1625991,802336,631142,20,yolov5m,PngLossless,T2,HD
