sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768650748631691,1768650748674921,1768650748677731,1768650748677732,1768650759724356,1768650759724357,1768650760331451,1768650760331451,1768650760605390,11973699,2811,11046624,607095,607094,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
0,1,RSU-0001,Offload,1768650748631691,1768650748674193,1768650748676834,1768650748676835,1768650760338108,1768650760338108,1768650761056726,1768650761056726,1768650761311039,12679348,2642,11661273,718618,718618,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
0,1,RSU-0002,Offload,1768650748631691,1768650748678698,1768650748683866,1768650748683867,1768650761056765,1768650761056765,1768650761775272,1768650761775272,1768650762278139,13646448,5169,12372898,718507,718507,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
1,7,RSU-0001,Offload,1768650748832528,1768650748846145,1768650748849199,1768650748849199,1768650762916862,1768650762916862,1768650763531416,1768650763531416,1768650763537609,14705081,3054,14067663,614554,614554,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
1,7,RSU-0000,Offload,1768650748832528,1768650748852492,1768650748855196,1768650748855197,1768650763541264,1768650763541264,1768650764286507,1768650764286508,1768650764351279,15518751,2705,14686067,745244,745243,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
1,7,RSU-0002,Offload,1768650748832528,1768650748841832,1768650748927067,1768650748927068,1768650764286645,1768650764286646,1768650765010879,1768650765010879,1768650765331540,16499012,85236,15359577,724234,724233,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
2,13,RSU-0001,Offload,1768650749033595,1768650749064455,1768650749067525,1768650749067525,1768650765010942,1768650765010942,1768650765729808,1768650765729808,1768650766348496,17314901,3070,15943417,718866,718866,3687468,18,1280,720,yolov5m,PngLossless,T3,HD
2,13,RSU-0000,Offload,1768650749033595,1768650749087075,1768650749090003,1768650749090004,1768650765729958,1768650765729958,1768650766450013,1768650766450014,1768650767462840,18429245,2929,16639954,720056,720055,3687468,18,1280,720,yolov5m,PngLossless,T3,HD
2,13,RSU-0002,Offload,1768650749033595,1768650749065950,1768650749077541,1768650749077541,1768650766450155,1768650766450155,1768650767188217,1768650767188217,1768650767488440,18454845,11591,17372614,738062,738062,3687468,18,1280,720,yolov5m,PngLossless,T3,HD
3,19,RSU-0000,Offload,1768650749234801,1768650749249748,1768650749252712,1768650749252712,1768650767188419,1768650767188419,1768650767915776,1768650767915776,1768650768028092,18793291,2964,17935707,727357,727357,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
3,19,RSU-0001,Offload,1768650749234801,1768650749246143,1768650749249315,1768650749249315,1768650767915936,1768650767915936,1768650768672534,1768650768672534,1768650769290345,20055544,3172,18666621,756598,756598,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
4,25,RSU-0000,Offload,1768650749435330,1768650749449110,1768650749451909,1768650749451910,1768650768672768,1768650768672768,1768650769382478,1768650769382478,1768650769418961,19983631,2800,19220858,709710,709710,3687468,18,1280,720,yolov5m,PngLossless,T3,HD
4,25,RSU-0001,Offload,1768650749435330,1768650749446683,1768650749449661,1768650749449661,1768650769382998,1768650769382999,1768650770165091,1768650770165091,1768650770867766,21432436,2978,19933337,782093,782092,3687468,18,1280,720,yolov5m,PngLossless,T3,HD
3,19,RSU-0002,Offload,1768650749234801,1768650749235873,1768650749310393,1768650749310393,1768650770165251,1768650770165251,1768650770948578,1768650770948578,1768650770993860,21759059,74520,20854858,783327,783327,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
5,31,RSU-0000,Offload,1768650749637355,1768650749652248,1768650749655098,1768650749655099,1768650770948629,1768650770948629,1768650771739093,1768650771739094,1768650772360783,22723428,2851,21293530,790465,790464,3687468,19,1280,720,yolov5m,PngLossless,T3,HD
6,37,RSU-0001,Offload,1768650749839001,1768650749847340,1768650749849510,1768650749849511,1768650771739136,1768650771739136,1768650772502535,1768650772502535,1768650773471807,23632806,2171,21889625,763399,763399,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
4,25,RSU-0002,Offload,1768650749435330,1768650749447519,1768650749534004,1768650749534004,1768650772502577,1768650772502578,1768650773338964,1768650773338964,1768650773561596,24126266,86485,22968573,836387,836386,3687468,18,1280,720,yolov5m,PngLossless,T3,HD
7,43,RSU-0000,Offload,1768650750039581,1768650750066678,1768650750070152,1768650750070153,1768650773339006,1768650773339006,1768650774088708,1768650774088708,1768650774831466,24791885,3475,23268853,749702,749702,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
8,49,RSU-0001,Offload,1768650750240534,1768650750258251,1768650750260474,1768650750260474,1768650774088834,1768650774088835,1768650774856882,1768650774856882,1768650775541944,25301410,2223,23828360,768048,768047,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
6,37,RSU-0002,Offload,1768650749839001,1768650749842068,1768650749928701,1768650749928701,1768650774857112,1768650774857113,1768650775561692,1768650775561692,1768650775563822,25724821,86633,24928411,704580,704579,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
9,55,RSU-0000,Offload,1768650750441338,1768650750459265,1768650750461948,1768650750461948,1768650775561926,1768650775561926,1768650776376347,1768650776376347,1768650776787501,26346163,2683,25099978,814421,814421,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
9,55,RSU-0001,Offload,1768650750441338,1768650750453102,1768650750455915,1768650750455916,1768650776376486,1768650776376486,1768650777122645,1768650777122645,1768650777132689,26691351,2814,25920570,746159,746159,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
7,43,RSU-0002,Offload,1768650750039581,1768650750075579,1768650750161647,1768650750161647,1768650777122710,1768650777122710,1768650777918470,1768650777918470,1768650778510833,28471252,86068,26961063,795760,795760,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
11,67,RSU-0000,Offload,1768650750845244,1768650750882844,1768650750885954,1768650750885955,1768650777918535,1768650777918535,1768650778646040,1768650778646040,1768650778701449,27856205,3111,27032580,727505,727505,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
12,73,RSU-0001,Offload,1768650751046810,1768650751059855,1768650751062189,1768650751062190,1768650778646098,1768650778646098,1768650779468346,1768650779468346,1768650779986988,28940178,2335,27583908,822248,822248,3687468,24,1280,720,yolov5m,PngLossless,T3,HD
8,49,RSU-0002,Offload,1768650750240534,1768650750258047,1768650750344098,1768650750344098,1768650779468381,1768650779468381,1768650780271986,1768650780271986,1768650781240127,30999593,86051,29124283,803605,803605,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
12,73,RSU-0000,Offload,1768650751046810,1768650751057092,1768650751059798,1768650751059799,1768650780272078,1768650780272078,1768650781013889,1768650781013890,1768650781310746,30263936,2707,29212279,741812,741811,3687468,24,1280,720,yolov5m,PngLossless,T3,HD
13,79,RSU-0001,Offload,1768650751247967,1768650751263287,1768650751265938,1768650751265939,1768650781013937,1768650781013937,1768650781744983,1768650781744983,1768650782502481,31254514,2652,29747998,731046,731046,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
11,67,RSU-0002,Offload,1768650750845244,1768650750852660,1768650750937859,1768650750937860,1768650781745202,1768650781745203,1768650782539383,1768650782539384,1768650783480529,32635285,85200,30807342,794182,794180,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
14,85,RSU-0000,Offload,1768650751448937,1768650751456142,1768650751458637,1768650751458637,1768650782539605,1768650782539606,1768650783333131,1768650783333132,1768650783553375,32104438,2495,31080968,793527,793525,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
14,85,RSU-0001,Offload,1768650751448937,1768650751463255,1768650751465716,1768650751465716,1768650783333326,1768650783333326,1768650784087732,1768650784087733,1768650784780374,33331437,2461,31867610,754407,754406,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
12,73,RSU-0002,Offload,1768650751046810,1768650751049229,1768650751138081,1768650751138081,1768650784087946,1768650784087947,1768650784870315,1768650784870315,1768650784889624,33842814,88852,32949865,782369,782368,3687468,24,1280,720,yolov5m,PngLossless,T3,HD
15,91,RSU-0000,Offload,1768650751649844,1768650751656689,1768650751659140,1768650751659140,1768650784870451,1768650784870452,1768650785641166,1768650785641167,1768650786366129,34716285,2451,33211311,770716,770714,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
16,97,RSU-0001,Offload,1768650751850625,1768650751854706,1768650751857439,1768650751857439,1768650785641353,1768650785641353,1768650786423419,1768650786423419,1768650786428384,34577759,2733,33783914,782066,782066,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
14,85,RSU-0002,Offload,1768650751448937,1768650751456048,1768650751544790,1768650751544790,1768650786423489,1768650786423489,1768650787205283,1768650787205283,1768650788048327,36599390,88742,34878699,781794,781794,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
17,103,RSU-0000,Offload,1768650752052179,1768650752069867,1768650752072584,1768650752072584,1768650787205348,1768650787205348,1768650788017063,1768650788017064,1768650788527560,36475381,2717,35132764,811716,811715,3687468,25,1280,720,yolov5m,PngLossless,T3,HD
