sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768753115552769,1768753115556211,1768753115557272,1768753115557273,1768753115741328,1768753115741328,1768753116276238,1768753116276238,1768753116278831,726062,1062,184055,534910,534910,1323972,17,640,640,yolov5m,PngLossless,T3,Letterbox
1,4,RSU-0002,Offload,1768753115653070,1768753115667864,1768753115668983,1768753115668984,1768753116278447,1768753116278447,1768753117005220,1768753117005220,1768753117039932,1386862,1120,609463,726773,726773,1323953,17,640,640,yolov5m,PngLossless,T3,Letterbox
0,1,RSU-0000,Offload,1768753115552769,1768753115557823,1768753115558886,1768753115558886,1768753117005264,1768753117005264,1768753117683986,1768753117683986,1768753117736359,2183590,1063,1446378,678722,678722,1323972,17,640,640,yolov5m,PngLossless,T3,Letterbox
1,4,RSU-0001,Offload,1768753115653070,1768753115665866,1768753115666812,1768753115666813,1768753117684329,1768753117684329,1768753118372045,1768753118372045,1768753118402330,2749260,947,2017516,687716,687716,1323953,17,640,640,yolov5m,PngLossless,T3,Letterbox
6,19,RSU-0002,Offload,1768753116158559,1768753116164492,1768753116165502,1768753116165502,1768753118372433,1768753118372489,1768753119060587,1768753119060587,1768753119158194,2999635,1010,2206931,688154,688098,1324049,16,640,640,yolov5m,PngLossless,T3,Letterbox
5,16,RSU-0000,Offload,1768753116057821,1768753116066447,1768753116067614,1768753116067615,1768753119060892,1768753119060892,1768753119748369,1768753119748369,1768753119856987,3799166,1168,2993277,687477,687477,1324038,16,640,640,yolov5m,PngLossless,T3,Letterbox
8,25,RSU-0001,Offload,1768753116361430,1768753116376677,1768753116379306,1768753116379306,1768753119748523,1768753119748524,1768753120438552,1768753120438552,1768753120537326,4175896,2629,3369217,690029,690028,1324062,18,640,640,yolov5m,PngLossless,T3,Letterbox
18,55,RSU-0002,Offload,1768753117374666,1768753117388058,1768753117389098,1768753117389098,1768753120438773,1768753120438773,1768753121131953,1768753121131953,1768753121144487,3769821,1040,3049675,693180,693180,1324052,21,640,640,yolov5m,PngLossless,T3,Letterbox
11,34,RSU-0000,Offload,1768753116664862,1768753116675631,1768753116676702,1768753116676703,1768753121131996,1768753121131996,1768753121826552,1768753121826552,1768753121877002,5212140,1072,4455293,694556,694556,1324074,18,640,640,yolov5m,PngLossless,T3,Letterbox
15,46,RSU-0001,Offload,1768753117070520,1768753117078263,1768753117080550,1768753117080551,1768753121826595,1768753121826595,1768753122526963,1768753122526963,1768753122737505,5666985,2288,4746044,700368,700368,1324060,20,640,640,yolov5m,PngLossless,T3,Letterbox
28,85,RSU-0002,Offload,1768753118387837,1768753118391517,1768753118392605,1768753118392605,1768753122527000,1768753122527000,1768753123234072,1768753123234072,1768753123238859,4851022,1088,4134395,707072,707072,1323896,21,640,640,yolov5m,PngLossless,T3,Letterbox
17,52,RSU-0000,Offload,1768753117273149,1768753117292322,1768753117294200,1768753117294201,1768753123234120,1768753123234120,1768753123952784,1768753123952785,1768753124028305,6755156,1879,5939919,718665,718664,1324063,19,640,640,yolov5m,PngLossless,T3,Letterbox
22,67,RSU-0001,Offload,1768753117779980,1768753117784189,1768753117786360,1768753117786360,1768753123952826,1768753123952826,1768753124651071,1768753124651071,1768753124711817,6931837,2171,6166466,698245,698245,1323987,21,640,640,yolov5m,PngLossless,T3,Letterbox
