sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768647528515363,1768647528514458,1768647528515719,1768647528515719,1768647528889078,1768647528889078,1768647529393827,1768647529393828,1768647529397344,881981,1261,373359,504750,504749,1323972,17,640,640,yolov5m,PngLossless,T3,Letterbox
0,1,RSU-0000,Offload,1768647528515363,1768647528518671,1768647528519756,1768647528519757,1768647529393975,1768647529393975,1768647529953445,1768647529953445,1768647529954862,1439499,1086,874218,559470,559470,1323972,17,640,640,yolov5m,PngLossless,T3,Letterbox
0,1,RSU-0001,Offload,1768647528515363,1768647528525458,1768647528526746,1768647528526747,1768647529953566,1768647529953566,1768647530477600,1768647530477601,1768647530479112,1963749,1289,1426819,524035,524034,1323972,17,640,640,yolov5m,PngLossless,T3,Letterbox
1,31,RSU-0000,Offload,1768647529517263,1768647529524470,1768647529525474,1768647529525475,1768647530477840,1768647530477841,1768647531054035,1768647531054035,1768647531059443,1542180,1005,952365,576195,576194,1324092,18,640,640,yolov5m,PngLossless,T3,Letterbox
1,31,RSU-0001,Offload,1768647529517263,1768647529524347,1768647529525399,1768647529525399,1768647531054096,1768647531054096,1768647531596610,1768647531596610,1768647531600592,2083329,1052,1528697,542514,542514,1324092,18,640,640,yolov5m,PngLossless,T3,Letterbox
1,31,RSU-0002,Offload,1768647529517263,1768647529513511,1768647529514569,1768647529514570,1768647531596828,1768647531596828,1768647532175036,1768647532175037,1768647532176400,2659137,1059,2082258,578209,578208,1324092,18,640,640,yolov5m,PngLossless,T3,Letterbox
3,91,RSU-0000,Offload,1768647531520193,1768647531526512,1768647531527680,1768647531527680,1768647532175162,1768647532175162,1768647532757984,1768647532757984,1768647532760514,1240321,1168,647482,582822,582822,1323922,21,640,640,yolov5m,PngLossless,T3,Letterbox
3,91,RSU-0001,Offload,1768647531520193,1768647531527925,1768647531528984,1768647531528984,1768647532758085,1768647532758085,1768647533316216,1768647533316216,1768647533317827,1797634,1059,1229101,558131,558131,1323922,21,640,640,yolov5m,PngLossless,T3,Letterbox
3,91,RSU-0002,Offload,1768647531520193,1768647531515288,1768647531516477,1768647531516478,1768647533316461,1768647533316461,1768647533918163,1768647533918163,1768647533919504,2399311,1190,1799983,601702,601702,1323922,21,640,640,yolov5m,PngLossless,T3,Letterbox
5,151,RSU-0000,Offload,1768647533523564,1768647533530051,1768647533531045,1768647533531045,1768647533918314,1768647533918314,1768647534470061,1768647534470061,1768647534471489,947925,994,387269,551747,551747,1324016,23,640,640,yolov5m,PngLossless,T3,Letterbox
5,151,RSU-0001,Offload,1768647533523564,1768647533531545,1768647533532599,1768647533532599,1768647534470280,1768647534470280,1768647535093799,1768647535093800,1768647535095245,1571681,1054,937681,623520,623519,1324016,23,640,640,yolov5m,PngLossless,T3,Letterbox
5,151,RSU-0002,Offload,1768647533523564,1768647533518939,1768647533520153,1768647533520153,1768647535094005,1768647535094005,1768647535778944,1768647535778944,1768647535793697,2270133,1214,1573852,684939,684939,1324016,23,640,640,yolov5m,PngLossless,T3,Letterbox
6,181,RSU-0000,Offload,1768647534525352,1768647534530733,1768647534531775,1768647534531775,1768647535779071,1768647535779071,1768647536761923,1768647536761924,1768647536765204,2239852,1042,1247296,982853,982852,1324096,23,640,640,yolov5m,PngLossless,T3,Letterbox
6,181,RSU-0001,Offload,1768647534525352,1768647534532551,1768647534533607,1768647534533607,1768647536762048,1768647536762049,1768647537332909,1768647537332909,1768647537334118,2808766,1056,2228441,570861,570860,1324096,23,640,640,yolov5m,PngLossless,T3,Letterbox
6,181,RSU-0002,Offload,1768647534525352,1768647534523072,1768647534524285,1768647534524285,1768647537333040,1768647537333040,1768647537949415,1768647537949415,1768647537950622,3425270,1213,2808755,616375,616375,1324096,23,640,640,yolov5m,PngLossless,T3,Letterbox
9,271,RSU-0000,Offload,1768647537528889,1768647537535243,1768647537536307,1768647537536307,1768647537949545,1768647537949545,1768647538507030,1768647538507030,1768647538508744,979855,1064,413238,557485,557485,1324117,23,640,640,yolov5m,PngLossless,T3,Letterbox
9,271,RSU-0001,Offload,1768647537528889,1768647537536662,1768647537537715,1768647537537715,1768647538507156,1768647538507156,1768647539122895,1768647539122896,1768647539124337,1595448,1053,969441,615740,615739,1324117,23,640,640,yolov5m,PngLossless,T3,Letterbox
9,271,RSU-0002,Offload,1768647537528889,1768647537524010,1768647537525068,1768647537525069,1768647539123019,1768647539123019,1768647539720448,1768647539720448,1768647539744524,2215635,1059,1597950,597429,597429,1324117,23,640,640,yolov5m,PngLossless,T3,Letterbox
10,301,RSU-0000,Offload,1768647538530318,1768647538536581,1768647538537595,1768647538537596,1768647539720576,1768647539720576,1768647540324150,1768647540324150,1768647540325567,1795249,1015,1182980,603574,603574,1324155,19,640,640,yolov5m,PngLossless,T3,Letterbox
10,301,RSU-0001,Offload,1768647538530318,1768647538537923,1768647538538952,1768647538538952,1768647540324292,1768647540324292,1768647540946770,1768647540946770,1768647540948434,2418116,1029,1785340,622478,622478,1324155,19,640,640,yolov5m,PngLossless,T3,Letterbox
10,301,RSU-0002,Offload,1768647538530318,1768647538525313,1768647538526415,1768647538526415,1768647540946917,1768647540946917,1768647541513485,1768647541513485,1768647541514908,2984590,1102,2420502,566568,566568,1324155,19,640,640,yolov5m,PngLossless,T3,Letterbox
12,361,RSU-0000,Offload,1768647540533244,1768647540539256,1768647540540328,1768647540540328,1768647541513732,1768647541513732,1768647542141027,1768647542141028,1768647542142741,1609497,1072,973404,627296,627295,1324130,17,640,640,yolov5m,PngLossless,T3,Letterbox
