sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769330813139181,1769330813142438,1769330813143551,1769330813143551,1769330813372734,1769330813372734,1769330814092285,1769330814092285,1769330814103305,964124,1113,243327,719551,133,719551,1323972,17,yolov5m,PngLossless,T3,Letterbox
0,1,RSU-0000,Offload,1769330813139181,1769330813143562,1769330813144728,1769330813144728,1769330814095291,1769330814095291,1769330814900487,1769330814900487,1769330814911760,1772579,1166,965926,805196,291,805196,1323972,17,yolov5m,PngLossless,T3,Letterbox
3,19,RSU-0000,Offload,1769330813741773,1769330813749126,1769330813750157,1769330813750158,1769330814900532,1769330814900532,1769330815702155,1769330815702155,1769330815746466,2004693,1032,1171779,801623,30259,801623,1324049,16,yolov5m,PngLossless,T3,Letterbox
1,7,RSU-0001,Offload,1769330813340012,1769330813343631,1769330813344740,1769330813344741,1769330815702189,1769330815702189,1769330816487702,1769330816487702,1769330816530274,3190262,1110,1532934,785513,870705,785513,1323987,17,yolov5m,PngLossless,T3,Letterbox
3,19,RSU-0002,Offload,1769330813741790,1769330813746665,1769330813747838,1769330813747838,1769330816487735,1769330816487735,1769330817274949,1769330817274950,1769330817285903,3544113,1173,1033183,787215,1722542,787214,1324049,16,yolov5m,PngLossless,T3,Letterbox
12,73,RSU-0000,Offload,1769330815554353,1769330815559916,1769330815561143,1769330815561144,1769330817274983,1769330817274983,1769330818057731,1769330818057732,1769330818088173,2533820,1228,1558170,782749,191673,782748,1323925,20,yolov5m,PngLossless,T3,Letterbox
7,43,RSU-0001,Offload,1769330814547671,1769330814551648,1769330814554297,1769330814554297,1769330818057773,1769330818057773,1769330818835229,1769330818835229,1769330818852172,4304501,2649,2568489,777456,955907,777456,1324068,22,yolov5m,PngLossless,T3,Letterbox
14,85,RSU-0002,Offload,1769330815957751,1769330815975073,1769330815976412,1769330815976412,1769330818835260,1769330818835260,1769330819619470,1769330819619471,1769330819641186,3683435,1339,1266478,784211,1631407,784210,1323896,21,yolov5m,PngLossless,T3,Letterbox
21,127,RSU-0000,Offload,1769330817368554,1769330817390572,1769330817392883,1769330817392883,1769330819619504,1769330819619504,1769330820406202,1769330820406202,1769330820514984,3146430,2311,2274193,786698,83228,786698,1324008,23,yolov5m,PngLossless,T3,Letterbox
14,85,RSU-0001,Offload,1769330815957750,1769330815977263,1769330815979731,1769330815979731,1769330820406233,1769330820406233,1769330821183250,1769330821183250,1769330821196585,5238835,2468,3430051,777017,1029299,777017,1323896,21,yolov5m,PngLossless,T3,Letterbox
25,151,RSU-0002,Offload,1769330818172860,1769330818177857,1769330818179053,1769330818179053,1769330821183285,1769330821183285,1769330821971079,1769330821971079,1769330822128953,3956093,1196,1512734,787794,1654369,787794,1324016,23,yolov5m,PngLossless,T3,Letterbox
30,181,RSU-0000,Offload,1769330819179679,1769330819191976,1769330819192949,1769330819192949,1769330821971112,1769330821971112,1769330822764532,1769330822764532,1769330823067065,3887386,973,3052052,793420,40941,793420,1324096,23,yolov5m,PngLossless,T3,Letterbox
23,139,RSU-0001,Offload,1769330817771258,1769330817797012,1769330817798263,1769330817798263,1769330822764562,1769330822764562,1769330823561433,1769330823561433,1769330823903404,6132146,1251,4536454,796871,797570,796871,1324019,23,yolov5m,PngLossless,T3,Letterbox
36,217,RSU-0002,Offload,1769330820389458,1769330820407924,1769330820409233,1769330820409233,1769330823561462,1769330823561462,1769330824357023,1769330824357023,1769330824814082,4424624,1309,2003841,795561,1623913,795561,1324100,24,yolov5m,PngLossless,T3,Letterbox
38,229,RSU-0000,Offload,1769330820793293,1769330820826503,1769330820827772,1769330820827773,1769330824357059,1769330824357059,1769330825155366,1769330825155366,1769330825246812,4453519,1270,3390267,798307,263675,798307,1324124,20,yolov5m,PngLossless,T3,Letterbox
29,175,RSU-0001,Offload,1769330818978891,1769330818999091,1769330819000706,1769330819000706,1769330825155395,1769330825155395,1769330825932809,1769330825932809,1769330826494760,7515869,1615,5809141,777414,927699,777414,1324095,22,yolov5m,PngLossless,T3,Letterbox
47,283,RSU-0002,Offload,1769330822606760,1769330822611426,1769330822612503,1769330822612503,1769330825932834,1769330825932834,1769330826719453,1769330826719453,1769330827174018,4567258,1077,2189739,786619,1589823,786619,1324104,21,yolov5m,PngLossless,T3,Letterbox
45,271,RSU-0000,Offload,1769330822204609,1769330822231830,1769330822232858,1769330822232858,1769330826719502,1769330826719502,1769330827507586,1769330827507586,1769330827891820,5687211,1028,4876790,788084,21309,788084,1324117,23,yolov5m,PngLossless,T3,Letterbox
55,331,RSU-0002,Offload,1769330824216684,1769330824284497,1769330824285594,1769330824285595,1769330827510293,1769330827510293,1769330828285562,1769330828285562,1769330828314367,4097683,1098,2237045,775269,1084271,775269,1324165,19,yolov5m,PngLossless,T3,Letterbox
49,295,RSU-0000,Offload,1769330823010236,1769330823023560,1769330823024678,1769330823024679,1769330828285597,1769330828285597,1769330829080216,1769330829080217,1769330829584008,6573772,1119,5303795,794620,474238,794619,1324136,20,yolov5m,PngLossless,T3,Letterbox
40,241,RSU-0001,Offload,1769330821195544,1769330821210098,1769330821211232,1769330821211233,1769330829080245,1769330829080245,1769330829864592,1769330829864593,1769330830088276,8892732,1135,7171642,784348,935607,784347,1324121,23,yolov5m,PngLossless,T3,Letterbox
