sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768660220188336,1768660220192607,1768660220193055,1768660220193055,1768660220358575,1768660220358575,1768660220895281,1768660220895281,1768660220898058,709722,448,165520,536706,536706,519002,17,1280,720,yolov5m,WebpLossless,T2,HD
0,1,RSU-0001,Offload,1768660220188336,1768660220188568,1768660220189048,1768660220189048,1768660220896295,1768660220896295,1768660221558582,1768660221558582,1768660221583432,1395096,480,707247,662287,662287,519002,17,1280,720,yolov5m,WebpLossless,T2,HD
9,19,RSU-0000,Offload,1768660220797948,1768660220799852,1768660220800206,1768660220800206,1768660221558742,1768660221558742,1768660222242321,1768660222242321,1768660222244455,1446507,354,758536,683579,683579,384256,17,1280,720,yolov5m,WebpLossless,T2,HD
7,15,RSU-0001,Offload,1768660220662250,1768660220664439,1768660220665222,1768660220665222,1768660222242477,1768660222242477,1768660222930784,1768660222930785,1768660222989155,2326905,783,1577255,688308,688307,385248,18,1280,720,yolov5m,WebpLossless,T2,HD
4,9,RSU-0002,Offload,1768660220459319,1768660220469502,1768660220473044,1768660220473045,1768660222930928,1768660222930928,1768660223609604,1768660223609604,1768660223693368,3234049,3543,2457883,678676,678676,416616,19,1280,720,yolov5m,WebpLossless,T2,HD
43,87,RSU-0000,Offload,1768660223106120,1768660223109642,1768660223110024,1768660223110024,1768660223609756,1768660223609756,1768660224290219,1768660224290219,1768660224382184,1276064,382,499732,680463,680463,392686,23,1280,720,yolov5m,WebpLossless,T2,HD
39,79,RSU-0001,Offload,1768660222834321,1768660222843555,1768660222843956,1768660222843956,1768660224290359,1768660224290359,1768660224970559,1768660224970560,1768660225003170,2168849,401,1446403,680201,680200,389784,22,1280,720,yolov5m,WebpLossless,T2,HD
22,45,RSU-0002,Offload,1768660221680281,1768660221692068,1768660221692495,1768660221692496,1768660224970690,1768660224970690,1768660225654545,1768660225654546,1768660225702268,4021987,428,3278194,683856,683855,386700,23,1280,720,yolov5m,WebpLossless,T2,HD
70,141,RSU-0000,Offload,1768660224943925,1768660224959012,1768660224959728,1768660224959729,1768660225654592,1768660225654592,1768660226356629,1768660226356629,1768660226418820,1474895,717,694863,702037,702037,395060,24,1280,720,yolov5m,WebpLossless,T2,HD
68,137,RSU-0001,Offload,1768660224807517,1768660224830953,1768660224831403,1768660224831403,1768660226356800,1768660226356800,1768660227059556,1768660227059556,1768660227349191,2541674,450,1525397,702756,702756,393464,23,1280,720,yolov5m,WebpLossless,T2,HD
