sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768648861672362,1768648861672353,1768648861672587,1768648861672587,1768648861884164,1768648861884164,1768648862373986,1768648862373986,1768648862378095,705733,234,211577,489822,489822,187358,17,640,640,yolov5m,WebpLossless,T2,Letterbox
0,1,RSU-0001,Offload,1768648861672362,1768648861674821,1768648861675080,1768648861675080,1768648862374407,1768648862374407,1768648862888743,1768648862888743,1768648862891796,1219434,259,699327,514336,514336,187358,17,640,640,yolov5m,WebpLossless,T2,Letterbox
1,31,RSU-0000,Offload,1768648862673502,1768648862680969,1768648862681170,1768648862681170,1768648862888898,1768648862888898,1768648863408352,1768648863408352,1768648863410750,737248,201,207728,519454,519454,165294,18,640,640,yolov5m,WebpLossless,T2,Letterbox
1,31,RSU-0001,Offload,1768648862673502,1768648862678326,1768648862678554,1768648862678554,1768648863408417,1768648863408417,1768648863940418,1768648863940418,1768648863942562,1269060,228,729863,532001,532001,165294,18,640,640,yolov5m,WebpLossless,T2,Letterbox
1,31,RSU-0002,Offload,1768648862673502,1768648862675568,1768648862675772,1768648862675772,1768648863940578,1768648863940578,1768648864469621,1768648864469621,1768648864472066,1798564,204,1264806,529043,529043,165294,18,640,640,yolov5m,WebpLossless,T2,Letterbox
2,61,RSU-0000,Offload,1768648863674313,1768648863681628,1768648863681839,1768648863681839,1768648864469693,1768648864469694,1768648865009096,1768648865009096,1768648865011501,1337188,211,787854,539403,539402,166078,19,640,640,yolov5m,WebpLossless,T2,Letterbox
2,61,RSU-0001,Offload,1768648863674313,1768648863678326,1768648863678562,1768648863678562,1768648865009255,1768648865009255,1768648865550639,1768648865550640,1768648865552980,1878667,236,1330693,541385,541384,166078,19,640,640,yolov5m,WebpLossless,T2,Letterbox
2,61,RSU-0002,Offload,1768648863674313,1768648863678094,1768648863678322,1768648863678322,1768648865550804,1768648865550804,1768648866099216,1768648866099216,1768648866101446,2427133,228,1872482,548412,548412,166078,19,640,640,yolov5m,WebpLossless,T2,Letterbox
4,121,RSU-0000,Offload,1768648865677588,1768648865684754,1768648865684968,1768648865684968,1768648866099376,1768648866099376,1768648866640103,1768648866640104,1768648866642454,964866,214,414408,540728,540727,166836,22,640,640,yolov5m,WebpLossless,T2,Letterbox
4,121,RSU-0001,Offload,1768648865677588,1768648865681534,1768648865681740,1768648865681740,1768648866640254,1768648866640254,1768648867191584,1768648867191584,1768648867195274,1517686,206,958514,551330,551330,166836,22,640,640,yolov5m,WebpLossless,T2,Letterbox
4,121,RSU-0002,Offload,1768648865677588,1768648865681195,1768648865681416,1768648865681416,1768648867191807,1768648867191807,1768648867748528,1768648867748528,1768648867750954,2073366,221,1510391,556721,556721,166836,22,640,640,yolov5m,WebpLossless,T2,Letterbox
