sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768648950556310,1768648950559506,1768648950560234,1768648950560235,1768648950806562,1768648950806562,1768648951341749,1768648951341749,1768648951344238,787928,729,246327,535187,535187,953250,17,1920,1080,yolov5m,WebpLossless,T3,FHD
0,1,RSU-0002,Offload,1768648950556310,1768648950559535,1768648950560296,1768648950560296,1768648951343290,1768648951343290,1768648951927491,1768648951927492,1768648951930963,1374653,761,782994,584202,584201,953250,17,1920,1080,yolov5m,WebpLossless,T3,FHD
1,31,RSU-0000,Offload,1768648951558086,1768648951563220,1768648951563691,1768648951563691,1768648951927540,1768648951927540,1768648952484689,1768648952484690,1768648952489552,931466,471,363849,557150,557149,516964,19,1920,1080,yolov5m,WebpLossless,T3,FHD
1,31,RSU-0001,Offload,1768648951558086,1768648951564068,1768648951564515,1768648951564515,1768648952484726,1768648952484726,1768648953069024,1768648953069024,1768648953071338,1513252,447,920211,584298,584298,516964,19,1920,1080,yolov5m,WebpLossless,T3,FHD
1,31,RSU-0002,Offload,1768648951558086,1768648951561764,1768648951562217,1768648951562217,1768648953069223,1768648953069223,1768648953655720,1768648953655720,1768648953669160,2111074,453,1507006,586497,586497,516964,19,1920,1080,yolov5m,WebpLossless,T3,FHD
2,61,RSU-0000,Offload,1768648952559396,1768648952564528,1768648952564960,1768648952564960,1768648953655774,1768648953655774,1768648954242059,1768648954242059,1768648954244595,1685199,432,1090814,586285,586285,526500,22,1920,1080,yolov5m,WebpLossless,T3,FHD
2,61,RSU-0001,Offload,1768648952559396,1768648952564048,1768648952564451,1768648952564452,1768648954242223,1768648954242224,1768648954838848,1768648954838848,1768648954841960,2282564,404,1677771,596625,596624,526500,22,1920,1080,yolov5m,WebpLossless,T3,FHD
2,61,RSU-0002,Offload,1768648952559396,1768648952564438,1768648952564924,1768648952564925,1768648954838991,1768648954838991,1768648955421595,1768648955421595,1768648955424325,2864929,487,2274066,582604,582604,526500,22,1920,1080,yolov5m,WebpLossless,T3,FHD
4,121,RSU-0000,Offload,1768648954563192,1768648954568271,1768648954568705,1768648954568705,1768648955421775,1768648955421775,1768648956030157,1768648956030158,1768648956032272,1469080,434,853070,608383,608382,534050,22,1920,1080,yolov5m,WebpLossless,T3,FHD
4,121,RSU-0001,Offload,1768648954563192,1768648954569032,1768648954569430,1768648954569430,1768648956030299,1768648956030299,1768648956622029,1768648956622029,1768648956627167,2063975,398,1460869,591730,591730,534050,22,1920,1080,yolov5m,WebpLossless,T3,FHD
4,121,RSU-0002,Offload,1768648954563192,1768648954566799,1768648954567345,1768648954567345,1768648956622135,1768648956622135,1768648957217493,1768648957217493,1768648957219962,2656770,546,2054790,595358,595358,534050,22,1920,1080,yolov5m,WebpLossless,T3,FHD
6,181,RSU-0000,Offload,1768648956565713,1768648956569814,1768648956570264,1768648956570264,1768648957217640,1768648957217640,1768648957832991,1768648957832991,1768648957835643,1269930,450,647376,615351,615351,532682,23,1920,1080,yolov5m,WebpLossless,T3,FHD
6,181,RSU-0001,Offload,1768648956565713,1768648956570241,1768648956570639,1768648956570639,1768648957833159,1768648957833160,1768648958425234,1768648958425234,1768648958428590,1862877,398,1262520,592075,592074,532682,23,1920,1080,yolov5m,WebpLossless,T3,FHD
6,181,RSU-0002,Offload,1768648956565713,1768648956570220,1768648956570693,1768648956570694,1768648958425295,1768648958425295,1768648959039836,1768648959039836,1768648959043301,2477588,474,1854601,614541,614541,532682,23,1920,1080,yolov5m,WebpLossless,T3,FHD
