sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768659058439964,1768659058442883,1768659058443544,1768659058443545,1768659058644126,1768659058644126,1768659059223004,1768659059223004,1768659059223295,783331,662,200581,578878,578878,737694,17,1920,1080,yolov5m,WebpLossy,T1,FHD
0,1,RSU-0001,Offload,1768659058439964,1768659058441437,1768659058442078,1768659058442079,1768659059226477,1768659059226478,1768659059992258,1768659059992258,1768659060018693,1578729,642,784398,765781,765780,737694,17,1920,1080,yolov5m,WebpLossy,T1,FHD
10,21,RSU-0000,Offload,1768659059117664,1768659059122120,1768659059122471,1768659059122471,1768659059992457,1768659059992458,1768659060740693,1768659060740693,1768659060773678,1656014,351,869986,748236,748235,416732,17,1920,1080,yolov5m,WebpLossy,T1,FHD
9,19,RSU-0001,Offload,1768659059050299,1768659059052684,1768659059053009,1768659059053009,1768659060740814,1768659060740814,1768659061473417,1768659061473417,1768659061542075,2491776,325,1687805,732603,732603,417220,18,1920,1080,yolov5m,WebpLossy,T1,FHD
1,3,RSU-0002,Offload,1768659058507575,1768659058511380,1768659058512142,1768659058512143,1768659061473652,1768659061473652,1768659062233838,1768659062233839,1768659062303273,3795698,763,2961509,760187,760186,939188,17,1920,1080,yolov5m,WebpLossy,T1,FHD
41,83,RSU-0000,Offload,1768659061226726,1768659061238684,1768659061239068,1768659061239068,1768659062233986,1768659062233986,1768659062969822,1768659062969823,1768659063016643,1789917,384,994918,735837,735836,424876,25,1920,1080,yolov5m,WebpLossy,T1,FHD
44,89,RSU-0001,Offload,1768659061430489,1768659061443724,1768659061444312,1768659061444312,1768659062969953,1768659062969953,1768659063725050,1768659063725050,1768659063876049,2445560,588,1525641,755097,755097,426482,23,1920,1080,yolov5m,WebpLossy,T1,FHD
20,41,RSU-0002,Offload,1768659059799265,1768659059800300,1768659059800719,1768659059800719,1768659063725185,1768659063725185,1768659064462117,1768659064462117,1768659064516584,4717319,419,3924466,736932,736932,414304,22,1920,1080,yolov5m,WebpLossy,T1,FHD
68,137,RSU-0000,Offload,1768659063061903,1768659063069237,1768659063069598,1768659063069598,1768659064462258,1768659064462258,1768659065192478,1768659065192478,1768659065222026,2160123,361,1392660,730220,730220,433662,22,1920,1080,yolov5m,WebpLossy,T1,FHD
77,155,RSU-0001,Offload,1768659063672108,1768659063672667,1768659063673149,1768659063673149,1768659065192626,1768659065192627,1768659065945144,1768659065945144,1768659066315886,2643778,482,1519477,752518,752517,432972,24,1920,1080,yolov5m,WebpLossy,T1,FHD
38,77,RSU-0002,Offload,1768659061024087,1768659061028231,1768659061028650,1768659061028650,1768659065945283,1768659065945283,1768659066725063,1768659066725063,1768659067017295,5993208,419,4916633,779780,779780,422292,24,1920,1080,yolov5m,WebpLossy,T1,FHD
96,193,RSU-0000,Offload,1768659064961335,1768659064967083,1768659064967423,1768659064967423,1768659066725131,1768659066725131,1768659067499012,1768659067499012,1768659067681751,2720416,340,1757708,773881,773881,429704,24,1920,1080,yolov5m,WebpLossy,T1,FHD
107,215,RSU-0001,Offload,1768659065707527,1768659065712050,1768659065712514,1768659065712514,1768659067499056,1768659067499056,1768659068230108,1768659068230108,1768659068463039,2755512,464,1786542,731052,731052,430130,21,1920,1080,yolov5m,WebpLossy,T1,FHD
56,113,RSU-0002,Offload,1768659062246330,1768659062257726,1768659062258119,1768659062258119,1768659068230338,1768659068230338,1768659068978401,1768659068978401,1768659069308311,7061981,393,5972219,748063,748063,429552,23,1920,1080,yolov5m,WebpLossy,T1,FHD
122,245,RSU-0000,Offload,1768659066725763,1768659066733212,1768659066733553,1768659066733553,1768659068978635,1768659068978635,1768659069739934,1768659069739935,1768659070010579,3284816,341,2245082,761300,761299,431578,22,1920,1080,yolov5m,WebpLossy,T1,FHD
137,275,RSU-0001,Offload,1768659067746126,1768659067759005,1768659067759485,1768659067759486,1768659069740079,1768659069740079,1768659070510568,1768659070510568,1768659070648155,2902029,481,1980593,770489,770489,431814,23,1920,1080,yolov5m,WebpLossy,T1,FHD
76,153,RSU-0002,Offload,1768659063603473,1768659063648501,1768659063648963,1768659063648964,1768659070510629,1768659070510629,1768659071274127,1768659071274127,1768659071437974,7834501,463,6861665,763498,763498,433428,26,1920,1080,yolov5m,WebpLossy,T1,FHD
153,307,RSU-0000,Offload,1768659068830514,1768659068955503,1768659068955901,1768659068955901,1768659071274300,1768659071274300,1768659072040448,1768659072040449,1768659072133075,3302561,398,2318399,766149,766148,424674,21,1920,1080,yolov5m,WebpLossy,T1,FHD
172,345,RSU-0001,Offload,1768659070123074,1768659070120840,1768659070121292,1768659070121292,1768659072040619,1768659072040619,1768659072808147,1768659072808148,1768659072853286,2730212,452,1919327,767529,767528,426064,20,1920,1080,yolov5m,WebpLossy,T1,FHD
94,189,RSU-0002,Offload,1768659064825473,1768659064829863,1768659064830290,1768659064830290,1768659072808309,1768659072808310,1768659073598516,1768659073598517,1768659073696613,8871140,427,7978019,790208,790206,432094,22,1920,1080,yolov5m,WebpLossy,T1,FHD
185,371,RSU-0000,Offload,1768659071003581,1768659071025938,1768659071026309,1768659071026309,1768659073598750,1768659073598750,1768659074376178,1768659074376179,1768659074395918,3392337,371,2572441,777429,777428,419854,17,1920,1080,yolov5m,WebpLossy,T1,FHD
207,415,RSU-0001,Offload,1768659072500053,1768659072499759,1768659072500167,1768659072500168,1768659074376349,1768659074376349,1768659075136597,1768659075136598,1768659075169511,2669458,409,1876181,760249,760248,422184,18,1920,1080,yolov5m,WebpLossy,T1,FHD
114,229,RSU-0002,Offload,1768659066182556,1768659066193697,1768659066194085,1768659066194085,1768659075136759,1768659075136759,1768659075913818,1768659075913819,1768659076401096,10218540,388,8942674,777060,777059,430204,23,1920,1080,yolov5m,WebpLossy,T1,FHD
212,425,RSU-0000,Offload,1768659072838715,1768659072888548,1768659072889061,1768659072889061,1768659075913924,1768659075913925,1768659076663034,1768659076663034,1768659076767666,3928951,513,3024863,749110,749109,420100,20,1920,1080,yolov5m,WebpLossy,T1,FHD
241,483,RSU-0001,Offload,1768659074811049,1768659074816365,1768659074816834,1768659074816834,1768659076663073,1768659076663073,1768659077442346,1768659077442346,1768659077995726,3184677,469,1846239,779273,779273,421496,19,1920,1080,yolov5m,WebpLossy,T1,FHD
136,273,RSU-0002,Offload,1768659067678199,1768659067972119,1768659067972728,1768659067972729,1768659077442515,1768659077442515,1768659078224726,1768659078224726,1768659078743698,11065499,610,9469786,782211,782211,430614,22,1920,1080,yolov5m,WebpLossy,T1,FHD
242,485,RSU-0000,Offload,1768659074878607,1768659074909111,1768659074909498,1768659074909498,1768659078224887,1768659078224888,1768659079005635,1768659079005635,1768659079234447,4355840,387,3315389,780748,780747,422400,18,1920,1080,yolov5m,WebpLossy,T1,FHD
267,535,RSU-0001,Offload,1768659076576790,1768659076585847,1768659076586188,1768659076586188,1768659079005801,1768659079005801,1768659079839135,1768659079839136,1768659079849792,3273002,341,2419613,833335,833334,424492,22,1920,1080,yolov5m,WebpLossy,T1,FHD
