sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769324106483084,1769324106489712,1769324106489918,1769324106489918,1769324106614137,1769324106614137,1769324107323487,1769324107323487,1769324107324903,841819,206,132257,709350,6,709350,187358,17,yolov5m,WebpLossy,T1,Letterbox
0,1,RSU-0002,Offload,1769324106483085,1769324106489657,1769324106489874,1769324106489874,1769324107323796,1769324107323796,1769324108071278,1769324108071278,1769324108072456,1589371,217,841665,747482,7,747482,187358,17,yolov5m,WebpLossy,T1,Letterbox
1,31,RSU-0000,Offload,1769324107484638,1769324107493501,1769324107493702,1769324107493702,1769324108071320,1769324108071320,1769324108814697,1769324108814697,1769324108815822,1331184,201,55139,743377,532467,743377,165294,18,yolov5m,WebpLossy,T1,Letterbox
1,31,RSU-0001,Offload,1769324107484657,1769324107494019,1769324107494194,1769324107494194,1769324108814731,1769324108814731,1769324109564065,1769324109564065,1769324109565247,2080590,175,54661,749334,1276420,749334,165294,18,yolov5m,WebpLossy,T1,Letterbox
1,31,RSU-0002,Offload,1769324107484658,1769324107491559,1769324107491755,1769324107491755,1769324109564096,1769324109564097,1769324110300655,1769324110300669,1769324110301794,2817136,196,54057,736573,2026310,736558,165294,18,yolov5m,WebpLossy,T1,Letterbox
3,91,RSU-0000,Offload,1769324109487172,1769324109495673,1769324109495909,1769324109495909,1769324110300710,1769324110300710,1769324111048809,1769324111048810,1769324111050374,1563202,236,61520,748100,753346,748099,168150,21,yolov5m,WebpLossy,T1,Letterbox
3,91,RSU-0001,Offload,1769324109487192,1769324109496663,1769324109496865,1769324109496865,1769324111048841,1769324111048841,1769324111795476,1769324111795476,1769324111796636,2309444,202,57073,746635,1505534,746635,168150,21,yolov5m,WebpLossy,T1,Letterbox
3,91,RSU-0002,Offload,1769324109487193,1769324109493719,1769324109493924,1769324109493924,1769324111795513,1769324111795513,1769324112541949,1769324112541949,1769324112547540,3060347,205,60889,746436,2252817,746436,168150,21,yolov5m,WebpLossy,T1,Letterbox
5,151,RSU-0000,Offload,1769324111490697,1769324111500277,1769324111500480,1769324111500480,1769324112541983,1769324112541983,1769324113281026,1769324113281026,1769324113282362,1791665,203,53462,739043,998957,739043,168314,23,yolov5m,WebpLossy,T1,Letterbox
5,151,RSU-0001,Offload,1769324111490716,1769324111499002,1769324111499201,1769324111499201,1769324113281062,1769324113281062,1769324114040305,1769324114040305,1769324114041593,2550877,199,44770,759243,1746665,759243,168314,23,yolov5m,WebpLossy,T1,Letterbox
5,151,RSU-0002,Offload,1769324111490717,1769324111497374,1769324111497613,1769324111497613,1769324114040343,1769324114040343,1769324114790861,1769324114790861,1769324114791926,3301209,239,49249,750518,2501203,750518,168314,23,yolov5m,WebpLossy,T1,Letterbox
8,241,RSU-0000,Offload,1769324114494704,1769324114503202,1769324114503403,1769324114503403,1769324114790900,1769324114790900,1769324115537381,1769324115537381,1769324115538505,1043801,201,55434,746481,241685,746481,166846,23,yolov5m,WebpLossy,T1,Letterbox
8,241,RSU-0001,Offload,1769324114494722,1769324114501946,1769324114502140,1769324114502140,1769324115537416,1769324115537416,1769324116279827,1769324116279827,1769324116280760,1786038,194,47336,742411,996097,742411,166846,23,yolov5m,WebpLossy,T1,Letterbox
8,241,RSU-0002,Offload,1769324114494723,1769324114502998,1769324114503201,1769324114503202,1769324116279861,1769324116279861,1769324117030464,1769324117030464,1769324117031635,2536912,204,50960,750603,1735145,750603,166846,23,yolov5m,WebpLossy,T1,Letterbox
10,301,RSU-0000,Offload,1769324116497534,1769324116507712,1769324116507940,1769324116507941,1769324117030505,1769324117030505,1769324117782482,1769324117782482,1769324117783647,1286113,229,53490,751977,480417,751977,166452,19,yolov5m,WebpLossy,T1,Letterbox
10,301,RSU-0001,Offload,1769324116497553,1769324116505050,1769324116505248,1769324116505248,1769324117782520,1769324117782520,1769324118528053,1769324118528053,1769324118535363,2037810,198,61728,745533,1230351,745533,166452,19,yolov5m,WebpLossy,T1,Letterbox
10,301,RSU-0002,Offload,1769324116497554,1769324116505320,1769324116505548,1769324116505549,1769324118528092,1769324118528092,1769324119273040,1769324119273041,1769324119274004,2776450,229,55087,744949,1976185,744948,166452,19,yolov5m,WebpLossy,T1,Letterbox
12,361,RSU-0000,Offload,1769324118501203,1769324118510635,1769324118510838,1769324118510838,1769324119273082,1769324119273083,1769324120026740,1769324120026740,1769324120028128,1526925,203,56975,753658,716089,753657,165204,17,yolov5m,WebpLossy,T1,Letterbox
12,361,RSU-0001,Offload,1769324118501249,1769324118509347,1769324118509541,1769324118509541,1769324120026770,1769324120026770,1769324120777849,1769324120777850,1769324120779297,2278048,194,57132,751080,1469642,751079,165204,17,yolov5m,WebpLossy,T1,Letterbox
12,361,RSU-0002,Offload,1769324118501250,1769324118507791,1769324118507992,1769324118507992,1769324120777883,1769324120777883,1769324121521796,1769324121521796,1769324121523140,3021890,201,57171,743913,2220605,743913,165204,17,yolov5m,WebpLossy,T1,Letterbox
14,421,RSU-0000,Offload,1769324120503157,1769324120512914,1769324120513089,1769324120513090,1769324121521833,1769324121521833,1769324122270266,1769324122270266,1769324122271555,1768398,176,55184,748433,964605,748433,165976,18,yolov5m,WebpLossy,T1,Letterbox
14,421,RSU-0001,Offload,1769324120503173,1769324120511306,1769324120511503,1769324120511503,1769324122270305,1769324122270306,1769324123022922,1769324123022923,1769324123024029,2520856,197,52224,752618,1715817,752616,165976,18,yolov5m,WebpLossy,T1,Letterbox
14,421,RSU-0002,Offload,1769324120503174,1769324120509761,1769324120509968,1769324120509968,1769324123022955,1769324123022956,1769324123776445,1769324123776445,1769324123777505,3274331,207,43999,753490,2476635,753489,165976,18,yolov5m,WebpLossy,T1,Letterbox
17,511,RSU-0000,Offload,1769324123506556,1769324123516356,1769324123516529,1769324123516529,1769324123776494,1769324123776495,1769324124521953,1769324124521953,1769324124523468,1016912,173,55210,745459,216070,745458,166430,21,yolov5m,WebpLossy,T1,Letterbox
17,511,RSU-0001,Offload,1769324123506575,1769324123513870,1769324123514081,1769324123514082,1769324124521987,1769324124521988,1769324125270797,1769324125270797,1769324125271924,1765349,212,55014,748810,961313,748809,166430,21,yolov5m,WebpLossy,T1,Letterbox
17,511,RSU-0002,Offload,1769324123506576,1769324123514052,1769324123514257,1769324123514257,1769324125270832,1769324125270832,1769324126024303,1769324126024303,1769324126025342,2518766,205,54404,753471,1710686,753471,166430,21,yolov5m,WebpLossy,T1,Letterbox
19,571,RSU-0000,Offload,1769324125509896,1769324125519834,1769324125519999,1769324125519999,1769324126024345,1769324126024345,1769324126778314,1769324126778314,1769324126779364,1269468,165,52485,753969,462849,753969,165828,20,yolov5m,WebpLossy,T1,Letterbox
19,571,RSU-0001,Offload,1769324125509916,1769324125518121,1769324125518322,1769324125518323,1769324126778353,1769324126778354,1769324127524384,1769324127524384,1769324127526560,2016644,202,53343,746031,1217068,746030,165828,20,yolov5m,WebpLossy,T1,Letterbox
19,571,RSU-0002,Offload,1769324125509918,1769324125516886,1769324125517062,1769324125517062,1769324127524417,1769324127524417,1769324128276019,1769324128276019,1769324128276948,2767030,176,51959,751602,1963293,751602,165828,20,yolov5m,WebpLossy,T1,Letterbox
21,631,RSU-0000,Offload,1769324127512716,1769324127521627,1769324127521799,1769324127521799,1769324128276065,1769324128276065,1769324129029560,1769324129029560,1769324129031004,1518288,172,58466,753495,706155,753495,170138,23,yolov5m,WebpLossy,T1,Letterbox
21,631,RSU-0001,Offload,1769324127512736,1769324127521732,1769324127521933,1769324127521933,1769324129029596,1769324129029596,1769324129782309,1769324129782309,1769324129783561,2270825,201,60975,752713,1456936,752713,170138,23,yolov5m,WebpLossy,T1,Letterbox
21,631,RSU-0002,Offload,1769324127512737,1769324127519268,1769324127519477,1769324127519477,1769324129782348,1769324129782348,1769324130528724,1769324130528724,1769324130530277,3017540,209,49689,746376,2221266,746376,170138,23,yolov5m,WebpLossy,T1,Letterbox
23,691,RSU-0000,Offload,1769324129516079,1769324129523749,1769324129523951,1769324129523951,1769324130528764,1769324130528764,1769324131281012,1769324131281013,1769324131281918,1765839,202,42764,752249,970624,752248,171198,23,yolov5m,WebpLossy,T1,Letterbox
23,691,RSU-0001,Offload,1769324129516096,1769324129524170,1769324129524376,1769324129524377,1769324131281049,1769324131281050,1769324132037052,1769324132037053,1769324132038034,2521938,207,50196,756004,1715531,756002,171198,23,yolov5m,WebpLossy,T1,Letterbox
23,691,RSU-0002,Offload,1769324129516098,1769324129524682,1769324129524850,1769324129524850,1769324132037086,1769324132037087,1769324132791345,1769324132791345,1769324132792475,3276377,168,50111,754259,2471839,754258,171198,23,yolov5m,WebpLossy,T1,Letterbox
26,781,RSU-0000,Offload,1769324132518945,1769324132526569,1769324132526781,1769324132526781,1769324132791388,1769324132791388,1769324133537330,1769324133537330,1769324133538498,1019553,212,47738,745942,225661,745942,173524,23,yolov5m,WebpLossy,T1,Letterbox
26,781,RSU-0001,Offload,1769324132518965,1769324132526981,1769324132527186,1769324132527186,1769324133537362,1769324133537362,1769324134287806,1769324134287806,1769324134288971,1770006,205,54393,750444,964964,750444,173524,23,yolov5m,WebpLossy,T1,Letterbox
26,781,RSU-0002,Offload,1769324132518966,1769324132527182,1769324132527387,1769324132527387,1769324134287842,1769324134287842,1769324135041365,1769324135041365,1769324135042412,2523446,205,47308,753523,1722410,753523,173524,23,yolov5m,WebpLossy,T1,Letterbox
28,841,RSU-0000,Offload,1769324134520772,1769324134533438,1769324134533645,1769324134533645,1769324135041408,1769324135041408,1769324135795003,1769324135795003,1769324135796392,1275620,207,57273,753595,464545,753595,174342,21,yolov5m,WebpLossy,T1,Letterbox
28,841,RSU-0001,Offload,1769324134520790,1769324134529159,1769324134529361,1769324134529361,1769324135795042,1769324135795042,1769324136542145,1769324136542145,1769324136543512,2022722,202,52692,747103,1222725,747103,174342,21,yolov5m,WebpLossy,T1,Letterbox
28,841,RSU-0002,Offload,1769324134520790,1769324134527879,1769324134528087,1769324134528087,1769324136542177,1769324136542177,1769324137300844,1769324137300844,1769324137301970,2781180,208,52587,758667,1969718,758667,174342,21,yolov5m,WebpLossy,T1,Letterbox
30,901,RSU-0000,Offload,1769324136523750,1769324136533617,1769324136533838,1769324136533839,1769324137300887,1769324137300887,1769324138057032,1769324138057033,1769324138058340,1534590,222,55016,756146,723206,756145,170898,23,yolov5m,WebpLossy,T1,Letterbox
30,901,RSU-0001,Offload,1769324136523766,1769324136531060,1769324136531264,1769324136531264,1769324138057066,1769324138057066,1769324138810214,1769324138810214,1769324138811410,2287644,204,45505,753148,1488787,753148,170898,23,yolov5m,WebpLossy,T1,Letterbox
30,901,RSU-0002,Offload,1769324136523767,1769324136531266,1769324136531471,1769324136531471,1769324138810253,1769324138810253,1769324139557823,1769324139557823,1769324139559925,3036158,205,62378,747570,2226005,747570,170898,23,yolov5m,WebpLossy,T1,Letterbox
32,961,RSU-0000,Offload,1769324138526376,1769324138535137,1769324138535346,1769324138535346,1769324139557869,1769324139557870,1769324140306409,1769324140306409,1769324140307448,1781072,209,49854,748540,982469,748539,164482,18,yolov5m,WebpLossy,T1,Letterbox
32,961,RSU-0001,Offload,1769324138526386,1769324138534114,1769324138534283,1769324138534283,1769324140306448,1769324140306449,1769324141061491,1769324141061491,1769324141062414,2536028,169,43390,755043,1737426,755042,164482,18,yolov5m,WebpLossy,T1,Letterbox
32,961,RSU-0002,Offload,1769324138526387,1769324138534910,1769324138535113,1769324138535113,1769324141061526,1769324141061526,1769324141815691,1769324141815692,1769324141816666,3290279,203,54373,754166,2481537,754165,164482,18,yolov5m,WebpLossy,T1,Letterbox
