sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769328146824981,1769328146831942,1769328146832583,1769328146832583,1769328147108094,1769328147108094,1769328147879425,1769328147879425,1769328147880972,1055991,641,284010,771331,9,771331,747136,17,yolov5m,WebpLossy,T2,FHD
0,1,RSU-0000,Offload,1769328146824981,1769328146830316,1769328146830950,1769328146830950,1769328147882627,1769328147882627,1769328148706012,1769328148706013,1769328148847455,2022474,634,1197141,823386,1313,823385,747136,17,yolov5m,WebpLossy,T2,FHD
3,19,RSU-0001,Offload,1769328147429346,1769328147433649,1769328147434013,1769328147434013,1769328148706042,1769328148706042,1769328149514309,1769328149514309,1769328149607801,2178455,364,546315,808267,823509,808267,414372,18,yolov5m,WebpLossy,T2,FHD
0,1,RSU-0002,Offload,1769328146824981,1769328146826905,1769328146827582,1769328146827582,1769328149514338,1769328149514339,1769328150313048,1769328150313048,1769328150323728,3498747,677,1066144,798710,1633216,798709,747136,17,yolov5m,WebpLossy,T2,FHD
16,97,RSU-0000,Offload,1769328150045193,1769328150049662,1769328150050059,1769328150050060,1769328150313080,1769328150313080,1769328151108811,1769328151108811,1769328151133512,1088319,398,116044,795731,176146,795731,421752,21,yolov5m,WebpLossy,T2,FHD
16,97,RSU-0001,Offload,1769328150045209,1769328150049060,1769328150049450,1769328150049450,1769328151108842,1769328151108842,1769328151891711,1769328151891711,1769328152039448,1994239,390,214076,782869,996904,782869,421752,21,yolov5m,WebpLossy,T2,FHD
16,97,RSU-0002,Offload,1769328150045243,1769328150047417,1769328150047825,1769328150047825,1769328151891742,1769328151891742,1769328152686976,1769328152686976,1769328152727422,2682179,408,127862,795234,1758675,795234,421752,21,yolov5m,WebpLossy,T2,FHD
28,169,RSU-0000,Offload,1769328152460075,1769328152464457,1769328152464888,1769328152464888,1769328152687020,1769328152687020,1769328153483390,1769328153483391,1769328153488038,1027963,431,109007,796371,122154,796370,423460,22,yolov5m,WebpLossy,T2,FHD
28,169,RSU-0001,Offload,1769328152460093,1769328152464241,1769328152464634,1769328152464635,1769328153483454,1769328153483454,1769328154282957,1769328154282957,1769328154287292,1827199,394,82713,799503,944589,799503,423460,22,yolov5m,WebpLossy,T2,FHD
28,169,RSU-0002,Offload,1769328152460095,1769328152461585,1769328152461962,1769328152461962,1769328154282991,1769328154282991,1769328155081436,1769328155081437,1769328155083184,2623089,377,60541,798446,1763725,798445,423460,22,yolov5m,WebpLossy,T2,FHD
40,241,RSU-0000,Offload,1769328154876144,1769328154884802,1769328154885161,1769328154885162,1769328155081479,1769328155081480,1769328155883602,1769328155883602,1769328155885758,1009614,360,101333,802123,105798,802122,428306,24,yolov5m,WebpLossy,T2,FHD
40,241,RSU-0001,Offload,1769328154876158,1769328154880297,1769328154880686,1769328154880687,1769328155883637,1769328155883637,1769328156685833,1769328156685834,1769328156687555,1811397,390,58065,802197,950745,802196,428306,24,yolov5m,WebpLossy,T2,FHD
40,241,RSU-0002,Offload,1769328154876160,1769328154879989,1769328154880353,1769328154880354,1769328156685867,1769328156685867,1769328157488943,1769328157488943,1769328157490536,2614376,365,91525,803076,1719410,803076,428306,24,yolov5m,WebpLossy,T2,FHD
52,313,RSU-0000,Offload,1769328157293503,1769328157301858,1769328157302249,1769328157302249,1769328157488982,1769328157488982,1769328158307414,1769328158307414,1769328158309507,1016004,391,94085,818432,103096,818432,420376,21,yolov5m,WebpLossy,T2,FHD
52,313,RSU-0001,Offload,1769328157293515,1769328157297751,1769328157298162,1769328157298163,1769328158307453,1769328158307453,1769328159108603,1769328159108604,1769328159110629,1817114,412,58333,801151,957218,801150,420376,21,yolov5m,WebpLossy,T2,FHD
52,313,RSU-0002,Offload,1769328157293517,1769328157297020,1769328157297432,1769328157297432,1769328159108639,1769328159108640,1769328159909975,1769328159909975,1769328159911512,2617995,412,70849,801336,1745398,801335,420376,21,yolov5m,WebpLossy,T2,FHD
64,385,RSU-0000,Offload,1769328159713023,1769328159720640,1769328159721065,1769328159721065,1769328159910013,1769328159910013,1769328160709385,1769328160709385,1769328160711291,998268,425,97525,799372,100946,799372,419790,21,yolov5m,WebpLossy,T2,FHD
64,385,RSU-0001,Offload,1769328159713037,1769328159719576,1769328159720021,1769328159720021,1769328160709419,1769328160709419,1769328161510823,1769328161510823,1769328161512588,1799551,445,84893,801404,912809,801404,419790,21,yolov5m,WebpLossy,T2,FHD
64,385,RSU-0002,Offload,1769328159713038,1769328159715693,1769328159716117,1769328159716117,1769328161510856,1769328161510856,1769328162312007,1769328162312007,1769328162313777,2600739,424,64394,801151,1734770,801151,419790,21,yolov5m,WebpLossy,T2,FHD
76,457,RSU-0000,Offload,1769328162126820,1769328162135559,1769328162135974,1769328162135974,1769328162312044,1769328162312045,1769328163113088,1769328163113088,1769328163114809,987989,415,93808,801044,92722,801043,416450,21,yolov5m,WebpLossy,T2,FHD
76,457,RSU-0001,Offload,1769328162126836,1769328162132033,1769328162132422,1769328162132422,1769328163113122,1769328163113122,1769328163915562,1769328163915562,1769328163917207,1790371,389,87282,802440,900260,802440,416450,21,yolov5m,WebpLossy,T2,FHD
76,457,RSU-0002,Offload,1769328162126837,1769328162129382,1769328162129815,1769328162129815,1769328163915596,1769328163915596,1769328164716474,1769328164716474,1769328164718332,2591495,433,76732,800878,1713452,800878,416450,21,yolov5m,WebpLossy,T2,FHD
88,529,RSU-0000,Offload,1769328164543104,1769328164551481,1769328164551921,1769328164551922,1769328164716513,1769328164716513,1769328165515143,1769328165515143,1769328165516882,973778,441,95390,798630,79317,798630,422742,22,yolov5m,WebpLossy,T2,FHD
88,529,RSU-0001,Offload,1769328164543122,1769328164548432,1769328164548788,1769328164548788,1769328165515174,1769328165515174,1769328166314124,1769328166314124,1769328166315685,1772563,356,83068,798950,890189,798950,422742,22,yolov5m,WebpLossy,T2,FHD
88,529,RSU-0002,Offload,1769328164543123,1769328164545820,1769328164546226,1769328164546227,1769328166314159,1769328166314159,1769328167113272,1769328167113272,1769328167114997,2571874,407,84063,799113,1688291,799113,422742,22,yolov5m,WebpLossy,T2,FHD
100,601,RSU-0000,Offload,1769328166959502,1769328166968049,1769328166968476,1769328166968476,1769328167113310,1769328167113310,1769328167913477,1769328167913477,1769328167915055,955553,427,91325,800167,63634,800167,428672,22,yolov5m,WebpLossy,T2,FHD
100,601,RSU-0001,Offload,1769328166959518,1769328166963720,1769328166964130,1769328166964130,1769328167913511,1769328167913512,1769328168722230,1769328168722230,1769328168725095,1765577,410,83858,808719,872590,808718,428672,22,yolov5m,WebpLossy,T2,FHD
