sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768655159728998,1768655159732660,1768655159733159,1768655159733159,1768655159821811,1768655159821811,1768655160365927,1768655160365927,1768655160371718,642720,499,88652,544116,544116,519002,17,1280,720,yolov5m,WebpLossy,T2,HD
1,4,RSU-0002,Offload,1768655159829690,1768655159833917,1768655159834499,1768655159834500,1768655160367143,1768655160367144,1768655161029500,1768655161029500,1768655161070417,1240727,583,532643,662357,662356,579662,17,1280,720,yolov5m,WebpLossy,T2,HD
10,31,RSU-0000,Offload,1768655160741600,1768655160748038,1768655160748428,1768655160748428,1768655161029628,1768655161029628,1768655161700655,1768655161700655,1768655161740384,998784,390,281200,671027,671027,383144,19,1280,720,yolov5m,WebpLossy,T2,HD
5,16,RSU-0001,Offload,1768655160233744,1768655160249551,1768655160250272,1768655160250272,1768655161700784,1768655161700784,1768655162344991,1768655162344991,1768655162350942,2117198,721,1450512,644207,644207,385276,17,1280,720,yolov5m,WebpLossy,T2,HD
11,34,RSU-0002,Offload,1768655160843370,1768655160849406,1768655160849814,1768655160849815,1768655162345858,1768655162345858,1768655162996172,1768655162996172,1768655163003549,2160179,409,1496043,650314,650314,383248,20,1280,720,yolov5m,WebpLossy,T2,HD
31,94,RSU-0000,Offload,1768655162872335,1768655162875240,1768655162875620,1768655162875620,1768655162996306,1768655162996306,1768655163650377,1768655163650378,1768655163665293,792958,380,120686,654072,654071,391960,23,1280,720,yolov5m,WebpLossy,T2,HD
31,94,RSU-0001,Offload,1768655162872335,1768655162882441,1768655162882838,1768655162882838,1768655163650542,1768655163650542,1768655164309383,1768655164309383,1768655164334268,1461933,397,767704,658841,658841,391960,23,1280,720,yolov5m,WebpLossy,T2,HD
31,94,RSU-0002,Offload,1768655162872335,1768655162874867,1768655162875323,1768655162875324,1768655164309516,1768655164309516,1768655164955299,1768655164955299,1768655164960583,2088248,457,1434192,645783,645783,391960,23,1280,720,yolov5m,WebpLossy,T2,HD
50,151,RSU-0000,Offload,1768655164799112,1768655164802537,1768655164802929,1768655164802930,1768655164955438,1768655164955439,1768655165611062,1768655165611062,1768655165617234,818122,393,152508,655624,655623,395392,24,1280,720,yolov5m,WebpLossy,T2,HD
50,151,RSU-0001,Offload,1768655164799112,1768655164809427,1768655164809777,1768655164809777,1768655165611213,1768655165611213,1768655166273975,1768655166273975,1768655166387124,1588012,350,801436,662762,662762,395392,24,1280,720,yolov5m,WebpLossy,T2,HD
50,151,RSU-0002,Offload,1768655164799112,1768655164801618,1768655164802013,1768655164802014,1768655166274121,1768655166274121,1768655166929991,1768655166929991,1768655166933540,2134428,396,1472107,655870,655870,395392,24,1280,720,yolov5m,WebpLossy,T2,HD
70,211,RSU-0000,Offload,1768655166828330,1768655166831863,1768655166832259,1768655166832259,1768655166930212,1768655166930212,1768655167599923,1768655167599924,1768655167620333,792003,396,97953,669712,669711,391452,23,1280,720,yolov5m,WebpLossy,T2,HD
70,211,RSU-0001,Offload,1768655166828330,1768655166839945,1768655166840270,1768655166840270,1768655167600051,1768655167600051,1768655168263755,1768655168263755,1768655168282623,1454293,325,759781,663704,663704,391452,23,1280,720,yolov5m,WebpLossy,T2,HD
70,211,RSU-0002,Offload,1768655166828330,1768655166829908,1768655166830316,1768655166830316,1768655168263868,1768655168263868,1768655168929623,1768655168929623,1768655168933352,2105022,408,1433552,665755,665755,391452,23,1280,720,yolov5m,WebpLossy,T2,HD
89,268,RSU-0000,Offload,1768655168752909,1768655168755648,1768655168756029,1768655168756029,1768655168929825,1768655168929825,1768655169605200,1768655169605200,1768655169608548,855639,381,173796,675375,675375,392634,22,1280,720,yolov5m,WebpLossy,T2,HD
90,271,RSU-0001,Offload,1768655168854150,1768655168866737,1768655168867126,1768655168867126,1768655169605359,1768655169605359,1768655170267380,1768655170267380,1768655170272759,1418609,389,738233,662021,662021,392728,23,1280,720,yolov5m,WebpLossy,T2,HD
90,271,RSU-0002,Offload,1768655168854150,1768655168855511,1768655168855898,1768655168855899,1768655170267537,1768655170267537,1768655170931043,1768655170931044,1768655170955898,2101748,388,1411638,663507,663506,392728,23,1280,720,yolov5m,WebpLossy,T2,HD
109,328,RSU-0000,Offload,1768655170780575,1768655170782370,1768655170782726,1768655170782726,1768655170931184,1768655170931184,1768655171595399,1768655171595399,1768655171598575,818000,356,148458,664215,664215,386494,21,1280,720,yolov5m,WebpLossy,T2,HD
109,328,RSU-0001,Offload,1768655170780575,1768655170791203,1768655170791655,1768655170791655,1768655171595614,1768655171595614,1768655172266801,1768655172266801,1768655172283614,1503039,452,803959,671187,671187,386494,21,1280,720,yolov5m,WebpLossy,T2,HD
109,328,RSU-0002,Offload,1768655170780575,1768655170783900,1768655170784337,1768655170784338,1768655172266945,1768655172266945,1768655172939784,1768655172939784,1768655172954427,2173852,438,1482607,672839,672839,386494,21,1280,720,yolov5m,WebpLossy,T2,HD
129,388,RSU-0000,Offload,1768655172808022,1768655172809091,1768655172809451,1768655172809452,1768655172939930,1768655172939930,1768655173621904,1768655173621904,1768655173625609,817587,361,130478,681974,681974,386336,19,1280,720,yolov5m,WebpLossy,T2,HD
129,388,RSU-0001,Offload,1768655172808022,1768655172820520,1768655172820937,1768655172820938,1768655173622129,1768655173622129,1768655174296750,1768655174296750,1768655174307363,1499341,418,801191,674621,674621,386336,19,1280,720,yolov5m,WebpLossy,T2,HD
129,388,RSU-0002,Offload,1768655172808022,1768655172811234,1768655172811653,1768655172811653,1768655174296884,1768655174296885,1768655174976522,1768655174976523,1768655174983560,2175538,419,1485231,679639,679637,386336,19,1280,720,yolov5m,WebpLossy,T2,HD
149,448,RSU-0000,Offload,1768655174832877,1768655174837575,1768655174837948,1768655174837948,1768655174976732,1768655174976732,1768655175663905,1768655175663905,1768655175717838,884961,373,138784,687173,687173,386632,22,1280,720,yolov5m,WebpLossy,T2,HD
149,448,RSU-0001,Offload,1768655174832877,1768655174844481,1768655174844861,1768655174844861,1768655175664121,1768655175664121,1768655176343539,1768655176343539,1768655176346859,1513982,380,819260,679418,679418,386632,22,1280,720,yolov5m,WebpLossy,T2,HD
149,448,RSU-0002,Offload,1768655174832877,1768655174835555,1768655174835912,1768655174835913,1768655176343735,1768655176343735,1768655177024690,1768655177024691,1768655177028054,2195177,358,1507822,680956,680955,386632,22,1280,720,yolov5m,WebpLossy,T2,HD
169,508,RSU-0000,Offload,1768655176861588,1768655176865028,1768655176865397,1768655176865397,1768655177024811,1768655177024811,1768655177714376,1768655177714376,1768655177728694,867106,369,159414,689565,689565,388492,20,1280,720,yolov5m,WebpLossy,T2,HD
170,511,RSU-0001,Offload,1768655176962316,1768655176972703,1768655176973066,1768655176973066,1768655177714504,1768655177714504,1768655178400400,1768655178400400,1768655178406567,1444251,363,741438,685896,685896,389500,21,1280,720,yolov5m,WebpLossy,T2,HD
169,508,RSU-0002,Offload,1768655176861588,1768655176863432,1768655176863825,1768655176863825,1768655178400545,1768655178400545,1768655179084072,1768655179084073,1768655179087276,2225688,393,1536720,683528,683527,388492,20,1280,720,yolov5m,WebpLossy,T2,HD
190,571,RSU-0000,Offload,1768655178987662,1768655178990398,1768655178990793,1768655178990793,1768655179084219,1768655179084219,1768655179794209,1768655179794209,1768655179797253,809591,395,93426,709990,709990,387210,21,1280,720,yolov5m,WebpLossy,T2,HD
190,571,RSU-0001,Offload,1768655178987662,1768655178999849,1768655179000193,1768655179000193,1768655179794251,1768655179794251,1768655180505964,1768655180505964,1768655180512153,1524491,344,794058,711713,711713,387210,21,1280,720,yolov5m,WebpLossy,T2,HD
190,571,RSU-0002,Offload,1768655178987662,1768655178989583,1768655178989978,1768655178989978,1768655180506138,1768655180506138,1768655181198749,1768655181198749,1768655181201807,2214145,395,1516160,692611,692611,387210,21,1280,720,yolov5m,WebpLossy,T2,HD
211,634,RSU-0000,Offload,1768655181117029,1768655181119784,1768655181120153,1768655181120153,1768655181198946,1768655181198946,1768655181907189,1768655181907189,1768655181910454,793425,369,78793,708243,708243,395498,22,1280,720,yolov5m,WebpLossy,T2,HD
211,634,RSU-0001,Offload,1768655181117029,1768655181130547,1768655181130917,1768655181130917,1768655181907325,1768655181907325,1768655182604621,1768655182604621,1768655182614562,1497533,370,776408,697296,697296,395498,22,1280,720,yolov5m,WebpLossy,T2,HD
211,634,RSU-0002,Offload,1768655181117029,1768655181118899,1768655181119336,1768655181119338,1768655182604829,1768655182604829,1768655183296761,1768655183296761,1768655183315795,2198766,439,1485491,691932,691932,395498,22,1280,720,yolov5m,WebpLossy,T2,HD
231,694,RSU-0000,Offload,1768655183146138,1768655183149029,1768655183149398,1768655183149398,1768655183296892,1768655183296892,1768655183986227,1768655183986228,1768655183992161,846023,369,147494,689336,689335,400164,25,1280,720,yolov5m,WebpLossy,T2,HD
232,697,RSU-0001,Offload,1768655183247815,1768655183259348,1768655183259690,1768655183259690,1768655183986378,1768655183986378,1768655184667001,1768655184667002,1768655184670158,1422343,342,726688,680624,680623,399700,23,1280,720,yolov5m,WebpLossy,T2,HD
231,694,RSU-0002,Offload,1768655183146138,1768655183147658,1768655183148083,1768655183148084,1768655184667145,1768655184667145,1768655185349248,1768655185349249,1768655185356484,2210346,426,1519061,682104,682103,400164,25,1280,720,yolov5m,WebpLossy,T2,HD
252,757,RSU-0000,Offload,1768655185273209,1768655185276151,1768655185276520,1768655185276520,1768655185349366,1768655185349366,1768655186056777,1768655186056778,1768655186063324,790115,369,72846,707412,707411,402230,24,1280,720,yolov5m,WebpLossy,T2,HD
252,757,RSU-0001,Offload,1768655185273209,1768655185283630,1768655185283973,1768655185283973,1768655186056882,1768655186056882,1768655186760120,1768655186760120,1768655186776114,1502905,343,772909,703238,703238,402230,24,1280,720,yolov5m,WebpLossy,T2,HD
252,757,RSU-0002,Offload,1768655185273209,1768655185274745,1768655185275207,1768655185275207,1768655186760231,1768655186760231,1768655187455797,1768655187455797,1768655187470589,2197380,462,1485024,695566,695566,402230,24,1280,720,yolov5m,WebpLossy,T2,HD
272,817,RSU-0000,Offload,1768655187300569,1768655187304124,1768655187304495,1768655187304495,1768655187455917,1768655187455918,1768655188159394,1768655188159395,1768655188199107,898538,371,151422,703478,703476,402192,21,1280,720,yolov5m,WebpLossy,T2,HD
272,817,RSU-0001,Offload,1768655187300569,1768655187312920,1768655187313261,1768655187313262,1768655188159502,1768655188159502,1768655188860452,1768655188860452,1768655188882606,1582037,342,846240,700950,700950,402192,21,1280,720,yolov5m,WebpLossy,T2,HD
272,817,RSU-0002,Offload,1768655187300569,1768655187301687,1768655187302096,1768655187302097,1768655188860670,1768655188860670,1768655189567155,1768655189567155,1768655189594344,2293775,410,1558573,706485,706485,402192,21,1280,720,yolov5m,WebpLossy,T2,HD
293,880,RSU-0000,Offload,1768655189429251,1768655189432382,1768655189432773,1768655189432773,1768655189567276,1768655189567277,1768655190199365,1768655190199366,1768655190202700,773449,391,134503,632090,632088,416208,23,1280,720,yolov5m,WebpLossy,T2,HD
