sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769333286536382,1769333286541222,1769333286541807,1769333286541807,1769333286775060,1769333286775060,1769333287511288,1769333287511289,1769333287523205,986823,585,249932,736229,77,736228,599474,17,yolov5m,WebpLossy,T3,HD
0,1,RSU-0001,Offload,1769333286536382,1769333286538351,1769333286538843,1769333286538844,1769333287512416,1769333287512417,1769333288357506,1769333288357506,1769333288385503,1849121,493,1003477,845090,61,845089,599474,17,yolov5m,WebpLossy,T3,HD
6,19,RSU-0000,Offload,1769333287145054,1769333287148985,1769333287149881,1769333287149881,1769333288357543,1769333288357543,1769333289189022,1769333289189022,1769333289204266,2059212,896,1149273,831479,77564,831479,441104,17,yolov5m,WebpLossy,T3,HD
7,22,RSU-0001,Offload,1769333287245560,1769333287246879,1769333287247736,1769333287247737,1769333289189053,1769333289189053,1769333290012096,1769333290012096,1769333290071738,2826178,858,1162648,823043,839629,823043,440092,17,yolov5m,WebpLossy,T3,HD
12,37,RSU-0002,Offload,1769333287751404,1769333287758445,1769333287758852,1769333287758852,1769333290012129,1769333290012129,1769333290831575,1769333290831575,1769333290883579,3132175,407,618213,819446,1694109,819446,440636,20,yolov5m,WebpLossy,T3,HD
31,94,RSU-0000,Offload,1769333289675709,1769333289705886,1769333289706423,1769333289706424,1769333290831616,1769333290831616,1769333291659263,1769333291659263,1769333291714409,2038700,538,1180987,827647,29528,827647,449294,23,yolov5m,WebpLossy,T3,HD
36,109,RSU-0001,Offload,1769333290181898,1769333290186513,1769333290186928,1769333290186929,1769333291659300,1769333291659300,1769333292484904,1769333292484904,1769333292700428,2518530,416,850888,825604,841622,825604,450588,24,yolov5m,WebpLossy,T3,HD
41,124,RSU-0002,Offload,1769333290689271,1769333290697936,1769333290698418,1769333290698418,1769333292484932,1769333292484932,1769333293311901,1769333293311901,1769333293633365,2944094,482,429794,826969,1686849,826969,450794,22,yolov5m,WebpLossy,T3,HD
56,169,RSU-0000,Offload,1769333292209682,1769333292215987,1769333292216431,1769333292216431,1769333293311945,1769333293311945,1769333294130448,1769333294130448,1769333294224079,2014397,444,1123525,818503,71925,818503,444164,22,yolov5m,WebpLossy,T3,HD
66,199,RSU-0001,Offload,1769333293224569,1769333293229394,1769333293229803,1769333293229803,1769333294130480,1769333294130480,1769333294959039,1769333294959039,1769333295178633,1954064,409,306505,828559,818591,828559,448772,23,yolov5m,WebpLossy,T3,HD
65,196,RSU-0002,Offload,1769333293122742,1769333293126031,1769333293126443,1769333293126443,1769333294959069,1769333294959070,1769333295789068,1769333295789068,1769333295858588,2735846,412,154821,829999,1750614,829998,447862,23,yolov5m,WebpLossy,T3,HD
82,247,RSU-0000,Offload,1769333294847711,1769333294851335,1769333294851862,1769333294851862,1769333295789100,1769333295789100,1769333296617791,1769333296617791,1769333296779691,1931980,527,1086141,828691,16621,828691,449068,23,yolov5m,WebpLossy,T3,HD
90,271,RSU-0001,Offload,1769333295660020,1769333295659603,1769333295660033,1769333295660033,1769333296617819,1769333296617819,1769333297446373,1769333297446373,1769333297694359,2034339,430,333027,828554,872328,828554,450460,23,yolov5m,WebpLossy,T3,HD
90,271,RSU-0002,Offload,1769333295660021,1769333295666164,1769333295666584,1769333295666584,1769333297446406,1769333297446406,1769333298274519,1769333298274519,1769333298288060,2628039,420,82551,828113,1716955,828113,450460,23,yolov5m,WebpLossy,T3,HD
115,346,RSU-0000,Offload,1769333298197743,1769333298200051,1769333298200471,1769333298200471,1769333298274550,1769333298274550,1769333299090984,1769333299090985,1769333299102608,904865,420,87279,816435,731,816434,444972,18,yolov5m,WebpLossy,T3,HD
115,346,RSU-0001,Offload,1769333298197759,1769333298195737,1769333298196215,1769333298196216,1769333299091012,1769333299091012,1769333299907544,1769333299907544,1769333299919122,1721363,479,76781,816532,827571,816532,444972,18,yolov5m,WebpLossy,T3,HD
115,346,RSU-0002,Offload,1769333298197760,1769333298200073,1769333298200461,1769333298200461,1769333299907603,1769333299907603,1769333300725991,1769333300725991,1769333300737757,2539997,388,75739,818388,1645482,818388,444972,18,yolov5m,WebpLossy,T3,HD
139,418,RSU-0000,Offload,1769333300631807,1769333300634003,1769333300634444,1769333300634444,1769333300726032,1769333300726032,1769333301541414,1769333301541414,1769333301557646,925839,441,67832,815382,42184,815382,441862,19,yolov5m,WebpLossy,T3,HD
139,418,RSU-0001,Offload,1769333300631826,1769333300636216,1769333300637102,1769333300637102,1769333301541445,1769333301541445,1769333302361338,1769333302361338,1769333302413036,1781210,886,126071,819893,834360,819893,441862,19,yolov5m,WebpLossy,T3,HD
139,418,RSU-0002,Offload,1769333300631827,1769333300644088,1769333300644501,1769333300644501,1769333302361376,1769333302361376,1769333303184357,1769333303184357,1769333303196904,2565077,413,86020,822981,1655663,822981,441862,19,yolov5m,WebpLossy,T3,HD
163,490,RSU-0000,Offload,1769333303064581,1769333303066614,1769333303067008,1769333303067008,1769333303184395,1769333303184395,1769333304003433,1769333304003433,1769333304024149,959568,394,92431,819038,47705,819038,442044,20,yolov5m,WebpLossy,T3,HD
163,490,RSU-0001,Offload,1769333303064599,1769333303065346,1769333303065753,1769333303065753,1769333304003483,1769333304003483,1769333304826959,1769333304826959,1769333304842862,1778263,407,80041,823476,874339,823476,442044,20,yolov5m,WebpLossy,T3,HD
163,490,RSU-0002,Offload,1769333303064599,1769333303071307,1769333303071793,1769333303071793,1769333304826991,1769333304826991,1769333305646977,1769333305646977,1769333305661909,2597310,486,93274,819986,1683564,819986,442044,20,yolov5m,WebpLossy,T3,HD
187,562,RSU-0000,Offload,1769333305498353,1769333305499035,1769333305499520,1769333305499520,1769333305647013,1769333305647014,1769333306467594,1769333306467594,1769333306503447,1005094,485,88899,820581,95129,820580,439820,20,yolov5m,WebpLossy,T3,HD
187,562,RSU-0001,Offload,1769333305498367,1769333305496786,1769333305497208,1769333305497209,1769333306467629,1769333306467629,1769333307286675,1769333307286675,1769333307316049,1817682,423,88867,819046,909346,819046,439820,20,yolov5m,WebpLossy,T3,HD
187,562,RSU-0002,Offload,1769333305498368,1769333305502079,1769333305502487,1769333305502487,1769333307286705,1769333307286705,1769333308106232,1769333308106232,1769333308123929,2625561,408,100430,819527,1705196,819527,439820,20,yolov5m,WebpLossy,T3,HD
