sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768659775855817,1768659775857844,1768659775858075,1768659775858075,1768659775989183,1768659775989184,1768659776507019,1768659776507020,1768659776508367,652550,231,131108,517837,517835,227146,17,640,640,yolov5m,WebpLossy,T3,Letterbox
3,7,RSU-0000,Offload,1768659776060198,1768659776064196,1768659776064470,1768659776064470,1768659776508449,1768659776508450,1768659777161798,1768659777161798,1768659777163098,1102900,274,443979,653349,653348,217152,17,640,640,yolov5m,WebpLossy,T3,Letterbox
0,1,RSU-0002,Offload,1768659775855817,1768659775864154,1768659775864411,1768659775864411,1768659777161917,1768659777161917,1768659777788613,1768659777788613,1768659777796323,1940506,257,1297506,626696,626696,227146,17,640,640,yolov5m,WebpLossy,T3,Letterbox
27,55,RSU-0000,Offload,1768659777690705,1768659777692062,1768659777692320,1768659777692320,1768659777788686,1768659777788686,1768659778428013,1768659778428014,1768659778429296,738591,258,96366,639328,639327,204302,21,640,640,yolov5m,WebpLossy,T3,Letterbox
27,55,RSU-0001,Offload,1768659777690705,1768659777687728,1768659777687968,1768659777687968,1768659778428163,1768659778428163,1768659779046323,1768659779046323,1768659779047848,1357143,240,740195,618160,618160,204302,21,640,640,yolov5m,WebpLossy,T3,Letterbox
27,55,RSU-0002,Offload,1768659777690705,1768659777695112,1768659777695393,1768659777695393,1768659779046479,1768659779046479,1768659779667159,1768659779667159,1768659779667931,1977226,281,1351086,620680,620680,204302,21,640,640,yolov5m,WebpLossy,T3,Letterbox
55,111,RSU-0000,Offload,1768659779600045,1768659779604437,1768659779604718,1768659779604719,1768659779667307,1768659779667307,1768659780318913,1768659780318913,1768659780320831,720786,282,62588,651606,651606,205544,24,640,640,yolov5m,WebpLossy,T3,Letterbox
55,111,RSU-0001,Offload,1768659779600045,1768659779598966,1768659779599271,1768659779599272,1768659780318964,1768659780318964,1768659780952638,1768659780952638,1768659780956639,1356594,306,719692,633674,633674,205544,24,640,640,yolov5m,WebpLossy,T3,Letterbox
55,111,RSU-0002,Offload,1768659779600045,1768659779606042,1768659779606312,1768659779606313,1768659780952777,1768659780952777,1768659781589259,1768659781589260,1768659781590579,1990534,271,1346464,636483,636482,205544,24,640,640,yolov5m,WebpLossy,T3,Letterbox
83,167,RSU-0000,Offload,1768659781502086,1768659781503198,1768659781503491,1768659781503491,1768659781589473,1768659781589473,1768659782239984,1768659782239984,1768659782240899,738813,293,85982,650511,650511,204284,22,640,640,yolov5m,WebpLossy,T3,Letterbox
83,167,RSU-0001,Offload,1768659781502086,1768659781498313,1768659781498588,1768659781498589,1768659782240134,1768659782240134,1768659782884624,1768659782884624,1768659782890461,1388375,276,741545,644490,644490,204284,22,640,640,yolov5m,WebpLossy,T3,Letterbox
83,167,RSU-0002,Offload,1768659781502086,1768659781507674,1768659781507963,1768659781507963,1768659782884842,1768659782884842,1768659783529983,1768659783529983,1768659783530872,2028786,289,1376879,645141,645141,204284,22,640,640,yolov5m,WebpLossy,T3,Letterbox
112,225,RSU-0000,Offload,1768659783475010,1768659783477976,1768659783478285,1768659783478285,1768659783530136,1768659783530136,1768659784178840,1768659784178840,1768659784195295,720285,309,51851,648704,648704,204098,20,640,640,yolov5m,WebpLossy,T3,Letterbox
112,225,RSU-0001,Offload,1768659783475010,1768659783470926,1768659783471223,1768659783471223,1768659784178984,1768659784178984,1768659784826837,1768659784826837,1768659784827538,1352528,297,707761,647853,647853,204098,20,640,640,yolov5m,WebpLossy,T3,Letterbox
112,225,RSU-0002,Offload,1768659783475010,1768659783481070,1768659783481334,1768659783481334,1768659784826897,1768659784826897,1768659785482879,1768659785482880,1768659785486711,2011701,264,1345563,655983,655982,204098,20,640,640,yolov5m,WebpLossy,T3,Letterbox
140,281,RSU-0000,Offload,1768659785379415,1768659785381542,1768659785381805,1768659785381805,1768659785482946,1768659785482946,1768659786129992,1768659786129992,1768659786131304,751889,263,101141,647046,647046,204172,20,640,640,yolov5m,WebpLossy,T3,Letterbox
140,281,RSU-0001,Offload,1768659785379415,1768659785375637,1768659785375889,1768659785375889,1768659786130053,1768659786130053,1768659786791045,1768659786791046,1768659786792398,1412983,252,754164,660993,660992,204172,20,640,640,yolov5m,WebpLossy,T3,Letterbox
140,281,RSU-0002,Offload,1768659785379415,1768659785383802,1768659785384056,1768659785384056,1768659786791110,1768659786791110,1768659787435947,1768659787435947,1768659787466540,2087125,254,1407054,644837,644837,204172,20,640,640,yolov5m,WebpLossy,T3,Letterbox
169,339,RSU-0000,Offload,1768659787353416,1768659787354735,1768659787355002,1768659787355002,1768659787436015,1768659787436015,1768659788091887,1768659788091887,1768659788093390,739974,267,81013,655872,655872,203624,19,640,640,yolov5m,WebpLossy,T3,Letterbox
169,339,RSU-0001,Offload,1768659787353416,1768659787349342,1768659787349622,1768659787349622,1768659788091948,1768659788091948,1768659788752287,1768659788752288,1768659788755486,1402070,280,742326,660340,660339,203624,19,640,640,yolov5m,WebpLossy,T3,Letterbox
169,339,RSU-0002,Offload,1768659787353416,1768659787359103,1768659787359383,1768659787359384,1768659788752467,1768659788752467,1768659789405018,1768659789405019,1768659789407605,2054189,281,1393083,652552,652551,203624,19,640,640,yolov5m,WebpLossy,T3,Letterbox
198,397,RSU-0000,Offload,1768659789327262,1768659789328365,1768659789328601,1768659789328601,1768659789405224,1768659789405224,1768659790066138,1768659790066138,1768659790066984,739722,236,76623,660914,660914,202950,18,640,640,yolov5m,WebpLossy,T3,Letterbox
198,397,RSU-0001,Offload,1768659789327262,1768659789324425,1768659789324666,1768659789324666,1768659790066355,1768659790066356,1768659790731267,1768659790731267,1768659790731939,1404677,241,741689,664912,664911,202950,18,640,640,yolov5m,WebpLossy,T3,Letterbox
198,397,RSU-0002,Offload,1768659789327262,1768659789332092,1768659789332343,1768659789332343,1768659790731384,1768659790731384,1768659791382714,1768659791382714,1768659791384677,2057415,251,1399041,651330,651330,202950,18,640,640,yolov5m,WebpLossy,T3,Letterbox
227,455,RSU-0000,Offload,1768659791298315,1768659791299534,1768659791299800,1768659791299800,1768659791382890,1768659791382891,1768659792036086,1768659792036086,1768659792036821,738506,266,83090,653196,653195,203412,22,640,640,yolov5m,WebpLossy,T3,Letterbox
227,455,RSU-0001,Offload,1768659791298315,1768659791294700,1768659791294978,1768659791294978,1768659792036217,1768659792036217,1768659792701477,1768659792701478,1768659792702158,1403843,278,741239,665261,665260,203412,22,640,640,yolov5m,WebpLossy,T3,Letterbox
227,455,RSU-0002,Offload,1768659791298315,1768659791304632,1768659791304890,1768659791304891,1768659792701593,1768659792701593,1768659793364404,1768659793364404,1768659793373795,2075480,259,1396702,662811,662811,203412,22,640,640,yolov5m,WebpLossy,T3,Letterbox
256,513,RSU-0000,Offload,1768659793270545,1768659793273061,1768659793273295,1768659793273295,1768659793364654,1768659793364654,1768659794027354,1768659794027354,1768659794029430,758885,234,91359,662700,662700,204320,22,640,640,yolov5m,WebpLossy,T3,Letterbox
256,513,RSU-0001,Offload,1768659793270545,1768659793266456,1768659793266728,1768659793266729,1768659794027467,1768659794027467,1768659794689105,1768659794689105,1768659794689936,1419391,273,760738,661638,661638,204320,22,640,640,yolov5m,WebpLossy,T3,Letterbox
256,513,RSU-0002,Offload,1768659793270545,1768659793276215,1768659793276458,1768659793276458,1768659794689338,1768659794689338,1768659795360073,1768659795360074,1768659795360882,2090337,243,1412880,670736,670735,204320,22,640,640,yolov5m,WebpLossy,T3,Letterbox
286,573,RSU-0000,Offload,1768659795309780,1768659795314641,1768659795314874,1768659795314874,1768659795360197,1768659795360197,1768659796023710,1768659796023711,1768659796033856,724076,233,45323,663514,663513,203760,22,640,640,yolov5m,WebpLossy,T3,Letterbox
