sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768753677425554,1768753677433147,1768753677433392,1768753677433392,1768753677482610,1768753677482610,1768753678015918,1768753678015918,1768753678017795,592241,245,49218,533308,533308,227146,17,640,640,yolov5m,WebpLossy,T3,Letterbox
1,3,RSU-0001,Offload,1768753677493144,1768753677497246,1768753677497513,1768753677497513,1768753678016403,1768753678016404,1768753678695603,1768753678695603,1768753678701542,1208398,267,518890,679200,679199,241406,17,640,640,yolov5m,WebpLossy,T3,Letterbox
11,23,RSU-0000,Offload,1768753678173464,1768753678178520,1768753678178741,1768753678178741,1768753678695670,1768753678695670,1768753679355527,1768753679355527,1768753679375817,1202353,221,516929,659857,659857,202328,17,640,640,yolov5m,WebpLossy,T3,Letterbox
17,35,RSU-0001,Offload,1768753678583945,1768753678588534,1768753678588787,1768753678588787,1768753679355594,1768753679355594,1768753680003165,1768753680003165,1768753680002450,1418505,253,766807,647571,647571,202198,18,640,640,yolov5m,WebpLossy,T3,Letterbox
17,35,RSU-0002,Offload,1768753678583945,1768753678583484,1768753678583718,1768753678583718,1768753680003232,1768753680003232,1768753680664864,1768753680664864,1768753680664683,2080738,234,1419514,661632,661632,202198,18,640,640,yolov5m,WebpLossy,T3,Letterbox
46,93,RSU-0000,Offload,1768753680558898,1768753680567542,1768753680567813,1768753680567813,1768753680664995,1768753680664995,1768753681342222,1768753681342222,1768753681344315,785417,271,97182,677227,677227,205844,20,640,640,yolov5m,WebpLossy,T3,Letterbox
46,93,RSU-0001,Offload,1768753680558898,1768753680564300,1768753680564549,1768753680564549,1768753681342908,1768753681342908,1768753682081521,1768753682081521,1768753682084918,1526020,249,778359,738613,738613,205844,20,640,640,yolov5m,WebpLossy,T3,Letterbox
46,93,RSU-0002,Offload,1768753680558898,1768753680561484,1768753680561702,1768753680561702,1768753682081563,1768753682081563,1768753683146793,1768753683146793,1768753683146431,2587533,218,1519861,1065230,1065230,205844,20,640,640,yolov5m,WebpLossy,T3,Letterbox
83,167,RSU-0000,Offload,1768753683075700,1768753683079557,1768753683079804,1768753683079804,1768753683146842,1768753683146842,1768753683822210,1768753683822210,1768753683821406,745706,247,67038,675368,675368,204284,22,640,640,yolov5m,WebpLossy,T3,Letterbox
83,167,RSU-0001,Offload,1768753683075700,1768753683080473,1768753683080718,1768753683080718,1768753683822249,1768753683822250,1768753684492540,1768753684492540,1768753684491945,1416245,245,741531,670291,670290,204284,22,640,640,yolov5m,WebpLossy,T3,Letterbox
