sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769295995656080,1769295995665138,1769295995665393,1769295995665393,1769295995778413,1769295995778414,1769295995919486,1769295995919486,1769295995921915,265835,255,124482,141073,25,141072,137185,16,yolov5n,JpgLossy,T1,FHD
1,3,RSU-0000,Offload,1769295995723750,1769295995731196,1769295995731549,1769295995731549,1769295995919896,1769295995919896,1769295996068106,1769295996068106,1769295996070600,346850,353,198247,148210,40,148210,180293,16,yolov5n,JpgLossy,T1,FHD
5,11,RSU-0000,Offload,1769295995995806,1769295996003883,1769295996004090,1769295996004090,1769295996068140,1769295996068145,1769295996197100,1769295996197100,1769295996199510,203704,207,21876,128960,52661,128955,67625,16,yolov5n,JpgLossy,T1,FHD
3,7,RSU-0001,Offload,1769295995860023,1769295995860858,1769295995861102,1769295995861103,1769295996197133,1769295996197133,1769295996322535,1769295996322535,1769295996325194,465171,245,186195,125402,153329,125402,107692,16,yolov5n,JpgLossy,T1,FHD
5,11,RSU-0002,Offload,1769295995995819,1769295996002252,1769295996002462,1769295996002462,1769295996322568,1769295996322568,1769295996452467,1769295996452467,1769295996455241,459422,210,15966,129899,313347,129899,67625,16,yolov5n,JpgLossy,T1,FHD
11,23,RSU-0000,Offload,1769295996402845,1769295996411548,1769295996411855,1769295996411855,1769295996452500,1769295996452500,1769295996577008,1769295996577008,1769295996579595,176750,307,20928,124508,31007,124508,65498,16,yolov5n,JpgLossy,T1,FHD
11,23,RSU-0001,Offload,1769295996402854,1769295996406003,1769295996406193,1769295996406193,1769295996577037,1769295996577037,1769295996704191,1769295996704191,1769295996706638,303784,190,13426,127154,163014,127154,65498,16,yolov5n,JpgLossy,T1,FHD
11,23,RSU-0002,Offload,1769295996402855,1769295996409043,1769295996409238,1769295996409238,1769295996704221,1769295996704221,1769295996829529,1769295996829529,1769295996832548,429693,195,21603,125308,282587,125308,65498,16,yolov5n,JpgLossy,T1,FHD
17,35,RSU-0000,Offload,1769295996812079,1769295996815942,1769295996816141,1769295996816141,1769295996829568,1769295996829568,1769295996955708,1769295996955708,1769295996958562,146483,199,15830,126140,4314,126140,65499,16,yolov5n,JpgLossy,T1,FHD
16,33,RSU-0001,Offload,1769295996744327,1769295996748738,1769295996748932,1769295996748932,1769295996955738,1769295996955738,1769295997083621,1769295997083621,1769295997086144,341817,194,35017,127883,178723,127883,65580,17,yolov5n,JpgLossy,T1,FHD
17,35,RSU-0002,Offload,1769295996812094,1769295996818439,1769295996818639,1769295996818639,1769295997083650,1769295997083650,1769295997211072,1769295997211072,1769295997213794,401700,200,15813,127422,258265,127422,65499,16,yolov5n,JpgLossy,T1,FHD
22,45,RSU-0000,Offload,1769295997152964,1769295997163066,1769295997163248,1769295997163248,1769295997211104,1769295997211104,1769295997337393,1769295997337393,1769295997340134,187170,182,21489,126289,39210,126289,66101,19,yolov5n,JpgLossy,T1,FHD
22,45,RSU-0001,Offload,1769295997152975,1769295997156156,1769295997156347,1769295997156348,1769295997337429,1769295997337429,1769295997464805,1769295997464805,1769295997467531,314556,192,21702,127376,165286,127376,66101,19,yolov5n,JpgLossy,T1,FHD
22,45,RSU-0002,Offload,1769295997152976,1769295997159125,1769295997159346,1769295997159346,1769295997464831,1769295997464831,1769295997591620,1769295997591620,1769295997594107,441131,221,21704,126789,292417,126789,66101,19,yolov5n,JpgLossy,T1,FHD
28,57,RSU-0000,Offload,1769295997562549,1769295997572170,1769295997572369,1769295997572369,1769295997591674,1769295997591674,1769295997719205,1769295997719205,1769295997723837,161288,199,23764,127531,9794,127531,66004,16,yolov5n,JpgLossy,T1,FHD
28,57,RSU-0001,Offload,1769295997562564,1769295997565422,1769295997565612,1769295997565612,1769295997719242,1769295997719243,1769295997845452,1769295997845452,1769295997847703,285139,190,28597,126210,130142,126209,66004,16,yolov5n,JpgLossy,T1,FHD
28,57,RSU-0002,Offload,1769295997562565,1769295997569627,1769295997569838,1769295997569838,1769295997845480,1769295997845480,1769295997973404,1769295997973404,1769295997976188,413623,211,21757,127924,263731,127924,66004,16,yolov5n,JpgLossy,T1,FHD
33,67,RSU-0000,Offload,1769295997902419,1769295997912098,1769295997912296,1769295997912296,1769295997973449,1769295997973449,1769295998101595,1769295998101595,1769295998103974,201555,198,19903,128146,53308,128146,66409,14,yolov5n,JpgLossy,T1,FHD
33,67,RSU-0001,Offload,1769295997902437,1769295997906042,1769295997906235,1769295997906235,1769295998101627,1769295998101627,1769295998230013,1769295998230013,1769295998232607,330170,193,29581,128386,172010,128386,66409,14,yolov5n,JpgLossy,T1,FHD
33,67,RSU-0002,Offload,1769295997902438,1769295997910038,1769295997910245,1769295997910246,1769295998230039,1769295998230040,1769295998357111,1769295998357111,1769295998360007,457569,208,21160,127072,309129,127071,66409,14,yolov5n,JpgLossy,T1,FHD
39,79,RSU-0000,Offload,1769295998310560,1769295998319010,1769295998319211,1769295998319211,1769295998357175,1769295998357175,1769295998482808,1769295998482809,1769295998485394,174834,201,21659,125634,27340,125633,66485,18,yolov5n,JpgLossy,T1,FHD
39,79,RSU-0001,Offload,1769295998310575,1769295998315891,1769295998316074,1769295998316074,1769295998482836,1769295998482836,1769295998608861,1769295998608861,1769295998611135,300560,183,24827,126025,149525,126025,66485,18,yolov5n,JpgLossy,T1,FHD
39,79,RSU-0002,Offload,1769295998310577,1769295998318207,1769295998318401,1769295998318401,1769295998608890,1769295998608890,1769295998736781,1769295998736781,1769295998739423,428846,194,21836,127891,278925,127891,66485,18,yolov5n,JpgLossy,T1,FHD
44,89,RSU-0000,Offload,1769295998649801,1769295998657493,1769295998657697,1769295998657697,1769295998736817,1769295998736818,1769295998862292,1769295998862292,1769295998864704,214903,204,23902,125475,65322,125474,66682,17,yolov5n,JpgLossy,T1,FHD
44,89,RSU-0001,Offload,1769295998649822,1769295998654669,1769295998654861,1769295998654862,1769295998862323,1769295998862323,1769295998991184,1769295998991184,1769295998993983,344161,193,17601,128861,197506,128861,66682,17,yolov5n,JpgLossy,T1,FHD
44,89,RSU-0002,Offload,1769295998649824,1769295998657097,1769295998657296,1769295998657296,1769295998991214,1769295998991214,1769295999119016,1769295999119016,1769295999121547,471723,199,23866,127802,319856,127802,66682,17,yolov5n,JpgLossy,T1,FHD
50,101,RSU-0000,Offload,1769295999058621,1769295999067920,1769295999068132,1769295999068132,1769295999119059,1769295999119059,1769295999246393,1769295999246393,1769295999248954,190333,212,25224,127334,37563,127334,66980,18,yolov5n,JpgLossy,T1,FHD
50,101,RSU-0001,Offload,1769295999058639,1769295999062313,1769295999062505,1769295999062505,1769295999246425,1769295999246425,1769295999373472,1769295999373472,1769295999376047,317408,192,21172,127047,168997,127047,66980,18,yolov5n,JpgLossy,T1,FHD
50,101,RSU-0002,Offload,1769295999058640,1769295999067552,1769295999067757,1769295999067757,1769295999373503,1769295999373503,1769295999500741,1769295999500741,1769295999503179,444539,205,20810,127238,296286,127238,66980,18,yolov5n,JpgLossy,T1,FHD
56,113,RSU-0000,Offload,1769295999466031,1769295999474542,1769295999474755,1769295999474755,1769295999500773,1769295999500773,1769295999634402,1769295999634403,1769295999637933,171902,213,26278,133630,11781,133629,67023,18,yolov5n,JpgLossy,T1,FHD
56,113,RSU-0001,Offload,1769295999466046,1769295999472125,1769295999472318,1769295999472318,1769295999634444,1769295999634444,1769295999763394,1769295999763394,1769295999766018,299972,193,18977,128950,151852,128950,67023,18,yolov5n,JpgLossy,T1,FHD
