sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768618089579354,1768618089588912,1768618089589057,1768618089589057,1768618089598471,1768618089598471,1768618089676918,1768618089676918,1768618089675789,96435,145,9414,78447,78447,28714,15,640,640,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0002,Offload,1768618089579354,1768618089581370,1768618089581527,1768618089581527,1768618089677082,1768618089677082,1768618089752177,1768618089752178,1768618089754311,174957,157,95555,75096,75095,28714,15,640,640,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0001,Offload,1768618089579354,1768618089589536,1768618089589688,1768618089589688,1768618089752301,1768618089752301,1768618089827233,1768618089827234,1768618089825803,246449,152,162613,74933,74932,28714,15,640,640,yolov5n,JpgLossy,T1,Letterbox
1,31,RSU-0002,Offload,1768618090580890,1768618090582911,1768618090583059,1768618090583059,1768618090602373,1768618090602374,1768618090681155,1768618090681155,1768618090682013,101123,148,19314,78782,78781,27529,13,640,640,yolov5n,JpgLossy,T1,Letterbox
1,31,RSU-0000,Offload,1768618090580890,1768618090588793,1768618090588941,1768618090588941,1768618090681395,1768618090681396,1768618090756725,1768618090756725,1768618090755330,174440,148,92454,75330,75329,27529,13,640,640,yolov5n,JpgLossy,T1,Letterbox
1,31,RSU-0001,Offload,1768618090580890,1768618090591003,1768618090591182,1768618090591182,1768618090757064,1768618090757064,1768618090831559,1768618090831560,1768618090830081,249191,179,165882,74496,74495,27529,13,640,640,yolov5n,JpgLossy,T1,Letterbox
2,61,RSU-0002,Offload,1768618091582194,1768618091584075,1768618091584232,1768618091584232,1768618091602402,1768618091602403,1768618091677634,1768618091677634,1768618091675840,93646,157,18170,75232,75231,27784,14,640,640,yolov5n,JpgLossy,T1,Letterbox
2,61,RSU-0001,Offload,1768618091582194,1768618091591240,1768618091591399,1768618091591399,1768618091677839,1768618091677839,1768618091752710,1768618091752710,1768618091753791,171597,159,86440,74871,74871,27784,14,640,640,yolov5n,JpgLossy,T1,Letterbox
2,61,RSU-0000,Offload,1768618091582194,1768618091591152,1768618091591312,1768618091591312,1768618091752776,1768618091752776,1768618091827488,1768618091827488,1768618091825746,243552,160,161464,74712,74712,27784,14,640,640,yolov5n,JpgLossy,T1,Letterbox
3,91,RSU-0002,Offload,1768618092584246,1768618092586116,1768618092586270,1768618092586270,1768618092601523,1768618092601523,1768618092674985,1768618092674985,1768618092673278,89032,154,15253,73462,73462,28009,16,640,640,yolov5n,JpgLossy,T1,Letterbox
3,91,RSU-0000,Offload,1768618092584246,1768618092591915,1768618092592069,1768618092592069,1768618092675243,1768618092675243,1768618092749913,1768618092749914,1768618092748468,164222,154,83174,74671,74670,28009,16,640,640,yolov5n,JpgLossy,T1,Letterbox
3,91,RSU-0001,Offload,1768618092584246,1768618092593882,1768618092594043,1768618092594043,1768618092750033,1768618092750033,1768618092824952,1768618092824952,1768618092823115,238869,161,155990,74919,74919,28009,16,640,640,yolov5n,JpgLossy,T1,Letterbox
4,121,RSU-0000,Offload,1768618093585569,1768618093591444,1768618093591613,1768618093591613,1768618093603487,1768618093603487,1768618093677217,1768618093677217,1768618093675398,89829,169,11874,73730,73730,28063,18,640,640,yolov5n,JpgLossy,T1,Letterbox
4,121,RSU-0001,Offload,1768618093585569,1768618093591487,1768618093591644,1768618093591644,1768618093677449,1768618093677450,1768618093751935,1768618093751936,1768618093750066,164497,157,85805,74487,74485,28063,18,640,640,yolov5n,JpgLossy,T1,Letterbox
4,121,RSU-0002,Offload,1768618093585569,1768618093584346,1768618093584503,1768618093584503,1768618093751994,1768618093751995,1768618093826772,1768618093826772,1768618093825261,239692,157,167491,74778,74777,28063,18,640,640,yolov5n,JpgLossy,T1,Letterbox
5,151,RSU-0000,Offload,1768618094586507,1768618094595636,1768618094595790,1768618094595790,1768618094607963,1768618094607963,1768618094687655,1768618094687655,1768618094686262,99755,154,12173,79692,79692,28072,18,640,640,yolov5n,JpgLossy,T1,Letterbox
5,151,RSU-0001,Offload,1768618094586507,1768618094594674,1768618094594829,1768618094594829,1768618094687956,1768618094687957,1768618094763010,1768618094763010,1768618094761606,175099,155,93127,75054,75053,28072,18,640,640,yolov5n,JpgLossy,T1,Letterbox
5,151,RSU-0002,Offload,1768618094586507,1768618094589241,1768618094589400,1768618094589400,1768618094763338,1768618094763338,1768618094838652,1768618094838652,1768618094837094,250587,159,173938,75314,75314,28072,18,640,640,yolov5n,JpgLossy,T1,Letterbox
6,181,RSU-0001,Offload,1768618095587937,1768618095596004,1768618095596159,1768618095596160,1768618095605786,1768618095605786,1768618095679683,1768618095679683,1768618095678140,90203,156,9626,73897,73897,27944,13,640,640,yolov5n,JpgLossy,T1,Letterbox
6,181,RSU-0000,Offload,1768618095587937,1768618095596471,1768618095596622,1768618095596622,1768618095679994,1768618095679994,1768618095755328,1768618095755328,1768618095754804,166867,151,83372,75334,75334,27944,13,640,640,yolov5n,JpgLossy,T1,Letterbox
6,181,RSU-0002,Offload,1768618095587937,1768618095590597,1768618095590753,1768618095590753,1768618095755681,1768618095755681,1768618095830141,1768618095830141,1768618095828654,240717,156,164928,74460,74460,27944,13,640,640,yolov5n,JpgLossy,T1,Letterbox
7,211,RSU-0000,Offload,1768618096589088,1768618096595683,1768618096595833,1768618096595833,1768618096606966,1768618096606967,1768618096680559,1768618096680559,1768618096679841,90753,150,11133,73593,73592,28029,13,640,640,yolov5n,JpgLossy,T1,Letterbox
7,211,RSU-0001,Offload,1768618096589088,1768618096598737,1768618096598890,1768618096598890,1768618096680884,1768618096680884,1768618096756013,1768618096756013,1768618096754460,165372,153,81994,75129,75129,28029,13,640,640,yolov5n,JpgLossy,T1,Letterbox
7,211,RSU-0002,Offload,1768618096589088,1768618096591532,1768618096591688,1768618096591688,1768618096756338,1768618096756338,1768618096831243,1768618096831243,1768618096829692,240604,156,164650,74905,74905,28029,13,640,640,yolov5n,JpgLossy,T1,Letterbox
8,241,RSU-0001,Offload,1768618097590750,1768618097598867,1768618097599043,1768618097599043,1768618097611330,1768618097611331,1768618097685311,1768618097685311,1768618097683782,93032,176,12287,73981,73980,27949,15,640,640,yolov5n,JpgLossy,T1,Letterbox
8,241,RSU-0000,Offload,1768618097590750,1768618097598385,1768618097598531,1768618097598531,1768618097685481,1768618097685481,1768618097760530,1768618097760530,1768618097759237,168487,146,86950,75049,75049,27949,15,640,640,yolov5n,JpgLossy,T1,Letterbox
8,241,RSU-0002,Offload,1768618097590750,1768618097594702,1768618097594858,1768618097594858,1768618097760871,1768618097760871,1768618097835980,1768618097835980,1768618097834437,243687,156,166013,75109,75109,27949,15,640,640,yolov5n,JpgLossy,T1,Letterbox
9,271,RSU-0000,Offload,1768618098592359,1768618098599979,1768618098600129,1768618098600129,1768618098611990,1768618098611991,1768618098685789,1768618098685790,1768618098684046,91687,150,11861,73800,73798,28028,14,640,640,yolov5n,JpgLossy,T1,Letterbox
9,271,RSU-0001,Offload,1768618098592359,1768618098600431,1768618098600579,1768618098600579,1768618098686037,1768618098686038,1768618098760827,1768618098760828,1768618098759008,166649,148,85458,74791,74789,28028,14,640,640,yolov5n,JpgLossy,T1,Letterbox
9,271,RSU-0002,Offload,1768618098592359,1768618098596182,1768618098596340,1768618098596341,1768618098760971,1768618098760971,1768618098835749,1768618098835749,1768618098833949,241590,159,164630,74778,74778,28028,14,640,640,yolov5n,JpgLossy,T1,Letterbox
10,301,RSU-0002,Offload,1768618099594093,1768618099596700,1768618099596853,1768618099596854,1768618099614113,1768618099614113,1768618099687550,1768618099687551,1768618099685910,91817,154,17259,73438,73437,27769,13,640,640,yolov5n,JpgLossy,T1,Letterbox
10,301,RSU-0000,Offload,1768618099594093,1768618099603062,1768618099603209,1768618099603209,1768618099687832,1768618099687832,1768618099762698,1768618099762698,1768618099760884,166791,147,84623,74866,74866,27769,13,640,640,yolov5n,JpgLossy,T1,Letterbox
10,301,RSU-0001,Offload,1768618099594093,1768618099602130,1768618099602285,1768618099602285,1768618099762961,1768618099762961,1768618099838033,1768618099838033,1768618099836400,242307,155,160676,75072,75072,27769,13,640,640,yolov5n,JpgLossy,T1,Letterbox
11,331,RSU-0000,Offload,1768618100596168,1768618100605208,1768618100605356,1768618100605356,1768618100617747,1768618100617747,1768618100691290,1768618100691290,1768618100689590,93422,148,12391,73543,73543,27638,15,640,640,yolov5n,JpgLossy,T1,Letterbox
11,331,RSU-0001,Offload,1768618100596168,1768618100604359,1768618100604517,1768618100604517,1768618100691540,1768618100691540,1768618100767591,1768618100767591,1768618100765964,169796,158,87023,76051,76051,27638,15,640,640,yolov5n,JpgLossy,T1,Letterbox
11,331,RSU-0002,Offload,1768618100596168,1768618100598923,1768618100599081,1768618100599081,1768618100767874,1768618100767875,1768618100842807,1768618100842807,1768618100840997,244829,158,168793,74933,74932,27638,15,640,640,yolov5n,JpgLossy,T1,Letterbox
