sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769287288088928,1769287288088758,1769287288088910,1769287288088910,1769287288187988,1769287288187988,1769287288286169,1769287288286169,1769287288289368,200440,152,102102,98181,5,98181,28714,15,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0002,Offload,1769287288088929,1769287288098070,1769287288098238,1769287288098238,1769287288286277,1769287288286277,1769287288386219,1769287288386219,1769287288388480,299551,168,199435,99942,6,99942,28714,15,yolov5n,JpgLossy,T1,Letterbox
1,7,RSU-0000,Offload,1769287288289468,1769287288288125,1769287288288276,1769287288288276,1769287288386254,1769287288386254,1769287288485081,1769287288485081,1769287288487180,197712,151,17434,98827,81300,98827,28343,16,yolov5n,JpgLossy,T1,Letterbox
1,7,RSU-0001,Offload,1769287288289482,1769287288292799,1769287288292948,1769287288292949,1769287288485111,1769287288485111,1769287288583531,1769287288583531,1769287288585788,296306,150,17197,98420,180539,98420,28343,16,yolov5n,JpgLossy,T1,Letterbox
1,7,RSU-0002,Offload,1769287288289484,1769287288292328,1769287288292482,1769287288292483,1769287288583561,1769287288583561,1769287288680560,1769287288680560,1769287288682588,393104,155,17297,96999,278653,96999,28343,16,yolov5n,JpgLossy,T1,Letterbox
2,13,RSU-0000,Offload,1769287288491690,1769287288491628,1769287288491801,1769287288491801,1769287288680602,1769287288680603,1769287288778571,1769287288778571,1769287288781200,289510,173,11564,97969,179804,97968,27626,12,yolov5n,JpgLossy,T1,Letterbox
2,13,RSU-0001,Offload,1769287288491710,1769287288497614,1769287288497768,1769287288497769,1769287288778600,1769287288778600,1769287288875604,1769287288875604,1769287288877768,386058,155,14814,97004,274085,97004,27626,12,yolov5n,JpgLossy,T1,Letterbox
2,13,RSU-0002,Offload,1769287288491711,1769287288495920,1769287288496085,1769287288496085,1769287288875633,1769287288875633,1769287288974702,1769287288974702,1769287288977126,485415,165,14584,99069,371597,99069,27626,12,yolov5n,JpgLossy,T1,Letterbox
4,25,RSU-0000,Offload,1769287288895448,1769287288894843,1769287288894997,1769287288894997,1769287288974744,1769287288974744,1769287289071832,1769287289071832,1769287289073995,178547,154,17857,97088,63448,97088,27488,15,yolov5n,JpgLossy,T1,Letterbox
4,25,RSU-0001,Offload,1769287288895465,1769287288898787,1769287288898938,1769287288898938,1769287289071859,1769287289071860,1769287289171378,1769287289171378,1769287289173559,278094,151,17427,99519,160997,99518,27488,15,yolov5n,JpgLossy,T1,Letterbox
4,25,RSU-0002,Offload,1769287288895467,1769287288900385,1769287288900544,1769287288900545,1769287289171406,1769287289171406,1769287289268969,1769287289268970,1769287289270984,375517,160,17485,97564,260308,97563,27488,15,yolov5n,JpgLossy,T1,Letterbox
5,31,RSU-0000,Offload,1769287289097391,1769287289096794,1769287289096926,1769287289096926,1769287289269002,1769287289269002,1769287289369007,1769287289369008,1769287289371147,273756,132,20961,100006,152657,100005,27529,13,yolov5n,JpgLossy,T1,Letterbox
5,31,RSU-0001,Offload,1769287289097409,1769287289100758,1769287289100898,1769287289100898,1769287289369038,1769287289369038,1769287289468642,1769287289468643,1769287289470695,373286,140,15706,99605,257835,99604,27529,13,yolov5n,JpgLossy,T1,Letterbox
5,31,RSU-0002,Offload,1769287289097411,1769287289101920,1769287289102068,1769287289102068,1769287289468685,1769287289468685,1769287289570628,1769287289570628,1769287289573068,475657,148,21170,101943,352396,101943,27529,13,yolov5n,JpgLossy,T1,Letterbox
7,43,RSU-0000,Offload,1769287289500048,1769287289500628,1769287289500784,1769287289500785,1769287289570682,1769287289570682,1769287289671341,1769287289671341,1769287289673880,173832,157,19834,100659,53182,100659,27662,13,yolov5n,JpgLossy,T1,Letterbox
7,43,RSU-0001,Offload,1769287289500063,1769287289502874,1769287289503027,1769287289503027,1769287289671375,1769287289671375,1769287289773951,1769287289773951,1769287289776015,275952,153,19668,102576,153555,102576,27662,13,yolov5n,JpgLossy,T1,Letterbox
7,43,RSU-0002,Offload,1769287289500064,1769287289505142,1769287289505307,1769287289505307,1769287289773984,1769287289773984,1769287289875984,1769287289875984,1769287289878393,378329,165,19072,102000,257092,102000,27662,13,yolov5n,JpgLossy,T1,Letterbox
8,49,RSU-0000,Offload,1769287289701380,1769287289700836,1769287289700981,1769287289700981,1769287289876022,1769287289876022,1769287289978077,1769287289978077,1769287289980263,278883,145,15844,102055,160839,102055,27638,14,yolov5n,JpgLossy,T1,Letterbox
8,49,RSU-0001,Offload,1769287289701399,1769287289704823,1769287289704966,1769287289704967,1769287289978112,1769287289978113,1769287290079594,1769287290079594,1769287290081942,380543,144,15940,101482,262977,101481,27638,14,yolov5n,JpgLossy,T1,Letterbox
8,49,RSU-0002,Offload,1769287289701400,1769287289705254,1769287289705412,1769287289705412,1769287290079628,1769287290079628,1769287290182462,1769287290182463,1769287290184597,483197,158,15534,102835,364670,102834,27638,14,yolov5n,JpgLossy,T1,Letterbox
10,61,RSU-0000,Offload,1769287290104772,1769287290105263,1769287290105396,1769287290105396,1769287290182502,1769287290182502,1769287290284394,1769287290284394,1769287290286308,181536,133,14747,101892,64764,101892,27784,14,yolov5n,JpgLossy,T1,Letterbox
10,61,RSU-0001,Offload,1769287290104790,1769287290107444,1769287290107582,1769287290107582,1769287290284427,1769287290284428,1769287290386653,1769287290386653,1769287290388774,283984,138,15478,102226,166142,102225,27784,14,yolov5n,JpgLossy,T1,Letterbox
10,61,RSU-0002,Offload,1769287290104791,1769287290109416,1769287290109585,1769287290109585,1769287290386700,1769287290386700,1769287290489237,1769287290489237,1769287290491414,386623,169,15523,102537,268394,102537,27784,14,yolov5n,JpgLossy,T1,Letterbox
11,67,RSU-0000,Offload,1769287290305899,1769287290307543,1769287290307711,1769287290307712,1769287290489275,1769287290489275,1769287290591407,1769287290591407,1769287290593463,287564,169,17227,102132,168036,102132,27952,13,yolov5n,JpgLossy,T1,Letterbox
11,67,RSU-0001,Offload,1769287290305917,1769287290309406,1769287290309556,1769287290309557,1769287290591439,1769287290591439,1769287290693311,1769287290693312,1769287290695476,389559,151,17716,101873,269819,101872,27952,13,yolov5n,JpgLossy,T1,Letterbox
11,67,RSU-0002,Offload,1769287290305918,1769287290308710,1769287290308873,1769287290308874,1769287290693346,1769287290693346,1769287290795717,1769287290795718,1769287290797733,491815,164,10887,102372,378392,102371,27952,13,yolov5n,JpgLossy,T1,Letterbox
13,79,RSU-0000,Offload,1769287290707768,1769287290708235,1769287290708383,1769287290708383,1769287290795762,1769287290795763,1769287290898441,1769287290898441,1769287290900604,192836,148,15860,102679,74149,102678,27943,16,yolov5n,JpgLossy,T1,Letterbox
13,79,RSU-0001,Offload,1769287290707786,1769287290712193,1769287290712335,1769287290712336,1769287290898477,1769287290898477,1769287291000585,1769287291000585,1769287291002861,295075,143,16064,102108,176760,102108,27943,16,yolov5n,JpgLossy,T1,Letterbox
13,79,RSU-0002,Offload,1769287290707787,1769287290710621,1769287290710765,1769287290710765,1769287291000618,1769287291000618,1769287291102550,1769287291102551,1769287291104589,396802,144,15933,101933,278792,101932,27943,16,yolov5n,JpgLossy,T1,Letterbox
14,85,RSU-0000,Offload,1769287290909006,1769287290908014,1769287290908173,1769287290908173,1769287291102596,1769287291102596,1769287291205089,1769287291205089,1769287291207160,298154,159,17374,102493,178128,102493,27969,16,yolov5n,JpgLossy,T1,Letterbox
14,85,RSU-0001,Offload,1769287290909021,1769287290912423,1769287290912574,1769287290912574,1769287291205121,1769287291205121,1769287291306490,1769287291306490,1769287291308741,399720,151,17483,101369,280717,101369,27969,16,yolov5n,JpgLossy,T1,Letterbox
