sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769296541558620,1769296541558763,1769296541558962,1769296541558962,1769296541588392,1769296541588392,1769296541707816,1769296541707816,1769296541710420,151800,199,32171,119424,6,119424,84671,15,yolov5n,JpgLossy,T2,HD
2,5,RSU-0001,Offload,1769296541694130,1769296541693157,1769296541693370,1769296541693370,1769296541708171,1769296541708171,1769296541831622,1769296541831622,1769296541834719,140589,213,16909,123451,16,123451,85482,17,yolov5n,JpgLossy,T2,HD
3,7,RSU-0000,Offload,1769296541761947,1769296541766755,1769296541766982,1769296541766982,1769296541831681,1769296541831682,1769296541952710,1769296541952710,1769296541955602,193655,227,16541,121029,55858,121028,82745,16,yolov5n,JpgLossy,T2,HD
3,7,RSU-0001,Offload,1769296541761965,1769296541764151,1769296541764359,1769296541764360,1769296541952738,1769296541952739,1769296542074399,1769296542074400,1769296542077632,315667,209,24727,121662,169069,121660,82745,16,yolov5n,JpgLossy,T2,HD
3,7,RSU-0002,Offload,1769296541761966,1769296541764330,1769296541764567,1769296541764567,1769296542074429,1769296542074429,1769296542193243,1769296542193243,1769296542195993,434027,237,28758,118814,286218,118814,82745,16,yolov5n,JpgLossy,T2,HD
9,19,RSU-0000,Offload,1769296542168656,1769296542172889,1769296542173093,1769296542173093,1769296542193281,1769296542193281,1769296542311377,1769296542311377,1769296542315524,146868,204,20984,118096,7584,118096,76312,17,yolov5n,JpgLossy,T2,HD
9,19,RSU-0001,Offload,1769296542168669,1769296542170005,1769296542170199,1769296542170199,1769296542311407,1769296542311407,1769296542428411,1769296542428411,1769296542431698,263029,194,19475,117004,126356,117004,76312,17,yolov5n,JpgLossy,T2,HD
9,19,RSU-0002,Offload,1769296542168671,1769296542170875,1769296542171085,1769296542171085,1769296542428440,1769296542428440,1769296542552109,1769296542552109,1769296542555471,386800,210,18897,123669,244024,123669,76312,17,yolov5n,JpgLossy,T2,HD
14,29,RSU-0000,Offload,1769296542507709,1769296542516389,1769296542516599,1769296542516599,1769296542552144,1769296542552144,1769296542668537,1769296542668538,1769296542672496,164787,210,19524,116394,28659,116393,76316,17,yolov5n,JpgLossy,T2,HD
14,29,RSU-0001,Offload,1769296542507723,1769296542511396,1769296542511590,1769296542511590,1769296542668576,1769296542668576,1769296542787919,1769296542787919,1769296542793395,285672,194,31211,119343,134924,119343,76316,17,yolov5n,JpgLossy,T2,HD
14,29,RSU-0002,Offload,1769296542507724,1769296542512549,1769296542512759,1769296542512759,1769296542787947,1769296542787947,1769296542908205,1769296542908205,1769296542911311,403587,210,23093,120258,260026,120258,76316,17,yolov5n,JpgLossy,T2,HD
19,39,RSU-0000,Offload,1769296542846851,1769296542854270,1769296542854475,1769296542854475,1769296542908247,1769296542908247,1769296543029585,1769296543029585,1769296543032798,185947,205,22882,121338,41522,121338,76368,15,yolov5n,JpgLossy,T2,HD
19,39,RSU-0001,Offload,1769296542846866,1769296542849934,1769296542850138,1769296542850138,1769296543029616,1769296543029616,1769296543148412,1769296543148412,1769296543151895,305029,204,22412,118796,163617,118796,76368,15,yolov5n,JpgLossy,T2,HD
19,39,RSU-0002,Offload,1769296542846868,1769296542851647,1769296542851858,1769296542851858,1769296543148440,1769296543148441,1769296543267615,1769296543267615,1769296543272824,425956,211,25368,119175,281202,119174,76368,15,yolov5n,JpgLossy,T2,HD
24,49,RSU-0000,Offload,1769296543188507,1769296543198630,1769296543198856,1769296543198856,1769296543267647,1769296543267647,1769296543388017,1769296543388017,1769296543390755,202248,226,17888,120370,63764,120370,76475,15,yolov5n,JpgLossy,T2,HD
24,49,RSU-0001,Offload,1769296543188525,1769296543191028,1769296543191235,1769296543191236,1769296543388045,1769296543388045,1769296543508692,1769296543508692,1769296543511882,323357,208,22375,120647,180127,120647,76475,15,yolov5n,JpgLossy,T2,HD
24,49,RSU-0002,Offload,1769296543188527,1769296543194266,1769296543194473,1769296543194473,1769296543508721,1769296543508722,1769296543628554,1769296543628554,1769296543631486,442959,207,26805,119833,296114,119832,76475,15,yolov5n,JpgLossy,T2,HD
30,61,RSU-0000,Offload,1769296543595785,1769296543605294,1769296543605508,1769296543605508,1769296543628597,1769296543628597,1769296543746411,1769296543746411,1769296543757188,161403,214,32123,117814,11252,117814,76981,15,yolov5n,JpgLossy,T2,HD
30,61,RSU-0001,Offload,1769296543595800,1769296543600830,1769296543601014,1769296543601014,1769296543746453,1769296543746453,1769296543873112,1769296543873112,1769296543875945,280145,184,22438,126659,130864,126659,76981,15,yolov5n,JpgLossy,T2,HD
30,61,RSU-0002,Offload,1769296543595802,1769296543600534,1769296543600729,1769296543600729,1769296543873143,1769296543873143,1769296543993931,1769296543993931,1769296543997014,401212,195,21220,120788,259009,120788,76981,15,yolov5n,JpgLossy,T2,HD
35,71,RSU-0000,Offload,1769296543936437,1769296543943852,1769296543944075,1769296543944075,1769296543993961,1769296543993961,1769296544114625,1769296544114625,1769296544117568,181131,223,20038,120664,40206,120664,77308,14,yolov5n,JpgLossy,T2,HD
35,71,RSU-0001,Offload,1769296543936452,1769296543939961,1769296543940155,1769296543940156,1769296544114655,1769296544114655,1769296544234185,1769296544234185,1769296544237029,300577,195,22916,119530,157936,119530,77308,14,yolov5n,JpgLossy,T2,HD
35,71,RSU-0002,Offload,1769296543936454,1769296543941053,1769296543941250,1769296543941251,1769296544234210,1769296544234210,1769296544353830,1769296544353830,1769296544366738,430284,198,28498,119620,281968,119620,77308,14,yolov5n,JpgLossy,T2,HD
40,81,RSU-0000,Offload,1769296544275967,1769296544285549,1769296544285756,1769296544285757,1769296544353861,1769296544353862,1769296544473785,1769296544473785,1769296544476796,200829,208,23905,119924,56792,119923,77348,16,yolov5n,JpgLossy,T2,HD
40,81,RSU-0001,Offload,1769296544275983,1769296544279294,1769296544279497,1769296544279497,1769296544473813,1769296544473814,1769296544596007,1769296544596007,1769296544598936,322953,203,25314,122194,175242,122193,77348,16,yolov5n,JpgLossy,T2,HD
40,81,RSU-0002,Offload,1769296544275985,1769296544280744,1769296544280946,1769296544280947,1769296544596035,1769296544596035,1769296544716154,1769296544716154,1769296544720271,444286,203,18236,120119,305728,120119,77348,16,yolov5n,JpgLossy,T2,HD
46,93,RSU-0000,Offload,1769296544682708,1769296544692255,1769296544692479,1769296544692479,1769296544716190,1769296544716190,1769296544834470,1769296544834470,1769296544842674,159966,224,29807,118280,11655,118280,77605,18,yolov5n,JpgLossy,T2,HD
46,93,RSU-0001,Offload,1769296544682721,1769296544685977,1769296544686184,1769296544686184,1769296544834494,1769296544834495,1769296544954122,1769296544954122,1769296544957673,274952,207,22913,119628,132204,119627,77605,18,yolov5n,JpgLossy,T2,HD
46,93,RSU-0002,Offload,1769296544682723,1769296544687524,1769296544687741,1769296544687742,1769296544954150,1769296544954150,1769296545075135,1769296545075135,1769296545078015,395292,218,22090,120985,251999,120985,77605,18,yolov5n,JpgLossy,T2,HD
51,103,RSU-0000,Offload,1769296545023315,1769296545030647,1769296545030869,1769296545030869,1769296545075178,1769296545075179,1769296545195583,1769296545195583,1769296545198441,175126,222,22089,120405,32410,120404,77914,14,yolov5n,JpgLossy,T2,HD
51,103,RSU-0001,Offload,1769296545023331,1769296545028199,1769296545028390,1769296545028390,1769296545195613,1769296545195614,1769296545313985,1769296545313985,1769296545319338,296007,191,29324,118372,148120,118371,77914,14,yolov5n,JpgLossy,T2,HD
51,103,RSU-0002,Offload,1769296545023332,1769296545030635,1769296545030833,1769296545030833,1769296545314017,1769296545314017,1769296545433465,1769296545433465,1769296545437124,413792,198,23048,119448,271098,119448,77914,14,yolov5n,JpgLossy,T2,HD
56,113,RSU-0000,Offload,1769296545362842,1769296545370439,1769296545370651,1769296545370651,1769296545433495,1769296545433495,1769296545551271,1769296545551271,1769296545554412,191570,212,24295,117776,49287,117776,77626,18,yolov5n,JpgLossy,T2,HD
56,113,RSU-0001,Offload,1769296545362861,1769296545366006,1769296545366214,1769296545366214,1769296545551301,1769296545551301,1769296545669246,1769296545669246,1769296545672395,309534,208,19297,117945,172084,117945,77626,18,yolov5n,JpgLossy,T2,HD
