sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768743635049482,1768743635059638,1768743635059783,1768743635059783,1768743635069988,1768743635069988,1768743635152607,1768743635152608,1768743635152967,103485,145,10205,82620,82619,28714,15,640,640,yolov5n,JpgLossy,T2,Letterbox
0,1,RSU-0001,Offload,1768743635049482,1768743635063440,1768743635063583,1768743635063584,1768743635152781,1768743635152781,1768743635229982,1768743635229982,1768743635232716,183234,144,89197,77201,77201,28714,15,640,640,yolov5n,JpgLossy,T2,Letterbox
0,1,RSU-0002,Offload,1768743635049482,1768743635067720,1768743635067886,1768743635067886,1768743635230045,1768743635230045,1768743635305037,1768743635305038,1768743635305409,255927,166,162159,74993,74992,28714,15,640,640,yolov5n,JpgLossy,T2,Letterbox
1,31,RSU-0000,Offload,1768743636050929,1768743636060939,1768743636061082,1768743636061082,1768743636172328,1768743636172328,1768743636246143,1768743636246143,1768743636246694,195765,143,111246,73815,73815,27529,13,640,640,yolov5n,JpgLossy,T2,Letterbox
1,31,RSU-0001,Offload,1768743636050929,1768743636066451,1768743636066596,1768743636066596,1768743636246311,1768743636246311,1768743636321072,1768743636321072,1768743636321307,270378,145,179715,74761,74761,27529,13,640,640,yolov5n,JpgLossy,T2,Letterbox
1,31,RSU-0002,Offload,1768743636050929,1768743636064966,1768743636065105,1768743636065105,1768743636321138,1768743636321138,1768743636395935,1768743636395935,1768743636396506,345577,139,256033,74797,74797,27529,13,640,640,yolov5n,JpgLossy,T2,Letterbox
2,61,RSU-0000,Offload,1768743637052903,1768743637063026,1768743637063171,1768743637063171,1768743637070385,1768743637070385,1768743637146933,1768743637146933,1768743637146962,94059,145,7214,76548,76548,27784,14,640,640,yolov5n,JpgLossy,T2,Letterbox
2,61,RSU-0001,Offload,1768743637052903,1768743637068398,1768743637068550,1768743637068550,1768743637147099,1768743637147099,1768743637222024,1768743637222024,1768743637222893,169990,152,78549,74925,74925,27784,14,640,640,yolov5n,JpgLossy,T2,Letterbox
2,61,RSU-0002,Offload,1768743637052903,1768743637067019,1768743637067169,1768743637067169,1768743637222190,1768743637222190,1768743637297541,1768743637297541,1768743637298073,245170,150,155021,75351,75351,27784,14,640,640,yolov5n,JpgLossy,T2,Letterbox
3,91,RSU-0000,Offload,1768743638055202,1768743638062980,1768743638063145,1768743638063145,1768743638071590,1768743638071595,1768743638150312,1768743638150312,1768743638150488,95286,165,8445,78722,78717,28009,16,640,640,yolov5n,JpgLossy,T2,Letterbox
3,91,RSU-0002,Offload,1768743638055202,1768743638070807,1768743638070958,1768743638070958,1768743638150437,1768743638150437,1768743638225560,1768743638225560,1768743638226112,170910,151,79479,75123,75123,28009,16,640,640,yolov5n,JpgLossy,T2,Letterbox
3,91,RSU-0001,Offload,1768743638055202,1768743638069916,1768743638070060,1768743638070060,1768743638225891,1768743638225891,1768743638300887,1768743638300887,1768743638304945,249743,144,155831,74996,74996,28009,16,640,640,yolov5n,JpgLossy,T2,Letterbox
4,121,RSU-0001,Offload,1768743639056612,1768743639071419,1768743639071560,1768743639071560,1768743639074710,1768743639074710,1768743639148897,1768743639148897,1768743639149119,92507,141,3150,74187,74187,28063,18,640,640,yolov5n,JpgLossy,T2,Letterbox
4,121,RSU-0000,Offload,1768743639056612,1768743639066831,1768743639066982,1768743639066982,1768743639149114,1768743639149115,1768743639223931,1768743639223931,1768743639224165,167553,151,82132,74817,74816,28063,18,640,640,yolov5n,JpgLossy,T2,Letterbox
