sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768624353125194,1768624353129288,1768624353129532,1768624353129532,1768624353160347,1768624353160348,1768624353271646,1768624353271646,1768624353277323,152129,244,30815,111299,111298,117204,17,1920,1080,yolov5n,JpgLossy,T3,FHD
0,1,RSU-0000,Offload,1768624353125194,1768624353129326,1768624353129564,1768624353129564,1768624353271898,1768624353271898,1768624353378261,1768624353378262,1768624353424780,299586,238,142334,106364,106363,117204,17,1920,1080,yolov5n,JpgLossy,T3,FHD
1,4,RSU-0000,Offload,1768624353227091,1768624353228817,1768624353229120,1768624353229121,1768624353378333,1768624353378334,1768624353495551,1768624353495551,1768624353499633,272542,304,149212,117218,117217,132521,15,1920,1080,yolov5n,JpgLossy,T3,FHD
1,4,RSU-0001,Offload,1768624353227091,1768624353232207,1768624353232488,1768624353232488,1768624353495588,1768624353495588,1768624353604674,1768624353604674,1768624353609006,381915,281,263100,109086,109086,132521,15,1920,1080,yolov5n,JpgLossy,T3,FHD
1,4,RSU-0002,Offload,1768624353227091,1768624353225903,1768624353226189,1768624353226189,1768624353604711,1768624353604711,1768624353713729,1768624353713729,1768624353717982,490891,286,378522,109018,109018,132521,15,1920,1080,yolov5n,JpgLossy,T3,FHD
4,13,RSU-0000,Offload,1768624353532034,1768624353537036,1768624353537233,1768624353537234,1768624353713771,1768624353713771,1768624353816180,1768624353816180,1768624353820586,288552,198,176537,102409,102409,60681,16,1920,1080,yolov5n,JpgLossy,T3,FHD
4,13,RSU-0001,Offload,1768624353532034,1768624353536539,1768624353536729,1768624353536729,1768624353816220,1768624353816220,1768624353920314,1768624353920314,1768624353924628,392594,190,279491,104094,104094,60681,16,1920,1080,yolov5n,JpgLossy,T3,FHD
4,13,RSU-0002,Offload,1768624353532034,1768624353533523,1768624353533727,1768624353533727,1768624353920441,1768624353920441,1768624354022338,1768624354022338,1768624354026559,494525,204,386714,101897,101897,60681,16,1920,1080,yolov5n,JpgLossy,T3,FHD
8,25,RSU-0000,Offload,1768624353939164,1768624353944744,1768624353944931,1768624353944931,1768624354022462,1768624354022462,1768624354126710,1768624354126710,1768624354130718,191554,187,77531,104248,104248,60324,16,1920,1080,yolov5n,JpgLossy,T3,FHD
8,25,RSU-0001,Offload,1768624353939164,1768624353944071,1768624353944242,1768624353944242,1768624354126760,1768624354126760,1768624354229709,1768624354229709,1768624354235788,296624,171,182518,102949,102949,60324,16,1920,1080,yolov5n,JpgLossy,T3,FHD
8,25,RSU-0002,Offload,1768624353939164,1768624353940107,1768624353940289,1768624353940289,1768624354229743,1768624354229743,1768624354332971,1768624354332971,1768624354337711,398547,182,289454,103228,103228,60324,16,1920,1080,yolov5n,JpgLossy,T3,FHD
11,34,RSU-0000,Offload,1768624354243159,1768624354247816,1768624354248006,1768624354248006,1768624354333030,1768624354333030,1768624354436494,1768624354436494,1768624354440507,197348,190,85024,103464,103464,60486,16,1920,1080,yolov5n,JpgLossy,T3,FHD
11,34,RSU-0001,Offload,1768624354243159,1768624354248005,1768624354248187,1768624354248187,1768624354436556,1768624354436556,1768624354540295,1768624354540295,1768624354546016,302857,182,188369,103739,103739,60486,16,1920,1080,yolov5n,JpgLossy,T3,FHD
11,34,RSU-0002,Offload,1768624354243159,1768624354242856,1768624354243043,1768624354243043,1768624354540411,1768624354540411,1768624354645126,1768624354645126,1768624354649447,406288,187,297368,104715,104715,60486,16,1920,1080,yolov5n,JpgLossy,T3,FHD
14,43,RSU-0000,Offload,1768624354548437,1768624354552370,1768624354552557,1768624354552557,1768624354645190,1768624354645190,1768624354749507,1768624354749507,1768624354753451,205014,187,92633,104317,104317,60782,15,1920,1080,yolov5n,JpgLossy,T3,FHD
14,43,RSU-0001,Offload,1768624354548437,1768624354552897,1768624354553076,1768624354553076,1768624354749567,1768624354749567,1768624354854145,1768624354854145,1768624354858242,309805,179,196491,104578,104578,60782,15,1920,1080,yolov5n,JpgLossy,T3,FHD
14,43,RSU-0002,Offload,1768624354548437,1768624354549972,1768624354550153,1768624354550153,1768624354854205,1768624354854205,1768624354959716,1768624354959716,1768624354963934,415497,181,304052,105511,105511,60782,15,1920,1080,yolov5n,JpgLossy,T3,FHD
