sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768618431498871,1768618431507560,1768618431507746,1768618431507746,1768618431591967,1768618431591967,1768618431687399,1768618431687400,1768618431688331,189460,186,84221,95433,95432,60995,14,1280,720,yolov5n,JpgLossy,T3,HD
0,1,RSU-0000,Offload,1768618431498871,1768618431503370,1768618431503595,1768618431503595,1768618431687463,1768618431687463,1768618431781119,1768618431781119,1768618431782463,283592,225,183868,93656,93656,60995,14,1280,720,yolov5n,JpgLossy,T3,HD
0,1,RSU-0002,Offload,1768618431498871,1768618431505817,1768618431506008,1768618431506008,1768618431781158,1768618431781158,1768618431874545,1768618431874546,1768618431872742,373871,191,275150,93388,93387,60995,14,1280,720,yolov5n,JpgLossy,T3,HD
1,31,RSU-0002,Offload,1768618432499832,1768618432503946,1768618432504134,1768618432504134,1768618432631021,1768618432631021,1768618432724103,1768618432724104,1768618432722281,222449,188,126887,93083,93082,56120,17,1280,720,yolov5n,JpgLossy,T3,HD
1,31,RSU-0000,Offload,1768618432499832,1768618432506528,1768618432506721,1768618432506721,1768618432724476,1768618432724476,1768618432818696,1768618432818696,1768618432817003,317171,193,217755,94220,94220,56120,17,1280,720,yolov5n,JpgLossy,T3,HD
1,31,RSU-0001,Offload,1768618432499832,1768618432509634,1768618432509827,1768618432509827,1768618432818961,1768618432818962,1768618432910080,1768618432910081,1768618432908398,408566,193,309134,91120,91118,56120,17,1280,720,yolov5n,JpgLossy,T3,HD
2,61,RSU-0002,Offload,1768618433500525,1768618433503926,1768618433504119,1768618433504119,1768618433534376,1768618433534376,1768618433627129,1768618433627129,1768618433625421,124896,193,30257,92753,92753,56705,15,1280,720,yolov5n,JpgLossy,T3,HD
2,61,RSU-0000,Offload,1768618433500525,1768618433508149,1768618433508346,1768618433508346,1768618433627522,1768618433627522,1768618433717761,1768618433717762,1768618433715914,215389,197,119176,90240,90239,56705,15,1280,720,yolov5n,JpgLossy,T3,HD
2,61,RSU-0001,Offload,1768618433500525,1768618433510822,1768618433511038,1768618433511039,1768618433717886,1768618433717886,1768618433808793,1768618433808794,1768618433806993,306468,217,206847,90908,90907,56705,15,1280,720,yolov5n,JpgLossy,T3,HD
3,91,RSU-0002,Offload,1768618434501724,1768618434504965,1768618434505158,1768618434505158,1768618434530363,1768618434530363,1768618434619082,1768618434619082,1768618434617285,115561,193,25205,88719,88719,57294,16,1280,720,yolov5n,JpgLossy,T3,HD
3,91,RSU-0000,Offload,1768618434501724,1768618434510465,1768618434510656,1768618434510657,1768618434619400,1768618434619400,1768618434710481,1768618434710482,1768618434708709,206985,192,108743,91082,91081,57294,16,1280,720,yolov5n,JpgLossy,T3,HD
3,91,RSU-0001,Offload,1768618434501724,1768618434510655,1768618434510853,1768618434510853,1768618434710706,1768618434710706,1768618434806070,1768618434806070,1768618434804454,302730,198,199853,95364,95364,57294,16,1280,720,yolov5n,JpgLossy,T3,HD
4,121,RSU-0000,Offload,1768618435502840,1768618435511970,1768618435512155,1768618435512155,1768618435532761,1768618435532762,1768618435621198,1768618435621198,1768618435622622,119782,185,20606,88437,88436,57252,17,1280,720,yolov5n,JpgLossy,T3,HD
4,121,RSU-0002,Offload,1768618435502840,1768618435506309,1768618435506504,1768618435506504,1768618435621718,1768618435621718,1768618435712825,1768618435712825,1768618435710902,208062,195,115214,91107,91107,57252,17,1280,720,yolov5n,JpgLossy,T3,HD
4,121,RSU-0001,Offload,1768618435502840,1768618435511933,1768618435512129,1768618435512129,1768618435712888,1768618435712888,1768618435804160,1768618435804160,1768618435802721,299881,196,200759,91272,91272,57252,17,1280,720,yolov5n,JpgLossy,T3,HD
5,151,RSU-0000,Offload,1768618436504099,1768618436513503,1768618436513696,1768618436513696,1768618436535682,1768618436535683,1768618436624853,1768618436624853,1768618436623101,119002,193,21986,89171,89170,57567,19,1280,720,yolov5n,JpgLossy,T3,HD
5,151,RSU-0001,Offload,1768618436504099,1768618436512638,1768618436512827,1768618436512827,1768618436625184,1768618436625184,1768618436716265,1768618436716265,1768618436714121,210022,189,112357,91081,91081,57567,19,1280,720,yolov5n,JpgLossy,T3,HD
5,151,RSU-0002,Offload,1768618436504099,1768618436508820,1768618436509015,1768618436509015,1768618436716382,1768618436716383,1768618436810434,1768618436810434,1768618436808719,304620,195,207367,94052,94051,57567,19,1280,720,yolov5n,JpgLossy,T3,HD
6,181,RSU-0000,Offload,1768618437505630,1768618437514542,1768618437514734,1768618437514734,1768618437541008,1768618437541008,1768618437629455,1768618437629455,1768618437627692,122062,192,26274,88447,88447,56586,18,1280,720,yolov5n,JpgLossy,T3,HD
6,181,RSU-0001,Offload,1768618437505630,1768618437513837,1768618437514031,1768618437514031,1768618437629860,1768618437629860,1768618437720388,1768618437720388,1768618437718393,212763,194,115829,90528,90528,56586,18,1280,720,yolov5n,JpgLossy,T3,HD
6,181,RSU-0002,Offload,1768618437505630,1768618437509967,1768618437510157,1768618437510158,1768618437720450,1768618437720450,1768618437811321,1768618437811321,1768618437809500,303870,191,210292,90871,90871,56586,18,1280,720,yolov5n,JpgLossy,T3,HD
7,211,RSU-0000,Offload,1768618438506594,1768618438513346,1768618438513536,1768618438513536,1768618438536580,1768618438536580,1768618438624924,1768618438624924,1768618438623012,116418,190,23044,88344,88344,56937,13,1280,720,yolov5n,JpgLossy,T3,HD
7,211,RSU-0001,Offload,1768618438506594,1768618438516897,1768618438517087,1768618438517087,1768618438625241,1768618438625241,1768618438716127,1768618438716127,1768618438714434,207840,190,108154,90886,90886,56937,13,1280,720,yolov5n,JpgLossy,T3,HD
7,211,RSU-0002,Offload,1768618438506594,1768618438510786,1768618438510982,1768618438510982,1768618438716282,1768618438716283,1768618438810198,1768618438810199,1768618438808415,301821,196,205300,93917,93915,56937,13,1280,720,yolov5n,JpgLossy,T3,HD
8,241,RSU-0001,Offload,1768618439507842,1768618439516987,1768618439517177,1768618439517177,1768618439538166,1768618439538166,1768618439626523,1768618439626523,1768618439624688,116846,190,20989,88357,88357,56993,17,1280,720,yolov5n,JpgLossy,T3,HD
8,241,RSU-0002,Offload,1768618439507842,1768618439511360,1768618439511554,1768618439511554,1768618439626770,1768618439626770,1768618439717535,1768618439717535,1768618439715823,207981,194,115216,90765,90765,56993,17,1280,720,yolov5n,JpgLossy,T3,HD
