sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768618636757561,1768618636768210,1768618636768913,1768618636768914,1768618637604870,1768618637604870,1768618637703180,1768618637703180,1768618637703944,946383,704,835956,98310,98310,839782,16,1280,720,yolov5n,PngLossless,T1,HD
0,1,RSU-0002,Offload,1768618636757561,1768618636763704,1768618636764515,1768618636764516,1768618637704609,1768618637704609,1768618637801400,1768618637801400,1768618637873959,1116398,812,940093,96791,96791,839782,16,1280,720,yolov5n,PngLossless,T1,HD
0,1,RSU-0000,Offload,1768618636757561,1768618636764166,1768618636764983,1768618636764983,1768618637801448,1768618637801448,1768618637904905,1768618637904906,1768618637906142,1148581,817,1036465,103458,103457,839782,16,1280,720,yolov5n,PngLossless,T1,HD
1,31,RSU-0001,Offload,1768618637758710,1768618637766880,1768618637767633,1768618637767634,1768618637960461,1768618637960462,1768618638053813,1768618638053814,1768618638051772,293062,754,192827,93353,93351,630862,15,1280,720,yolov5n,PngLossless,T1,HD
1,31,RSU-0000,Offload,1768618637758710,1768618637767325,1768618637767974,1768618637767974,1768618638055822,1768618638055822,1768618638150256,1768618638150257,1768618638220761,462051,649,287848,94435,94434,630862,15,1280,720,yolov5n,PngLossless,T1,HD
1,31,RSU-0002,Offload,1768618637758710,1768618637763933,1768618637764563,1768618637764563,1768618638150380,1768618638150381,1768618638245532,1768618638245532,1768618638243552,484842,630,385817,95152,95151,630862,15,1280,720,yolov5n,PngLossless,T1,HD
2,61,RSU-0001,Offload,1768618638759740,1768618638769274,1768618638769934,1768618638769935,1768618639037178,1768618639037178,1768618639131321,1768618639131321,1768618639251951,492211,661,267243,94143,94143,637959,15,1280,720,yolov5n,PngLossless,T1,HD
2,61,RSU-0000,Offload,1768618638759740,1768618638768869,1768618638769465,1768618638769466,1768618639131442,1768618639131442,1768618639226417,1768618639226417,1768618639257545,497805,597,361976,94975,94975,637959,15,1280,720,yolov5n,PngLossless,T1,HD
2,61,RSU-0002,Offload,1768618638759740,1768618638764606,1768618638765192,1768618638765192,1768618639226543,1768618639226543,1768618639324381,1768618639324382,1768618639322408,562668,586,461351,97839,97838,637959,15,1280,720,yolov5n,PngLossless,T1,HD
3,91,RSU-0001,Offload,1768618639760415,1768618639769352,1768618639769991,1768618639769991,1768618640023916,1768618640023916,1768618640122367,1768618640122367,1768618640120408,359993,639,253925,98451,98451,645522,17,1280,720,yolov5n,PngLossless,T1,HD
3,91,RSU-0002,Offload,1768618639760415,1768618639764815,1768618639765444,1768618639765444,1768618640123670,1768618640123670,1768618640218696,1768618640218696,1768618640285173,524758,629,358226,95026,95026,645522,17,1280,720,yolov5n,PngLossless,T1,HD
3,91,RSU-0000,Offload,1768618639760415,1768618639769050,1768618639769644,1768618639769644,1768618640218752,1768618640218752,1768618640313944,1768618640313944,1768618640311908,551493,594,449108,95192,95192,645522,17,1280,720,yolov5n,PngLossless,T1,HD
4,121,RSU-0002,Offload,1768618640761973,1768618640767375,1768618640768011,1768618640768011,1768618641034290,1768618641034290,1768618641126790,1768618641126790,1768618641125548,363575,636,266279,92500,92500,642167,17,1280,720,yolov5n,PngLossless,T1,HD
4,121,RSU-0000,Offload,1768618640761973,1768618640770669,1768618640771281,1768618640771281,1768618641128643,1768618641128643,1768618641223854,1768618641223854,1768618641318139,556166,612,357362,95211,95211,642167,17,1280,720,yolov5n,PngLossless,T1,HD
4,121,RSU-0001,Offload,1768618640761973,1768618640770167,1768618640770780,1768618640770780,1768618641224193,1768618641224193,1768618641323534,1768618641323534,1768618641321903,559930,613,453413,99341,99341,642167,17,1280,720,yolov5n,PngLossless,T1,HD
5,151,RSU-0001,Offload,1768618641763142,1768618641771303,1768618641771930,1768618641771931,1768618641890207,1768618641890207,1768618641981957,1768618641981957,1768618642122999,359857,628,118276,91750,91750,648763,19,1280,720,yolov5n,PngLossless,T1,HD
5,151,RSU-0002,Offload,1768618641763142,1768618641769816,1768618641770443,1768618641770444,1768618641983584,1768618641983584,1768618642078501,1768618642078502,1768618642129099,365957,628,213140,94918,94917,648763,19,1280,720,yolov5n,PngLossless,T1,HD
5,151,RSU-0000,Offload,1768618641763142,1768618641770522,1768618641771119,1768618641771119,1768618642154510,1768618642154510,1768618642246583,1768618642246584,1768618642429899,666757,597,383391,92074,92073,648763,19,1280,720,yolov5n,PngLossless,T1,HD
6,181,RSU-0001,Offload,1768618642764823,1768618642773847,1768618642774490,1768618642774490,1768618642874927,1768618642874927,1768618642972655,1768618642972655,1768618643067022,302199,643,100437,97728,97728,642266,17,1280,720,yolov5n,PngLossless,T1,HD
6,181,RSU-0000,Offload,1768618642764823,1768618642773509,1768618642774108,1768618642774108,1768618642972708,1768618642972709,1768618643067669,1768618643067669,1768618643070158,305335,599,198600,94961,94960,642266,17,1280,720,yolov5n,PngLossless,T1,HD
6,181,RSU-0002,Offload,1768618642764823,1768618642769305,1768618642769919,1768618642769920,1768618643067751,1768618643067751,1768618643162735,1768618643162735,1768618643160720,395897,615,297831,94984,94984,642266,17,1280,720,yolov5n,PngLossless,T1,HD
7,211,RSU-0001,Offload,1768618643766153,1768618643775123,1768618643775775,1768618643775775,1768618643901244,1768618643901244,1768618643996329,1768618643996329,1768618644100821,334668,652,125469,95085,95085,643300,15,1280,720,yolov5n,PngLossless,T1,HD
7,211,RSU-0000,Offload,1768618643766153,1768618643772554,1768618643773158,1768618643773159,1768618643996397,1768618643996398,1768618644091359,1768618644091359,1768618644104205,338052,605,223238,94962,94961,643300,15,1280,720,yolov5n,PngLossless,T1,HD
7,211,RSU-0002,Offload,1768618643766153,1768618643772215,1768618643772843,1768618643772843,1768618644091453,1768618644091453,1768618644186735,1768618644186735,1768618644185105,418952,628,318610,95282,95282,643300,15,1280,720,yolov5n,PngLossless,T1,HD
8,241,RSU-0001,Offload,1768618644768303,1768618644776602,1768618644777220,1768618644777221,1768618644901244,1768618644901245,1768618644993901,1768618644993901,1768618644995443,227140,619,124023,92657,92656,640630,16,1280,720,yolov5n,PngLossless,T1,HD
8,241,RSU-0000,Offload,1768618644768303,1768618644775823,1768618644776399,1768618644776400,1768618644994934,1768618644994934,1768618645090153,1768618645090154,1768618645088365,320062,577,218534,95220,95219,640630,16,1280,720,yolov5n,PngLossless,T1,HD
