sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769285892063029,1769285892061466,1769285892062136,1769285892062137,1769285892296043,1769285892296043,1769285892421348,1769285892421348,1769285892423783,360754,671,234770,125305,8,125305,839782,16,yolov5n,PngLossless,T1,HD
0,1,RSU-0002,Offload,1769285892063030,1769285892064494,1769285892065191,1769285892065192,1769285892422593,1769285892422593,1769285892541857,1769285892541857,1769285892565203,502173,698,382203,119264,8,119264,839782,16,yolov5n,PngLossless,T1,HD
0,1,RSU-0001,Offload,1769285892063029,1769285892061178,1769285892061821,1769285892061822,1769285892541895,1769285892541896,1769285892657129,1769285892657129,1769285892659625,596596,644,384050,115234,96668,115233,839782,16,yolov5n,PngLossless,T1,HD
1,31,RSU-0000,Offload,1769285893064291,1769285893064350,1769285893064873,1769285893064874,1769285893281650,1769285893281650,1769285893408583,1769285893408584,1769285893411188,346897,524,219432,126934,7,126933,630862,15,yolov5n,PngLossless,T1,HD
1,31,RSU-0001,Offload,1769285893064307,1769285893067390,1769285893067936,1769285893067937,1769285893409462,1769285893409462,1769285893523326,1769285893523326,1769285893525898,461591,547,347172,113864,8,113864,630862,15,yolov5n,PngLossless,T1,HD
1,31,RSU-0002,Offload,1769285893064308,1769285893066264,1769285893066803,1769285893066803,1769285893523365,1769285893523365,1769285893637165,1769285893637166,1769285893639636,575328,539,347089,113801,113899,113800,630862,15,yolov5n,PngLossless,T1,HD
2,61,RSU-0000,Offload,1769285894065652,1769285894065870,1769285894066376,1769285894066376,1769285894187842,1769285894187843,1769285894314196,1769285894314196,1769285894316570,250918,506,124053,126354,5,126353,637959,15,yolov5n,PngLossless,T1,HD
2,61,RSU-0001,Offload,1769285894065669,1769285894068576,1769285894069087,1769285894069087,1769285894314242,1769285894314242,1769285894429199,1769285894429199,1769285894431684,366015,511,163943,114957,86604,114957,637959,15,yolov5n,PngLossless,T1,HD
2,61,RSU-0002,Offload,1769285894065670,1769285894067434,1769285894068047,1769285894068047,1769285894429227,1769285894429228,1769285894543453,1769285894543453,1769285894545947,480277,613,149481,114226,215957,114225,637959,15,yolov5n,PngLossless,T1,HD
3,91,RSU-0000,Offload,1769285895066841,1769285895066842,1769285895067381,1769285895067381,1769285895196188,1769285895196188,1769285895312871,1769285895312871,1769285895315381,248540,539,131310,116683,8,116683,645522,17,yolov5n,PngLossless,T1,HD
3,91,RSU-0002,Offload,1769285895066858,1769285895068705,1769285895069250,1769285895069250,1769285895313703,1769285895313703,1769285895429836,1769285895429836,1769285895432325,365467,545,248781,116133,8,116133,645522,17,yolov5n,PngLossless,T1,HD
3,91,RSU-0001,Offload,1769285895066857,1769285895069690,1769285895070178,1769285895070178,1769285895429876,1769285895429876,1769285895543997,1769285895543997,1769285895546290,479433,488,248816,114121,116008,114121,645522,17,yolov5n,PngLossless,T1,HD
4,121,RSU-0002,Offload,1769285896068722,1769285896071304,1769285896071928,1769285896071928,1769285896189406,1769285896189406,1769285896306857,1769285896306857,1769285896309358,240636,624,122555,117451,6,117451,642167,17,yolov5n,PngLossless,T1,HD
4,121,RSU-0000,Offload,1769285896068704,1769285896070151,1769285896070638,1769285896070638,1769285896307744,1769285896307744,1769285896422002,1769285896422002,1769285896424413,355709,487,240956,114258,8,114258,642167,17,yolov5n,PngLossless,T1,HD
4,121,RSU-0001,Offload,1769285896068721,1769285896069331,1769285896069826,1769285896069826,1769285896422036,1769285896422036,1769285896535951,1769285896535951,1769285896538672,469951,495,241459,113915,114082,113915,642167,17,yolov5n,PngLossless,T1,HD
5,151,RSU-0000,Offload,1769285897070039,1769285897071013,1769285897071543,1769285897071543,1769285897201590,1769285897201590,1769285897321716,1769285897321716,1769285897324273,254234,530,133572,120126,6,120126,648763,19,yolov5n,PngLossless,T1,HD
5,151,RSU-0001,Offload,1769285897070057,1769285897070593,1769285897071092,1769285897071093,1769285897321757,1769285897321757,1769285897437400,1769285897437400,1769285897439869,369812,500,167277,115643,86392,115643,648763,19,yolov5n,PngLossless,T1,HD
5,151,RSU-0002,Offload,1769285897070058,1769285897072578,1769285897073207,1769285897073207,1769285897437429,1769285897437429,1769285897550977,1769285897550977,1769285897553585,483527,629,136938,113548,232412,113548,648763,19,yolov5n,PngLossless,T1,HD
6,181,RSU-0002,Offload,1769285898071410,1769285898073074,1769285898073693,1769285898073694,1769285898208589,1769285898208589,1769285898325097,1769285898325097,1769285898327649,256239,620,139104,116508,7,116508,642266,17,yolov5n,PngLossless,T1,HD
6,181,RSU-0001,Offload,1769285898071409,1769285898073832,1769285898074314,1769285898074315,1769285898326081,1769285898326082,1769285898440291,1769285898440291,1769285898442875,371466,483,256766,114210,7,114209,642266,17,yolov5n,PngLossless,T1,HD
6,181,RSU-0000,Offload,1769285898071393,1769285898071459,1769285898072007,1769285898072007,1769285898440322,1769285898440322,1769285898554317,1769285898554317,1769285898556624,485231,548,256469,113995,114219,113995,642266,17,yolov5n,PngLossless,T1,HD
7,211,RSU-0000,Offload,1769285899073515,1769285899074824,1769285899075360,1769285899075360,1769285899217352,1769285899217352,1769285899335731,1769285899335732,1769285899339004,265489,536,146567,118380,6,118379,643300,15,yolov5n,PngLossless,T1,HD
7,211,RSU-0001,Offload,1769285899073526,1769285899075077,1769285899075561,1769285899075562,1769285899335765,1769285899335765,1769285899451435,1769285899451435,1769285899453969,380443,485,164810,115670,99478,115670,643300,15,yolov5n,PngLossless,T1,HD
7,211,RSU-0002,Offload,1769285899073527,1769285899075383,1769285899075923,1769285899075923,1769285899451464,1769285899451464,1769285899565812,1769285899565812,1769285899568199,494672,540,151376,114348,228408,114348,643300,15,yolov5n,PngLossless,T1,HD
8,241,RSU-0000,Offload,1769285900075065,1769285900076131,1769285900076654,1769285900076654,1769285900206629,1769285900206630,1769285900322738,1769285900322738,1769285900325551,250486,523,133847,116109,7,116108,640630,16,yolov5n,PngLossless,T1,HD
8,241,RSU-0002,Offload,1769285900075081,1769285900077744,1769285900078279,1769285900078279,1769285900323544,1769285900323544,1769285900437725,1769285900437725,1769285900440142,365061,535,250338,114181,7,114181,640630,16,yolov5n,PngLossless,T1,HD
8,241,RSU-0001,Offload,1769285900075080,1769285900075719,1769285900076304,1769285900076304,1769285900437755,1769285900437756,1769285900551570,1769285900551570,1769285900554095,479015,585,250661,113815,113954,113814,640630,16,yolov5n,PngLossless,T1,HD
9,271,RSU-0002,Offload,1769285901076024,1769285901078505,1769285901079055,1769285901079055,1769285901201178,1769285901201178,1769285901319107,1769285901319107,1769285901321591,245567,550,127082,117929,6,117929,647069,17,yolov5n,PngLossless,T1,HD
9,271,RSU-0000,Offload,1769285901076008,1769285901075179,1769285901075668,1769285901075669,1769285901319955,1769285901319955,1769285901436212,1769285901436212,1769285901438536,362528,490,245775,116257,6,116257,647069,17,yolov5n,PngLossless,T1,HD
9,271,RSU-0001,Offload,1769285901076023,1769285901078553,1769285901079098,1769285901079098,1769285901436244,1769285901436244,1769285901550449,1769285901550449,1769285901553029,477006,545,254128,114205,108128,114205,647069,17,yolov5n,PngLossless,T1,HD
10,301,RSU-0000,Offload,1769285902077084,1769285902077460,1769285902077950,1769285902077950,1769285902191346,1769285902191346,1769285902308330,1769285902308330,1769285902310670,233586,490,116105,116984,7,116984,636629,14,yolov5n,PngLossless,T1,HD
10,301,RSU-0002,Offload,1769285902077103,1769285902079078,1769285902079688,1769285902079688,1769285902309158,1769285902309158,1769285902424970,1769285902424970,1769285902427461,350358,610,233928,115812,8,115812,636629,14,yolov5n,PngLossless,T1,HD
10,301,RSU-0001,Offload,1769285902077102,1769285902079682,1769285902080262,1769285902080262,1769285902425005,1769285902425005,1769285902539209,1769285902539209,1769285902541733,464631,580,244517,114204,105330,114204,636629,14,yolov5n,PngLossless,T1,HD
11,331,RSU-0002,Offload,1769285903078543,1769285903081183,1769285903081822,1769285903081823,1769285903206671,1769285903206671,1769285903324448,1769285903324448,1769285903327131,248588,640,130164,117777,7,117777,634364,17,yolov5n,PngLossless,T1,HD
11,331,RSU-0000,Offload,1769285903078531,1769285903079931,1769285903080425,1769285903080425,1769285903324507,1769285903324507,1769285903440291,1769285903440291,1769285903442862,364331,494,145446,115784,102607,115784,634364,17,yolov5n,PngLossless,T1,HD
11,331,RSU-0001,Offload,1769285903078542,1769285903079197,1769285903079678,1769285903079679,1769285903440321,1769285903440321,1769285903554378,1769285903554378,1769285903556724,478182,482,152833,114057,210810,114057,634364,17,yolov5n,PngLossless,T1,HD
12,361,RSU-0002,Offload,1769285904080899,1769285904082756,1769285904083342,1769285904083342,1769285904212590,1769285904212590,1769285904332137,1769285904332137,1769285904334877,253978,586,133838,119547,7,119547,634431,18,yolov5n,PngLossless,T1,HD
12,361,RSU-0000,Offload,1769285904080877,1769285904082451,1769285904082941,1769285904082941,1769285904332176,1769285904332176,1769285904446422,1769285904446422,1769285904448933,368056,490,144629,114246,108691,114246,634431,18,yolov5n,PngLossless,T1,HD
12,361,RSU-0001,Offload,1769285904080898,1769285904082445,1769285904082934,1769285904082934,1769285904446450,1769285904446451,1769285904560411,1769285904560411,1769285904563084,482186,489,162624,113961,205112,113960,634431,18,yolov5n,PngLossless,T1,HD
13,391,RSU-0000,Offload,1769285905082193,1769285905082122,1769285905082650,1769285905082650,1769285905211325,1769285905211326,1769285905327185,1769285905327186,1769285905329673,247480,528,131085,115861,6,115859,633376,18,yolov5n,PngLossless,T1,HD
13,391,RSU-0001,Offload,1769285905082207,1769285905084626,1769285905085170,1769285905085171,1769285905328030,1769285905328030,1769285905443746,1769285905443746,1769285905446005,363798,545,247529,115716,8,115716,633376,18,yolov5n,PngLossless,T1,HD
13,391,RSU-0002,Offload,1769285905082208,1769285905084011,1769285905084569,1769285905084569,1769285905443782,1769285905443783,1769285905557735,1769285905557735,1769285905560288,478080,558,247993,113953,115576,113952,633376,18,yolov5n,PngLossless,T1,HD
14,421,RSU-0002,Offload,1769285906082802,1769285906085581,1769285906086179,1769285906086180,1769285906215759,1769285906215760,1769285906331952,1769285906331952,1769285906335568,252766,599,135967,116193,7,116192,634215,16,yolov5n,PngLossless,T1,HD
14,421,RSU-0001,Offload,1769285906082800,1769285906085786,1769285906086280,1769285906086280,1769285906332873,1769285906332873,1769285906447299,1769285906447299,1769285906449768,366968,494,252040,114426,8,114426,634215,16,yolov5n,PngLossless,T1,HD
14,421,RSU-0000,Offload,1769285906082783,1769285906082168,1769285906082661,1769285906082662,1769285906447330,1769285906447331,1769285906561222,1769285906561222,1769285906563767,480984,494,252288,113892,114310,113891,634215,16,yolov5n,PngLossless,T1,HD
15,451,RSU-0002,Offload,1769285907083925,1769285907085729,1769285907086299,1769285907086299,1769285907211662,1769285907211663,1769285907331323,1769285907331323,1769285907333931,250006,570,129764,119661,11,119660,632564,16,yolov5n,PngLossless,T1,HD
15,451,RSU-0000,Offload,1769285907083908,1769285907084987,1769285907085480,1769285907085480,1769285907331357,1769285907331358,1769285907446822,1769285907446822,1769285907449261,365353,493,139333,115465,110062,115464,632564,16,yolov5n,PngLossless,T1,HD
15,451,RSU-0001,Offload,1769285907083924,1769285907085409,1769285907085966,1769285907085967,1769285907446850,1769285907446850,1769285907560870,1769285907560870,1769285907563378,479454,558,156526,114020,208350,114020,632564,16,yolov5n,PngLossless,T1,HD
16,481,RSU-0002,Offload,1769285908085364,1769285908088095,1769285908088754,1769285908088755,1769285908217500,1769285908217500,1769285908332461,1769285908332462,1769285908334854,249490,660,133861,114962,7,114961,630564,15,yolov5n,PngLossless,T1,HD
16,481,RSU-0000,Offload,1769285908085341,1769285908084687,1769285908085173,1769285908085174,1769285908333264,1769285908333264,1769285908447562,1769285908447562,1769285908450279,364938,487,250145,114298,8,114298,630564,15,yolov5n,PngLossless,T1,HD
