sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768618705115053,1768618705120944,1768618705121255,1768618705121255,1768618705259410,1768618705259411,1768618705337311,1768618705337311,1768618705335501,220448,311,138155,77901,77900,284818,14,640,640,yolov5n,PngLossless,T1,Letterbox
0,1,RSU-0002,Offload,1768618705115053,1768618705124146,1768618705124480,1768618705124480,1768618705338146,1768618705338146,1768618705418157,1768618705418157,1768618705416240,301187,334,213666,80011,80011,284818,14,640,640,yolov5n,PngLossless,T1,Letterbox
0,1,RSU-0001,Offload,1768618705115053,1768618705123394,1768618705123752,1768618705123753,1768618705418293,1768618705418293,1768618705494145,1768618705494146,1768618705492047,376994,359,294540,75853,75852,284818,14,640,640,yolov5n,PngLossless,T1,Letterbox
1,31,RSU-0000,Offload,1768618706116555,1768618706125068,1768618706125359,1768618706125360,1768618706255166,1768618706255166,1768618706332122,1768618706332123,1768618706332914,216359,292,129806,76957,76956,259095,13,640,640,yolov5n,PngLossless,T1,Letterbox
1,31,RSU-0001,Offload,1768618706116555,1768618706125499,1768618706125803,1768618706125803,1768618706332184,1768618706332184,1768618706408430,1768618706408430,1768618706406784,290229,304,206381,76246,76246,259095,13,640,640,yolov5n,PngLossless,T1,Letterbox
1,31,RSU-0002,Offload,1768618706116555,1768618706121138,1768618706121434,1768618706121434,1768618706408515,1768618706408515,1768618706484234,1768618706484234,1768618706482475,365920,296,287081,75719,75719,259095,13,640,640,yolov5n,PngLossless,T1,Letterbox
2,61,RSU-0000,Offload,1768618707117584,1768618707125047,1768618707125355,1768618707125355,1768618707183771,1768618707183771,1768618707259509,1768618707259509,1768618707257953,140369,308,58416,75738,75738,262339,15,640,640,yolov5n,PngLossless,T1,Letterbox
2,61,RSU-0002,Offload,1768618707117584,1768618707124448,1768618707124749,1768618707124749,1768618707260231,1768618707260231,1768618707336302,1768618707336302,1768618707335449,217865,301,135482,76071,76071,262339,15,640,640,yolov5n,PngLossless,T1,Letterbox
2,61,RSU-0001,Offload,1768618707117584,1768618707125898,1768618707126218,1768618707126218,1768618707336375,1768618707336375,1768618707414299,1768618707414299,1768618707412098,294514,320,210157,77924,77924,262339,15,640,640,yolov5n,PngLossless,T1,Letterbox
3,91,RSU-0002,Offload,1768618708118655,1768618708123391,1768618708123690,1768618708123690,1768618708197086,1768618708197086,1768618708272208,1768618708272208,1768618708271286,152631,299,73396,75122,75122,265925,16,640,640,yolov5n,PngLossless,T1,Letterbox
3,91,RSU-0000,Offload,1768618708118655,1768618708127483,1768618708127779,1768618708127779,1768618708272295,1768618708272295,1768618708347924,1768618708347924,1768618708345847,227192,296,144516,75629,75629,265925,16,640,640,yolov5n,PngLossless,T1,Letterbox
3,91,RSU-0001,Offload,1768618708118655,1768618708127794,1768618708128117,1768618708128118,1768618708348046,1768618708348047,1768618708424000,1768618708424000,1768618708422085,303430,324,219928,75954,75953,265925,16,640,640,yolov5n,PngLossless,T1,Letterbox
4,121,RSU-0000,Offload,1768618709120280,1768618709127620,1768618709127929,1768618709127929,1768618709186111,1768618709186111,1768618709261218,1768618709261218,1768618709259292,139012,309,58182,75107,75107,263432,17,640,640,yolov5n,PngLossless,T1,Letterbox
4,121,RSU-0001,Offload,1768618709120280,1768618709128475,1768618709128796,1768618709128796,1768618709261731,1768618709261731,1768618709337286,1768618709337286,1768618709335647,215367,321,132935,75555,75555,263432,17,640,640,yolov5n,PngLossless,T1,Letterbox
4,121,RSU-0002,Offload,1768618709120280,1768618709127088,1768618709127423,1768618709127423,1768618709337499,1768618709337499,1768618709415046,1768618709415046,1768618709413145,292865,335,210076,77547,77547,263432,17,640,640,yolov5n,PngLossless,T1,Letterbox
5,151,RSU-0000,Offload,1768618710121954,1768618710130441,1768618710130765,1768618710130765,1768618710195009,1768618710195009,1768618710269982,1768618710269983,1768618710268063,146109,324,64244,74974,74973,264798,18,640,640,yolov5n,PngLossless,T1,Letterbox
5,151,RSU-0001,Offload,1768618710121954,1768618710130932,1768618710131277,1768618710131277,1768618710270646,1768618710270646,1768618710346794,1768618710346794,1768618710344873,222919,345,139369,76148,76148,264798,18,640,640,yolov5n,PngLossless,T1,Letterbox
5,151,RSU-0002,Offload,1768618710121954,1768618710126558,1768618710126870,1768618710126870,1768618710346942,1768618710346942,1768618710422786,1768618710422787,1768618710420762,298808,312,220072,75845,75844,264798,18,640,640,yolov5n,PngLossless,T1,Letterbox
6,181,RSU-0000,Offload,1768618711123154,1768618711131772,1768618711132086,1768618711132087,1768618711188497,1768618711188497,1768618711264464,1768618711264464,1768618711262540,139386,315,56410,75967,75967,263126,15,640,640,yolov5n,PngLossless,T1,Letterbox
6,181,RSU-0001,Offload,1768618711123154,1768618711131252,1768618711131576,1768618711131576,1768618711264519,1768618711264519,1768618711340321,1768618711340321,1768618711338653,215499,324,132943,75802,75802,263126,15,640,640,yolov5n,PngLossless,T1,Letterbox
6,181,RSU-0002,Offload,1768618711123154,1768618711128575,1768618711128875,1768618711128875,1768618711340477,1768618711340478,1768618711416161,1768618711416161,1768618711414406,291252,300,211602,75684,75683,263126,15,640,640,yolov5n,PngLossless,T1,Letterbox
7,211,RSU-0000,Offload,1768618712124614,1768618712132004,1768618712132319,1768618712132319,1768618712195603,1768618712195603,1768618712271919,1768618712271919,1768618712270360,145746,315,63284,76316,76316,264005,14,640,640,yolov5n,PngLossless,T1,Letterbox
7,211,RSU-0001,Offload,1768618712124614,1768618712132837,1768618712133159,1768618712133160,1768618712272081,1768618712272081,1768618712347779,1768618712347779,1768618712345864,221250,323,138921,75698,75698,264005,14,640,640,yolov5n,PngLossless,T1,Letterbox
7,211,RSU-0002,Offload,1768618712124614,1768618712131402,1768618712131694,1768618712131694,1768618712347835,1768618712347835,1768618712423506,1768618712423506,1768618712421461,296847,292,216141,75671,75671,264005,14,640,640,yolov5n,PngLossless,T1,Letterbox
8,241,RSU-0001,Offload,1768618713125887,1768618713134012,1768618713134325,1768618713134325,1768618713203046,1768618713203046,1768618713278106,1768618713278106,1768618713277784,151897,313,68721,75060,75060,261767,16,640,640,yolov5n,PngLossless,T1,Letterbox
8,241,RSU-0002,Offload,1768618713125887,1768618713132327,1768618713132631,1768618713132631,1768618713278575,1768618713278576,1768618713354940,1768618713354940,1768618713354672,228785,304,145944,76365,76364,261767,16,640,640,yolov5n,PngLossless,T1,Letterbox
8,241,RSU-0000,Offload,1768618713125887,1768618713133160,1768618713133473,1768618713133473,1768618713355000,1768618713355000,1768618713434917,1768618713434917,1768618713432909,307022,313,221527,79917,79917,261767,16,640,640,yolov5n,PngLossless,T1,Letterbox
9,271,RSU-0000,Offload,1768618714128013,1768618714136281,1768618714136599,1768618714136599,1768618714184952,1768618714184952,1768618714261114,1768618714261114,1768618714259697,131684,318,48353,76162,76162,264940,13,640,640,yolov5n,PngLossless,T1,Letterbox
9,271,RSU-0001,Offload,1768618714128013,1768618714137114,1768618714137426,1768618714137426,1768618714261571,1768618714261571,1768618714337767,1768618714337767,1768618714335960,207947,312,124145,76196,76196,264940,13,640,640,yolov5n,PngLossless,T1,Letterbox
9,271,RSU-0002,Offload,1768618714128013,1768618714132791,1768618714133089,1768618714133089,1768618714337891,1768618714337891,1768618714413535,1768618714413536,1768618714411798,283785,298,204802,75645,75644,264940,13,640,640,yolov5n,PngLossless,T1,Letterbox
10,301,RSU-0000,Offload,1768618715128976,1768618715136324,1768618715136631,1768618715136631,1768618715197696,1768618715197696,1768618715277928,1768618715277928,1768618715277601,148625,307,61065,80232,80232,261665,13,640,640,yolov5n,PngLossless,T1,Letterbox
10,301,RSU-0001,Offload,1768618715128976,1768618715137169,1768618715137486,1768618715137486,1768618715279380,1768618715279380,1768618715358754,1768618715358755,1768618715357322,228346,317,141894,79375,79374,261665,13,640,640,yolov5n,PngLossless,T1,Letterbox
10,301,RSU-0002,Offload,1768618715128976,1768618715137229,1768618715137531,1768618715137531,1768618715359405,1768618715359406,1768618715441046,1768618715441046,1768618715439827,310851,302,221874,81641,81640,261665,13,640,640,yolov5n,PngLossless,T1,Letterbox
11,331,RSU-0000,Offload,1768618716130208,1768618716138881,1768618716139186,1768618716139186,1768618716204652,1768618716204652,1768618716288144,1768618716288145,1768618716286880,156672,305,65466,83493,83492,260683,15,640,640,yolov5n,PngLossless,T1,Letterbox
11,331,RSU-0001,Offload,1768618716130208,1768618716139249,1768618716139569,1768618716139569,1768618716288584,1768618716288584,1768618716366136,1768618716366137,1768618716364502,234294,320,149015,77553,77552,260683,15,640,640,yolov5n,PngLossless,T1,Letterbox
11,331,RSU-0002,Offload,1768618716130208,1768618716134943,1768618716135302,1768618716135302,1768618716366684,1768618716366684,1768618716443549,1768618716443549,1768618716441593,311385,359,231382,76865,76865,260683,15,640,640,yolov5n,PngLossless,T1,Letterbox
12,361,RSU-0001,Offload,1768618717131704,1768618717139896,1768618717140215,1768618717140215,1768618717190398,1768618717190398,1768618717268701,1768618717268701,1768618717267462,135758,319,50183,78303,78303,258934,17,640,640,yolov5n,PngLossless,T1,Letterbox
12,361,RSU-0000,Offload,1768618717131704,1768618717139030,1768618717139327,1768618717139327,1768618717269178,1768618717269178,1768618717347182,1768618717347183,1768618717345517,213813,297,129851,78005,78004,258934,17,640,640,yolov5n,PngLossless,T1,Letterbox
12,361,RSU-0002,Offload,1768618717131704,1768618717138627,1768618717138935,1768618717138935,1768618717347226,1768618717347226,1768618717424868,1768618717424869,1768618717422958,291254,308,208291,77643,77642,258934,17,640,640,yolov5n,PngLossless,T1,Letterbox
13,391,RSU-0001,Offload,1768618718133136,1768618718141329,1768618718141645,1768618718141645,1768618718197546,1768618718197546,1768618718275977,1768618718275977,1768618718275366,142230,316,55901,78431,78431,260766,18,640,640,yolov5n,PngLossless,T1,Letterbox
13,391,RSU-0000,Offload,1768618718133136,1768618718141689,1768618718141982,1768618718141983,1768618718276434,1768618718276434,1768618718354267,1768618718354268,1768618718352642,219506,294,134451,77834,77833,260766,18,640,640,yolov5n,PngLossless,T1,Letterbox
13,391,RSU-0002,Offload,1768618718133136,1768618718138698,1768618718139012,1768618718139012,1768618718354315,1768618718354315,1768618718431249,1768618718431249,1768618718429452,296316,314,215303,76934,76934,260766,18,640,640,yolov5n,PngLossless,T1,Letterbox
14,421,RSU-0001,Offload,1768618719134583,1768618719142828,1768618719143162,1768618719143162,1768618719203596,1768618719203596,1768618719281592,1768618719281592,1768618719280767,146184,334,60434,77996,77996,262144,13,640,640,yolov5n,PngLossless,T1,Letterbox
14,421,RSU-0000,Offload,1768618719134583,1768618719143446,1768618719143772,1768618719143773,1768618719282858,1768618719282858,1768618719360947,1768618719360948,1768618719359357,224774,327,139085,78090,78089,262144,13,640,640,yolov5n,PngLossless,T1,Letterbox
14,421,RSU-0002,Offload,1768618719134583,1768618719140327,1768618719140640,1768618719140640,1768618719361311,1768618719361312,1768618719437897,1768618719437897,1768618719436394,301811,313,220671,76586,76585,262144,13,640,640,yolov5n,PngLossless,T1,Letterbox
15,451,RSU-0000,Offload,1768618720135735,1768618720143234,1768618720143571,1768618720143571,1768618720196321,1768618720196321,1768618720275115,1768618720275115,1768618720274322,138587,337,52750,78794,78794,260978,15,640,640,yolov5n,PngLossless,T1,Letterbox
15,451,RSU-0001,Offload,1768618720135735,1768618720145831,1768618720146143,1768618720146143,1768618720275590,1768618720275590,1768618720353415,1768618720353415,1768618720351474,215739,312,129447,77825,77825,260978,15,640,640,yolov5n,PngLossless,T1,Letterbox
15,451,RSU-0002,Offload,1768618720135735,1768618720140625,1768618720140947,1768618720140948,1768618720353460,1768618720353460,1768618720432058,1768618720432058,1768618720430320,294585,323,212512,78598,78598,260978,15,640,640,yolov5n,PngLossless,T1,Letterbox
16,481,RSU-0002,Offload,1768618721137009,1768618721141771,1768618721142087,1768618721142087,1768618721208094,1768618721208094,1768618721286594,1768618721286594,1768618721284937,147928,316,66007,78500,78500,258468,14,640,640,yolov5n,PngLossless,T1,Letterbox
16,481,RSU-0000,Offload,1768618721137009,1768618721145605,1768618721145915,1768618721145915,1768618721286786,1768618721286786,1768618721365091,1768618721365092,1768618721363400,226391,310,140871,78306,78305,258468,14,640,640,yolov5n,PngLossless,T1,Letterbox
16,481,RSU-0001,Offload,1768618721137009,1768618721146063,1768618721146376,1768618721146376,1768618721365207,1768618721365207,1768618721442608,1768618721442608,1768618721440770,303761,313,218831,77401,77401,258468,14,640,640,yolov5n,PngLossless,T1,Letterbox
17,511,RSU-0000,Offload,1768618722138019,1768618722144468,1768618722144742,1768618722144742,1768618722199304,1768618722199304,1768618722279509,1768618722279510,1768618722277935,139916,274,54562,80206,80205,261372,14,640,640,yolov5n,PngLossless,T1,Letterbox
17,511,RSU-0001,Offload,1768618722138019,1768618722148259,1768618722148579,1768618722148579,1768618722279647,1768618722279647,1768618722357522,1768618722357522,1768618722356898,218879,320,131068,77875,77875,261372,14,640,640,yolov5n,PngLossless,T1,Letterbox
17,511,RSU-0002,Offload,1768618722138019,1768618722143559,1768618722143871,1768618722143872,1768618722357682,1768618722357682,1768618722434584,1768618722434585,1768618722433007,294988,313,213810,76903,76902,261372,14,640,640,yolov5n,PngLossless,T1,Letterbox
18,541,RSU-0000,Offload,1768618723139032,1768618723145277,1768618723145583,1768618723145583,1768618723204608,1768618723204608,1768618723283945,1768618723283945,1768618723282286,143254,306,59025,79337,79337,260801,14,640,640,yolov5n,PngLossless,T1,Letterbox
18,541,RSU-0001,Offload,1768618723139032,1768618723149112,1768618723149432,1768618723149432,1768618723284123,1768618723284123,1768618723362909,1768618723362909,1768618723360987,221955,320,134691,78786,78786,260801,14,640,640,yolov5n,PngLossless,T1,Letterbox
18,541,RSU-0002,Offload,1768618723139032,1768618723144412,1768618723144690,1768618723144690,1768618723362999,1768618723362999,1768618723440225,1768618723440225,1768618723438447,299415,278,218309,77226,77226,260801,14,640,640,yolov5n,PngLossless,T1,Letterbox
19,571,RSU-0000,Offload,1768618724140688,1768618724148268,1768618724148566,1768618724148566,1768618724212147,1768618724212148,1768618724289402,1768618724289403,1768618724287827,147139,298,63581,77256,77254,259864,12,640,640,yolov5n,PngLossless,T1,Letterbox
19,571,RSU-0002,Offload,1768618724140688,1768618724149197,1768618724149499,1768618724149499,1768618724289972,1768618724289972,1768618724367722,1768618724367723,1768618724366640,225952,302,140473,77751,77750,259864,12,640,640,yolov5n,PngLossless,T1,Letterbox
19,571,RSU-0001,Offload,1768618724140688,1768618724148852,1768618724149166,1768618724149167,1768618724368026,1768618724368027,1768618724444850,1768618724444850,1768618724443210,302522,315,218859,76824,76823,259864,12,640,640,yolov5n,PngLossless,T1,Letterbox
20,601,RSU-0000,Offload,1768618725142130,1768618725150663,1768618725150971,1768618725150972,1768618725216255,1768618725216255,1768618725293502,1768618725293502,1768618725292025,149895,309,65283,77247,77247,264410,12,640,640,yolov5n,PngLossless,T1,Letterbox
20,601,RSU-0001,Offload,1768618725142130,1768618725150645,1768618725150971,1768618725150971,1768618725294717,1768618725294718,1768618725371851,1768618725371851,1768618725370332,228202,326,143746,77134,77133,264410,12,640,640,yolov5n,PngLossless,T1,Letterbox
20,601,RSU-0002,Offload,1768618725142130,1768618725148113,1768618725148419,1768618725148419,1768618725372222,1768618725372222,1768618725448702,1768618725448702,1768618725447197,305067,306,223803,76480,76480,264410,12,640,640,yolov5n,PngLossless,T1,Letterbox
21,631,RSU-0001,Offload,1768618726143451,1768618726151765,1768618726152091,1768618726152092,1768618726215997,1768618726215997,1768618726293546,1768618726293546,1768618726293937,150486,327,63905,77549,77549,266999,15,640,640,yolov5n,PngLossless,T1,Letterbox
21,631,RSU-0002,Offload,1768618726143451,1768618726149199,1768618726149512,1768618726149512,1768618726294140,1768618726294140,1768618726372356,1768618726372357,1768618726370692,227241,313,144628,78217,78216,266999,15,640,640,yolov5n,PngLossless,T1,Letterbox
21,631,RSU-0000,Offload,1768618726143451,1768618726152328,1768618726152632,1768618726152632,1768618726372404,1768618726372404,1768618726449916,1768618726449916,1768618726448344,304893,304,219772,77512,77512,266999,15,640,640,yolov5n,PngLossless,T1,Letterbox
22,661,RSU-0002,Offload,1768618727144677,1768618727150211,1768618727150519,1768618727150520,1768618727215967,1768618727215968,1768618727293251,1768618727293251,1768618727294813,150136,309,65447,77284,77283,268109,17,640,640,yolov5n,PngLossless,T1,Letterbox
22,661,RSU-0000,Offload,1768618727144677,1768618727153308,1768618727153623,1768618727153623,1768618727294263,1768618727294263,1768618727372193,1768618727372194,1768618727371090,226413,315,140640,77931,77930,268109,17,640,640,yolov5n,PngLossless,T1,Letterbox
22,661,RSU-0001,Offload,1768618727144677,1768618727152763,1768618727153094,1768618727153095,1768618727372443,1768618727372443,1768618727450045,1768618727450045,1768618727448654,303977,332,219348,77602,77602,268109,17,640,640,yolov5n,PngLossless,T1,Letterbox
23,691,RSU-0000,Offload,1768618728145665,1768618728153032,1768618728153332,1768618728153332,1768618728211361,1768618728211362,1768618728290240,1768618728290241,1768618728288854,143189,300,58029,78880,78878,268240,19,640,640,yolov5n,PngLossless,T1,Letterbox
23,691,RSU-0001,Offload,1768618728145665,1768618728153920,1768618728154243,1768618728154243,1768618728290288,1768618728290288,1768618728367971,1768618728367971,1768618728366722,221057,323,136045,77683,77683,268240,19,640,640,yolov5n,PngLossless,T1,Letterbox
23,691,RSU-0002,Offload,1768618728145665,1768618728154381,1768618728154715,1768618728154715,1768618728368015,1768618728368015,1768618728445476,1768618728445476,1768618728443663,297998,334,213300,77461,77461,268240,19,640,640,yolov5n,PngLossless,T1,Letterbox
24,721,RSU-0001,Offload,1768618729147502,1768618729155308,1768618729155636,1768618729155636,1768618729213561,1768618729213561,1768618729293130,1768618729293130,1768618729291358,143856,328,57925,79569,79569,268156,18,640,640,yolov5n,PngLossless,T1,Letterbox
24,721,RSU-0000,Offload,1768618729147502,1768618729154886,1768618729155201,1768618729155202,1768618729293248,1768618729293248,1768618729371247,1768618729371247,1768618729369988,222486,316,138046,77999,77999,268156,18,640,640,yolov5n,PngLossless,T1,Letterbox
24,721,RSU-0002,Offload,1768618729147502,1768618729154537,1768618729154863,1768618729154864,1768618729371285,1768618729371285,1768618729448943,1768618729448944,1768618729447380,299878,327,216421,77659,77658,268156,18,640,640,yolov5n,PngLossless,T1,Letterbox
25,751,RSU-0001,Offload,1768618730148586,1768618730156957,1768618730157281,1768618730157282,1768618730211920,1768618730211921,1768618730290836,1768618730290836,1768618730289744,141158,325,54638,78916,78915,269597,18,640,640,yolov5n,PngLossless,T1,Letterbox
25,751,RSU-0000,Offload,1768618730148586,1768618730155989,1768618730156301,1768618730156301,1768618730290935,1768618730290935,1768618730368892,1768618730368892,1768618730367288,218702,312,134634,77957,77957,269597,18,640,640,yolov5n,PngLossless,T1,Letterbox
25,751,RSU-0002,Offload,1768618730148586,1768618730155540,1768618730155875,1768618730155875,1768618730368982,1768618730368983,1768618730446391,1768618730446391,1768618730444777,296191,335,213107,77409,77408,269597,18,640,640,yolov5n,PngLossless,T1,Letterbox
26,781,RSU-0001,Offload,1768618731150151,1768618731158331,1768618731158664,1768618731158664,1768618731215956,1768618731215956,1768618731294151,1768618731294152,1768618731292562,142411,333,57292,78196,78195,270901,17,640,640,yolov5n,PngLossless,T1,Letterbox
26,781,RSU-0002,Offload,1768618731150151,1768618731157142,1768618731157464,1768618731157464,1768618731294980,1768618731294980,1768618731372526,1768618731372526,1768618731370984,220833,322,137516,77546,77546,270901,17,640,640,yolov5n,PngLossless,T1,Letterbox
26,781,RSU-0000,Offload,1768618731150151,1768618731157461,1768618731157773,1768618731157773,1768618731372688,1768618731372688,1768618731450077,1768618731450078,1768618731448407,298256,312,214915,77390,77389,270901,17,640,640,yolov5n,PngLossless,T1,Letterbox
27,811,RSU-0001,Offload,1768618732151415,1768618732159548,1768618732159857,1768618732159857,1768618732218283,1768618732218283,1768618732295954,1768618732295954,1768618732294352,142937,309,58426,77671,77671,268638,15,640,640,yolov5n,PngLossless,T1,Letterbox
27,811,RSU-0002,Offload,1768618732151415,1768618732158172,1768618732158479,1768618732158479,1768618732296732,1768618732296732,1768618732374434,1768618732374435,1768618732372945,221530,307,138253,77703,77702,268638,15,640,640,yolov5n,PngLossless,T1,Letterbox
27,811,RSU-0000,Offload,1768618732151415,1768618732158691,1768618732158985,1768618732158985,1768618732374823,1768618732374823,1768618732452005,1768618732452005,1768618732450429,299014,294,215838,77182,77182,268638,15,640,640,yolov5n,PngLossless,T1,Letterbox
28,841,RSU-0001,Offload,1768618733152995,1768618733164658,1768618733164988,1768618733164988,1768618733223538,1768618733223538,1768618733301433,1768618733301433,1768618733300032,147037,330,58550,77895,77895,270328,12,640,640,yolov5n,PngLossless,T1,Letterbox
28,841,RSU-0002,Offload,1768618733152995,1768618733157821,1768618733158137,1768618733158137,1768618733302167,1768618733302167,1768618733379300,1768618733379300,1768618733377805,224810,316,144030,77133,77133,270328,12,640,640,yolov5n,PngLossless,T1,Letterbox
28,841,RSU-0000,Offload,1768618733152995,1768618733162075,1768618733162378,1768618733162378,1768618733379673,1768618733379673,1768618733456590,1768618733456590,1768618733455174,302179,303,217295,76917,76917,270328,12,640,640,yolov5n,PngLossless,T1,Letterbox
29,871,RSU-0000,Offload,1768618734153503,1768618734161699,1768618734162018,1768618734162018,1768618734209637,1768618734209637,1768618734289932,1768618734289932,1768618734292812,139309,319,47619,80295,80295,277633,13,640,640,yolov5n,PngLossless,T1,Letterbox
29,871,RSU-0001,Offload,1768618734153503,1768618734162588,1768618734162923,1768618734162923,1768618734291628,1768618734291628,1768618734369040,1768618734369040,1768618734367621,214118,335,128705,77412,77412,277633,13,640,640,yolov5n,PngLossless,T1,Letterbox
29,871,RSU-0002,Offload,1768618734153503,1768618734158328,1768618734158666,1768618734158666,1768618734369706,1768618734369706,1768618734446951,1768618734446951,1768618734446018,292515,338,211040,77245,77245,277633,13,640,640,yolov5n,PngLossless,T1,Letterbox
