sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768628693262118,1768628693265062,1768628693266229,1768628693266229,1768628693576834,1768628693576834,1768628693696419,1768628693696420,1768628693699373,437255,1167,310605,119586,119585,1352865,16,1920,1080,yolov5n,PngLossless,T2,FHD
0,1,RSU-0000,Offload,1768628693262118,1768628693266440,1768628693267616,1768628693267616,1768628693698963,1768628693698964,1768628693839137,1768628693839137,1768628693850394,588276,1176,431347,140174,140173,1352865,16,1920,1080,yolov5n,PngLossless,T2,FHD
0,1,RSU-0002,Offload,1768628693262118,1768628693261856,1768628693262969,1768628693262970,1768628693849945,1768628693849945,1768628693985188,1768628693985188,1768628694005477,743359,1114,586975,135243,135243,1352865,16,1920,1080,yolov5n,PngLossless,T2,FHD
1,3,RSU-0001,Offload,1768628693329944,1768628693334864,1768628693336592,1768628693336592,1768628693992622,1768628693992622,1768628694134239,1768628694134239,1768628694166186,836242,1728,656030,141617,141617,1726318,16,1920,1080,yolov5n,PngLossless,T2,FHD
1,3,RSU-0000,Offload,1768628693329944,1768628693333691,1768628693376561,1768628693376561,1768628694134355,1768628694134355,1768628694270113,1768628694270113,1768628694301915,971971,42870,757794,135758,135758,1726318,16,1920,1080,yolov5n,PngLossless,T2,FHD
2,5,RSU-0000,Offload,1768628693397650,1768628693398288,1768628693433396,1768628693433397,1768628694270265,1768628694270265,1768628694397147,1768628694397147,1768628694401726,1004076,35109,836868,126882,126882,1447097,16,1920,1080,yolov5n,PngLossless,T2,FHD
2,5,RSU-0001,Offload,1768628693397650,1768628693401018,1768628693402586,1768628693402586,1768628694397278,1768628694397279,1768628694528112,1768628694528112,1768628694559486,1161836,1568,994692,130834,130833,1447097,16,1920,1080,yolov5n,PngLossless,T2,FHD
3,7,RSU-0000,Offload,1768628693465515,1768628693467176,1768628693468276,1768628693468277,1768628694528260,1768628694528260,1768628694653422,1768628694653422,1768628694659699,1194184,1101,1059983,125162,125162,1147699,16,1920,1080,yolov5n,PngLossless,T2,FHD
4,9,RSU-0001,Offload,1768628693534410,1768628693539615,1768628693540618,1768628693540618,1768628694653566,1768628694653567,1768628694780222,1768628694780223,1768628694807371,1272961,1003,1112948,126657,126655,941009,17,1920,1080,yolov5n,PngLossless,T2,FHD
1,3,RSU-0002,Offload,1768628693329944,1768628693329136,1768628693330633,1768628693330633,1768628694780301,1768628694780301,1768628694911995,1768628694911995,1768628694973998,1644054,1497,1449668,131694,131694,1726318,16,1920,1080,yolov5n,PngLossless,T2,FHD
6,13,RSU-0000,Offload,1768628693670748,1768628693674459,1768628693675209,1768628693675209,1768628694912056,1768628694912057,1768628695041839,1768628695041839,1768628695072617,1401869,750,1236847,129783,129782,797894,16,1920,1080,yolov5n,PngLossless,T2,FHD
7,15,RSU-0001,Offload,1768628693738965,1768628693747050,1768628693747712,1768628693747712,1768628695041902,1768628695041902,1768628695170627,1768628695170627,1768628695229075,1490110,662,1294190,128725,128725,798162,18,1920,1080,yolov5n,PngLossless,T2,FHD
8,17,RSU-0000,Offload,1768628693806648,1768628693815993,1768628693836518,1768628693836519,1768628695170851,1768628695170851,1768628695297948,1768628695297949,1768628695325763,1519115,20526,1334332,127098,127097,792213,16,1920,1080,yolov5n,PngLossless,T2,FHD
10,21,RSU-0001,Offload,1768628693942504,1768628693945873,1768628693946672,1768628693946673,1768628695298090,1768628695298090,1768628695427003,1768628695427003,1768628695468323,1525819,800,1351417,128913,128913,794645,16,1920,1080,yolov5n,PngLossless,T2,FHD
2,5,RSU-0002,Offload,1768628693397650,1768628693393367,1768628693394656,1768628693394657,1768628695427149,1768628695427149,1768628695565571,1768628695565572,1768628695581916,2184266,1290,2032492,138423,138422,1447097,16,1920,1080,yolov5n,PngLossless,T2,FHD
11,23,RSU-0000,Offload,1768628694010737,1768628694014052,1768628694034776,1768628694034776,1768628695565731,1768628695565731,1768628695700807,1768628695700807,1768628695748617,1737880,20724,1530955,135076,135076,793482,15,1920,1080,yolov5n,PngLossless,T2,FHD
12,25,RSU-0001,Offload,1768628694079731,1768628694091910,1768628694092698,1768628694092698,1768628695700925,1768628695700925,1768628695828329,1768628695828329,1768628695921056,1841325,788,1608227,127404,127404,789054,16,1920,1080,yolov5n,PngLossless,T2,FHD
4,9,RSU-0002,Offload,1768628693534410,1768628693531288,1768628693532172,1768628693532172,1768628695828483,1768628695828483,1768628695956921,1768628695956921,1768628696052645,2518235,884,2296311,128438,128438,941009,17,1920,1080,yolov5n,PngLossless,T2,FHD
