sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769286424758468,1769286424754662,1769286424755026,1769286424755026,1769286424820095,1769286424820096,1769286424924226,1769286424924226,1769286424927638,169170,364,64669,104131,6,104130,289689,14,yolov5n,PngLossless,T2,Letterbox
0,1,RSU-0001,Offload,1769286424758468,1769286424761466,1769286424761775,1769286424761775,1769286424924271,1769286424924272,1769286425023947,1769286425023947,1769286425027370,268902,309,73211,99676,95706,99675,289689,14,yolov5n,PngLossless,T2,Letterbox
0,1,RSU-0002,Offload,1769286424758468,1769286424762183,1769286424762536,1769286424762537,1769286425023980,1769286425023980,1769286425122257,1769286425122258,1769286425125650,367182,354,110014,98278,158536,98277,289689,14,yolov5n,PngLossless,T2,Letterbox
1,31,RSU-0000,Offload,1769286425759891,1769286425757824,1769286425758128,1769286425758129,1769286425814644,1769286425814645,1769286425917448,1769286425917448,1769286425920856,160965,305,57851,102804,5,102803,265104,13,yolov5n,PngLossless,T2,Letterbox
1,31,RSU-0001,Offload,1769286425759909,1769286425759788,1769286425760108,1769286425760108,1769286425917501,1769286425917501,1769286426016377,1769286426016378,1769286426019661,259752,320,77992,98877,82563,98876,265104,13,yolov5n,PngLossless,T2,Letterbox
1,31,RSU-0002,Offload,1769286425759910,1769286425764951,1769286425765261,1769286425765261,1769286426016407,1769286426016408,1769286426113625,1769286426113625,1769286426116997,357087,310,92612,97218,166947,97217,265104,13,yolov5n,PngLossless,T2,Letterbox
2,61,RSU-0000,Offload,1769286426761247,1769286426758168,1769286426758491,1769286426758491,1769286426821034,1769286426821034,1769286426921759,1769286426921759,1769286426925392,164145,323,63092,100725,5,100725,268206,15,yolov5n,PngLossless,T2,Letterbox
2,61,RSU-0001,Offload,1769286426761258,1769286426763012,1769286426763288,1769286426763289,1769286426922157,1769286426922157,1769286427019797,1769286427019797,1769286427023144,261886,277,163962,97640,7,97640,268206,15,yolov5n,PngLossless,T2,Letterbox
2,61,RSU-0002,Offload,1769286426761259,1769286426763423,1769286426763725,1769286426763726,1769286427019833,1769286427019833,1769286427117459,1769286427117459,1769286427120754,359495,303,163922,97626,97644,97626,268206,15,yolov5n,PngLossless,T2,Letterbox
3,91,RSU-0000,Offload,1769286427762538,1769286427760401,1769286427760692,1769286427760692,1769286427828428,1769286427828429,1769286427932567,1769286427932567,1769286427936102,173564,291,69130,104139,4,104138,271917,16,yolov5n,PngLossless,T2,Letterbox
3,91,RSU-0002,Offload,1769286427762555,1769286427763915,1769286427764214,1769286427764214,1769286427932976,1769286427932977,1769286428030854,1769286428030854,1769286428034146,271591,299,173408,97878,6,97877,271917,16,yolov5n,PngLossless,T2,Letterbox
3,91,RSU-0001,Offload,1769286427762554,1769286427764398,1769286427764662,1769286427764662,1769286428030895,1769286428030896,1769286428128899,1769286428128899,1769286428132302,369748,264,173786,98004,97694,98003,271917,16,yolov5n,PngLossless,T2,Letterbox
4,121,RSU-0001,Offload,1769286428764589,1769286428764558,1769286428764860,1769286428764860,1769286428825875,1769286428825875,1769286428925486,1769286428925486,1769286428928693,164104,302,64185,99611,6,99611,269342,17,yolov5n,PngLossless,T2,Letterbox
4,121,RSU-0000,Offload,1769286428764563,1769286428759796,1769286428760129,1769286428760130,1769286428926049,1769286428926049,1769286429024051,1769286429024051,1769286429027334,262771,334,164423,98002,12,98002,269342,17,yolov5n,PngLossless,T2,Letterbox
4,121,RSU-0002,Offload,1769286428764590,1769286428768038,1769286428768327,1769286428768327,1769286429024088,1769286429024088,1769286429122375,1769286429122375,1769286429125700,361110,289,164537,98287,97997,98287,269342,17,yolov5n,PngLossless,T2,Letterbox
5,151,RSU-0000,Offload,1769286429766302,1769286429764232,1769286429764529,1769286429764529,1769286429820062,1769286429820062,1769286429919849,1769286429919849,1769286429923671,157369,297,57279,99787,6,99787,270562,18,yolov5n,PngLossless,T2,Letterbox
