sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769290292648895,1769290292651853,1769290292658560,1769290292658560,1769290293874018,1769290293874018,1769290294005424,1769290294005424,1769290294009957,1361062,6707,1222430,131406,519,131406,8296178,16,yolov5n,PngLossless,T3,FHD
0,1,RSU-0002,Offload,1769290292648895,1769290292651300,1769290292665038,1769290292665038,1769290294537766,1769290294537767,1769290294667049,1769290294667049,1769290294686410,2037515,13738,1893978,129283,516,129282,8296178,16,yolov5n,PngLossless,T3,FHD
1,7,RSU-0000,Offload,1769290292850467,1769290292855753,1769290292862812,1769290292862812,1769290295075057,1769290295075058,1769290295205150,1769290295205150,1769290295209675,2359208,7059,2220979,130093,1077,130092,8296178,16,yolov5n,PngLossless,T3,FHD
0,1,RSU-0001,Offload,1769290292648895,1769290292653241,1769290292668277,1769290292668278,1769290295658153,1769290295658154,1769290295780576,1769290295780576,1769290295804681,3155786,15037,3017799,122423,527,122422,8296178,16,yolov5n,PngLossless,T3,FHD
1,7,RSU-0002,Offload,1769290292850481,1769290292855891,1769290292870205,1769290292870205,1769290295882744,1769290295882744,1769290296012195,1769290296012195,1769290296025581,3175100,14314,3030060,129451,1275,129451,8296178,16,yolov5n,PngLossless,T3,FHD
2,13,RSU-0000,Offload,1769290293052244,1769290293054996,1769290293061093,1769290293061094,1769290296409200,1769290296409201,1769290296533217,1769290296533218,1769290296565904,3513660,6098,3383056,124018,488,124016,8296178,16,yolov5n,PngLossless,T3,FHD
2,13,RSU-0002,Offload,1769290293052253,1769290293056919,1769290293069087,1769290293069087,1769290297376201,1769290297376201,1769290297504569,1769290297504569,1769290297508509,4456256,12168,4312217,128368,3503,128368,8296178,16,yolov5n,PngLossless,T3,FHD
3,19,RSU-0000,Offload,1769290293253475,1769290293257225,1769290293271795,1769290293271796,1769290297594010,1769290297594011,1769290297723744,1769290297723744,1769290297783757,4530282,14571,4384460,129734,1517,129733,8296178,17,yolov5n,PngLossless,T3,FHD
1,7,RSU-0001,Offload,1769290292850479,1769290292855806,1769290293137301,1769290293137302,1769290298141073,1769290298141073,1769290298266803,1769290298266804,1769290298326129,5475650,281496,5067913,125731,510,125730,8296178,16,yolov5n,PngLossless,T3,FHD
4,25,RSU-0000,Offload,1769290293455514,1769290293460880,1769290293472887,1769290293472887,1769290298961365,1769290298961366,1769290299083907,1769290299083907,1769290299171827,5716313,12007,5581241,122542,523,122541,8296178,16,yolov5n,PngLossless,T3,FHD
3,19,RSU-0002,Offload,1769290293253494,1769290293251306,1769290293265986,1769290293265986,1769290299104419,1769290299104420,1769290299230615,1769290299230615,1769290299484720,6231226,14680,6089664,126196,686,126195,8296178,17,yolov5n,PngLossless,T3,FHD
5,31,RSU-0000,Offload,1769290293657194,1769290293664252,1769290293671185,1769290293671185,1769290300666719,1769290300666719,1769290300787249,1769290300787249,1769290300871695,7214501,6933,7086568,120530,470,120530,8296178,15,yolov5n,PngLossless,T3,FHD
4,25,RSU-0002,Offload,1769290293455528,1769290293453383,1769290293464969,1769290293464970,1769290300804788,1769290300804788,1769290300936256,1769290300936256,1769290301207274,7751746,11587,7608128,131468,563,131468,8296178,16,yolov5n,PngLossless,T3,FHD
2,13,RSU-0001,Offload,1769290293052252,1769290293137388,1769290293328307,1769290293328308,1769290301225980,1769290301225981,1769290301348497,1769290301348497,1769290301430816,8378564,190920,8064652,122517,475,122516,8296178,16,yolov5n,PngLossless,T3,FHD
