sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768745727511703,1768745727521763,1768745727522830,1768745727522830,1768745727902072,1768745727902072,1768745727991885,1768745727991885,1768745727997427,485724,1067,379242,89813,89813,1323972,14,640,640,yolov5n,PngLossless,T3,Letterbox
0,1,RSU-0002,Offload,1768745727511703,1768745727524246,1768745727525380,1768745727525380,1768745727994428,1768745727994428,1768745728091112,1768745728091113,1768745728103424,591721,1134,469048,96685,96684,1323972,14,640,640,yolov5n,PngLossless,T3,Letterbox
1,4,RSU-0000,Offload,1768745727612658,1768745727619335,1768745727620756,1768745727620756,1768745728152229,1768745728152229,1768745728240748,1768745728240748,1768745728243326,630668,1421,531473,88519,88519,1323953,13,640,640,yolov5n,PngLossless,T3,Letterbox
1,4,RSU-0002,Offload,1768745727612658,1768745727622148,1768745727623318,1768745727623319,1768745728244357,1768745728244357,1768745728338785,1768745728338785,1768745728340847,728189,1171,621038,94428,94428,1323953,13,640,640,yolov5n,PngLossless,T3,Letterbox
2,7,RSU-0000,Offload,1768745727713461,1768745727719224,1768745727720390,1768745727720390,1768745728365966,1768745728365966,1768745728450293,1768745728450293,1768745728450634,737173,1166,645576,84327,84327,1323987,14,640,640,yolov5n,PngLossless,T3,Letterbox
2,7,RSU-0002,Offload,1768745727713461,1768745727724079,1768745727725347,1768745727725347,1768745728456975,1768745728456975,1768745728552004,1768745728552004,1768745728554852,841391,1268,731628,95029,95029,1323987,14,640,640,yolov5n,PngLossless,T3,Letterbox
3,10,RSU-0000,Offload,1768745727815186,1768745727825634,1768745727826851,1768745727826851,1768745728552095,1768745728552096,1768745728647099,1768745728647099,1768745728650049,834863,1217,725244,95004,95003,1324013,14,640,640,yolov5n,PngLossless,T3,Letterbox
3,10,RSU-0002,Offload,1768745727815186,1768745727825183,1768745727826488,1768745727826489,1768745728647290,1768745728647290,1768745728739170,1768745728739170,1768745728742505,927319,1306,820801,91880,91880,1324013,14,640,640,yolov5n,PngLossless,T3,Letterbox
4,13,RSU-0000,Offload,1768745727917084,1768745727924875,1768745727925902,1768745727925903,1768745728739288,1768745728739288,1768745728836642,1768745728836642,1768745728851825,934741,1028,813385,97354,97354,1324018,13,640,640,yolov5n,PngLossless,T3,Letterbox
4,13,RSU-0002,Offload,1768745727917084,1768745727927143,1768745727928245,1768745727928245,1768745728888284,1768745728888284,1768745728975172,1768745728975172,1768745729009287,1092203,1102,960039,86888,86888,1324018,13,640,640,yolov5n,PngLossless,T3,Letterbox
5,16,RSU-0000,Offload,1768745728019027,1768745728025983,1768745728027139,1768745728027140,1768745728979454,1768745728979454,1768745729076698,1768745729076699,1768745729116876,1097849,1157,952314,97245,97244,1324038,13,640,640,yolov5n,PngLossless,T3,Letterbox
