sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768623114283490,1768623114286181,1768623114286614,1768623114286615,1768623114382245,1768623114382245,1768623114489813,1768623114489813,1768623114494790,211300,434,95630,107568,107568,509564,16,1280,720,yolov5n,WebpLossless,T1,HD
0,1,RSU-0002,Offload,1768623114283490,1768623114283272,1768623114283726,1768623114283726,1768623114490652,1768623114490652,1768623114607441,1768623114607441,1768623114613366,329876,454,206926,116789,116789,509564,16,1280,720,yolov5n,WebpLossless,T1,HD
0,1,RSU-0001,Offload,1768623114283490,1768623114285049,1768623114285575,1768623114285575,1768623114607585,1768623114607585,1768623114718217,1768623114718217,1768623114722678,439188,526,322010,110632,110632,509564,16,1280,720,yolov5n,WebpLossless,T1,HD
1,7,RSU-0000,Offload,1768623114485248,1768623114485761,1768623114486212,1768623114486212,1768623114718362,1768623114718363,1768623114833126,1768623114833127,1768623114837656,352408,451,232150,114765,114763,459196,16,1280,720,yolov5n,WebpLossless,T1,HD
1,7,RSU-0001,Offload,1768623114485248,1768623114487916,1768623114488420,1768623114488420,1768623114833263,1768623114833263,1768623114952535,1768623114952535,1768623114958260,473012,504,344843,119272,119272,459196,16,1280,720,yolov5n,WebpLossless,T1,HD
1,7,RSU-0002,Offload,1768623114485248,1768623114484507,1768623114484941,1768623114484942,1768623114952676,1768623114952676,1768623115061588,1768623115061588,1768623115066004,580756,435,467734,108912,108912,459196,16,1280,720,yolov5n,WebpLossless,T1,HD
3,19,RSU-0000,Offload,1768623114889155,1768623114893662,1768623114894018,1768623114894018,1768623115061736,1768623115061736,1768623115181564,1768623115181564,1768623115186002,296847,356,167718,119828,119828,379920,17,1280,720,yolov5n,WebpLossless,T1,HD
3,19,RSU-0001,Offload,1768623114889155,1768623114893088,1768623114893414,1768623114893414,1768623115181720,1768623115181720,1768623115289299,1768623115289299,1768623115293371,404216,326,288306,107579,107579,379920,17,1280,720,yolov5n,WebpLossless,T1,HD
3,19,RSU-0002,Offload,1768623114889155,1768623114892633,1768623114893039,1768623114893040,1768623115289431,1768623115289431,1768623115407339,1768623115407339,1768623115411758,522603,407,396391,117908,117908,379920,17,1280,720,yolov5n,WebpLossless,T1,HD
5,31,RSU-0000,Offload,1768623115291640,1768623115299289,1768623115299703,1768623115299703,1768623115407478,1768623115407478,1768623115519579,1768623115519579,1768623115552151,260511,414,107775,112101,112101,379250,15,1280,720,yolov5n,WebpLossless,T1,HD
5,31,RSU-0001,Offload,1768623115291640,1768623115295573,1768623115295962,1768623115295962,1768623115519678,1768623115519678,1768623115633249,1768623115633249,1768623115638828,347188,389,223716,113571,113571,379250,15,1280,720,yolov5n,WebpLossless,T1,HD
5,31,RSU-0002,Offload,1768623115291640,1768623115293928,1768623115294341,1768623115294342,1768623115633306,1768623115633307,1768623115750343,1768623115750343,1768623115775430,483790,414,338964,117037,117036,379250,15,1280,720,yolov5n,WebpLossless,T1,HD
6,37,RSU-0000,Offload,1768623115492279,1768623115495757,1768623115496105,1768623115496105,1768623115750481,1768623115750481,1768623115860225,1768623115860225,1768623115864555,372276,348,254376,109744,109744,379860,17,1280,720,yolov5n,WebpLossless,T1,HD
6,37,RSU-0001,Offload,1768623115492279,1768623115498348,1768623115498685,1768623115498685,1768623115860359,1768623115860359,1768623115982926,1768623115982926,1768623115987492,495213,337,361674,122567,122567,379860,17,1280,720,yolov5n,WebpLossless,T1,HD
6,37,RSU-0002,Offload,1768623115492279,1768623115494322,1768623115494745,1768623115494745,1768623115983039,1768623115983039,1768623116095299,1768623116095299,1768623116100434,608155,423,488294,112260,112260,379860,17,1280,720,yolov5n,WebpLossless,T1,HD
8,49,RSU-0000,Offload,1768623115894773,1768623115900395,1768623115900742,1768623115900742,1768623116095512,1768623116095512,1768623116215978,1768623116215979,1768623116220691,325918,347,194770,120467,120466,381258,15,1280,720,yolov5n,WebpLossless,T1,HD
