sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768631211696600,1768631211703134,1768631211703374,1768631211703374,1768631211739059,1768631211739059,1768631211824864,1768631211824864,1768631211835947,139347,240,35685,85805,85805,187358,14,640,640,yolov5n,WebpLossless,T1,Letterbox
1,3,RSU-0000,Offload,1768631211765333,1768631211763893,1768631211764130,1768631211764130,1768631211825623,1768631211825623,1768631211917335,1768631211917335,1768631211930167,164834,237,61493,91712,91712,198602,13,640,640,yolov5n,WebpLossless,T1,Letterbox
1,3,RSU-0001,Offload,1768631211765333,1768631211769587,1768631211769865,1768631211769865,1768631211917561,1768631211917562,1768631212000331,1768631212000331,1768631212010593,245260,278,147696,82770,82769,198602,13,640,640,yolov5n,WebpLossless,T1,Letterbox
0,1,RSU-0002,Offload,1768631211696600,1768631211693075,1768631211693300,1768631211693301,1768631212000540,1768631212000540,1768631212092280,1768631212092280,1768631212102610,406010,226,307239,91740,91740,187358,14,640,640,yolov5n,WebpLossless,T1,Letterbox
5,11,RSU-0000,Offload,1768631212037079,1768631212036103,1768631212036307,1768631212036307,1768631212092414,1768631212092415,1768631212180845,1768631212180845,1768631212191122,154043,204,56107,88431,88430,165862,14,640,640,yolov5n,WebpLossless,T1,Letterbox
5,11,RSU-0001,Offload,1768631212037079,1768631212040934,1768631212041170,1768631212041170,1768631212180960,1768631212180960,1768631212265814,1768631212265814,1768631212276146,239067,236,139790,84854,84854,165862,14,640,640,yolov5n,WebpLossless,T1,Letterbox
5,11,RSU-0002,Offload,1768631212037079,1768631212028431,1768631212028650,1768631212028650,1768631212265957,1768631212265957,1768631212350794,1768631212350794,1768631212361000,323921,219,237307,84837,84837,165862,14,640,640,yolov5n,WebpLossless,T1,Letterbox
8,17,RSU-0000,Offload,1768631212240666,1768631212243443,1768631212243639,1768631212243640,1768631212351007,1768631212351007,1768631212442812,1768631212442812,1768631212453002,212336,197,107367,91805,91805,164376,14,640,640,yolov5n,WebpLossless,T1,Letterbox
8,17,RSU-0001,Offload,1768631212240666,1768631212244978,1768631212245183,1768631212245183,1768631212442925,1768631212442925,1768631212532115,1768631212532115,1768631212542586,301920,205,197742,89190,89190,164376,14,640,640,yolov5n,WebpLossless,T1,Letterbox
8,17,RSU-0002,Offload,1768631212240666,1768631212235035,1768631212235234,1768631212235234,1768631212532325,1768631212532325,1768631212625978,1768631212625979,1768631212636322,395656,199,297091,93654,93653,164376,14,640,640,yolov5n,WebpLossless,T1,Letterbox
13,27,RSU-0000,Offload,1768631212581014,1768631212579884,1768631212580087,1768631212580087,1768631212626119,1768631212626119,1768631212715611,1768631212715612,1768631212726016,145002,203,46032,89493,89492,165530,13,640,640,yolov5n,WebpLossless,T1,Letterbox
13,27,RSU-0001,Offload,1768631212581014,1768631212585573,1768631212585813,1768631212585813,1768631212715737,1768631212715737,1768631212809598,1768631212809598,1768631212824394,243380,240,129924,93861,93861,165530,13,640,640,yolov5n,WebpLossless,T1,Letterbox
13,27,RSU-0002,Offload,1768631212581014,1768631212576450,1768631212576674,1768631212576674,1768631212809703,1768631212809703,1768631212902478,1768631212902478,1768631212912741,331727,224,233029,92775,92775,165530,13,640,640,yolov5n,WebpLossless,T1,Letterbox
17,35,RSU-0000,Offload,1768631212852773,1768631212851214,1768631212851423,1768631212851423,1768631212902603,1768631212902603,1768631212991917,1768631212991917,1768631213003113,150340,209,51180,89314,89314,164844,14,640,640,yolov5n,WebpLossless,T1,Letterbox
