sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768631300066364,1768631300074001,1768631300074645,1768631300074645,1768631300262286,1768631300262286,1768631300394261,1768631300394262,1768631300405050,338686,644,187641,131976,131975,747136,16,1920,1080,yolov5n,WebpLossless,T2,FHD
0,1,RSU-0000,Offload,1768631300066364,1768631300067300,1768631300067960,1768631300067961,1768631300395814,1768631300395815,1768631300547493,1768631300547494,1768631300564034,497670,661,327853,151680,151678,747136,16,1920,1080,yolov5n,WebpLossless,T2,FHD
1,3,RSU-0001,Offload,1768631300133996,1768631300141492,1768631300142320,1768631300142321,1768631300547546,1768631300547546,1768631300699425,1768631300699426,1768631300709971,575975,829,405225,151880,151879,951632,16,1920,1080,yolov5n,WebpLossless,T2,FHD
1,3,RSU-0000,Offload,1768631300133996,1768631300136843,1768631300137618,1768631300137618,1768631300699556,1768631300699556,1768631300865351,1768631300865352,1768631300894079,760083,775,561938,165796,165795,951632,16,1920,1080,yolov5n,WebpLossless,T2,FHD
3,7,RSU-0001,Offload,1768631300269886,1768631300282077,1768631300282859,1768631300282859,1768631300865496,1768631300865496,1768631301014993,1768631301014993,1768631301030293,760407,782,582637,149497,149497,633352,16,1920,1080,yolov5n,WebpLossless,T2,FHD
6,13,RSU-0000,Offload,1768631300472867,1768631300483288,1768631300483792,1768631300483793,1768631301015345,1768631301015345,1768631301168308,1768631301168308,1768631301186704,713837,505,531552,152963,152963,415966,16,1920,1080,yolov5n,WebpLossless,T2,FHD
8,17,RSU-0001,Offload,1768631300608518,1768631300613595,1768631300614134,1768631300614134,1768631301168392,1768631301168392,1768631301312079,1768631301312080,1768631301323723,715205,539,554258,143688,143687,413700,16,1920,1080,yolov5n,WebpLossless,T2,FHD
0,1,RSU-0002,Offload,1768631300066364,1768631300061549,1768631300062205,1768631300062206,1768631301312282,1768631301312282,1768631301464353,1768631301464353,1768631301503609,1437245,657,1250076,152071,152071,747136,16,1920,1080,yolov5n,WebpLossless,T2,FHD
14,29,RSU-0000,Offload,1768631301017968,1768631301037463,1768631301037919,1768631301037919,1768631301464401,1768631301464401,1768631301613762,1768631301613762,1768631301647896,629928,456,426482,149361,149361,415618,17,1920,1080,yolov5n,WebpLossless,T2,FHD
17,35,RSU-0001,Offload,1768631301221524,1768631301234493,1768631301234917,1768631301234917,1768631301613821,1768631301613821,1768631301757320,1768631301757320,1768631301768783,547259,424,378904,143499,143499,411472,16,1920,1080,yolov5n,WebpLossless,T2,FHD
19,39,RSU-0000,Offload,1768631301357328,1768631301359631,1768631301360030,1768631301360030,1768631301757368,1768631301757369,1768631301904720,1768631301904720,1768631301925780,568452,399,397338,147352,147351,413648,17,1920,1080,yolov5n,WebpLossless,T2,FHD
22,45,RSU-0001,Offload,1768631301561262,1768631301571889,1768631301572508,1768631301572509,1768631301904752,1768631301904752,1768631302051510,1768631302051510,1768631302091789,530527,620,332243,146758,146758,416548,18,1920,1080,yolov5n,WebpLossless,T2,FHD
25,51,RSU-0000,Offload,1768631301765076,1768631301775616,1768631301776012,1768631301776013,1768631302051569,1768631302051570,1768631302194632,1768631302194632,1768631302256938,491862,397,275556,143063,143062,416814,14,1920,1080,yolov5n,WebpLossless,T2,FHD
27,55,RSU-0001,Offload,1768631301902251,1768631301911053,1768631301911441,1768631301911441,1768631302194707,1768631302194708,1768631302341497,1768631302341497,1768631302365824,463573,388,283266,146790,146789,418972,15,1920,1080,yolov5n,WebpLossless,T2,FHD
1,3,RSU-0002,Offload,1768631300133996,1768631300129551,1768631300130373,1768631300130374,1768631302341575,1768631302341575,1768631302499099,1768631302499099,1768631302637288,2503292,823,2211201,157524,157524,951632,16,1920,1080,yolov5n,WebpLossless,T2,FHD
32,65,RSU-0000,Offload,1768631302242084,1768631302247309,1768631302247749,1768631302247749,1768631302499162,1768631302499162,1768631302639279,1768631302639280,1768631302745623,503539,440,251413,140118,140117,420164,16,1920,1080,yolov5n,WebpLossless,T2,FHD
34,69,RSU-0001,Offload,1768631302378246,1768631302389052,1768631302389573,1768631302389573,1768631302639341,1768631302639341,1768631302786264,1768631302786264,1768631302834072,455826,521,249768,146923,146923,420206,14,1920,1080,yolov5n,WebpLossless,T2,FHD
2,5,RSU-0002,Offload,1768631300201912,1768631300198963,1768631300199691,1768631300199692,1768631302786322,1768631302786322,1768631302942723,1768631302942723,1768631302994264,2792352,729,2586630,156401,156401,797712,16,1920,1080,yolov5n,WebpLossless,T2,FHD
40,81,RSU-0000,Offload,1768631302787151,1768631302786082,1768631302786484,1768631302786484,1768631302942780,1768631302942780,1768631303092830,1768631303092830,1768631303163208,376057,402,156296,150050,150050,421244,17,1920,1080,yolov5n,WebpLossless,T2,FHD
40,81,RSU-0001,Offload,1768631302787151,1768631302806750,1768631302807444,1768631302807445,1768631303092888,1768631303092888,1768631303249518,1768631303249519,1768631303302505,515354,695,285443,156631,156630,421244,17,1920,1080,yolov5n,WebpLossless,T2,FHD
4,9,RSU-0002,Offload,1768631300337708,1768631300331613,1768631300332028,1768631300332028,1768631303249585,1768631303249585,1768631303401601,1768631303401602,1768631303582033,3244325,415,2917557,152017,152016,504156,17,1920,1080,yolov5n,WebpLossless,T2,FHD
48,97,RSU-0000,Offload,1768631303330881,1768631303339325,1768631303339765,1768631303339765,1768631303401649,1768631303401649,1768631303549764,1768631303549764,1768631303650415,319534,440,61884,148115,148115,421752,15,1920,1080,yolov5n,WebpLossless,T2,FHD
47,95,RSU-0001,Offload,1768631303263357,1768631303280633,1768631303281125,1768631303281125,1768631303549798,1768631303549799,1768631303692569,1768631303692569,1768631303707995,444638,492,268673,142771,142770,423696,17,1920,1080,yolov5n,WebpLossless,T2,FHD
