sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769292675927719,1769292675930554,1769292675931479,1769292675931479,1769292676064050,1769292676064050,1769292676236343,1769292676236343,1769292676238639,310920,925,137603,172293,99,172293,737694,16,yolov5n,WebpLossy,T1,FHD
0,1,RSU-0001,Offload,1769292675927719,1769292675929540,1769292675930346,1769292675930347,1769292676237976,1769292676237976,1769292676408425,1769292676408426,1769292676411947,484228,807,312790,170450,181,170449,737694,16,yolov5n,WebpLossy,T1,FHD
2,7,RSU-0000,Offload,1769292676129874,1769292676128225,1769292676128815,1769292676128816,1769292676408461,1769292676408462,1769292676577433,1769292676577433,1769292676596519,466645,591,261292,168972,35790,168971,626304,16,yolov5n,WebpLossy,T1,FHD
1,4,RSU-0001,Offload,1769292676029251,1769292676029997,1769292676030782,1769292676030783,1769292676577461,1769292676577461,1769292676750322,1769292676750322,1769292676756583,727332,786,306233,172861,247452,172861,898538,16,yolov5n,WebpLossy,T1,FHD
0,1,RSU-0002,Offload,1769292675927719,1769292675929815,1769292675930766,1769292675930766,1769292676750359,1769292676750359,1769292676916424,1769292676916424,1769292676918350,990631,951,400120,166065,423495,166065,737694,16,yolov5n,WebpLossy,T1,FHD
8,25,RSU-0000,Offload,1769292676737158,1769292676740334,1769292676740903,1769292676740903,1769292676916458,1769292676916458,1769292677082910,1769292677082911,1769292677090068,352910,569,62059,166453,123829,166452,415110,16,yolov5n,WebpLossy,T1,FHD
8,25,RSU-0001,Offload,1769292676737171,1769292676742888,1769292676743303,1769292676743303,1769292677082941,1769292677082941,1769292677250285,1769292677250285,1769292677253921,516750,415,114564,167344,234427,167344,415110,16,yolov5n,WebpLossy,T1,FHD
2,7,RSU-0002,Offload,1769292676129884,1769292676131496,1769292676132130,1769292676132130,1769292677250329,1769292677250329,1769292677420307,1769292677420307,1769292677424309,1294425,634,688157,169978,435656,169978,626304,16,yolov5n,WebpLossy,T1,FHD
14,43,RSU-0000,Offload,1769292677345597,1769292677348362,1769292677348757,1769292677348757,1769292677420363,1769292677420363,1769292677578030,1769292677578030,1769292677606249,260652,395,87716,157667,14874,157667,417226,15,yolov5n,WebpLossy,T1,FHD
13,40,RSU-0001,Offload,1769292677243399,1769292677240705,1769292677241095,1769292677241095,1769292677578059,1769292677578059,1769292677740065,1769292677740066,1769292677742021,498622,390,89982,162007,246243,162006,416816,16,yolov5n,WebpLossy,T1,FHD
10,31,RSU-0002,Offload,1769292676938742,1769292676946700,1769292676947149,1769292676947150,1769292677740094,1769292677740094,1769292677906810,1769292677906810,1769292677992089,1053347,450,546850,166716,339331,166716,416108,15,yolov5n,WebpLossy,T1,FHD
19,58,RSU-0000,Offload,1769292677852576,1769292677856202,1769292677856587,1769292677856587,1769292677906863,1769292677906864,1769292678071210,1769292678071210,1769292678088489,235913,385,71127,164347,54,164346,421286,16,yolov5n,WebpLossy,T1,FHD
16,49,RSU-0001,Offload,1769292677548053,1769292677552749,1769292677553142,1769292677553143,1769292678071241,1769292678071241,1769292678237605,1769292678237606,1769292678262495,714442,394,266402,166365,281281,166364,418450,16,yolov5n,WebpLossy,T1,FHD
17,52,RSU-0002,Offload,1769292677648774,1769292677664915,1769292677665847,1769292677665848,1769292678237637,1769292678237637,1769292678403224,1769292678403224,1769292678436187,787413,933,247174,165587,373719,165587,420812,16,yolov5n,WebpLossy,T1,FHD
23,70,RSU-0000,Offload,1769292678258739,1769292678257253,1769292678257667,1769292678257667,1769292678403260,1769292678403260,1769292678568750,1769292678568750,1769292678571179,312440,414,76338,165490,70198,165490,423276,15,yolov5n,WebpLossy,T1,FHD
23,70,RSU-0001,Offload,1769292678258753,1769292678258222,1769292678258660,1769292678258660,1769292678568778,1769292678568779,1769292678732707,1769292678732707,1769292678748016,489263,438,118764,163929,206132,163928,423276,15,yolov5n,WebpLossy,T1,FHD
23,70,RSU-0002,Offload,1769292678258754,1769292678261448,1769292678261931,1769292678261931,1769292678732736,1769292678732736,1769292678898535,1769292678898535,1769292678950461,691707,483,119188,165799,406237,165799,423276,15,yolov5n,WebpLossy,T1,FHD
28,85,RSU-0000,Offload,1769292678765411,1769292678766354,1769292678767153,1769292678767153,1769292678898570,1769292678898570,1769292679064922,1769292679064922,1769292679066727,301316,799,67755,166352,66410,166352,426592,17,yolov5n,WebpLossy,T1,FHD
28,85,RSU-0001,Offload,1769292678765430,1769292678764586,1769292678765001,1769292678765002,1769292679064950,1769292679064950,1769292679229521,1769292679229521,1769292679257389,491959,416,112926,164571,214046,164571,426592,17,yolov5n,WebpLossy,T1,FHD
28,85,RSU-0002,Offload,1769292678765431,1769292678766289,1769292678766796,1769292678766797,1769292679229551,1769292679229551,1769292679394573,1769292679394573,1769292679401828,636397,508,54898,165022,415969,165022,426592,17,yolov5n,WebpLossy,T1,FHD
33,100,RSU-0000,Offload,1769292679270734,1769292679270062,1769292679270517,1769292679270517,1769292679394608,1769292679394608,1769292679560165,1769292679560165,1769292679568447,297713,455,81347,165557,50354,165557,428446,18,yolov5n,WebpLossy,T1,FHD
