sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768626085925965,1768626085930834,1768626085931283,1768626085931284,1768626086023052,1768626086023052,1768626086132718,1768626086132718,1768626086188572,262607,450,91768,109666,109666,509564,16,1280,720,yolov5n,WebpLossy,T1,HD
0,1,RSU-0002,Offload,1768626085925965,1768626085928024,1768626085928470,1768626085928470,1768626086231923,1768626086231924,1768626086340868,1768626086340868,1768626086341009,415044,446,303453,108945,108944,509564,16,1280,720,yolov5n,WebpLossy,T1,HD
0,1,RSU-0001,Offload,1768626085925965,1768626085933523,1768626085934043,1768626085934043,1768626086341944,1768626086341944,1768626086459609,1768626086459610,1768626086559385,633420,520,407901,117666,117665,509564,16,1280,720,yolov5n,WebpLossy,T1,HD
2,7,RSU-0000,Offload,1768626086127624,1768626086131706,1768626086132137,1768626086132137,1768626086459803,1768626086459803,1768626086568567,1768626086568567,1768626086568847,441223,431,327666,108764,108764,459196,16,1280,720,yolov5n,WebpLossy,T1,HD
1,4,RSU-0002,Offload,1768626086027012,1768626086030879,1768626086031449,1768626086031449,1768626086568687,1768626086568687,1768626086702157,1768626086702158,1768626086702676,675664,570,537238,133471,133470,570646,15,1280,720,yolov5n,WebpLossy,T1,HD
5,16,RSU-0000,Offload,1768626086432634,1768626086435736,1768626086436103,1768626086436104,1768626086702268,1768626086702268,1768626086820489,1768626086820489,1768626086884830,452196,368,266164,118221,118221,380736,17,1280,720,yolov5n,WebpLossy,T1,HD
1,4,RSU-0001,Offload,1768626086027012,1768626086035921,1768626086036532,1768626086036533,1768626086820532,1768626086820533,1768626086946700,1768626086946701,1768626086949630,922618,612,783999,126169,126167,570646,15,1280,720,yolov5n,WebpLossy,T1,HD
2,7,RSU-0002,Offload,1768626086127624,1768626086126651,1768626086127105,1768626086127105,1768626086946857,1768626086946857,1768626087074393,1768626087074394,1768626087085254,957630,454,819752,127537,127536,459196,16,1280,720,yolov5n,WebpLossy,T1,HD
9,28,RSU-0000,Offload,1768626086838207,1768626086844478,1768626086844869,1768626086844869,1768626087074543,1768626087074543,1768626087203843,1768626087203843,1768626087205656,367449,391,229674,129300,129300,379086,16,1280,720,yolov5n,WebpLossy,T1,HD
3,10,RSU-0001,Offload,1768626086229159,1768626086236716,1768626086237221,1768626086237221,1768626087204030,1768626087204030,1768626087331438,1768626087331438,1768626087331512,1102353,505,966809,127408,127408,396916,17,1280,720,yolov5n,WebpLossy,T1,HD
6,19,RSU-0002,Offload,1768626086533549,1768626086535662,1768626086536028,1768626086536028,1768626087331503,1768626087331503,1768626087458300,1768626087458301,1768626087462854,929305,366,795475,126798,126797,379920,17,1280,720,yolov5n,WebpLossy,T1,HD
