sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769293221824327,1769293221823425,1769293221823929,1769293221823929,1769293221934228,1769293221934228,1769293222068228,1769293222068228,1769293222071342,247015,504,112505,134000,6,134000,519002,16,yolov5n,WebpLossy,T2,HD
0,1,RSU-0000,Offload,1769293221824327,1769293221825729,1769293221826174,1769293221826175,1769293222069116,1769293222069116,1769293222214585,1769293222214585,1769293222216439,392112,446,246189,145469,8,145469,519002,16,yolov5n,WebpLossy,T2,HD
0,1,RSU-0002,Offload,1769293221824327,1769293221831749,1769293221832221,1769293221832221,1769293222214626,1769293222214626,1769293222358832,1769293222358832,1769293222361435,537108,472,246862,144206,145568,144206,519002,16,yolov5n,WebpLossy,T2,HD
4,13,RSU-0000,Offload,1769293222229807,1769293222234482,1769293222234881,1769293222234881,1769293222358866,1769293222358866,1769293222501557,1769293222501557,1769293222505466,275659,399,103220,142691,29349,142691,384654,15,yolov5n,WebpLossy,T2,HD
4,13,RSU-0001,Offload,1769293222229820,1769293222232722,1769293222233125,1769293222233125,1769293222501585,1769293222501586,1769293222647257,1769293222647257,1769293222687915,458095,403,116298,145672,195722,145671,384654,15,yolov5n,WebpLossy,T2,HD
1,4,RSU-0002,Offload,1769293221925388,1769293221933205,1769293221933837,1769293221933838,1769293222647287,1769293222647287,1769293222790700,1769293222790700,1769293222802995,877607,633,333994,143413,399567,143413,579662,15,yolov5n,WebpLossy,T2,HD
8,25,RSU-0000,Offload,1769293222634938,1769293222634459,1769293222634810,1769293222634810,1769293222790739,1769293222790739,1769293222931389,1769293222931390,1769293222933392,298454,351,66418,140651,91034,140650,380786,17,yolov5n,WebpLossy,T2,HD
8,25,RSU-0001,Offload,1769293222634954,1769293222633765,1769293222634153,1769293222634153,1769293222931420,1769293222931420,1769293223072541,1769293223072541,1769293223099315,464361,388,108268,141121,214584,141121,380786,17,yolov5n,WebpLossy,T2,HD
8,25,RSU-0002,Offload,1769293222634955,1769293222641569,1769293222641957,1769293222641958,1769293223072570,1769293223072570,1769293223214418,1769293223214418,1769293223216797,581842,389,83295,141848,356310,141848,380786,17,yolov5n,WebpLossy,T2,HD
13,40,RSU-0000,Offload,1769293223143664,1769293223142727,1769293223143078,1769293223143079,1769293223214456,1769293223214456,1769293223354530,1769293223354530,1769293223357387,213723,352,58375,140074,14922,140074,385256,15,yolov5n,WebpLossy,T2,HD
12,37,RSU-0001,Offload,1769293223041676,1769293223042795,1769293223043154,1769293223043154,1769293223354558,1769293223354558,1769293223496171,1769293223496171,1769293223502778,461102,359,88709,141613,230421,141613,383788,17,yolov5n,WebpLossy,T2,HD
13,40,RSU-0002,Offload,1769293223143683,1769293223149165,1769293223149582,1769293223149582,1769293223496202,1769293223496202,1769293223637019,1769293223637019,1769293223638839,495156,417,61788,140817,292134,140817,385256,15,yolov5n,WebpLossy,T2,HD
17,52,RSU-0000,Offload,1769293223549439,1769293223551518,1769293223551925,1769293223551925,1769293223637053,1769293223637053,1769293223777925,1769293223777926,1769293223789887,240448,407,84647,140873,14521,140872,387044,15,yolov5n,WebpLossy,T2,HD
17,52,RSU-0001,Offload,1769293223549454,1769293223548770,1769293223549108,1769293223549109,1769293223777958,1769293223777958,1769293223919311,1769293223919312,1769293223944131,394677,339,80313,141354,172671,141353,387044,15,yolov5n,WebpLossy,T2,HD
17,52,RSU-0002,Offload,1769293223549455,1769293223556871,1769293223557255,1769293223557255,1769293223919342,1769293223919342,1769293224060825,1769293224060825,1769293224080869,531414,384,102895,141483,286652,141483,387044,15,yolov5n,WebpLossy,T2,HD
21,64,RSU-0000,Offload,1769293223955334,1769293223958456,1769293223958819,1769293223958820,1769293224060863,1769293224060864,1769293224201225,1769293224201225,1769293224238555,283221,364,103528,140362,38967,140361,389082,17,yolov5n,WebpLossy,T2,HD
21,64,RSU-0001,Offload,1769293223955351,1769293223952993,1769293223953347,1769293223953347,1769293224201255,1769293224201255,1769293224341868,1769293224341868,1769293224343777,388426,354,75179,140613,172280,140613,389082,17,yolov5n,WebpLossy,T2,HD
21,64,RSU-0002,Offload,1769293223955352,1769293223961931,1769293223962312,1769293223962312,1769293224341897,1769293224341897,1769293224483225,1769293224483225,1769293224530816,575464,381,131265,141328,302490,141328,389082,17,yolov5n,WebpLossy,T2,HD
25,76,RSU-0000,Offload,1769293224360513,1769293224359715,1769293224360060,1769293224360060,1769293224483264,1769293224483264,1769293224623031,1769293224623031,1769293224641822,281309,345,87003,139767,54194,139767,388518,15,yolov5n,WebpLossy,T2,HD
25,76,RSU-0001,Offload,1769293224360538,1769293224359244,1769293224359587,1769293224359588,1769293224623074,1769293224623074,1769293224764003,1769293224764003,1769293224765887,405349,344,83668,140929,180408,140929,388518,15,yolov5n,WebpLossy,T2,HD
25,76,RSU-0002,Offload,1769293224360540,1769293224366441,1769293224366782,1769293224366783,1769293224764031,1769293224764031,1769293224902125,1769293224902125,1769293224937191,576651,342,106732,138094,331483,138094,388518,15,yolov5n,WebpLossy,T2,HD
29,88,RSU-0000,Offload,1769293224767356,1769293224768906,1769293224769256,1769293224769257,1769293224902162,1769293224902162,1769293225044637,1769293225044637,1769293225054643,287287,351,81324,142475,63137,142475,393426,16,yolov5n,WebpLossy,T2,HD
29,88,RSU-0001,Offload,1769293224767374,1769293224765947,1769293224766290,1769293224766291,1769293225044675,1769293225044675,1769293225185226,1769293225185226,1769293225247416,480042,344,140825,140551,198322,140551,393426,16,yolov5n,WebpLossy,T2,HD
29,88,RSU-0002,Offload,1769293224767375,1769293224775248,1769293224775635,1769293224775635,1769293225185253,1769293225185253,1769293225328784,1769293225328785,1769293225350726,583351,387,94010,143532,345422,143531,393426,16,yolov5n,WebpLossy,T2,HD
33,100,RSU-0000,Offload,1769293225172752,1769293225173079,1769293225173433,1769293225173433,1769293225328818,1769293225328818,1769293225468945,1769293225468945,1769293225470949,298197,354,88254,140127,69462,140127,393440,16,yolov5n,WebpLossy,T2,HD
34,103,RSU-0001,Offload,1769293225273959,1769293225272557,1769293225272909,1769293225272910,1769293225468972,1769293225468972,1769293225608902,1769293225608902,1769293225611697,337738,353,53926,139930,143529,139930,393736,16,yolov5n,WebpLossy,T2,HD
33,100,RSU-0002,Offload,1769293225172767,1769293225176902,1769293225177274,1769293225177274,1769293225608935,1769293225608935,1769293225750711,1769293225750711,1769293225761394,588627,372,89756,141776,356723,141776,393440,16,yolov5n,WebpLossy,T2,HD
38,115,RSU-0000,Offload,1769293225678349,1769293225679172,1769293225679528,1769293225679528,1769293225750737,1769293225750737,1769293225889127,1769293225889127,1769293225892531,214182,356,74637,138390,799,138390,393554,16,yolov5n,WebpLossy,T2,HD
37,112,RSU-0001,Offload,1769293225576776,1769293225576025,1769293225576384,1769293225576384,1769293225889151,1769293225889151,1769293226031755,1769293226031755,1769293226060991,484215,359,83154,142604,258098,142604,395342,18,yolov5n,WebpLossy,T2,HD
37,112,RSU-0002,Offload,1769293225576777,1769293225582234,1769293225582608,1769293225582608,1769293226031788,1769293226031788,1769293226173685,1769293226173685,1769293226175425,598648,374,47989,141897,408388,141897,395342,18,yolov5n,WebpLossy,T2,HD
42,127,RSU-0000,Offload,1769293226083363,1769293226082497,1769293226082845,1769293226082846,1769293226173722,1769293226173722,1769293226315434,1769293226315434,1769293226326871,243508,349,92965,141712,8482,141712,394534,18,yolov5n,WebpLossy,T2,HD
42,127,RSU-0001,Offload,1769293226083374,1769293226082818,1769293226083163,1769293226083163,1769293226315464,1769293226315464,1769293226455924,1769293226455924,1769293226468117,384743,345,93212,140460,150726,140460,394534,18,yolov5n,WebpLossy,T2,HD
42,127,RSU-0002,Offload,1769293226083375,1769293226087723,1769293226088112,1769293226088113,1769293226455957,1769293226455958,1769293226596058,1769293226596058,1769293226597967,514592,390,75187,140101,298914,140100,394534,18,yolov5n,WebpLossy,T2,HD
46,139,RSU-0000,Offload,1769293226488763,1769293226487765,1769293226488118,1769293226488118,1769293226596099,1769293226596100,1769293226737746,1769293226737746,1769293226767959,279196,353,92847,141647,44349,141646,395234,19,yolov5n,WebpLossy,T2,HD
46,139,RSU-0001,Offload,1769293226488782,1769293226486631,1769293226486975,1769293226486976,1769293226737774,1769293226737774,1769293226881701,1769293226881701,1769293226883749,394967,345,82196,143927,168499,143927,395234,19,yolov5n,WebpLossy,T2,HD
46,139,RSU-0002,Offload,1769293226488783,1769293226494391,1769293226494776,1769293226494776,1769293226881735,1769293226881735,1769293227024422,1769293227024422,1769293227074059,585276,385,113590,142687,328614,142687,395234,19,yolov5n,WebpLossy,T2,HD
50,151,RSU-0000,Offload,1769293226896246,1769293226897552,1769293226897910,1769293226897910,1769293227024464,1769293227024464,1769293227162530,1769293227162530,1769293227181372,285126,358,86290,138066,60412,138066,395392,19,yolov5n,WebpLossy,T2,HD
50,151,RSU-0001,Offload,1769293226896263,1769293226897482,1769293226897812,1769293226897813,1769293227162568,1769293227162568,1769293227304279,1769293227304279,1769293227306127,409864,331,80981,141711,186841,141711,395392,19,yolov5n,WebpLossy,T2,HD
50,151,RSU-0002,Offload,1769293226896264,1769293226905298,1769293226905701,1769293226905702,1769293227304308,1769293227304308,1769293227444884,1769293227444884,1769293227455136,558872,404,76716,140576,341176,140576,395392,19,yolov5n,WebpLossy,T2,HD
54,163,RSU-0000,Offload,1769293227300778,1769293227301395,1769293227301739,1769293227301739,1769293227444938,1769293227444938,1769293227587510,1769293227587510,1769293227589563,288785,344,79348,142572,66521,142572,391278,17,yolov5n,WebpLossy,T2,HD
54,163,RSU-0001,Offload,1769293227300803,1769293227302757,1769293227303095,1769293227303095,1769293227587546,1769293227587546,1769293227729045,1769293227729045,1769293227740639,439836,338,72368,141499,225631,141499,391278,17,yolov5n,WebpLossy,T2,HD
54,163,RSU-0002,Offload,1769293227300804,1769293227307967,1769293227308350,1769293227308350,1769293227729073,1769293227729074,1769293227871126,1769293227871126,1769293227886639,585835,383,68152,142053,375247,142052,391278,17,yolov5n,WebpLossy,T2,HD
58,175,RSU-0000,Offload,1769293227705698,1769293227706186,1769293227706555,1769293227706556,1769293227871159,1769293227871159,1769293228012266,1769293228012266,1769293228014848,309150,370,83571,141107,84102,141107,389924,19,yolov5n,WebpLossy,T2,HD
58,175,RSU-0001,Offload,1769293227705716,1769293227703352,1769293227703702,1769293227703702,1769293228012294,1769293228012294,1769293228152235,1769293228152235,1769293228160646,454930,350,73130,139941,241509,139941,389924,19,yolov5n,WebpLossy,T2,HD
58,175,RSU-0002,Offload,1769293227705717,1769293227710607,1769293227710989,1769293227710989,1769293228152266,1769293228152266,1769293228295548,1769293228295548,1769293228297968,592251,382,62203,143282,386384,143282,389924,19,yolov5n,WebpLossy,T2,HD
63,190,RSU-0000,Offload,1769293228212317,1769293228211776,1769293228212141,1769293228212142,1769293228295597,1769293228295597,1769293228437464,1769293228437464,1769293228452752,240435,366,95549,141867,2653,141867,391670,16,yolov5n,WebpLossy,T2,HD
63,190,RSU-0001,Offload,1769293228212335,1769293228211093,1769293228211452,1769293228211453,1769293228437499,1769293228437499,1769293228577307,1769293228577307,1769293228595777,383442,360,97270,139808,146004,139808,391670,16,yolov5n,WebpLossy,T2,HD
63,190,RSU-0002,Offload,1769293228212336,1769293228216420,1769293228216790,1769293228216790,1769293228577338,1769293228577338,1769293228715791,1769293228715792,1769293228718118,505782,370,43401,138454,323557,138453,391670,16,yolov5n,WebpLossy,T2,HD
67,202,RSU-0000,Offload,1769293228618299,1769293228619777,1769293228620121,1769293228620121,1769293228715822,1769293228715822,1769293228856223,1769293228856223,1769293228890083,271784,344,109212,140401,21827,140401,391850,17,yolov5n,WebpLossy,T2,HD
67,202,RSU-0001,Offload,1769293228618314,1769293228616535,1769293228616903,1769293228616903,1769293228856252,1769293228856252,1769293228998924,1769293228998924,1769293229002931,384617,368,81874,142672,159703,142672,391850,17,yolov5n,WebpLossy,T2,HD
67,202,RSU-0002,Offload,1769293228618316,1769293228622830,1769293228623222,1769293228623222,1769293228998955,1769293228998956,1769293229139445,1769293229139446,1769293229143728,525412,392,71610,140491,312919,140489,391850,17,yolov5n,WebpLossy,T2,HD
71,214,RSU-0000,Offload,1769293229023320,1769293229023205,1769293229023600,1769293229023600,1769293229139488,1769293229139488,1769293229279711,1769293229279711,1769293229286806,263486,395,77696,140223,45172,140223,391880,15,yolov5n,WebpLossy,T2,HD
71,214,RSU-0001,Offload,1769293229023335,1769293229022237,1769293229022596,1769293229022597,1769293229279741,1769293229279741,1769293229420032,1769293229420032,1769293229422125,398790,360,84741,140291,173398,140291,391880,15,yolov5n,WebpLossy,T2,HD
71,214,RSU-0002,Offload,1769293229023336,1769293229027426,1769293229027824,1769293229027824,1769293229420062,1769293229420062,1769293229563510,1769293229563511,1769293229576688,553352,398,85276,143449,324229,143448,391880,15,yolov5n,WebpLossy,T2,HD
75,226,RSU-0000,Offload,1769293229427611,1769293229427754,1769293229428116,1769293229428117,1769293229563553,1769293229563553,1769293229707604,1769293229707604,1769293229709979,282368,363,60225,144051,77729,144051,390128,16,yolov5n,WebpLossy,T2,HD
75,226,RSU-0001,Offload,1769293229427626,1769293229425489,1769293229425832,1769293229425833,1769293229707641,1769293229707641,1769293229848735,1769293229848735,1769293229903701,476075,344,137061,141094,197576,141094,390128,16,yolov5n,WebpLossy,T2,HD
75,226,RSU-0002,Offload,1769293229427627,1769293229431719,1769293229432119,1769293229432120,1769293229848762,1769293229848762,1769293229990779,1769293229990779,1769293230010732,583105,401,76516,142017,364171,142017,390128,16,yolov5n,WebpLossy,T2,HD
79,238,RSU-0000,Offload,1769293229833075,1769293229832133,1769293229832521,1769293229832521,1769293229990913,1769293229990913,1769293230132264,1769293230132264,1769293230134409,301334,388,72144,141351,87451,141351,392040,16,yolov5n,WebpLossy,T2,HD
79,238,RSU-0001,Offload,1769293229833090,1769293229832381,1769293229832743,1769293229832743,1769293230132296,1769293230132296,1769293230272446,1769293230272446,1769293230308609,475519,362,106712,140150,228295,140150,392040,16,yolov5n,WebpLossy,T2,HD
80,241,RSU-0002,Offload,1769293229933933,1769293229939367,1769293229939742,1769293229939742,1769293230272479,1769293230272479,1769293230414592,1769293230414592,1769293230416733,482800,375,57092,142113,283220,142113,390152,16,yolov5n,WebpLossy,T2,HD
84,253,RSU-0000,Offload,1769293230339253,1769293230338739,1769293230339095,1769293230339095,1769293230414636,1769293230414636,1769293230555405,1769293230555405,1769293230560518,221265,356,65328,140769,14812,140769,392658,17,yolov5n,WebpLossy,T2,HD
83,250,RSU-0001,Offload,1769293230237470,1769293230235660,1769293230236052,1769293230236052,1769293230555454,1769293230555455,1769293230697432,1769293230697432,1769293230719426,481956,392,102017,141978,237569,141977,390712,17,yolov5n,WebpLossy,T2,HD
84,253,RSU-0002,Offload,1769293230339266,1769293230343576,1769293230343965,1769293230343965,1769293230697462,1769293230697462,1769293230837350,1769293230837350,1769293230839397,500131,389,59976,139888,299878,139888,392658,17,yolov5n,WebpLossy,T2,HD
88,265,RSU-0000,Offload,1769293230742781,1769293230742755,1769293230743115,1769293230743116,1769293230837383,1769293230837383,1769293230976862,1769293230976862,1769293231004925,262144,361,96723,139479,25581,139479,391872,16,yolov5n,WebpLossy,T2,HD
88,265,RSU-0001,Offload,1769293230742800,1769293230741180,1769293230741533,1769293230741533,1769293230976896,1769293230976897,1769293231118942,1769293231118942,1769293231121500,378700,353,74100,142046,162201,142045,391872,16,yolov5n,WebpLossy,T2,HD
88,265,RSU-0002,Offload,1769293230742801,1769293230750012,1769293230750403,1769293230750403,1769293231118970,1769293231118970,1769293231259090,1769293231259090,1769293231280617,537816,391,93767,140120,303538,140120,391872,16,yolov5n,WebpLossy,T2,HD
92,277,RSU-0000,Offload,1769293231148044,1769293231149374,1769293231149735,1769293231149735,1769293231259131,1769293231259131,1769293231398811,1769293231398812,1769293231424985,276941,361,96650,139681,40249,139680,392746,16,yolov5n,WebpLossy,T2,HD
92,277,RSU-0001,Offload,1769293231148060,1769293231145687,1769293231146045,1769293231146046,1769293231398840,1769293231398840,1769293231541193,1769293231541193,1769293231543039,394979,359,59245,142353,193022,142353,392746,16,yolov5n,WebpLossy,T2,HD
92,277,RSU-0002,Offload,1769293231148061,1769293231152407,1769293231152784,1769293231152785,1769293231541222,1769293231541222,1769293231681276,1769293231681277,1769293231692470,544409,378,83189,140055,320787,140054,392746,16,yolov5n,WebpLossy,T2,HD
96,289,RSU-0000,Offload,1769293231553449,1769293231552513,1769293231552862,1769293231552862,1769293231681313,1769293231681313,1769293231822477,1769293231822477,1769293231837258,283809,349,90276,141164,52020,141164,388848,17,yolov5n,WebpLossy,T2,HD
96,289,RSU-0001,Offload,1769293231553467,1769293231551421,1769293231551783,1769293231551784,1769293231822509,1769293231822509,1769293231962744,1769293231962745,1769293231964548,411081,363,75758,140236,194724,140235,388848,17,yolov5n,WebpLossy,T2,HD
96,289,RSU-0002,Offload,1769293231553469,1769293231558698,1769293231559082,1769293231559082,1769293231962778,1769293231962778,1769293232104419,1769293232104419,1769293232131367,577898,384,101612,141641,334261,141641,388848,17,yolov5n,WebpLossy,T2,HD
