sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768626439839817,1768626439842000,1768626439842218,1768626439842218,1768626439891934,1768626439891934,1768626439976149,1768626439976149,1768626439977714,137897,218,49716,84215,84215,187358,14,640,640,yolov5n,WebpLossy,T2,Letterbox
0,1,RSU-0001,Offload,1768626439839817,1768626439844644,1768626439844882,1768626439844883,1768626439976511,1768626439976511,1768626440064165,1768626440064165,1768626440064463,224646,239,131628,87654,87654,187358,14,640,640,yolov5n,WebpLossy,T2,Letterbox
1,4,RSU-0000,Offload,1768626439940354,1768626439945616,1768626439945867,1768626439945867,1768626440064388,1768626440064388,1768626440150413,1768626440150413,1768626440151142,210788,251,118521,86025,86025,196576,13,640,640,yolov5n,WebpLossy,T2,Letterbox
1,4,RSU-0001,Offload,1768626439940354,1768626439944511,1768626439944802,1768626439944803,1768626440150630,1768626440150631,1768626440236699,1768626440236699,1768626440236670,296316,292,205827,86069,86068,196576,13,640,640,yolov5n,WebpLossy,T2,Letterbox
1,4,RSU-0002,Offload,1768626439940354,1768626439942211,1768626439942482,1768626439942483,1768626440236897,1768626440236897,1768626440323024,1768626440323025,1768626440323179,382825,272,294414,86128,86127,196576,13,640,640,yolov5n,WebpLossy,T2,Letterbox
4,13,RSU-0000,Offload,1768626440246085,1768626440251606,1768626440251837,1768626440251837,1768626440323236,1768626440323236,1768626440410605,1768626440410606,1768626440410699,164614,231,71399,87370,87369,165306,13,640,640,yolov5n,WebpLossy,T2,Letterbox
4,13,RSU-0001,Offload,1768626440246085,1768626440253521,1768626440253749,1768626440253749,1768626440410819,1768626440410819,1768626440490881,1768626440490881,1768626440490836,244751,228,157070,80062,80062,165306,13,640,640,yolov5n,WebpLossy,T2,Letterbox
4,13,RSU-0002,Offload,1768626440246085,1768626440248165,1768626440248384,1768626440248384,1768626440491085,1768626440491085,1768626440576119,1768626440576119,1768626440576361,330276,219,242701,85034,85034,165306,13,640,640,yolov5n,WebpLossy,T2,Letterbox
6,19,RSU-0000,Offload,1768626440449173,1768626440455436,1768626440455666,1768626440455666,1768626440576319,1768626440576319,1768626440659793,1768626440659794,1768626440660193,211020,230,120653,83475,83474,165118,14,640,640,yolov5n,WebpLossy,T2,Letterbox
6,19,RSU-0001,Offload,1768626440449173,1768626440454891,1768626440455129,1768626440455129,1768626440659996,1768626440659996,1768626440746441,1768626440746441,1768626440746504,297331,238,204867,86445,86445,165118,14,640,640,yolov5n,WebpLossy,T2,Letterbox
