sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769285227272193,1769285227272320,1769285227272592,1769285227272592,1769285227322826,1769285227322826,1769285227429059,1769285227429059,1769285227432138,159945,272,53434,106233,6,106233,187358,14,yolov5n,WebpLossy,T2,Letterbox
0,1,RSU-0000,Offload,1769285227272192,1769285227272050,1769285227272304,1769285227272305,1769285227429099,1769285227429099,1769285227532197,1769285227532197,1769285227571381,299189,255,96403,103098,99433,103098,187358,14,yolov5n,WebpLossy,T2,Letterbox
0,1,RSU-0001,Offload,1769285227272193,1769285227273971,1769285227274194,1769285227274195,1769285227532227,1769285227532227,1769285227633456,1769285227633456,1769285227636645,364452,224,54626,101229,208373,101229,187358,14,yolov5n,WebpLossy,T2,Letterbox
1,31,RSU-0002,Offload,1769285228272874,1769285228275035,1769285228275249,1769285228275249,1769285228320305,1769285228320306,1769285228423487,1769285228423487,1769285228426252,153378,214,49977,103182,5,103181,165294,13,yolov5n,WebpLossy,T2,Letterbox
1,31,RSU-0000,Offload,1769285228272852,1769285228275739,1769285228275943,1769285228275943,1769285228423521,1769285228423521,1769285228526180,1769285228526180,1769285228529060,256208,204,57409,102659,95936,102659,165294,13,yolov5n,WebpLossy,T2,Letterbox
1,31,RSU-0001,Offload,1769285228272872,1769285228276057,1769285228276250,1769285228276251,1769285228526209,1769285228526209,1769285228627728,1769285228627728,1769285228630601,357729,194,50203,101519,205813,101519,165294,13,yolov5n,WebpLossy,T2,Letterbox
2,61,RSU-0002,Offload,1769285229274693,1769285229276878,1769285229277089,1769285229277089,1769285229317186,1769285229317186,1769285229419953,1769285229419953,1769285229423133,148440,211,45457,102767,5,102767,166078,15,yolov5n,WebpLossy,T2,Letterbox
2,61,RSU-0001,Offload,1769285229274692,1769285229276143,1769285229276352,1769285229276352,1769285229420226,1769285229420226,1769285229522463,1769285229522463,1769285229525147,250455,209,148003,102237,6,102237,166078,15,yolov5n,WebpLossy,T2,Letterbox
2,61,RSU-0000,Offload,1769285229274674,1769285229276668,1769285229276878,1769285229276878,1769285229522502,1769285229522502,1769285229624131,1769285229624131,1769285229627100,352426,210,148495,101629,102092,101629,166078,15,yolov5n,WebpLossy,T2,Letterbox
3,91,RSU-0002,Offload,1769285230276327,1769285230279145,1769285230279342,1769285230279342,1769285230320699,1769285230320699,1769285230425173,1769285230425173,1769285230428161,151834,197,47153,104474,10,104474,168150,16,yolov5n,WebpLossy,T2,Letterbox
3,91,RSU-0000,Offload,1769285230276302,1769285230277132,1769285230277340,1769285230277340,1769285230425213,1769285230425213,1769285230527939,1769285230527939,1769285230531167,254865,208,62238,102726,89693,102726,168150,16,yolov5n,WebpLossy,T2,Letterbox
3,91,RSU-0001,Offload,1769285230276326,1769285230280558,1769285230280762,1769285230280762,1769285230527966,1769285230527966,1769285230630701,1769285230630701,1769285230633650,357324,204,47748,102735,206637,102735,168150,16,yolov5n,WebpLossy,T2,Letterbox
4,121,RSU-0001,Offload,1769285231277236,1769285231279646,1769285231279897,1769285231279897,1769285231330492,1769285231330492,1769285231432879,1769285231432879,1769285231436013,158777,251,56133,102387,6,102387,166836,17,yolov5n,WebpLossy,T2,Letterbox
4,121,RSU-0002,Offload,1769285231277237,1769285231277981,1769285231278190,1769285231278190,1769285231433136,1769285231433136,1769285231535596,1769285231535596,1769285231538674,261437,209,158763,102460,5,102460,166836,17,yolov5n,WebpLossy,T2,Letterbox
4,121,RSU-0000,Offload,1769285231277194,1769285231279320,1769285231279526,1769285231279526,1769285231535628,1769285231535629,1769285231637153,1769285231637153,1769285231640041,362847,206,158878,101525,102238,101524,166836,17,yolov5n,WebpLossy,T2,Letterbox
5,151,RSU-0002,Offload,1769285232278368,1769285232282145,1769285232282372,1769285232282372,1769285232324909,1769285232324909,1769285232428886,1769285232428886,1769285232432124,153756,227,49547,103977,5,103977,168314,18,yolov5n,WebpLossy,T2,Letterbox
5,151,RSU-0000,Offload,1769285232278350,1769285232280290,1769285232280497,1769285232280497,1769285232428918,1769285232428918,1769285232531381,1769285232531381,1769285232534513,256163,207,52286,102463,101207,102463,168314,18,yolov5n,WebpLossy,T2,Letterbox
5,151,RSU-0001,Offload,1769285232278367,1769285232280619,1769285232280827,1769285232280828,1769285232531409,1769285232531409,1769285232633582,1769285232633582,1769285232636335,357968,209,50226,102173,205360,102173,168314,18,yolov5n,WebpLossy,T2,Letterbox
6,181,RSU-0002,Offload,1769285233280629,1769285233284078,1769285233284253,1769285233284253,1769285233326059,1769285233326059,1769285233433769,1769285233433769,1769285233436561,155932,175,48042,107710,5,107710,167656,15,yolov5n,WebpLossy,T2,Letterbox
6,181,RSU-0000,Offload,1769285233280611,1769285233283820,1769285233284026,1769285233284026,1769285233434049,1769285233434049,1769285233536919,1769285233536919,1769285233540016,259405,206,156323,102870,6,102870,167656,15,yolov5n,WebpLossy,T2,Letterbox
6,181,RSU-0001,Offload,1769285233280628,1769285233282900,1769285233283106,1769285233283106,1769285233536952,1769285233536952,1769285233638912,1769285233638912,1769285233641916,361288,206,156407,101960,102715,101960,167656,15,yolov5n,WebpLossy,T2,Letterbox
7,211,RSU-0002,Offload,1769285234282729,1769285234285050,1769285234285252,1769285234285252,1769285234321059,1769285234321059,1769285234424267,1769285234424267,1769285234428847,146118,202,42702,103208,6,103208,168094,14,yolov5n,WebpLossy,T2,Letterbox
7,211,RSU-0000,Offload,1769285234282710,1769285234285002,1769285234285206,1769285234285206,1769285234424554,1769285234424555,1769285234526331,1769285234526331,1769285234529070,246360,204,144374,101777,5,101776,168094,14,yolov5n,WebpLossy,T2,Letterbox
7,211,RSU-0001,Offload,1769285234282728,1769285234287075,1769285234287273,1769285234287273,1769285234526363,1769285234526368,1769285234629063,1769285234629063,1769285234633767,351039,198,146593,102700,101548,102695,168094,14,yolov5n,WebpLossy,T2,Letterbox
8,241,RSU-0001,Offload,1769285235284018,1769285235284158,1769285235284360,1769285235284360,1769285235329895,1769285235329895,1769285235432881,1769285235432882,1769285235436169,152151,202,48956,102987,6,102986,166846,16,yolov5n,WebpLossy,T2,Letterbox
8,241,RSU-0000,Offload,1769285235283999,1769285235286826,1769285235287037,1769285235287037,1769285235432915,1769285235432915,1769285235535778,1769285235535778,1769285235538731,254732,211,53890,102863,97768,102863,166846,16,yolov5n,WebpLossy,T2,Letterbox
8,241,RSU-0002,Offload,1769285235284019,1769285235286542,1769285235286718,1769285235286718,1769285235535805,1769285235535805,1769285235637896,1769285235637896,1769285235640738,356719,176,48737,102091,205715,102091,166846,16,yolov5n,WebpLossy,T2,Letterbox
9,271,RSU-0002,Offload,1769285236285030,1769285236288115,1769285236288317,1769285236288317,1769285236326862,1769285236326863,1769285236430366,1769285236430366,1769285236433432,148402,202,44690,103504,6,103503,166946,13,yolov5n,WebpLossy,T2,Letterbox
9,271,RSU-0000,Offload,1769285236285013,1769285236288230,1769285236288433,1769285236288434,1769285236430682,1769285236430682,1769285236532378,1769285236532378,1769285236535245,250232,204,148325,101696,7,101696,166946,13,yolov5n,WebpLossy,T2,Letterbox
9,271,RSU-0001,Offload,1769285236285029,1769285236287331,1769285236287547,1769285236287547,1769285236532423,1769285236532423,1769285236634624,1769285236634624,1769285236637655,352626,216,149231,102201,100978,102201,166946,13,yolov5n,WebpLossy,T2,Letterbox
10,301,RSU-0002,Offload,1769285237285835,1769285237288233,1769285237288442,1769285237288442,1769285237329021,1769285237329021,1769285237432735,1769285237432735,1769285237435659,149824,209,45896,103714,5,103714,166452,13,yolov5n,WebpLossy,T2,Letterbox
10,301,RSU-0000,Offload,1769285237285818,1769285237287984,1769285237288204,1769285237288204,1769285237432767,1769285237432767,1769285237534248,1769285237534248,1769285237536891,251073,220,56365,101481,93007,101481,166452,13,yolov5n,WebpLossy,T2,Letterbox
10,301,RSU-0001,Offload,1769285237285834,1769285237290540,1769285237290754,1769285237290755,1769285237534276,1769285237534277,1769285237636929,1769285237636929,1769285237639949,354115,215,56939,102653,194308,102652,166452,13,yolov5n,WebpLossy,T2,Letterbox
11,331,RSU-0002,Offload,1769285238286610,1769285238288779,1769285238288987,1769285238288987,1769285238336862,1769285238336862,1769285238441316,1769285238441316,1769285238444359,157749,208,53082,104454,5,104454,165622,15,yolov5n,WebpLossy,T2,Letterbox
11,331,RSU-0000,Offload,1769285238286596,1769285238289768,1769285238289991,1769285238289991,1769285238441370,1769285238441371,1769285238544087,1769285238544087,1769285238546958,260362,223,55790,102717,101632,102716,165622,15,yolov5n,WebpLossy,T2,Letterbox
11,331,RSU-0001,Offload,1769285238286609,1769285238289755,1769285238289952,1769285238289952,1769285238544119,1769285238544119,1769285238646787,1769285238646788,1769285238650078,363469,197,54730,102669,205873,102668,165622,15,yolov5n,WebpLossy,T2,Letterbox
12,361,RSU-0002,Offload,1769285239288381,1769285239290581,1769285239290791,1769285239290791,1769285239339131,1769285239339131,1769285239441420,1769285239441420,1769285239444518,156137,210,53632,102289,6,102289,165204,17,yolov5n,WebpLossy,T2,Letterbox
12,361,RSU-0000,Offload,1769285239288368,1769285239291603,1769285239291849,1769285239291849,1769285239441452,1769285239441452,1769285239543041,1769285239543041,1769285239546375,258007,246,59190,101589,96982,101589,165204,17,yolov5n,WebpLossy,T2,Letterbox
12,361,RSU-0001,Offload,1769285239288380,1769285239291567,1769285239291781,1769285239291782,1769285239543073,1769285239543073,1769285239645981,1769285239645982,1769285239649065,360685,215,53882,102909,203679,102908,165204,17,yolov5n,WebpLossy,T2,Letterbox
13,391,RSU-0002,Offload,1769285240289948,1769285240292603,1769285240292816,1769285240292816,1769285240331455,1769285240331460,1769285240435766,1769285240435766,1769285240438731,148783,213,44254,104311,5,104306,165850,18,yolov5n,WebpLossy,T2,Letterbox
13,391,RSU-0000,Offload,1769285240289929,1769285240293181,1769285240293383,1769285240293383,1769285240435808,1769285240435813,1769285240536984,1769285240536985,1769285240539939,250010,202,57206,101177,91425,101171,165850,18,yolov5n,WebpLossy,T2,Letterbox
13,391,RSU-0001,Offload,1769285240289947,1769285240293149,1769285240293365,1769285240293366,1769285240537013,1769285240537014,1769285240639015,1769285240639016,1769285240642020,352073,217,52693,102003,197160,102001,165850,18,yolov5n,WebpLossy,T2,Letterbox
14,421,RSU-0001,Offload,1769285241291340,1769285241290484,1769285241290679,1769285241290679,1769285241332404,1769285241332405,1769285241437281,1769285241437281,1769285241440479,149139,195,44062,104877,5,104876,165976,13,yolov5n,WebpLossy,T2,Letterbox
14,421,RSU-0000,Offload,1769285241291320,1769285241294347,1769285241294571,1769285241294571,1769285241437325,1769285241437325,1769285241539288,1769285241539288,1769285241542285,250965,224,54826,101963,93952,101963,165976,13,yolov5n,WebpLossy,T2,Letterbox
14,421,RSU-0002,Offload,1769285241291341,1769285241294283,1769285241294494,1769285241294495,1769285241539317,1769285241539317,1769285241642530,1769285241642530,1769285241645431,354090,212,44291,103213,206374,103213,165976,13,yolov5n,WebpLossy,T2,Letterbox
15,451,RSU-0000,Offload,1769285242292655,1769285242294643,1769285242294869,1769285242294869,1769285242335883,1769285242335883,1769285242440021,1769285242440021,1769285242442812,150157,226,45788,104138,5,104138,165628,15,yolov5n,WebpLossy,T2,Letterbox
15,451,RSU-0001,Offload,1769285242292673,1769285242294947,1769285242295151,1769285242295151,1769285242440059,1769285242440059,1769285242541815,1769285242541815,1769285242544718,252045,204,53770,101756,96315,101756,165628,15,yolov5n,WebpLossy,T2,Letterbox
15,451,RSU-0002,Offload,1769285242292674,1769285242297023,1769285242297227,1769285242297228,1769285242541842,1769285242541843,1769285242644111,1769285242644111,1769285242646833,354159,205,58043,102269,193642,102268,165628,15,yolov5n,WebpLossy,T2,Letterbox
16,481,RSU-0002,Offload,1769285243294342,1769285243296942,1769285243297173,1769285243297173,1769285243341273,1769285243341273,1769285243445666,1769285243445666,1769285243448611,154269,231,49640,104393,5,104393,164472,14,yolov5n,WebpLossy,T2,Letterbox
16,481,RSU-0000,Offload,1769285243294326,1769285243297614,1769285243297815,1769285243297815,1769285243445708,1769285243445708,1769285243548075,1769285243548075,1769285243551315,256989,201,57968,102367,96453,102367,164472,14,yolov5n,WebpLossy,T2,Letterbox
16,481,RSU-0001,Offload,1769285243294341,1769285243297531,1769285243297722,1769285243297722,1769285243548103,1769285243548104,1769285243652066,1769285243652066,1769285243655088,360747,191,52992,103963,203601,103962,164472,14,yolov5n,WebpLossy,T2,Letterbox
17,511,RSU-0002,Offload,1769285244295147,1769285244297378,1769285244297609,1769285244297609,1769285244330119,1769285244330120,1769285244435101,1769285244435101,1769285244438120,142973,231,37755,104982,5,104981,166430,14,yolov5n,WebpLossy,T2,Letterbox
17,511,RSU-0000,Offload,1769285244295130,1769285244298430,1769285244298661,1769285244298661,1769285244435144,1769285244435144,1769285244539809,1769285244539809,1769285244542696,247566,231,52459,104665,90211,104665,166430,14,yolov5n,WebpLossy,T2,Letterbox
17,511,RSU-0001,Offload,1769285244295145,1769285244298296,1769285244298504,1769285244298504,1769285244539839,1769285244539840,1769285244642389,1769285244642389,1769285244645203,350058,208,52161,102550,195139,102549,166430,14,yolov5n,WebpLossy,T2,Letterbox
18,541,RSU-0002,Offload,1769285245296306,1769285245299382,1769285245299585,1769285245299585,1769285245342479,1769285245342479,1769285245445369,1769285245445369,1769285245448141,151835,203,48736,102890,6,102890,165760,14,yolov5n,WebpLossy,T2,Letterbox
18,541,RSU-0001,Offload,1769285245296304,1769285245300602,1769285245300818,1769285245300818,1769285245445642,1769285245445642,1769285245548201,1769285245548201,1769285245551019,254715,216,151934,102559,6,102559,165760,14,yolov5n,WebpLossy,T2,Letterbox
18,541,RSU-0000,Offload,1769285245296289,1769285245297390,1769285245297634,1769285245297634,1769285245548238,1769285245548238,1769285245651672,1769285245651672,1769285245654883,358594,244,152416,103434,102500,103434,165760,14,yolov5n,WebpLossy,T2,Letterbox
19,571,RSU-0001,Offload,1769285246297203,1769285246299457,1769285246299667,1769285246299667,1769285246342563,1769285246342563,1769285246447244,1769285246447244,1769285246450096,152893,210,47996,104681,6,104681,165828,12,yolov5n,WebpLossy,T2,Letterbox
