sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768630762980945,1768630762976996,1768630762977771,1768630762977771,1768630763249511,1768630763249512,1768630763382415,1768630763382416,1768630763392122,411177,775,271740,132905,132903,953250,16,1920,1080,yolov5n,WebpLossy,T3,FHD
0,1,RSU-0000,Offload,1768630762980945,1768630762982473,1768630762983281,1768630762983281,1768630763384267,1768630763384267,1768630763525206,1768630763525206,1768630763554992,574047,808,400986,140939,140939,953250,16,1920,1080,yolov5n,WebpLossy,T3,FHD
0,1,RSU-0001,Offload,1768630762980945,1768630762988505,1768630762989283,1768630762989283,1768630763525250,1768630763525250,1768630763675252,1768630763675253,1768630763685932,704987,778,535967,150003,150002,953250,16,1920,1080,yolov5n,WebpLossy,T3,FHD
1,3,RSU-0000,Offload,1768630763049033,1768630763048010,1768630763077989,1768630763077990,1768630763675392,1768630763675392,1768630763830324,1768630763830324,1768630763840598,791565,29980,597402,154932,154932,1224754,16,1920,1080,yolov5n,WebpLossy,T3,FHD
1,3,RSU-0002,Offload,1768630763049033,1768630763042957,1768630763044083,1768630763044083,1768630763830459,1768630763830459,1768630763978655,1768630763978655,1768630764029550,980517,1126,786376,148196,148196,1224754,16,1920,1080,yolov5n,WebpLossy,T3,FHD
3,7,RSU-0000,Offload,1768630763184479,1768630763183372,1768630763184157,1768630763184157,1768630763978803,1768630763978803,1768630764123383,1768630764123383,1768630764137579,953100,785,794646,144580,144580,798196,16,1920,1080,yolov5n,WebpLossy,T3,FHD
1,3,RSU-0001,Offload,1768630763049033,1768630763055267,1768630763056354,1768630763056354,1768630764123516,1768630764123516,1768630764275753,1768630764275754,1768630764298349,1249316,1087,1067162,152238,152237,1224754,16,1920,1080,yolov5n,WebpLossy,T3,FHD
2,5,RSU-0002,Offload,1768630763116839,1768630763111486,1768630763112506,1768630763112507,1768630764275801,1768630764275801,1768630764420255,1768630764420255,1768630764450775,1333936,1021,1163294,144454,144454,1025652,16,1920,1080,yolov5n,WebpLossy,T3,FHD
9,19,RSU-0000,Offload,1768630763594395,1768630763593687,1768630763594179,1768630763594180,1768630764420369,1768630764420369,1768630764564836,1768630764564836,1768630764633453,1039058,493,826189,144467,144467,518642,17,1920,1080,yolov5n,WebpLossy,T3,FHD
4,9,RSU-0001,Offload,1768630763253166,1768630763264748,1768630763265427,1768630763265427,1768630764564962,1768630764564962,1768630764704747,1768630764704747,1768630764728583,1475417,679,1299535,139785,139785,643222,17,1920,1080,yolov5n,WebpLossy,T3,FHD
