sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768743918446329,1768743918453675,1768743918453928,1768743918453928,1768743918533773,1768743918533773,1768743918621809,1768743918621809,1768743918629001,182672,253,79845,88036,88036,227146,14,640,640,yolov5n,WebpLossy,T3,Letterbox
0,1,RSU-0002,Offload,1768743918446329,1768743918462915,1768743918463223,1768743918463223,1768743918622317,1768743918622317,1768743918704487,1768743918704487,1768743918711385,265056,308,159094,82170,82170,227146,14,640,640,yolov5n,WebpLossy,T3,Letterbox
0,1,RSU-0001,Offload,1768743918446329,1768743918467016,1768743918467260,1768743918467260,1768743918704766,1768743918704767,1768743918785771,1768743918785771,1768743918794175,347846,244,237506,81005,81004,227146,14,640,640,yolov5n,WebpLossy,T3,Letterbox
1,31,RSU-0001,Offload,1768743919447570,1768743919464052,1768743919464277,1768743919464277,1768743919507102,1768743919507102,1768743919587296,1768743919587296,1768743919587173,139603,225,42825,80194,80194,202272,13,640,640,yolov5n,WebpLossy,T3,Letterbox
1,31,RSU-0000,Offload,1768743919447570,1768743919458096,1768743919458326,1768743919458326,1768743919588008,1768743919588009,1768743919668924,1768743919668925,1768743919669128,221558,230,129682,80917,80915,202272,13,640,640,yolov5n,WebpLossy,T3,Letterbox
1,31,RSU-0002,Offload,1768743919447570,1768743919462346,1768743919462570,1768743919462570,1768743919669133,1768743919669133,1768743919749896,1768743919749896,1768743919750004,302434,224,206563,80763,80763,202272,13,640,640,yolov5n,WebpLossy,T3,Letterbox
2,61,RSU-0000,Offload,1768743920449198,1768743920458585,1768743920458818,1768743920458819,1768743920517960,1768743920517960,1768743920598615,1768743920598615,1768743920598530,149332,234,59141,80655,80655,203548,15,640,640,yolov5n,WebpLossy,T3,Letterbox
2,61,RSU-0001,Offload,1768743920449198,1768743920464976,1768743920465210,1768743920465211,1768743920598771,1768743920598771,1768743920679900,1768743920679900,1768743920679794,230596,235,133560,81129,81129,203548,15,640,640,yolov5n,WebpLossy,T3,Letterbox
2,61,RSU-0002,Offload,1768743920449198,1768743920466138,1768743920466375,1768743920466375,1768743920679972,1768743920679972,1768743920761417,1768743920761417,1768743920761202,312004,237,213597,81445,81445,203548,15,640,640,yolov5n,WebpLossy,T3,Letterbox
3,91,RSU-0000,Offload,1768743921450466,1768743921459811,1768743921460046,1768743921460046,1768743921503905,1768743921503905,1768743921585211,1768743921585211,1768743921586398,135932,235,43859,81306,81306,205088,16,640,640,yolov5n,WebpLossy,T3,Letterbox
3,91,RSU-0001,Offload,1768743921450466,1768743921465960,1768743921466185,1768743921466185,1768743921585284,1768743921585284,1768743921666738,1768743921666738,1768743921666710,216244,225,119099,81454,81454,205088,16,640,640,yolov5n,WebpLossy,T3,Letterbox
3,91,RSU-0002,Offload,1768743921450466,1768743921467596,1768743921467831,1768743921467831,1768743921666858,1768743921666859,1768743921748000,1768743921748000,1768743921748019,297553,235,199027,81142,81141,205088,16,640,640,yolov5n,WebpLossy,T3,Letterbox
4,121,RSU-0001,Offload,1768743922451823,1768743922467654,1768743922467880,1768743922467881,1768743922514688,1768743922514689,1768743922595345,1768743922595345,1768743922595451,143628,227,46807,80657,80656,204350,17,640,640,yolov5n,WebpLossy,T3,Letterbox
4,121,RSU-0000,Offload,1768743922451823,1768743922461199,1768743922461435,1768743922461435,1768743922595418,1768743922595419,1768743922676650,1768743922676650,1768743922678152,226329,236,133983,81232,81231,204350,17,640,640,yolov5n,WebpLossy,T3,Letterbox
4,121,RSU-0002,Offload,1768743922451823,1768743922468867,1768743922469099,1768743922469099,1768743922676701,1768743922676701,1768743922758371,1768743922758372,1768743922758343,306520,232,207602,81671,81670,204350,17,640,640,yolov5n,WebpLossy,T3,Letterbox
5,151,RSU-0001,Offload,1768743923452603,1768743923468289,1768743923468518,1768743923468518,1768743923514072,1768743923514073,1768743923595291,1768743923595291,1768743923600286,147683,229,45554,81219,81218,205726,18,640,640,yolov5n,WebpLossy,T3,Letterbox
5,151,RSU-0000,Offload,1768743923452603,1768743923461828,1768743923462063,1768743923462064,1768743923595826,1768743923595826,1768743923677578,1768743923677578,1768743923677680,225077,236,133762,81752,81752,205726,18,640,640,yolov5n,WebpLossy,T3,Letterbox
5,151,RSU-0002,Offload,1768743923452603,1768743923469474,1768743923469710,1768743923469710,1768743923677966,1768743923677966,1768743923759680,1768743923759681,1768743923759439,306836,236,208256,81715,81714,205726,18,640,640,yolov5n,WebpLossy,T3,Letterbox
6,181,RSU-0002,Offload,1768743924453657,1768743924469158,1768743924469381,1768743924469381,1768743924512370,1768743924512370,1768743924592849,1768743924592850,1768743924593265,139608,223,42989,80480,80479,204990,15,640,640,yolov5n,WebpLossy,T3,Letterbox
6,181,RSU-0000,Offload,1768743924453657,1768743924461906,1768743924462140,1768743924462140,1768743924593501,1768743924593501,1768743924674592,1768743924674592,1768743924674513,220856,234,131361,81091,81091,204990,15,640,640,yolov5n,WebpLossy,T3,Letterbox
6,181,RSU-0001,Offload,1768743924453657,1768743924471261,1768743924471492,1768743924471492,1768743924674921,1768743924674921,1768743924756470,1768743924756471,1768743924756275,302618,231,203429,81550,81549,204990,15,640,640,yolov5n,WebpLossy,T3,Letterbox
7,211,RSU-0001,Offload,1768743925454449,1768743925470150,1768743925470379,1768743925470379,1768743925514999,1768743925514999,1768743925595589,1768743925595589,1768743925596555,142106,229,44620,80590,80590,205086,14,640,640,yolov5n,WebpLossy,T3,Letterbox
7,211,RSU-0000,Offload,1768743925454449,1768743925465032,1768743925465265,1768743925465266,1768743925595770,1768743925595770,1768743925677548,1768743925677548,1768743925677702,223253,234,130504,81778,81778,205086,14,640,640,yolov5n,WebpLossy,T3,Letterbox
7,211,RSU-0002,Offload,1768743925454449,1768743925470133,1768743925470369,1768743925470369,1768743925677773,1768743925677773,1768743925759323,1768743925759324,1768743925759340,304891,236,207404,81551,81550,205086,14,640,640,yolov5n,WebpLossy,T3,Letterbox
8,241,RSU-0002,Offload,1768743926455792,1768743926468921,1768743926469151,1768743926469151,1768743926514651,1768743926514652,1768743926595974,1768743926595975,1768743926597983,142191,230,45500,81324,81322,204418,16,640,640,yolov5n,WebpLossy,T3,Letterbox
8,241,RSU-0000,Offload,1768743926455792,1768743926465221,1768743926465456,1768743926465457,1768743926596040,1768743926596040,1768743926677377,1768743926677377,1768743926682639,226847,236,130583,81337,81337,204418,16,640,640,yolov5n,WebpLossy,T3,Letterbox
8,241,RSU-0001,Offload,1768743926455792,1768743926471621,1768743926471846,1768743926471846,1768743926677668,1768743926677668,1768743926759120,1768743926759120,1768743926760328,304536,225,205822,81452,81452,204418,16,640,640,yolov5n,WebpLossy,T3,Letterbox
9,271,RSU-0001,Offload,1768743927456680,1768743927472473,1768743927472685,1768743927472685,1768743927511938,1768743927511938,1768743927592702,1768743927592702,1768743927593490,136810,212,39253,80764,80764,205534,13,640,640,yolov5n,WebpLossy,T3,Letterbox
9,271,RSU-0000,Offload,1768743927456680,1768743927467538,1768743927467781,1768743927467782,1768743927593209,1768743927593209,1768743927674274,1768743927674275,1768743927674397,217717,244,125427,81066,81065,205534,13,640,640,yolov5n,WebpLossy,T3,Letterbox
9,271,RSU-0002,Offload,1768743927456680,1768743927472435,1768743927472665,1768743927472665,1768743927674588,1768743927674588,1768743927755993,1768743927755994,1768743927755943,299263,230,201923,81406,81405,205534,13,640,640,yolov5n,WebpLossy,T3,Letterbox
10,301,RSU-0001,Offload,1768743928457363,1768743928473975,1768743928474200,1768743928474200,1768743928507859,1768743928507859,1768743928588980,1768743928588980,1768743928590588,133225,225,33659,81121,81121,204088,13,640,640,yolov5n,WebpLossy,T3,Letterbox
10,301,RSU-0000,Offload,1768743928457363,1768743928468178,1768743928468410,1768743928468411,1768743928589336,1768743928589336,1768743928670422,1768743928670422,1768743928670749,213386,233,120925,81086,81086,204088,13,640,640,yolov5n,WebpLossy,T3,Letterbox
10,301,RSU-0002,Offload,1768743928457363,1768743928469129,1768743928469355,1768743928469355,1768743928670795,1768743928670795,1768743928751692,1768743928751693,1768743928751586,294223,226,201440,80898,80897,204088,13,640,640,yolov5n,WebpLossy,T3,Letterbox
11,331,RSU-0000,Offload,1768743929459127,1768743929468551,1768743929468780,1768743929468780,1768743929516574,1768743929516574,1768743929597797,1768743929597797,1768743929597859,138732,229,47794,81223,81223,203170,15,640,640,yolov5n,WebpLossy,T3,Letterbox
11,331,RSU-0001,Offload,1768743929459127,1768743929474982,1768743929475203,1768743929475204,1768743929597966,1768743929597966,1768743929679605,1768743929679606,1768743929679822,220695,222,122762,81640,81639,203170,15,640,640,yolov5n,WebpLossy,T3,Letterbox
11,331,RSU-0002,Offload,1768743929459127,1768743929476263,1768743929476513,1768743929476513,1768743929680128,1768743929680128,1768743929761423,1768743929761423,1768743929761661,302534,250,203615,81295,81295,203170,15,640,640,yolov5n,WebpLossy,T3,Letterbox
12,361,RSU-0002,Offload,1768743930461022,1768743930476531,1768743930476762,1768743930476763,1768743930518107,1768743930518108,1768743930598392,1768743930598393,1768743930599398,138376,232,41344,80286,80284,202840,17,640,640,yolov5n,WebpLossy,T3,Letterbox
12,361,RSU-0000,Offload,1768743930461022,1768743930469242,1768743930469479,1768743930469479,1768743930599103,1768743930599104,1768743930680166,1768743930680166,1768743930680255,219233,237,129624,81063,81062,202840,17,640,640,yolov5n,WebpLossy,T3,Letterbox
