sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769310307082195,1769310307086889,1769310307087149,1769310307087149,1769310307123370,1769310307123371,1769310307427519,1769310307427519,1769310307429406,347211,260,42797,304149,5,304148,137185,17,yolov5s,JpgLossy,T1,FHD
0,1,RSU-0000,Offload,1769310307082195,1769310307087036,1769310307087290,1769310307087290,1769310307427551,1769310307427551,1769310307736916,1769310307736916,1769310307737877,655682,254,42050,309365,304013,309365,137185,17,yolov5s,JpgLossy,T1,FHD
0,1,RSU-0001,Offload,1769310307082195,1769310307082439,1769310307082696,1769310307082697,1769310307736944,1769310307736944,1769310308039797,1769310308039797,1769310308040726,958531,258,51711,302853,603709,302853,137185,17,yolov5s,JpgLossy,T1,FHD
2,7,RSU-0002,Offload,1769310307284551,1769310307289241,1769310307289526,1769310307289527,1769310308039824,1769310308039824,1769310308342790,1769310308342790,1769310308343655,1059104,286,142456,302966,613396,302966,107692,20,yolov5s,JpgLossy,T1,FHD
12,37,RSU-0000,Offload,1769310308297503,1769310308303794,1769310308303985,1769310308303985,1769310308342825,1769310308342826,1769310308645207,1769310308645207,1769310308645936,348433,191,23900,302382,21960,302381,65600,19,yolov5s,JpgLossy,T1,FHD
12,37,RSU-0001,Offload,1769310308297519,1769310308298369,1769310308298558,1769310308298558,1769310308645238,1769310308645238,1769310308952062,1769310308952062,1769310308952934,655415,189,18835,306824,329567,306824,65600,19,yolov5s,JpgLossy,T1,FHD
12,37,RSU-0002,Offload,1769310308297520,1769310308302450,1769310308302637,1769310308302637,1769310308952093,1769310308952093,1769310309259463,1769310309259463,1769310309260321,962801,187,19416,307370,635828,307370,65600,19,yolov5s,JpgLossy,T1,FHD
21,64,RSU-0000,Offload,1769310309210761,1769310309217614,1769310309217810,1769310309217810,1769310309259499,1769310309259499,1769310309568525,1769310309568525,1769310309569691,358930,196,21306,309026,28402,309026,66221,20,yolov5s,JpgLossy,T1,FHD
21,64,RSU-0001,Offload,1769310309210786,1769310309212585,1769310309212770,1769310309212770,1769310309568557,1769310309568557,1769310309876776,1769310309876776,1769310309877610,666824,185,23799,308219,334621,308219,66221,20,yolov5s,JpgLossy,T1,FHD
21,64,RSU-0002,Offload,1769310309210787,1769310309216657,1769310309216856,1769310309216856,1769310309876805,1769310309876805,1769310310186062,1769310310186063,1769310310186774,975987,199,23786,309258,642744,309257,66221,20,yolov5s,JpgLossy,T1,FHD
30,91,RSU-0000,Offload,1769310310124465,1769310310131714,1769310310131893,1769310310131893,1769310310186099,1769310310186099,1769310310495638,1769310310495638,1769310310496233,371768,179,23449,309539,38601,309539,66924,22,yolov5s,JpgLossy,T1,FHD
30,91,RSU-0001,Offload,1769310310124484,1769310310125304,1769310310125476,1769310310125476,1769310310495680,1769310310495680,1769310310805678,1769310310805678,1769310310806357,681873,172,23690,309998,348013,309998,66924,22,yolov5s,JpgLossy,T1,FHD
30,91,RSU-0002,Offload,1769310310124486,1769310310128509,1769310310128695,1769310310128695,1769310310805718,1769310310805718,1769310311114802,1769310311114802,1769310311115472,990986,186,23294,309084,658422,309084,66924,22,yolov5s,JpgLossy,T1,FHD
39,118,RSU-0000,Offload,1769310311036076,1769310311044072,1769310311044281,1769310311044281,1769310311114838,1769310311114838,1769310311424717,1769310311424717,1769310311425534,389458,209,20384,309879,58986,309879,67319,18,yolov5s,JpgLossy,T1,FHD
39,118,RSU-0001,Offload,1769310311036092,1769310311037257,1769310311037456,1769310311037456,1769310311424748,1769310311424748,1769310311735012,1769310311735012,1769310311735680,699588,199,20070,310264,369055,310264,67319,18,yolov5s,JpgLossy,T1,FHD
