sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768641736639745,1768641736648021,1768641736648309,1768641736648309,1768641736764747,1768641736764747,1768641736983991,1768641736983991,1768641736984807,345062,288,116438,219244,219244,137185,17,1920,1080,yolov5s,JpgLossy,T1,FHD
0,1,RSU-0000,Offload,1768641736639745,1768641736645058,1768641736645322,1768641736645323,1768641736985081,1768641736985082,1768641737221902,1768641737221902,1768641737222201,582456,265,339758,236821,236820,137185,17,1920,1080,yolov5s,JpgLossy,T1,FHD
2,5,RSU-0002,Offload,1768641736776093,1768641736793105,1768641736793444,1768641736793444,1768641737222024,1768641737222024,1768641737453427,1768641737453428,1768641737453587,677494,339,428580,231404,231403,151776,19,1920,1080,yolov5s,JpgLossy,T1,FHD
11,23,RSU-0000,Offload,1768641737386814,1768641737393686,1768641737393873,1768641737393873,1768641737453565,1768641737453566,1768641737685772,1768641737685773,1768641737686408,299594,187,59692,232208,232206,65498,18,1920,1080,yolov5s,JpgLossy,T1,FHD
11,23,RSU-0001,Offload,1768641737386814,1768641737393845,1768641737394051,1768641737394051,1768641737685977,1768641737685977,1768641737920509,1768641737920509,1768641737920769,533955,206,291926,234532,234532,65498,18,1920,1080,yolov5s,JpgLossy,T1,FHD
11,23,RSU-0002,Offload,1768641737386814,1768641737404721,1768641737404913,1768641737404913,1768641737920628,1768641737920628,1768641738156794,1768641738156795,1768641738157634,770820,192,515715,236167,236166,65498,18,1920,1080,yolov5s,JpgLossy,T1,FHD
21,43,RSU-0000,Offload,1768641738066758,1768641738071198,1768641738071398,1768641738071398,1768641738156998,1768641738156999,1768641738393422,1768641738393422,1768641738393791,327033,200,85600,236424,236423,65872,20,1920,1080,yolov5s,JpgLossy,T1,FHD
22,45,RSU-0001,Offload,1768641738135051,1768641738143262,1768641738143477,1768641738143477,1768641738393548,1768641738393548,1768641738634037,1768641738634037,1768641738634426,499375,215,250071,240489,240489,66101,20,1920,1080,yolov5s,JpgLossy,T1,FHD
22,45,RSU-0002,Offload,1768641738135051,1768641738152954,1768641738153140,1768641738153140,1768641738634404,1768641738634404,1768641738874303,1768641738874303,1768641738874785,739734,186,481264,239899,239899,66101,20,1920,1080,yolov5s,JpgLossy,T1,FHD
32,65,RSU-0000,Offload,1768641738814783,1768641738821050,1768641738821239,1768641738821239,1768641738874366,1768641738874366,1768641739116163,1768641739116163,1768641739116619,301836,189,53127,241797,241797,66211,18,1920,1080,yolov5s,JpgLossy,T1,FHD
32,65,RSU-0001,Offload,1768641738814783,1768641738821899,1768641738822106,1768641738822106,1768641739116318,1768641739116318,1768641739359764,1768641739359765,1768641739360247,545464,207,294212,243447,243446,66211,18,1920,1080,yolov5s,JpgLossy,T1,FHD
32,65,RSU-0002,Offload,1768641738814783,1768641738833830,1768641738834033,1768641738834033,1768641739359968,1768641739359968,1768641739600900,1768641739600900,1768641739601075,786292,203,525935,240932,240932,66211,18,1920,1080,yolov5s,JpgLossy,T1,FHD
43,87,RSU-0000,Offload,1768641739563777,1768641739569333,1768641739569542,1768641739569542,1768641739601033,1768641739601033,1768641739842252,1768641739842252,1768641739842590,278813,209,31491,241219,241219,66678,20,1920,1080,yolov5s,JpgLossy,T1,FHD
43,87,RSU-0001,Offload,1768641739563777,1768641739570727,1768641739570920,1768641739570920,1768641739842370,1768641739842370,1768641740083975,1768641740083976,1768641740084191,520414,193,271450,241606,241605,66678,20,1920,1080,yolov5s,JpgLossy,T1,FHD
43,87,RSU-0002,Offload,1768641739563777,1768641739582926,1768641739583124,1768641739583124,1768641740084100,1768641740084100,1768641740328284,1768641740328284,1768641740331330,767553,198,500976,244184,244184,66678,20,1920,1080,yolov5s,JpgLossy,T1,FHD
53,107,RSU-0000,Offload,1768641740246164,1768641740250586,1768641740250797,1768641740250798,1768641740328391,1768641740328391,1768641740571832,1768641740571832,1768641740572164,326000,212,77593,243441,243441,67086,19,1920,1080,yolov5s,JpgLossy,T1,FHD
