sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769302514982778,1769302514988240,1769302514988386,1769302514988386,1769302515004552,1769302515004552,1769302515276857,1769302515276857,1769302515272981,290203,146,17747,272305,5,272305,28714,16,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0000,Offload,1769302514982778,1769302514993796,1769302514993942,1769302514993942,1769302515276965,1769302515276965,1769302515544394,1769302515544394,1769302515540193,557415,146,289834,267429,6,267429,28714,16,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0002,Offload,1769302514982779,1769302514988845,1769302514988994,1769302514988994,1769302515544426,1769302515544427,1769302515814139,1769302515814139,1769302515809864,827085,149,289831,269713,267392,269712,28714,16,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0001,Offload,1769302515984670,1769302515990537,1769302515990690,1769302515990690,1769302516015692,1769302516015692,1769302516280688,1769302516280688,1769302516276417,291747,153,26591,264996,7,264996,27529,16,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0000,Offload,1769302515984652,1769302515992580,1769302515992730,1769302515992730,1769302516280789,1769302516280789,1769302516554836,1769302516554836,1769302516550581,565929,150,291727,274047,5,274047,27529,16,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0002,Offload,1769302515984671,1769302515990619,1769302515990785,1769302515990786,1769302516554872,1769302516554873,1769302516833867,1769302516833867,1769302516829726,845055,167,291861,278995,274032,278994,27529,16,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0002,Offload,1769302516986197,1769302516991397,1769302516991551,1769302516991551,1769302517039554,1769302517039554,1769302517306526,1769302517306526,1769302517302287,316090,154,48960,266972,4,266972,27784,16,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0000,Offload,1769302516986180,1769302516996232,1769302516996379,1769302516996379,1769302517306563,1769302517306563,1769302517578503,1769302517578503,1769302517574356,588176,147,53606,271940,262483,271940,27784,16,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0001,Offload,1769302516986196,1769302516990811,1769302516990964,1769302516990965,1769302517578538,1769302517578538,1769302517857879,1769302517857880,1769302517853637,867441,154,53178,279342,534767,279341,27784,16,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0002,Offload,1769302517987254,1769302517992326,1769302517992482,1769302517992483,1769302518011637,1769302518011637,1769302518278216,1769302518278216,1769302518273879,286625,157,19883,266579,6,266579,28009,17,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0000,Offload,1769302517987243,1769302517995994,1769302517996144,1769302517996144,1769302518278339,1769302518278340,1769302518560713,1769302518560714,1769302518556251,569008,150,286478,282375,5,282373,28009,17,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0001,Offload,1769302517987253,1769302517992209,1769302517992359,1769302517992359,1769302518560750,1769302518560751,1769302518839946,1769302518839946,1769302518835729,848476,150,287302,279196,281828,279195,28009,17,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0001,Offload,1769302518988458,1769302518993083,1769302518993238,1769302518993238,1769302519010137,1769302519010138,1769302519277316,1769302519277316,1769302519273100,284642,155,17304,267179,4,267178,28063,19,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0002,Offload,1769302518988459,1769302518993605,1769302518993764,1769302518993765,1769302519277415,1769302519277416,1769302519551872,1769302519551872,1769302519547618,559159,160,284537,274457,5,274456,28063,19,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0000,Offload,1769302518988443,1769302518998456,1769302518998616,1769302518998616,1769302519551917,1769302519551917,1769302519831150,1769302519831151,1769302519826878,838435,160,284668,279234,274373,279233,28063,19,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0002,Offload,1769302519990502,1769302519995639,1769302519995785,1769302519995785,1769302520012338,1769302520012338,1769302520278505,1769302520278506,1769302520274250,283748,146,17428,266168,6,266167,28072,18,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0001,Offload,1769302519990501,1769302519996954,1769302519997103,1769302519997103,1769302520278634,1769302520278634,1769302520554285,1769302520554285,1769302520549892,559391,149,283585,275651,6,275651,28072,18,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0000,Offload,1769302519990485,1769302520001993,1769302520002151,1769302520002151,1769302520554328,1769302520554329,1769302520834217,1769302520834218,1769302520830083,839598,158,284454,279890,275096,279888,28072,18,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0001,Offload,1769302520992466,1769302520996016,1769302520996168,1769302520996168,1769302521017823,1769302521017823,1769302521283259,1769302521283259,1769302521278892,286426,152,20826,265436,12,265436,27944,19,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0000,Offload,1769302520992452,1769302521001082,1769302521001244,1769302521001244,1769302521283299,1769302521283299,1769302521553597,1769302521553597,1769302521549281,556829,162,20918,270298,265451,270298,27944,19,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0002,Offload,1769302520992467,1769302520999660,1769302520999813,1769302520999813,1769302521553631,1769302521553631,1769302521833358,1769302521833358,1769302521829025,836558,153,21167,279727,535511,279727,27944,19,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0001,Offload,1769302521993848,1769302521999054,1769302521999207,1769302521999208,1769302522023826,1769302522023826,1769302522289671,1769302522289671,1769302522285332,291484,154,25480,265845,5,265845,28029,22,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0002,Offload,1769302521993848,1769302522002682,1769302522002826,1769302522002826,1769302522289765,1769302522289765,1769302522564148,1769302522564148,1769302522559922,566074,144,291542,274383,5,274383,28029,22,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0000,Offload,1769302521993833,1769302522004132,1769302522004289,1769302522004289,1769302522564186,1769302522564186,1769302522844114,1769302522844114,1769302522839749,845916,157,291516,279928,274315,279928,28029,22,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0001,Offload,1769302522995545,1769302522999042,1769302522999197,1769302522999197,1769302523018967,1769302523018967,1769302523283720,1769302523283721,1769302523279285,283740,155,18820,264754,11,264753,27949,19,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0002,Offload,1769302522995546,1769302523001413,1769302523001591,1769302523001591,1769302523283826,1769302523283826,1769302523559963,1769302523559963,1769302523555641,560095,178,283774,276137,6,276137,27949,19,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0000,Offload,1769302522995529,1769302523005023,1769302523005180,1769302523005180,1769302523560005,1769302523560006,1769302523839633,1769302523839633,1769302523835260,839731,157,283814,279628,276132,279627,27949,19,yolov5s,JpgLossy,T1,Letterbox
9,271,RSU-0001,Offload,1769302523996984,1769302524000706,1769302524000849,1769302524000849,1769302524019167,1769302524019167,1769302524284946,1769302524284947,1769302524280661,283677,143,17749,265780,5,265779,28028,19,yolov5s,JpgLossy,T1,Letterbox
9,271,RSU-0002,Offload,1769302523996985,1769302524003911,1769302524004061,1769302524004061,1769302524285057,1769302524285057,1769302524560895,1769302524560895,1769302524556678,559693,150,283700,275838,5,275838,28028,19,yolov5s,JpgLossy,T1,Letterbox
9,271,RSU-0000,Offload,1769302523996969,1769302524005760,1769302524005917,1769302524005917,1769302524560934,1769302524560934,1769302524841034,1769302524841034,1769302524836578,839609,157,283502,280100,275850,280100,28028,19,yolov5s,JpgLossy,T1,Letterbox
10,301,RSU-0002,Offload,1769302524998172,1769302525003541,1769302525003688,1769302525003688,1769302525019170,1769302525019170,1769302525285423,1769302525285423,1769302525281194,283022,147,16616,266253,6,266253,27769,17,yolov5s,JpgLossy,T1,Letterbox
10,301,RSU-0000,Offload,1769302524998157,1769302525008446,1769302525008603,1769302525008603,1769302525285523,1769302525285524,1769302525562928,1769302525562928,1769302525558426,560269,157,282701,277405,6,277404,27769,17,yolov5s,JpgLossy,T1,Letterbox
10,301,RSU-0001,Offload,1769302524998171,1769302525002931,1769302525003086,1769302525003086,1769302525562967,1769302525562967,1769302525843086,1769302525843086,1769302525838792,840621,155,283056,280119,277291,280119,27769,17,yolov5s,JpgLossy,T1,Letterbox
11,331,RSU-0002,Offload,1769302525999560,1769302526005651,1769302526005798,1769302526005798,1769302526023236,1769302526023236,1769302526288143,1769302526288143,1769302526283839,284279,147,19220,264907,5,264907,27638,16,yolov5s,JpgLossy,T1,Letterbox
