sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768634765823437,1768634765825335,1768634765825495,1768634765825495,1768634765926897,1768634765926897,1768634766116270,1768634766116270,1768634766117200,293763,160,101402,189373,189373,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0000,Offload,1768634765823437,1768634765826297,1768634765826437,1768634765826438,1768634766116389,1768634766116389,1768634766314103,1768634766314103,1768634766312782,489345,141,289951,197714,197714,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
2,13,RSU-0000,Offload,1768634766226638,1768634766231248,1768634766231390,1768634766231390,1768634766314265,1768634766314266,1768634766503512,1768634766503513,1768634766502311,275673,142,82875,189248,189246,27626,16,640,640,yolov5s,JpgLossy,T1,Letterbox
2,13,RSU-0001,Offload,1768634766226638,1768634766229771,1768634766229926,1768634766229926,1768634766503642,1768634766503642,1768634766695831,1768634766695832,1768634766694611,467973,155,273716,192190,192189,27626,16,640,640,yolov5s,JpgLossy,T1,Letterbox
2,13,RSU-0002,Offload,1768634766226638,1768634766233338,1768634766233496,1768634766233496,1768634766695983,1768634766695984,1768634766895352,1768634766895352,1768634766894044,667406,158,462487,199369,199368,27626,16,640,640,yolov5s,JpgLossy,T1,Letterbox
5,31,RSU-0000,Offload,1768634766831254,1768634766837710,1768634766837843,1768634766837843,1768634766895553,1768634766895553,1768634767098931,1768634767098931,1768634767097637,266383,133,57710,203378,203378,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
5,31,RSU-0001,Offload,1768634766831254,1768634766834977,1768634766835148,1768634766835148,1768634767099100,1768634767099100,1768634767306471,1768634767306471,1768634767305304,474050,171,263952,207371,207371,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
5,31,RSU-0002,Offload,1768634766831254,1768634766837537,1768634766837684,1768634766837684,1768634767306707,1768634767306708,1768634767517748,1768634767517749,1768634767517164,685910,147,469023,211042,211040,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
8,49,RSU-0000,Offload,1768634767436108,1768634767441030,1768634767441178,1768634767441178,1768634767517909,1768634767517909,1768634767723273,1768634767723274,1768634767721917,285809,148,76731,205365,205364,27638,18,640,640,yolov5s,JpgLossy,T1,Letterbox
8,49,RSU-0001,Offload,1768634767436108,1768634767439420,1768634767439549,1768634767439549,1768634767723495,1768634767723495,1768634767928879,1768634767928879,1768634767927645,491537,129,283946,205384,205384,27638,18,640,640,yolov5s,JpgLossy,T1,Letterbox
