sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769316285637864,1769316285637155,1769316285637364,1769316285637364,1769316285753854,1769316285753854,1769316286048773,1769316286048773,1769316286049955,412091,209,116952,294919,11,294919,84671,17,yolov5s,JpgLossy,T2,HD
2,5,RSU-0000,Offload,1769316285774027,1769316285776340,1769316285776570,1769316285776570,1769316286049251,1769316286049251,1769316286346354,1769316286346354,1769316286347568,573541,230,276182,297103,26,297103,85482,19,yolov5s,JpgLossy,T2,HD
1,3,RSU-0001,Offload,1769316285706475,1769316285705815,1769316285706030,1769316285706030,1769316286346384,1769316286346385,1769316286640602,1769316286640602,1769316286641785,935310,215,343616,294218,297261,294217,87035,19,yolov5s,JpgLossy,T2,HD
1,3,RSU-0002,Offload,1769316285706476,1769316285711195,1769316285711418,1769316285711418,1769316286640630,1769316286640630,1769316286935329,1769316286935329,1769316286936290,1229814,223,343426,294699,591466,294699,87035,19,yolov5s,JpgLossy,T2,HD
18,37,RSU-0000,Offload,1769316286860935,1769316286863304,1769316286863500,1769316286863501,1769316286935370,1769316286935370,1769316287230345,1769316287230345,1769316287231345,370410,197,26666,294975,48572,294975,76139,17,yolov5s,JpgLossy,T2,HD
18,37,RSU-0001,Offload,1769316286860955,1769316286860493,1769316286861186,1769316286861186,1769316287230378,1769316287230379,1769316287527201,1769316287527201,1769316287528392,667437,693,20784,296823,349137,296822,76139,17,yolov5s,JpgLossy,T2,HD
18,37,RSU-0002,Offload,1769316286860956,1769316286865177,1769316286865398,1769316286865398,1769316287527232,1769316287527232,1769316287823499,1769316287823499,1769316287829619,968663,221,26331,296267,645844,296267,76139,17,yolov5s,JpgLossy,T2,HD
31,63,RSU-0000,Offload,1769316287743812,1769316287747074,1769316287747292,1769316287747292,1769316287823544,1769316287823544,1769316288124225,1769316288124225,1769316288125166,381354,218,20811,300681,59644,300681,76996,19,yolov5s,JpgLossy,T2,HD
31,63,RSU-0001,Offload,1769316287743828,1769316287744245,1769316287744460,1769316287744461,1769316288124257,1769316288124257,1769316288423103,1769316288423103,1769316288424255,680427,216,21794,298846,359571,298846,76996,19,yolov5s,JpgLossy,T2,HD
31,63,RSU-0002,Offload,1769316287743830,1769316287748682,1769316287748899,1769316287748899,1769316288423138,1769316288423138,1769316288721892,1769316288721892,1769316288723054,979224,217,20079,298754,660174,298754,76996,19,yolov5s,JpgLossy,T2,HD
45,91,RSU-0000,Offload,1769316288695632,1769316288699367,1769316288699559,1769316288699559,1769316288721933,1769316288721934,1769316289021964,1769316289021964,1769316289022966,327334,192,22760,300031,4351,300030,77644,20,yolov5s,JpgLossy,T2,HD
44,89,RSU-0001,Offload,1769316288628333,1769316288629350,1769316288629556,1769316288629557,1769316289022006,1769316289022006,1769316289322050,1769316289322050,1769316289333871,705538,207,35741,300044,369546,300044,77605,19,yolov5s,JpgLossy,T2,HD
45,91,RSU-0002,Offload,1769316288695644,1769316288700341,1769316288700537,1769316288700537,1769316289322084,1769316289322084,1769316289622897,1769316289622898,1769316289624057,928413,196,20830,300814,606573,300813,77644,20,yolov5s,JpgLossy,T2,HD
58,117,RSU-0000,Offload,1769316289580357,1769316289585684,1769316289585910,1769316289585910,1769316289622935,1769316289622935,1769316289920492,1769316289920492,1769316289921691,341334,226,23887,297557,19664,297557,77906,19,yolov5s,JpgLossy,T2,HD
58,117,RSU-0001,Offload,1769316289580369,1769316289580671,1769316289580879,1769316289580879,1769316289920529,1769316289920529,1769316290220993,1769316290220993,1769316290222142,641773,208,23387,300464,317714,300464,77906,19,yolov5s,JpgLossy,T2,HD
58,117,RSU-0002,Offload,1769316289580370,1769316289585334,1769316289585576,1769316289585576,1769316290221027,1769316290221028,1769316290519754,1769316290519755,1769316290520553,940183,242,23271,298728,617942,298726,77906,19,yolov5s,JpgLossy,T2,HD
71,143,RSU-0000,Offload,1769316290464673,1769316290468434,1769316290468658,1769316290468658,1769316290519799,1769316290519799,1769316290820169,1769316290820169,1769316290821203,356530,224,20587,300370,35349,300370,78307,20,yolov5s,JpgLossy,T2,HD
71,143,RSU-0001,Offload,1769316290464693,1769316290465292,1769316290465492,1769316290465492,1769316290820205,1769316290820205,1769316291123371,1769316291123371,1769316291124428,659735,200,25677,303166,330692,303166,78307,20,yolov5s,JpgLossy,T2,HD
71,143,RSU-0002,Offload,1769316290464694,1769316290469273,1769316290469487,1769316290469487,1769316291123406,1769316291123406,1769316291424496,1769316291424496,1769316291428545,963851,214,28521,301090,634026,301090,78307,20,yolov5s,JpgLossy,T2,HD
84,169,RSU-0000,Offload,1769316291349127,1769316291353066,1769316291353277,1769316291353277,1769316291424548,1769316291424548,1769316291725718,1769316291725718,1769316291726570,377443,211,24582,301170,51480,301170,76555,20,yolov5s,JpgLossy,T2,HD
84,169,RSU-0001,Offload,1769316291349140,1769316291350825,1769316291351024,1769316291351024,1769316291725747,1769316291725747,1769316292024234,1769316292024234,1769316292025371,676231,199,24593,298487,352952,298487,76555,20,yolov5s,JpgLossy,T2,HD
84,169,RSU-0002,Offload,1769316291349142,1769316291355201,1769316291355421,1769316291355421,1769316292024268,1769316292024269,1769316292325220,1769316292325221,1769316292326170,977028,220,24534,300953,651321,300951,76555,20,yolov5s,JpgLossy,T2,HD
98,197,RSU-0000,Offload,1769316292300242,1769316292305968,1769316292306176,1769316292306176,1769316292325267,1769316292325268,1769316292627011,1769316292627011,1769316292628088,327846,208,24345,301744,1549,301743,77186,18,yolov5s,JpgLossy,T2,HD
98,197,RSU-0001,Offload,1769316292300259,1769316292300142,1769316292300346,1769316292300346,1769316292627046,1769316292627047,1769316292928822,1769316292928822,1769316292933976,633717,204,25582,301776,306155,301775,77186,18,yolov5s,JpgLossy,T2,HD
98,197,RSU-0002,Offload,1769316292300261,1769316292305224,1769316292305439,1769316292305439,1769316292928856,1769316292928856,1769316293231764,1769316293231764,1769316293232677,932416,215,19528,302908,609765,302908,77186,18,yolov5s,JpgLossy,T2,HD
111,223,RSU-0000,Offload,1769316293183553,1769316293186749,1769316293186937,1769316293186937,1769316293231802,1769316293231802,1769316293532873,1769316293532873,1769316293538546,354993,188,18350,301071,35384,301071,77456,18,yolov5s,JpgLossy,T2,HD
111,223,RSU-0001,Offload,1769316293183574,1769316293182844,1769316293183026,1769316293183026,1769316293532908,1769316293532908,1769316293836195,1769316293836196,1769316293837348,653774,182,22006,303288,328298,303287,77456,18,yolov5s,JpgLossy,T2,HD
111,223,RSU-0002,Offload,1769316293183575,1769316293189215,1769316293189408,1769316293189408,1769316293836230,1769316293836230,1769316294138266,1769316294138266,1769316294139289,955714,193,23438,302036,630047,302036,77456,18,yolov5s,JpgLossy,T2,HD
124,249,RSU-0000,Offload,1769316294068559,1769316294073008,1769316294073208,1769316294073208,1769316294138309,1769316294138309,1769316294441836,1769316294441836,1769316294442975,374416,200,24588,303527,46101,303527,77534,17,yolov5s,JpgLossy,T2,HD
124,249,RSU-0001,Offload,1769316294068573,1769316294067812,1769316294068039,1769316294068039,1769316294441872,1769316294441873,1769316294742597,1769316294742597,1769316294743565,674992,227,24263,300725,349777,300724,77534,17,yolov5s,JpgLossy,T2,HD
124,249,RSU-0002,Offload,1769316294068574,1769316294075600,1769316294075815,1769316294075815,1769316294742637,1769316294742637,1769316295046745,1769316295046745,1769316295047882,979308,215,20408,304108,654577,304108,77534,17,yolov5s,JpgLossy,T2,HD
138,277,RSU-0000,Offload,1769316295019615,1769316295025787,1769316295025996,1769316295025996,1769316295046793,1769316295046794,1769316295349282,1769316295349282,1769316295350309,330694,209,24181,302489,3815,302488,77436,19,yolov5s,JpgLossy,T2,HD
138,277,RSU-0001,Offload,1769316295019634,1769316295019169,1769316295019367,1769316295019367,1769316295349317,1769316295349317,1769316295652105,1769316295652105,1769316295653287,633653,198,22869,302788,307798,302788,77436,19,yolov5s,JpgLossy,T2,HD
138,277,RSU-0002,Offload,1769316295019636,1769316295025470,1769316295025705,1769316295025705,1769316295652143,1769316295652143,1769316295955150,1769316295955150,1769316295956161,936525,235,17936,303007,615347,303007,77436,19,yolov5s,JpgLossy,T2,HD
151,303,RSU-0000,Offload,1769316295903952,1769316295907144,1769316295907365,1769316295907365,1769316295955196,1769316295955196,1769316296255302,1769316296255302,1769316296265570,361618,221,31402,300106,29889,300106,76790,19,yolov5s,JpgLossy,T2,HD
151,303,RSU-0001,Offload,1769316295903966,1769316295903422,1769316295903626,1769316295903627,1769316296255332,1769316296255333,1769316296557099,1769316296557099,1769316296558168,654202,205,16609,301767,335621,301766,76790,19,yolov5s,JpgLossy,T2,HD
151,303,RSU-0002,Offload,1769316295903967,1769316295910049,1769316295910272,1769316295910272,1769316296557132,1769316296557132,1769316296857169,1769316296857169,1769316296858280,954313,223,22436,300037,631617,300037,76790,19,yolov5s,JpgLossy,T2,HD
164,329,RSU-0000,Offload,1769316296787652,1769316296793347,1769316296793564,1769316296793564,1769316296857208,1769316296857208,1769316297162639,1769316297162639,1769316297163707,376055,217,26351,305431,44056,305431,76298,18,yolov5s,JpgLossy,T2,HD
164,329,RSU-0001,Offload,1769316296787663,1769316296787188,1769316296787388,1769316296787388,1769316297162682,1769316297162682,1769316297463027,1769316297463027,1769316297464073,676410,200,17214,300345,358651,300345,76298,18,yolov5s,JpgLossy,T2,HD
164,329,RSU-0002,Offload,1769316296787665,1769316296793475,1769316296793712,1769316296793712,1769316297463063,1769316297463063,1769316297767675,1769316297767675,1769316297768577,980912,237,18464,304612,657599,304612,76298,18,yolov5s,JpgLossy,T2,HD
178,357,RSU-0000,Offload,1769316297739446,1769316297744816,1769316297745013,1769316297745013,1769316297767713,1769316297767714,1769316298069535,1769316298069536,1769316298070398,330952,197,16813,301823,12119,301821,76718,18,yolov5s,JpgLossy,T2,HD
178,357,RSU-0001,Offload,1769316297739458,1769316297739695,1769316297739901,1769316297739901,1769316298069570,1769316298069571,1769316298373188,1769316298373189,1769316298375646,636188,206,27055,303619,305308,303617,76718,18,yolov5s,JpgLossy,T2,HD
178,357,RSU-0002,Offload,1769316297739459,1769316297744463,1769316297744672,1769316297744672,1769316298373231,1769316298373231,1769316298677505,1769316298677505,1769316298678877,939418,209,18381,304274,616554,304274,76718,18,yolov5s,JpgLossy,T2,HD
191,383,RSU-0000,Offload,1769316298624056,1769316298627295,1769316298627508,1769316298627508,1769316298677544,1769316298677544,1769316298980085,1769316298980085,1769316298986817,362761,213,31438,302541,28569,302541,76355,16,yolov5s,JpgLossy,T2,HD
