sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768635208812777,1768635208813655,1768635208813829,1768635208813829,1768635208840677,1768635208840677,1768635209051064,1768635209051064,1768635209049349,236572,174,26848,210387,210387,60995,17,1280,720,yolov5s,JpgLossy,T3,HD
1,7,RSU-0001,Offload,1768635209014386,1768635209014965,1768635209015184,1768635209015184,1768635209051355,1768635209051355,1768635209262207,1768635209262208,1768635209259994,245608,219,36171,210853,210852,59529,19,1280,720,yolov5s,JpgLossy,T3,HD
2,13,RSU-0000,Offload,1768635209215967,1768635209221671,1768635209221858,1768635209221858,1768635209262358,1768635209262358,1768635209477379,1768635209477379,1768635209475114,259147,187,40500,215021,215021,56341,17,1280,720,yolov5s,JpgLossy,T3,HD
2,13,RSU-0001,Offload,1768635209215967,1768635209218826,1768635209219008,1768635209219008,1768635209477602,1768635209477602,1768635209691127,1768635209691128,1768635209688903,472936,182,258594,213526,213525,56341,17,1280,720,yolov5s,JpgLossy,T3,HD
2,13,RSU-0002,Offload,1768635209215967,1768635209222170,1768635209222363,1768635209222363,1768635209691333,1768635209691333,1768635209908049,1768635209908049,1768635209905721,689754,193,468970,216716,216716,56341,17,1280,720,yolov5s,JpgLossy,T3,HD
5,31,RSU-0000,Offload,1768635209818833,1768635209824936,1768635209825120,1768635209825120,1768635209908267,1768635209908267,1768635210125567,1768635210125567,1768635210123205,304372,184,83147,217300,217300,56120,18,1280,720,yolov5s,JpgLossy,T3,HD
5,31,RSU-0001,Offload,1768635209818833,1768635209822140,1768635209822330,1768635209822330,1768635210125719,1768635210125719,1768635210344821,1768635210344821,1768635210342622,523789,190,303389,219102,219102,56120,18,1280,720,yolov5s,JpgLossy,T3,HD
5,31,RSU-0002,Offload,1768635209818833,1768635209825482,1768635209825673,1768635209825674,1768635210344946,1768635210344946,1768635210565201,1768635210565201,1768635210562742,743909,192,519272,220255,220255,56120,18,1280,720,yolov5s,JpgLossy,T3,HD
8,49,RSU-0000,Offload,1768635210422573,1768635210427515,1768635210427695,1768635210427695,1768635210565418,1768635210565418,1768635210787180,1768635210787180,1768635210784941,362368,180,137723,221762,221762,56333,20,1280,720,yolov5s,JpgLossy,T3,HD
8,49,RSU-0001,Offload,1768635210422573,1768635210427328,1768635210427512,1768635210427513,1768635210787405,1768635210787405,1768635211009672,1768635211009673,1768635211007380,584807,185,359892,222268,222267,56333,20,1280,720,yolov5s,JpgLossy,T3,HD
8,49,RSU-0002,Offload,1768635210422573,1768635210428090,1768635210428282,1768635210428282,1768635211009894,1768635211009894,1768635211232870,1768635211232870,1768635211230440,807867,192,581612,222976,222976,56333,20,1280,720,yolov5s,JpgLossy,T3,HD
11,67,RSU-0000,Offload,1768635211027135,1768635211033079,1768635211033250,1768635211033250,1768635211233016,1768635211233016,1768635211463544,1768635211463545,1768635211461194,434059,171,199766,230529,230528,56799,19,1280,720,yolov5s,JpgLossy,T3,HD
11,67,RSU-0001,Offload,1768635211027135,1768635211030797,1768635211030975,1768635211030975,1768635211463755,1768635211463755,1768635211688419,1768635211688419,1768635211685963,658828,178,432780,224664,224664,56799,19,1280,720,yolov5s,JpgLossy,T3,HD
11,67,RSU-0002,Offload,1768635211027135,1768635211032482,1768635211032670,1768635211032671,1768635211688637,1768635211688637,1768635211914585,1768635211914586,1768635211912325,885190,189,655966,225949,225948,56799,19,1280,720,yolov5s,JpgLossy,T3,HD
15,91,RSU-0000,Offload,1768635211832525,1768635211836260,1768635211836458,1768635211836458,1768635211914733,1768635211914733,1768635212145991,1768635212145992,1768635212143515,310990,198,78275,231259,231258,57294,19,1280,720,yolov5s,JpgLossy,T3,HD
15,91,RSU-0001,Offload,1768635211832525,1768635211836026,1768635211836214,1768635211836215,1768635212146051,1768635212146051,1768635212371822,1768635212371822,1768635212369577,537052,189,309836,225771,225771,57294,19,1280,720,yolov5s,JpgLossy,T3,HD
15,91,RSU-0002,Offload,1768635211832525,1768635211839901,1768635211840101,1768635211840101,1768635212371879,1768635212371880,1768635212598884,1768635212598884,1768635212596565,764040,200,531778,227005,227004,57294,19,1280,720,yolov5s,JpgLossy,T3,HD
18,109,RSU-0000,Offload,1768635212437146,1768635212440794,1768635212440998,1768635212440998,1768635212599006,1768635212599006,1768635212826577,1768635212826578,1768635212824287,387141,204,158008,227572,227571,57328,21,1280,720,yolov5s,JpgLossy,T3,HD
18,109,RSU-0001,Offload,1768635212437146,1768635212442012,1768635212442188,1768635212442188,1768635212826711,1768635212826711,1768635213054803,1768635213054803,1768635213053194,616048,176,384523,228092,228092,57328,21,1280,720,yolov5s,JpgLossy,T3,HD
18,109,RSU-0002,Offload,1768635212437146,1768635212443100,1768635212443350,1768635212443350,1768635213055007,1768635213055007,1768635213283962,1768635213283962,1768635213281797,844651,250,611657,228955,228955,57328,21,1280,720,yolov5s,JpgLossy,T3,HD
22,133,RSU-0000,Offload,1768635213243835,1768635213247437,1768635213247648,1768635213247648,1768635213284184,1768635213284184,1768635213516504,1768635213516505,1768635213514305,270470,211,36536,232321,232320,57326,19,1280,720,yolov5s,JpgLossy,T3,HD
22,133,RSU-0001,Offload,1768635213243835,1768635213247238,1768635213247413,1768635213247413,1768635213516725,1768635213516725,1768635213746322,1768635213746323,1768635213744040,500205,175,269312,229598,229597,57326,19,1280,720,yolov5s,JpgLossy,T3,HD
22,133,RSU-0002,Offload,1768635213243835,1768635213250659,1768635213250855,1768635213250855,1768635213746386,1768635213746386,1768635213976332,1768635213976332,1768635213973974,730139,196,495531,229946,229946,57326,19,1280,720,yolov5s,JpgLossy,T3,HD
25,151,RSU-0000,Offload,1768635213847629,1768635213852334,1768635213852528,1768635213852528,1768635213976397,1768635213976397,1768635214207541,1768635214207542,1768635214205338,357709,194,123869,231145,231144,57567,19,1280,720,yolov5s,JpgLossy,T3,HD
25,151,RSU-0001,Offload,1768635213847629,1768635213850391,1768635213850574,1768635213850574,1768635214207785,1768635214207785,1768635214437727,1768635214437727,1768635214435514,587885,183,357211,229942,229942,57567,19,1280,720,yolov5s,JpgLossy,T3,HD
25,151,RSU-0002,Offload,1768635213847629,1768635213855060,1768635213855283,1768635213855283,1768635214437876,1768635214437876,1768635214668571,1768635214668571,1768635214671732,824103,223,582593,230695,230695,57567,19,1280,720,yolov5s,JpgLossy,T3,HD
28,169,RSU-0000,Offload,1768635214452007,1768635214455703,1768635214455904,1768635214455904,1768635214668808,1768635214668808,1768635214900477,1768635214900477,1768635214897975,445968,201,212904,231669,231669,56416,20,1280,720,yolov5s,JpgLossy,T3,HD
28,169,RSU-0001,Offload,1768635214452007,1768635214455496,1768635214455672,1768635214455672,1768635214900701,1768635214900701,1768635215134074,1768635215134074,1768635215131737,679730,176,445029,233373,233373,56416,20,1280,720,yolov5s,JpgLossy,T3,HD
