sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768747791812824,1768747791826270,1768747791826430,1768747791826430,1768747791834948,1768747791834948,1768747792027699,1768747792027699,1768747792025985,213161,160,8518,192751,192751,20824,15,640,640,yolov5s,JpgLossy,T3,Letterbox
0,1,RSU-0001,Offload,1768747791812824,1768747791829560,1768747791829710,1768747791829710,1768747792027912,1768747792027912,1768747792217573,1768747792217573,1768747792216762,403938,150,198202,189661,189661,20824,15,640,640,yolov5s,JpgLossy,T3,Letterbox
0,1,RSU-0000,Offload,1768747791812824,1768747791826719,1768747791826854,1768747791826854,1768747792217791,1768747792217791,1768747792406694,1768747792406694,1768747792404978,592154,135,390937,188903,188903,20824,15,640,640,yolov5s,JpgLossy,T3,Letterbox
1,31,RSU-0002,Offload,1768747792813383,1768747792824153,1768747792824322,1768747792824322,1768747792941370,1768747792941370,1768747793134006,1768747793134006,1768747793133766,320383,169,117048,192636,192636,20086,15,640,640,yolov5s,JpgLossy,T3,Letterbox
1,31,RSU-0001,Offload,1768747792813383,1768747792826823,1768747792826969,1768747792826969,1768747793134302,1768747793134302,1768747793323334,1768747793323334,1768747793321988,508605,146,307333,189032,189032,20086,15,640,640,yolov5s,JpgLossy,T3,Letterbox
1,31,RSU-0000,Offload,1768747792813383,1768747792826237,1768747792826373,1768747792826374,1768747793323616,1768747793323616,1768747793513131,1768747793513132,1768747793511270,697887,137,497242,189516,189515,20086,15,640,640,yolov5s,JpgLossy,T3,Letterbox
2,61,RSU-0000,Offload,1768747793814193,1768747793827271,1768747793827413,1768747793827414,1768747793834505,1768747793834505,1768747794021699,1768747794021699,1768747794020557,206364,143,7091,187194,187194,20343,16,640,640,yolov5s,JpgLossy,T3,Letterbox
2,61,RSU-0001,Offload,1768747793814193,1768747793827935,1768747793828076,1768747793828076,1768747794021764,1768747794021764,1768747794210610,1768747794210610,1768747794208848,394655,141,193688,188846,188846,20343,16,640,640,yolov5s,JpgLossy,T3,Letterbox
2,61,RSU-0002,Offload,1768747793814193,1768747793825311,1768747793825456,1768747793825456,1768747794210693,1768747794210693,1768747794398904,1768747794398904,1768747794396834,582641,145,385237,188211,188211,20343,16,640,640,yolov5s,JpgLossy,T3,Letterbox
3,91,RSU-0000,Offload,1768747794815964,1768747794829039,1768747794829185,1768747794829186,1768747794855068,1768747794855068,1768747795045835,1768747795045835,1768747795044103,228139,147,25882,190767,190767,20595,16,640,640,yolov5s,JpgLossy,T3,Letterbox
3,91,RSU-0001,Offload,1768747794815964,1768747794828719,1768747794828865,1768747794828865,1768747795046216,1768747795046216,1768747795235469,1768747795235469,1768747795233831,417867,146,217351,189253,189253,20595,16,640,640,yolov5s,JpgLossy,T3,Letterbox
3,91,RSU-0002,Offload,1768747794815964,1768747794827818,1768747794827960,1768747794827960,1768747795235610,1768747795235610,1768747795423842,1768747795423842,1768747795422386,606422,142,407650,188232,188232,20595,16,640,640,yolov5s,JpgLossy,T3,Letterbox
4,121,RSU-0001,Offload,1768747795817696,1768747795828690,1768747795828831,1768747795828831,1768747795833485,1768747795833485,1768747796021352,1768747796021352,1768747796019464,201768,141,4654,187867,187867,20630,20,640,640,yolov5s,JpgLossy,T3,Letterbox
4,121,RSU-0000,Offload,1768747795817696,1768747795828881,1768747795829020,1768747795829021,1768747796021621,1768747796021621,1768747796211208,1768747796211208,1768747796209324,391628,140,192600,189587,189587,20630,20,640,640,yolov5s,JpgLossy,T3,Letterbox
4,121,RSU-0002,Offload,1768747795817696,1768747795826062,1768747795826201,1768747795826201,1768747796211253,1768747796211254,1768747796400478,1768747796400479,1768747796398693,580997,139,385052,189226,189224,20630,20,640,640,yolov5s,JpgLossy,T3,Letterbox
5,151,RSU-0002,Offload,1768747796819123,1768747796829280,1768747796829417,1768747796829417,1768747796836347,1768747796836348,1768747797027526,1768747797027527,1768747797025688,206565,137,6930,191180,191178,20565,18,640,640,yolov5s,JpgLossy,T3,Letterbox
5,151,RSU-0000,Offload,1768747796819123,1768747796831177,1768747796831322,1768747796831322,1768747797027817,1768747797027818,1768747797216744,1768747797216744,1768747797215178,396055,145,196495,188927,188926,20565,18,640,640,yolov5s,JpgLossy,T3,Letterbox
5,151,RSU-0001,Offload,1768747796819123,1768747796830173,1768747796830317,1768747796830318,1768747797216810,1768747797216811,1768747797405962,1768747797405962,1768747797404030,584907,145,386492,189152,189151,20565,18,640,640,yolov5s,JpgLossy,T3,Letterbox
6,181,RSU-0001,Offload,1768747797820510,1768747797834034,1768747797834169,1768747797834170,1768747797841292,1768747797841292,1768747798029430,1768747798029430,1768747798030464,209954,136,7122,188138,188138,20392,18,640,640,yolov5s,JpgLossy,T3,Letterbox
6,181,RSU-0000,Offload,1768747797820510,1768747797833921,1768747797834061,1768747797834061,1768747798029670,1768747798029670,1768747798218737,1768747798218737,1768747798217071,396561,140,195609,189067,189067,20392,18,640,640,yolov5s,JpgLossy,T3,Letterbox
6,181,RSU-0002,Offload,1768747797820510,1768747797831453,1768747797831595,1768747797831595,1768747798218944,1768747798218944,1768747798408168,1768747798408168,1768747798406402,585892,142,387349,189224,189224,20392,18,640,640,yolov5s,JpgLossy,T3,Letterbox
7,211,RSU-0001,Offload,1768747798821533,1768747798834234,1768747798834375,1768747798834375,1768747798838169,1768747798838169,1768747799030436,1768747799030436,1768747799032041,210508,141,3794,192267,192267,20529,19,640,640,yolov5s,JpgLossy,T3,Letterbox
7,211,RSU-0002,Offload,1768747798821533,1768747798833376,1768747798833511,1768747798833511,1768747799030555,1768747799030556,1768747799220221,1768747799220221,1768747799218393,396860,135,197044,189666,189665,20529,19,640,640,yolov5s,JpgLossy,T3,Letterbox
7,211,RSU-0000,Offload,1768747798821533,1768747798834893,1768747798835059,1768747798835059,1768747799220523,1768747799220523,1768747799410700,1768747799410700,1768747799408987,587454,166,385464,190177,190177,20529,19,640,640,yolov5s,JpgLossy,T3,Letterbox
8,241,RSU-0001,Offload,1768747799823072,1768747799836666,1768747799836804,1768747799836804,1768747799840990,1768747799840990,1768747800038619,1768747800038620,1768747800037838,214766,138,4186,197630,197629,20457,20,640,640,yolov5s,JpgLossy,T3,Letterbox
8,241,RSU-0000,Offload,1768747799823072,1768747799836189,1768747799836329,1768747799836329,1768747800038827,1768747800038827,1768747800264840,1768747800264840,1768747800262773,439701,140,202498,226013,226013,20457,20,640,640,yolov5s,JpgLossy,T3,Letterbox
8,241,RSU-0002,Offload,1768747799823072,1768747799833575,1768747799833714,1768747799833714,1768747800264898,1768747800264898,1768747800455830,1768747800455830,1768747800454492,631420,139,431184,190932,190932,20457,20,640,640,yolov5s,JpgLossy,T3,Letterbox
9,271,RSU-0000,Offload,1768747800824569,1768747800833647,1768747800833784,1768747800833784,1768747800839050,1768747800839050,1768747801031042,1768747801031042,1768747801036650,212081,137,5266,191992,191992,20550,18,640,640,yolov5s,JpgLossy,T3,Letterbox
9,271,RSU-0001,Offload,1768747800824569,1768747800834212,1768747800834354,1768747800834354,1768747801031691,1768747801031691,1768747801221129,1768747801221129,1768747801221367,396798,142,197337,189438,189438,20550,18,640,640,yolov5s,JpgLossy,T3,Letterbox
9,271,RSU-0002,Offload,1768747800824569,1768747800834796,1768747800834941,1768747800834941,1768747801221489,1768747801221489,1768747801412227,1768747801412227,1768747801410165,585596,145,386548,190738,190738,20550,18,640,640,yolov5s,JpgLossy,T3,Letterbox
10,301,RSU-0002,Offload,1768747801826135,1768747801835776,1768747801835923,1768747801835923,1768747801843495,1768747801843496,1768747802030906,1768747802030906,1768747802029056,202921,147,7572,187411,187410,20312,15,640,640,yolov5s,JpgLossy,T3,Letterbox
10,301,RSU-0001,Offload,1768747801826135,1768747801838761,1768747801838898,1768747801838898,1768747802031192,1768747802031192,1768747802221293,1768747802221293,1768747802219520,393385,137,192294,190101,190101,20312,15,640,640,yolov5s,JpgLossy,T3,Letterbox
