sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768642533930591,1768642533940183,1768642533941394,1768642533941395,1768642534341194,1768642534341194,1768642534579392,1768642534579392,1768642534579867,649276,1212,399799,238198,238198,1321370,17,1920,1080,yolov5s,PngLossless,T1,FHD
0,1,RSU-0000,Offload,1768642533930591,1768642533933851,1768642533935114,1768642533935115,1768642534585798,1768642534585799,1768642534860673,1768642534860673,1768642534869492,938901,1264,650683,274875,274874,1321370,17,1920,1080,yolov5s,PngLossless,T1,FHD
1,3,RSU-0001,Offload,1768642533998375,1768642534007081,1768642534008682,1768642534008682,1768642534860823,1768642534860823,1768642535148227,1768642535148228,1768642535190620,1192245,1601,852141,287405,287404,1672338,17,1920,1080,yolov5s,PngLossless,T1,FHD
1,3,RSU-0002,Offload,1768642533998375,1768642534019094,1768642534060826,1768642534060827,1768642535148386,1768642535148386,1768642535432523,1768642535432524,1768642535492525,1494150,41733,1087559,284138,284137,1672338,17,1920,1080,yolov5s,PngLossless,T1,FHD
3,7,RSU-0000,Offload,1768642534134926,1768642534138697,1768642534139676,1768642534139677,1768642535432738,1768642535432738,1768642535710168,1768642535710168,1768642535777926,1643000,980,1293061,277430,277430,1129910,20,1920,1080,yolov5s,PngLossless,T1,FHD
3,7,RSU-0001,Offload,1768642534134926,1768642534141110,1768642534143137,1768642534143137,1768642535710227,1768642535710228,1768642535984153,1768642535984153,1768642536067656,1932730,2027,1567090,273926,273925,1129910,20,1920,1080,yolov5s,PngLossless,T1,FHD
3,7,RSU-0002,Offload,1768642534134926,1768642534156586,1768642534184970,1768642534184971,1768642535984215,1768642535984215,1768642536247385,1768642536247385,1768642536308929,2174003,28385,1799244,263170,263170,1129910,20,1920,1080,yolov5s,PngLossless,T1,FHD
7,15,RSU-0000,Offload,1768642534407369,1768642534413728,1768642534414423,1768642534414423,1768642536247524,1768642536247525,1768642536502460,1768642536502460,1768642536545896,2138527,695,1833101,254936,254935,795285,17,1920,1080,yolov5s,PngLossless,T1,FHD
8,17,RSU-0001,Offload,1768642534476001,1768642534481447,1768642534482972,1768642534482973,1768642536502626,1768642536502626,1768642536779247,1768642536779247,1768642536988612,2512611,1526,2019653,276621,276621,789378,18,1920,1080,yolov5s,PngLossless,T1,FHD
8,17,RSU-0002,Offload,1768642534476001,1768642534495317,1768642534519949,1768642534519950,1768642536779314,1768642536779314,1768642537027774,1768642537027774,1768642537080017,2604016,24633,2259364,248460,248460,789378,18,1920,1080,yolov5s,PngLossless,T1,FHD
